limited, limited, <quite>
direct, direct, <either>
direct, direct, <merely>
direct, directly, <very>
direct, directly, <either>
direct, forthright, <very>
elegant, great, <very>
elegant, naughty, <very>
elegant, fancy, <very>
elegant, elegante, <very>
elegant, elegant, <very>
elegant, classy, <very>
elegant, trendy, <very>
elegant, stylish, <very>
elegant, handsome, <very>
elegant, nice, <very>
likely, smaller, <less>
likely, slower, <less>
likely, less, <less>
likely, less, <least>
likely, foreseeable, <quite>
likely, foreseeable, <most>
likely, foreseeable, <very>
likely, doubtful, <quite>
likely, doubtful, <most>
likely, plausible, <quite>
likely, plausible, <most>
likely, improbable, <less>
likely, likely, <very>
likely, likely, <quite>
likely, likely, <less>
likely, likely, <most>
likely, likely, <highly>
likely, likely, <therefore>
likely, weaker, <less>
likely, unlikely, <quite>
likely, unlikely, <most>
likely, unlikely, <less>
likely, unlikely, <very>
likely, unlikely, <more>
likely, unlikely, <highly>
likely, probable, <quite>
likely, probable, <very>
likely, probable, <most>
likely, probable, <highly>
likely, probable, <more>
likely, susceptible, <most>
likely, insignificant, <less>
likely, least, <least>
likely, least, <less>
likely, potential, <most>
likely, arguable, <quite>
likely, probably, <most>
likely, probably, <more>
likely, conceivable, <quite>
likely, conceivable, <very>
likely, more, <more>
likely, more, <most>
likely, greater, <most>
likely, closest, <most>
likely, earlier, <more>
likely, possible, <most>
likely, most, <most>
likely, most, <more>
likely, prevalent, <most>
likely, older, <most>
likely, lesser, <less>
likely, lesser, <least>
likely, rather, <more>
rigorous, precise, <more>
rigorous, stringent, <very>
rigorous, tough, <very>
rigorous, tough, <more>
rigorous, tougher, <more>
rigorous, accurate, <more>
rigorous, stronger, <most>
rigorous, stronger, <more>
rigorous, thorough, <very>
rigorous, firmer, <more>
rigorous, strict, <very>
rigorous, strict, <more>
rigorous, rigorous, <most>
rigorous, rigorous, <very>
rigorous, rigorous, <sufficiently>
rigorous, stricter, <more>
rigorous, stricter, <most>
rigorous, sloppy, <sufficiently>
rigorous, tighter, <more>
estimated, estimated, <currently>
even, most, <more>
even, anymore, <more>
even, more, <more>
established, strengthened, <well>
established, satisfactory, <well>
established, newest, <newly>
established, secure, <well>
established, secure, <firmly>
established, substantiated, <well>
established, substantiated, <newly>
established, acquired, <well>
established, consolidated, <well>
established, consistent, <well>
established, rock-solid, <well>
established, well-developed, <well>
established, proven, <well>
established, existing, <already>
established, well-known, <well>
established, well-documented, <well>
established, perfect, <well>
established, established, <well>
established, established, <already>
established, established, <hereby>
established, established, <newly>
established, well-founded, <well>
established, longstanding, <long>
established, eligible, <well>
established, recognised, <well>
established, granted, <well>
established, vested, <well>
established, permissible, <well>
established, long, <long>
established, inadequate, <well>
established, brand-new, <newly>
established, long-standing, <long>
established, stable, <well>
established, stable, <firmly>
established, new, <newly>
established, exhaustive, <well>
established, firm, <firmly>
established, firm, <well>
established, recently, <recently>
established, complete, <well>
established, again, <newly>
established, comprehensive, <well>
established, apparent, <well>
established, prepared, <well>
established, prepared, <already>
established, pre-established, <previously>
established, statutory, <legally>
established, newer, <newly>
established, strong, <firmly>
established, immature, <well>
established, recent, <recently>
established, afresh, <newly>
established, evident, <well>
established, evident, <clearly>
established, solid, <well>
established, solid, <firmly>
established, clear, <clearly>
established, clear, <well>
established, acknowledged, <well>
established, well-established, <well>
established, well-established, <more>
established, recognized, <well>
established, admissible, <well>
established, practicable, <well>
established, mature, <well>
established, trite, <well>
established, fresh, <newly>
established, incomplete, <well>
incompatible, conflicting, <mutually>
incompatible, incompatible, <mutually>
incompatible, compatible, <mutually>
incompatible, contradictory, <mutually>
incompatible, inconsistent, <mutually>
incompatible, irreconcilable, <mutually>
ruthless, implacable, <very>
ruthless, harsh, <most>
ruthless, ruthless, <very>
ruthless, ruthless, <most>
ruthless, vicious, <most>
ruthless, brutal, <most>
ruthless, cruel, <most>
ruthless, stone-cold, <most>
ruthless, relentless, <very>
selected, precise, <specially>
selected, checked, <currently>
selected, chosen, <currently>
selected, accurate, <specially>
selected, selected, <currently>
selected, specific, <specially>
supplied, equipped, <well>
evey, sorry, <sorry ,>
evey, -sorry, <sorry ,>
resilient, resistant, <more>
resilient, stronger, <more>
resilient, tough, <so>
new, newest, <pretty>
new, elsewhere, <somewhere>
new, else, <somewhere>
new, someplace, <somewhere>
new, brand-new, <all>
new, brand-new, <totally>
new, brand-new, <very>
new, brand-new, <pretty>
new, new, <completely>
new, new, <brand>
new, new, <totally>
new, new, <very>
new, new, <entirely>
new, new, <pretty>
increasing, highest, <ever>
increasing, greater, <ever>
increasing, anymore, <ever>
increasing, ever-increasing, <ever>
increasing, ever-increasing, <constantly>
increasing, addition, <ever>
increasing, expanding, <ever>
increasing, larger, <ever>
increasing, widest, <ever>
increasing, greatest, <ever>
increasing, growing, <ever>
increasing, growing, <constantly>
increasing, increasing, <ever>
increasing, increasing, <constantly>
increasing, higher, <ever>
ever, beautiful, <as beautiful as>
ever, fantastic, <as beautiful as>
ever, earliest, <first>
ever, premier, <first>
ever, sooner, <first>
ever, wonderful, <better than>
ever, firstly, <first>
ever, lovely, <better than>
ever, first, <first>
ever, unprecedented, <first>
ever, before, <first>
admiral, sorry, <sorry ,>
admiral, sorr, <sorry ,>
evolving, ever-changing, <ever>
evolving, ever-changing, <continuously>
evolving, ever-changing, <constantly>
evolving, evolving, <ever>
evolving, evolving, <constantly>
evolving, evolving, <continuously>
richest, richest, <very>
unseemly, unseemly, <pretty>
unseemly, inappropriate, <pretty>
reported, earlier, <previously>
reported, formerly, <previously>
reported, previously, <previously>
reported, official, <officially>
reported, prior, <previously>
reported, above, <previously>
reported, formal, <officially>
reported, previous, <previously>
reported, before, <previously>
active, dynamic, <particularly>
active, dynamic, <very>
active, potent, <economically>
active, potent, <physically>
active, inactive, <economically>
active, lively, <particularly>
active, lively, <very>
active, aggressive, <very>
active, aggressive, <more>
active, positive, <very>
active, positive, <more>
active, actively, <very>
active, actively, <more>
active, actively, <fully>
active, actively, <particularly>
active, efficient, <more>
active, buoyant, <quite>
active, intensive, <very>
active, live, <economically>
active, more, <more>
active, vigorous, <particularly>
active, vigorous, <very>
active, vigorous, <more>
active, engaged, <very>
active, brisk, <particularly>
active, constructive, <very>
active, constructive, <more>
active, instrumental, <as>
active, active, <quite>
active, active, <very>
active, active, <currently>
active, active, <most>
active, active, <highly>
active, active, <fully>
active, active, <particularly>
active, active, <extremely>
active, active, <economically>
active, active, <physically>
active, active, <significantly>
active, intense, <very>
active, great, <very>
active, effective, <as>
active, vibrant, <quite>
active, vibrant, <very>
active, vibrant, <economically>
active, vibrant, <extremely>
active, enthusiastic, <very>
active, enthusiastic, <more>
active, stronger, <most>
active, ineffective, <as>
active, involved, <economically>
active, involved, <very>
active, politically, <politically>
active, proactive, <currently>
active, proactive, <very>
active, proactive, <more>
active, proactive, <economically>
active, proactive, <physically>
dry, dry, <very>
dry, dry, <too>
dry, dry, <a little>
dry, dry, <bled>
dry, drier, <very>
dry, drier, <too>
dry, drier, <bled>
dry, bone-dry, <very>
dry, bone-dry, <bled>
dry, bone-dry, <too>
elaborate, detailed, <more>
elaborate, larger, <most>
elaborate, clearer, <more>
changed, little, <little>
changed, dissimilar, <all>
changed, slight, <little>
changed, different, <all>
changed, few, <little>
changed, thin, <little>
changed, differently, <all>
superstitious, superstitious, <very>
suitable, finest, <most>
suitable, optimum, <most>
suitable, nicer, <most>
suitable, fit, <most>
suitable, convenient, <most>
suitable, desirable, <most>
suitable, fitting, <particularly>
suitable, clearer, <most>
suitable, better, <most>
suitable, better, <more>
suitable, brighter, <most>
suitable, appropriate, <more>
suitable, appropriate, <most>
suitable, mieux, <most>
suitable, proper, <most>
suitable, optimal, <most>
suitable, suitable, <most>
suitable, preferable, <more>
suitable, friendly, <more>
suitable, best, <most>
suitable, best, <more>
suitable, ideal, <most>
settled, adjusted, <all>
settled, set, <all>
settled, straight, <all>
settled, well-established, <well>
settled, unresolved, <all>
settled, well-documented, <well>
settled, alright, <all>
fantastic, insane, <so>
fantastic, beautiful, <so>
fantastic, beautiful, <just>
fantastic, fantastic, <quite>
fantastic, fantastic, <absolutely>
fantastic, fantastic, <most>
fantastic, fantastic, <really>
fantastic, fantastic, <truly>
fantastic, fantastic, <just>
fantastic, finest, <most>
fantastic, nicer, <most>
fantastic, sweet, <most>
fantastic, awesome, <quite>
fantastic, awesome, <most>
fantastic, awesome, <so>
fantastic, awesome, <really>
fantastic, awesome, <truly>
fantastic, awesome, <just>
fantastic, magnificent, <quite>
fantastic, magnificent, <so>
fantastic, magnificent, <really>
fantastic, magnificent, <just>
fantastic, breathtaking, <so>
fantastic, marvelous, <quite>
fantastic, marvelous, <really>
fantastic, marvelous, <so>
fantastic, marvelous, <just>
fantastic, fabulous, <quite>
fantastic, fabulous, <so>
fantastic, fabulous, <really>
fantastic, fabulous, <just>
fantastic, best, <most>
fantastic, better, <most>
fantastic, incredible, <quite>
fantastic, incredible, <really>
fantastic, incredible, <so>
fantastic, incredible, <truly>
fantastic, incredible, <just>
fantastic, tremendous, <most>
fantastic, tremendous, <so>
fantastic, tremendous, <really>
fantastic, tremendous, <just>
fantastic, phenomenal, <so>
fantastic, superb, <so>
fantastic, superb, <most>
fantastic, terrific, <quite>
fantastic, terrific, <really>
fantastic, terrific, <so>
fantastic, terrific, <most>
fantastic, terrific, <truly>
fantastic, terrific, <just>
fantastic, amazing, <quite>
fantastic, amazing, <most>
fantastic, wonderful, <quite>
fantastic, wonderful, <really>
fantastic, wonderful, <truly>
fantastic, wonderful, <so>
fantastic, wonderful, <most>
fantastic, wonderful, <just>
fantastic, gorgeous, <so>
fantastic, lovely, <most>
fantastic, lovely, <so>
fantastic, unbelievable, <quite>
fantastic, unbelievable, <really>
fantastic, unbelievable, <so>
fantastic, unbelievable, <just>
fantastic, spectacular, <so>
fantastic, spectacular, <just>
fantastic, staggering, <so>
fantastic, astounding, <so>
fantastic, -lncredible, <so>
fantastic, extraordinary, <most>
fantastic, extraordinary, <just>
fantastic, smokin, <most>
fantastic, super, <most>
fantastic, cool, <most>
fantastic, great, <so>
fantastic, great, <most>
fantastic, splendid, <quite>
fantastic, splendid, <really>
fantastic, splendid, <so>
fantastic, splendid, <just>
fantastic, brilliant, <quite>
fantastic, brilliant, <really>
fantastic, brilliant, <so>
fantastic, brilliant, <most>
fantastic, brilliant, <just>
fantastic, astonishing, <so>
fantastic, marvellous, <quite>
fantastic, marvellous, <really>
fantastic, marvellous, <so>
fantastic, marvellous, <just>
fantastic, stunning, <quite>
fantastic, stunning, <so>
fantastic, unreal, <so>
fantastic, neat, <most>
fantastic, exquisite, <so>
fantastic, priceless, <quite>
fantastic, priceless, <really>
fantastic, priceless, <so>
fantastic, glorious, <quite>
fantastic, glorious, <so>
fantastic, glorious, <really>
secure, insecure, <more>
secure, surer, <most>
secure, surer, <more>
secure, surer, <as>
secure, sure, <as>
secure, sure, <more>
secure, sure, <physically>
secure, secure, <most>
secure, secure, <safe ,>
secure, secure, <completely>
secure, secure, <physically>
secure, secure, <safer and more>
secure, assured, <totally>
secure, assured, <safe ,>
secure, course, <physically>
secure, safest, <most>
secure, safest, <safer and more>
secure, secured, <completely>
secure, safe, <safe ,>
secure, safe, <safer and more>
secure, precarious, <more>
secure, clearer, <most>
secure, insured, <totally>
secure, ensuring, <more>
secure, ensure, <more>
secure, surrounded, <totally>
secure, safer, <safer and more>
secure, safer, <more>
secure, safer, <most>
secure, security, <as>
secure, security, <more>
secure, impenetrable, <totally>
elaborated, clear, <further>
elaborated, stipulated, <further>
explained, clarified, <further>
explained, justified, <properly>
erected, new, <newly>
bro, bro, <little>
bro, lovely, <great ,>
bro, great, <great ,>
bro, wonderful, <great ,>
visible, flagrant, <clearly>
visible, visible, <clearly>
visible, visible, <highly>
visible, visible, <very>
visible, visible, <most>
visible, visible, <currently>
visible, visible, <readily>
visible, visible, <plainly>
visible, clearly, <clearly>
visible, distinct, <clearly>
visible, self-explanatory, <very>
visible, self-explanatory, <clearly>
visible, self-evident, <clearly>
visible, self-evident, <very>
visible, simpler, <more>
visible, legible, <clearly>
visible, legible, <plainly>
visible, apparent, <clearly>
visible, apparent, <very>
visible, apparent, <highly>
visible, apparent, <more>
visible, apparent, <readily>
visible, apparent, <plainly>
visible, notable, <clearly>
visible, clearer, <most>
visible, clearer, <more>
visible, visibility, <more>
visible, viewable, <currently>
visible, viewable, <clearly>
visible, viewable, <plainly>
visible, selfevident, <clearly>
visible, palpable, <clearly>
visible, overt, <clearly>
visible, transparent, <more>
visible, conspicuous, <currently>
visible, conspicuous, <clearly>
visible, conspicuous, <highly>
visible, conspicuous, <very>
visible, conspicuous, <plainly>
visible, prominent, <highly>
visible, prominent, <clearly>
visible, prominent, <readily>
visible, prominent, <very>
visible, discernible, <clearly>
visible, discernible, <very>
visible, discernible, <highly>
visible, discernible, <more>
visible, discernible, <readily>
visible, noticeable, <clearly>
visible, noticeable, <currently>
visible, noticeable, <very>
visible, noticeable, <highly>
visible, noticeable, <readily>
visible, noticeable, <plainly>
visible, noticeable, <more>
visible, evident, <highly>
visible, evident, <very>
visible, evident, <clearly>
visible, evident, <more>
visible, evident, <plainly>
visible, evident, <readily>
visible, plain, <clearly>
visible, clear, <clearly>
visible, clear, <very>
visible, manifest, <clearly>
visible, manifest, <very>
visible, obvious, <very>
visible, obvious, <clearly>
visible, invisible, <more>
achievable, affordable, <economically>
achievable, profitable, <economically>
achievable, economical, <economically>
achievable, sensible, <reasonably>
achievable, efficient, <economically>
achievable, cost-efficient, <economically>
achievable, possible, <reasonably>
achievable, feasible, <reasonably>
achievable, uneconomical, <economically>
achievable, cost-effectively, <economically>
achievable, lucrative, <economically>
achievable, practicable, <reasonably>
achievable, reasonable, <reasonably>
achievable, uneconomic, <economically>
achievable, cost-effective, <economically>
achievable, manageable, <reasonably>
achievable, viable, <economically>
achievable, worthwhile, <economically>
negative, bad, <very>
negative, negative, <rather>
negative, negative, <very>
negative, negative, <highly>
negative, negative, <potentially>
negative, negative, <resoundingly>
negative, terrible, <very>
negative, harmful, <highly>
negative, adverse, <very>
negative, adverse, <potentially>
negative, adverse, <highly>
negative, severe, <very>
negative, disastrous, <extremely>
