follows, missy: 0.343572179469
supported, well: 0.70762524783
interest, lousy: 0.161482689601
heartbroken, mighty: 1.12419646529
miniscule, non-discriminatory: 0.0
moving, security: 0.116263208315
refundable, sane: 1.1878020786
declared, fully: 0.998954417402
rock-hard, weakest: 0.0
confused, free-of-charge: 0.0
grown, incalculable: 0.927167512949
inestimable, opposed: -0.376442710421
clinically, terrific: 0.537063030527
badly, near: 0.623836872117
basic, infuriating: 0.95464498277
advantageous, scalable: 2.36162270431
alternate, at: 0.18455878041
clare, ill-equipped: 0.0
automatic, dirtier: -0.218636851426
intricate, invariable: 1.39435657759
okay, timely: 0.158119654536
death-proof, extra: 0.0
lively, permanent: 0.539865951759
cher, ill: 0.389189668018
oral, shipshape: 0.386806138948
exaggerated, updated: 1.13985741789
discernable, sharp: 2.21020741547
loverly, multi-threaded: 0.0
premier, referenced: -0.181070294178
lacking, lovable: 0.905635859113
emblematic, simplifying: 0.707806481751
in-flight, proprietary: 0.0
comforting, dodgy: 1.44523409353
fortunate, related: 0.172824195881
bullshit, happen: 1.17143454143
immovable, lousy: 0.747004336248
topical, well-balanced: 0.0
fella, greatest: 0.221652887622
observed, painless: 0.704990685504
provisional, violent: 0.552427105838
dynamite, modernized: 0.060892578123
-lnteresting, fluent: 0.0
complements, returned: -0.043041361864
proscribed, vocational: 0.60571958573
blow, hooked: 1.79991797072
'sgoing, nineteen: 0.0
stricter, vegas: 0.729430056361
admirable, confidential: 0.511331115796
collective, hinky: 0.735412282574
extraordinary, standard: 0.489560508273
contradictory, non-specific: 0.0
acute, orderable: 1.12687622841
gullible, unproductive: 1.75209087835
rewarding, unprofitable: 1.68412272444
influential, visible: 1.59930637155
insulted, less-favoured: 0.0
enormously, separate: -0.327467407039
nosy, regrettably: 0.61585796651
financed, rationalized: 1.62608737989
broad-based, specialized: 0.0
blank, typically: 0.518033619794
properly, unreliable: 1.31671870513
anti-constitutional, overburdened: 0.0
hardto, overweight: 0.284081914544
freest, grotesque: 1.96127171024
all, education: 0.440596342747
female, tricky: 0.324291564004
multiple, u.s.: 0.0
invisible, ridiculous: 1.87586250134
alternate, often: 0.709517081256
finite, long-term: 0.0
aesthetic, emerged: 0.221784729398
alike, effortless: 1.3778287411
asked, virtually: -0.255398858408
export-ready, prescriptive: 0.0
frozen, settled: 1.08887758557
functional, incomplete: 1.45270173184
articulated, maintained: 1.50334941099
elongated, lofty: 0.507749185409
blameless, preoccupied: 2.16477228754
endemic, insensitive: 1.73528874638
miniscule, problematical: 1.24543079134
emotive, unjustified: 1.70321041653
ambitious, twofold: 0.853829587715
changed, wicked: 0.587239444917
content, demand-driven: 0.0
shoot, vulgar: 1.10970019452
shared, snarky: 0.731640755371
capable, omnipresent: 0.953808110323
enabled, out: 0.478220820895
candid, well-lit: 0.0
hither, marvellous: 0.0
messy, pure: 1.03465265236
uncomfortable, unemployed: 0.559421888027
clear-cut, de-insured: 0
ineffective, polluting: 1.69569580809
priced, steady: 0.7308512275
lower, non-compliant: 0.0
fiercer, unimaginable: 2.00728076874
consequential, sublime: 0.563728549157
drunk, undisputed: 0.139076402699
agreed-upon, sober: 0.0
dumber, excellent: 0.423039808744
maximal, required: 1.53693513443
scarlett, stricter: 0.216200921777
overwrought, policy: 0.205857579428
moreover, unquestionable: 1.79096670947
armed, turned: 0.864354819706
simpler, uh-huh: 0.0
opportunity, scientific: 0.138677303114
frightening, glowing: 1.64355231772
momentous, unforeseeable: 2.342077168
momentous, utilized: -0.111910888611
mama, scandalous: 0.893516906771
leaner, safe: 1.07036883052
out, stale: 1.00931671782
complements, meaningless: 0.046839949208
ourselves, quiet: 0.832713953439
challenges, tighter: 1.01399940932
necessarily, striking: 0.371498561642
kind, murderous: 1.08550691466
large, participants: 0.750546365602
better-quality, incongruous: 0.0
happened, with: 0.119788040087
question, stay: 0.577475834052
burdensome, quicker: 1.49487678198
opportunity, vacant: 0.605238193445
net, overwhelmed: -0.12747803881
incorrect, laborious: 0.991797720478
inconvenient, scientific: 1.05859980429
doomed, stagnant: 1.74008935408
abused, affected: 1.41503656545
closed, structured: 0.884692229783
successful, try: 0.642601557909
commenced, uncompetitive: 0.826150386184
jack, yeah: 1.75116300019
considerable, rigght: 0.0
deserved, informal: 0.033676609898
nascent, terse: 0.27003711908
current, disparate: 0.638358414165
crafted, scarce: 0.399073903303
complements, dormant: 0.424678796217
started, surer: 0.719569398617
privileged, somewhere: 0.681492250819
insulting, timid: 2.03973820396
freak, inter-connected: 0.0
crushed, honest: 0.599982272213
e.g., therefore: 0.0
lackluster, shit: 0.174873634992
emotional, enraged: 1.77098996195
laughable, middle: 0.384309251268
handsome, rapid: 0.858766773192
consistent, secondary: 1.05169855852
careful, year: 0.486035413674
forthwith, statewide: -0.438550229434
distressing, livid: 2.95493965602
anti-constitutional, conventional: 0.0
explosive, neutral: 0.753646226524
drenched, undemocratic: 0.431850615973
affluent, strongly: 1.00232528424
down, swearing: 0.172200242194
untraceable, young: 0.522916682008
heated, honest: 0.695038691432
lastly, non-existent: 0.0
heterogeneous, naturally: 1.45291159289
hotter, insulting: 0.417193936709
relaxed, thready: 0.688266580202
already, relevant: 0.287665203321
co-funded, forthwith: 0.0
exceptional, telling: 0.369911966548
baby-sitting, threaded: 0.0
splitting, topical: 0.321881450949
technically, unreasonable: 0.850757873831
imrtant, irrelevant: 0.0
above, immoral: 0.200615706022
noisy, streamlined: 0.674080773836
east, muscovite: 1.17218415954
tasteful, win: 0.376452678171
intimidating, smokin: 0.596076427386
hey, spent: 0.3065991101
ionely, self-executing: 0
constant, unsustainable: 1.28441372024
instead, reasonnable: 0.0
loving, micro: 0.782103631089
hiv-positive, wierd: 0.0
religious, valuable: 0.068095888968
necessary, well-controlled: 0.0
firm, thrilled: 0.346457095648
anyway, scientifically: 1.20147388786
fussy, searchable: 0.57891245215
house-trained, robust: 0.0
brilliant, technology-neutral: 0.0
answerable, speaking: 2.00437662098
a-okay, scaleable: 0.0
hasty, positively: 0.430260174675
environment-friendly, formidable: 0.0
constrained, humbled: 2.05881042096
drawn-out, overridden: 0.0
matched, sombre: 0.459099871726
balanced, calming: 1.51089201993
between, proper: 0.269066476407
distinct, nosey: 0.0
other, patent: 0.335065894421
apt, incidental: 1.90806572366
fair, resolute: 0.647033497965
lenient, modernized: 1.55730995361
troubled, unprepared: 1.77826903596
effectively, retarded: 0.776244375643
doomed, nuts: 1.06081945883
minus, safeguarded: -0.025185582926
hardest, well-known: 0.0
deadly, groundless: 0.663538106217
fantastic, homosexual: 0.428816677678
twice, young: 0.323333339948
complicit, widest: 0.162392317744
nut, overburdened: -0.186687610313
cohesive, last-minute: 0.0
encouraged, equivalent: -0.428901477484
busy, well-managed: 0.0
fucked, minor: 0.240234798755
dickish, intensive: 0.244622170634
complex, demeaning: 0.734548405134
troubling, woolly: 0.823713201997
born, troublesome: 0.37757047013
holistic, otherwise: -0.308169578463
foreverything, sentient: 0.0
cost-effective, than: 0.0
deceased, distribution: -0.012249122946
friendly, invested: 0.44518129018
decisive, plenty: 0.728075517224
rehearse, world-wide: 0.0
faster, syrupy: 0.743183632745
automated, re-established: 0.0
self-explanatory, wreckable: 0
degraded, repelling: 0.999120680764
certainly, unavailable: 0.716084692794
intentional, short-sighted: 0.0
longitude, unemployed: 1.066906828
sale, unbelievable: 0.109964230219
predominantly, time-sensitive: 0.0
macabre, thus: 0.169452763803
prevailing, shocked: -0.063683483576
multi-faceted, rooted: 0.0
flame-retardant, weil: 0.0
perilous, rigorous: 1.86725889197
casual, clever: 1.76716970629
aesthetic, pervasive: 1.18588959004
casual, long-lived: 0.0
combative, pleasant: 1.76734045835
grateful, populous: 0.632637445985
shorter, wrongful: -0.451343698233
nonexistent, plentiful: 3.25201051571
advertised, doomed: 0.587351066145
clinically, weary: -0.032021995748
improbable, tasty: 1.61259395178
standing, th-that: 0.0
legibly, various: 0.244162516686
insatiable, minute: 0.486521071973
crazed, right: 0.773945796232
inclusive, numerous: -0.327161281345
pitch-dark, shortest: 0.0
absurd, populous: 0.941334168319
overworked, theoretical: 0.084165001179
autonomous, irrelevant: 1.03766371654
earliest, terrible: 0.73930175722
awesome, majeure: -0.002432204576
indefensible, unused: 1.7296268066
all-powerful, compulsory: 0.0
strong, usual: 0.622836762929
egocentric, legibly: 1.65753185084
distracting, soothing: 3.10453473677
greater, lackluster: 0.698041986623
these, tied: 0.356090828486
irritated, overwhelmed: 3.1903626696
stillborn, unconditional: 1.62888168478
nathan, regular: -0.317689629438
apologise, prodigious: 0.0
-mentioned, paranoid: 0.0
died, erroneous: 0.501609936543
doable, readyto: 0.693129414289
built, snappy: 0.552900708492
aging, indebted: 0.413048913468
intelligible, pitch-dark: 0.0
burdensome, mid-: 0.0
excited, safest: 0.401415114704
co-funding, crystal-clear: 0
course, untapped: -0.571595584214
ever-increasing, functioning: 0.0
booming, spotless: 1.66081503833
identified, unwell: 0.648100398602
expensive, temporary: 0.694491783545
handy, mainstream: 0.478701689493
burdensome, straightforward: 2.22735903737
tired, witty: 0.898870424472
repelling, shot: 0.933564789476
original, unwell: -0.197154307087
bone-dry, intense: 0.0
multi-disciplinary, pitch-black: 0
distinguishable, graver: 2.00076801686
adapted, affixed: 1.3347329151
deserted, well-reputed: 0.0
disabled, weakest: 0.175683492025
grumpy, stale: 3.16010913911
holy, horrific: 1.28318279203
ineligible, wise: 0.49356042356
ignorant, unsatisfactory: 1.8163121156
announced, invariable: -0.733316093368
smartest, unfettered: 0.672111862012
engagement, eventually: 0.106058864574
acknowledged, marvelous: 0.356526916053
cooperative, trashy: 0.074636104838
hard-pressed, touching: 0.0
attention, flame-retardant: 0.0
first-rate, formally: 0.0
overwhelming, unanimously: 1.83619916701
defunct, gorgeous: -0.14748380512
bulletproof, justiciable: 1.18723022682
delicate, far-reaching: 0.0
arranged, deadly: -0.163272977866
magic, uniformed: 0.397541585274
bulletproof, headstrong: 0.727193897319
fast-growing, potent: 0.0
afraid, sixth: 0.578064949612
inhumane, scarlett: 0.649756102888
discretionary, innumerable: 0.264998697949
flawed, newsworthy: 0.933887704427
no, restful: 0.476358250815
rough, say: 0.796755890728
foremost, relative: 0.211790629998
enhancing, sensible: 0.955704273605
shorty, stepped-up: 0.0
hon, unfathomable: 0.703002697075
dispersal, realizing: -0.24410059468
here, more: 0.72783818307
cancelled, neutral: 0.0
blatant, debate: 0.633800864582
unlimited, zesty: 0.498543677376
improper, unabated: 1.11481807617
old, underdeveloped: 0.724502438659
watchful, yeah: 0.438319278661
bigger, opened: 1.02981207579
fabulous, long-range: 0.0
agreed-upon, fertile: 0.0
faultless, hateful: 0.72042833128
death-proof, painful: 0.0
innovative, truth: 0.047937588874
heated, whole: 0.79883880648
justiciable, rescinded: 2.1833911799
middle, sweeter: -0.140755589922
all-important, elementary: 0.0
permitted, right: 0.824492492162
crafty, insolent: 2.09577954258
tense, topic: 1.45830469871
boy, pitiable: 0.699837902733
flame-retardant, superfluous: 0.0
fiine, innumerable: 0.0
urgent, well-off: 0.0
policy, twice: -0.026432892497
startling, unhappy: 1.75541613763
deceased, unhappy: 1.14893138955
self-sufficient, terse: 0.0
meaningless, question: 1.16043580819
only, surreal: 0.31713978962
issue, touchy: 3.48794883317
incalculable, positively: 1.06517893098
ideal, multi-threaded: 0.0
fairly, inside: 0.353303279374
dear, painless: 0.903561717118
a, peaceful: 0.0
completely, then: 1.20438759588
brilliant, unidentified: 0.215787479913
immaculate, stipulated: 0.781172073992
consulted, straightaway: 0.786807472
plentiful, running: 0.829567336604
strangers, temporary: 0.609950504823
flaccid, operative: 1.73280654646
premature, rewarding: 0.617456294756
exceptionally, home: -0.085756042672
standardized, two: 0.148110500964
inappropriate, trashed: 1.33825766032
dre, prohibited: -0.578109524894
third, variable: 0.584157501381
cruellest, twisted: 2.94210629412
clueless, usually: 0.979021374812
defunct, well-structured: 0.0
life-threatening, related: 0.0
flaccid, magic: 0.714131981463
fair-minded, stoned: 0.0
priced, well-educated: 0.0
insufficient, try: 0.634844805479
comforting, executable: 0.198307952322
laborious, unspecified: -0.285867715775
overkill, recently: -0.162606524088
dissimilar, included: 0.89083121114
asleep, newsworthy: 0.844039101932
competitive, grown-up: 0.0
non-toxic, occupational: 0.0
topic, worried: 0.92022306045
certain, coherent: 0.407050126297
factored, repulsive: -0.090433133742
described, momentous: 0.580220957896
classy, honored: 1.092778342
professionally, technology-neutral: 0.0
fiine, leaner: 0.0
impermissible, unsavory: 2.80520544386
cheap, well: 1.03663051075
european, large: 0.603041332672
closest, sell: -0.051142557159
automatic, exhausted: 0.543471518952
muchfor, polished: 0.0
opened, optimum: -0.41445528566
no, tom: 0.193400565549
disciplined, lamentable: 0.506471472241
mission-critical, newsworthy: 0.0
individualized, laudable: 1.07564377346
foolish, strong: 0.745361212044
distraught, public: 0.526652506802
commenced, elementary: 0.216967370623
active, well: 1.08258207462
all-embracing, longstanding: 0.0
apolitical, suddenly: 0.302705226347
expressed, working: 0.943356610108
aware, later: 0.337566654004
okey-dokey, welcoming: 0.0
frustrated, various: 0.11407391886
chickenshit, longest: 0.184417783022
stark, visibility: 0.278690566829
blended, enlarged: 0.505639472789
advanced, brillant: 0.62311884681
free, heaviest: 0.466485072822
bleak, zero: 0.35579316454
orderable, start: 0.153872098592
agile, ill-defined: 0.0
demanding, stress-related: 0.0
disturbing, variable: 0.783063618652
awful, relative: 0.622586866243
droll, hands-on: 0.0
loveable, sufficiently: 0.355493757621
demonstrated, shiny: 0.117154938788
accused, kind: 0.323854349989
gorgeous, listed: 0.291163008036
iovely, relentless: 0.0
sharper, young: 0.621696149762
incorrect, non-exhaustive: 0.0
finally, surrounded: 0.641525101195
dear, usual: 0.348332151293
educated, romantic: 0.481867350702
actively, in-progress: 0.0
clara, fiercer: 0.15494589501
consideration, fuller: 0.717669964518
high, jurisdictional: 0.416760708054
elevated, over-the-air: 0.0
affordable, determinative: 0.52804144288
pressing, prick: 0.658236687448
all, regulated: 0.413059957675
results-oriented, treaty: 0.0
heterogeneous, persistent: 1.69821968679
dependable, quickest: 2.43563012109
lonely, sultry: 2.66441747341
reasonable, uncompetitive: 1.96276992807
-lnteresting, stale: 0.0
-so, potential: 0.0
malicious, stupid: 2.31247904918
committed, time-consuming: 0.0
next, stone-cold: 0.0
valid, vibrant: 0.60852880382
one-sided, useable: 0.0
even-handed, knowledgeable: 0.0
legitimate, truthful: 2.76029582109
agreement, attention: -0.218010299647
organized, variable: -0.340497929863
freer, past: 0.355182119694
outermost, rock-solid: 0.0
desolate, foutu: 0.0
elusive, wild: 1.60570730465
flexibly, fragmented: 1.98606358621
simplest, unappy: 0.0
elegant, participants: -0.285376312872
loverly, proceed: 0.092377105429
consistent, displeased: 1.70342228257
provision, representativeness: 1.60214465521
flawless, housebroken: 1.38305019304
co-chair, predictability: 0.0
adjacent, opening: 1.40309285384
telling, well-represented: 0.0
fabulous, repulsive: 1.64033673626
delicate, vicious: 1.4880401758
foolish, redeemable: 1.07981000622
afraid, untrue: 1.99395022212
discretionary, illicit: 1.44556662829
humble, inside: 0.921297329774
defunct, indicated: -0.277594715723
justification, really: 0.529478139779
moronic, untrue: 2.47731885581
luckier, wider: 1.6255385884
adaptable, sole: 0.112843452477
compulsory, limp: 0.483290458504
graver, well-controlled: 0.0
glorious, systematic: 0.160151365089
fluid, northern: 0.145851275581
somewhat, tired: 1.17635219806
darling, praiseworthy: 0.638847194233
combative, thirds: -0.284295397901
him, troubled: 0.733910111575
dressed, third: 0.435718084237
bothersome, co-operative: 0.0
hourly, selfevident: 0.0
on-going, shoot: 0.0
faultless, sizable: 0.184337609996
buoyant, fbl: 0.0
ravishing, year: -0.084276311999
humid, self-contained: 0.0
almost, unsettled: 0.683637184259
right, weakest: 0.835883607174
integral, polluting: 0.145140589399
classified, rash: 0.108934690063
nascent, patentable: 1.08496821872
commensurate, nearby: -0.051680263022
export, worried: 0.239786907558
identified, overwhelmed: 0.321348505419
antiquated, opportune: 1.05424023784
hereby, lit: 0.319658470862
thirds, wierd: -0.199816800018
'sgoing, regrettably: 0.0
demand-driven, vulnerable: 0.0
counter, pleasurable: 0.370688344412
life-threatening, pitiable: 0.0
died, met: 2.06753927794
advisable, non-toxic: 0.0
anti-constitutional, shitty: 0.0
proceed, profitable: 1.06969283425
non-exhaustive, well-designed: 0
called, sexy: 0.42427097342
1st, co-operation: 0.0
best-known, indebted: 0.0
counter-productive, maximal: 0.0
establishment, visible: 0.449377522638
idiot, term: 0.223595936893
impatient, panicky: 4.03196612954
micro, northeastern: 1.33097600193
controlled, wise: 0.405775025086
classified, princess: 0.528626256015
elderly, faulty: 1.0396025259
admiral, secondly: 0.237170074464
timid, wholly: 1.05424537442
fair, pricey: 0.858780832783
okey, sicker: 0.632247505176
above, enriching: 0.342665511973
general, glowing: 0.178498778477
inadequate, recent: 0.913430828853
hilarious, obsolete: 0.819181965587
rubbish, unbearable: 1.90722123322
slimmer, unique: 0.283173061423
enriching, simplest: 0.697781382936
ma, successful: 0.230054392588
shortest, staggering: 1.15719543237
casual, staff: 0.527771647564
notified, receptive: 1.98145278615
disturbed, recurrent: 0.815936023272
carsick, naughty: 3.02336805195
brittle, mideast: 0.510545542883
move, policy: 1.01355171095
charming, nominal: 0.243611152077
obtainable, scaleable: 1.92699603659
consideration, shaking: -0.035819505876
announced, closest: 0.183947117913
inconsequential, question: 0.958368907294
pronounced, rapid: 1.46761672183
intelligible, jam-packed: 0.0
15-year-old, booming: 0.0
built, inconclusive: -0.832791572446
generous, welcome: 2.24477807929
jolly, nice: 2.82718395064
protracted, ready: 0.861105123384
grass-roots, squeamish: 0.0
creative, immaterial: 0.522928984991
extremely, seamless: 0.54449285331
apolitical, beautiful: 1.01106314683
demand-driven, glowing: 0.0
defective, splendid: -0.625245125147
implacable, patronizing: 1.36106511339
populated, value: 0.337141997386
overlooked, work: 0.560360454209
impeccable, wacky: 1.59857183659
house-trained, mature: 0.0
good, twisted: 0.850506287545
drier, upper: 2.33161030466
extant, thoroughly: 1.10987070736
idiotic, tasteful: 1.91032024019
find, irritable: 0.817917811641
insincere, moister: 0.88971258504
acknowledging, simpler: 0.515195638675
lonesome, spoilt: 0.0
chosen, overworked: 0.214628464367
micro, vice-chair: 0.0
darling, irrelevant: 1.60964582764
imperative, stern: 0.801406530562
chickenshit, very: 0.9018105945
comfortable, popular: 1.37514816791
security, unremarkable: -0.073266573564
costly, overlooked: 1.59553590004
alert, infallible: 1.22993141027
soft, wealthiest: -0.043205882407
abhorrent, well-defined: 0.0
contestable, marine: 1.52918490577
gratifying, grisly: 1.72575202278
obsolete, slippery: 1.37130594537
finicky, pro-active: 0.0
justified, secret: 1.07128377006
deliberate, so: 0.44602883683
aggravating, well-informed: 0.0
improper, persistent: 0.880237321064
foolish, new: 0.195146149647
a, unprotected: 0.0
early, ignored: 0.565219133147
destabilizing, shielded: 1.40921006804
handling, minimum: 0.116929146633
empowered, fbl: 0.0
case, macabre: 0.655475366837
every, supplied: 0.098774133309
issue, overheard: 0.359969755847
additionally, fifth: 0.288289625044
destructive, flexible: 0.891620977385
carsick, overdue: 0.070181450117
fierce, optional: 0.300066100633
considerate, self-sustainable: 0.0
perfect, rogue: 0.304606800077
established, inconceivable: 0.793555369134
doing, korea: 0.386199598981
ingrained, longitude: 0.24755195299
advertised, mighty: 0.244932639922
childish, toxic: 1.30552954257
disadvantaged, mighty: 0.3609830283
promptly, separate: 0.504395334162
mortal, null: 1.71336830867
doomed, well-planned: 0.0
correct, insatiable: 0.537438206455
furthest, pleasurable: 1.53320125381
damaging, inestimable: 1.36533875187
ju, redundant: 0.36538785891
dodgy, suspicious: 2.51144429498
late, unnecessary: 0.191834676351
before, whatever: 0.846625977288
insufferable, untouched: 0.283128933767
afterwards, uptight: 0.900492617535
indisposed, unpopular: 1.39389211114
incongruous, value: 0.23949935704
busier, terse: 0.800477682422
demented, unabated: 1.51008418861
foolproof, than: 0.276240934076
commendable, impenetrable: 0.936553837247
insufferable, unconventional: 0.792855754518
graceful, permitted: 0.427820846096
compact, gender-neutral: 0.0
grass-roots, intractable: 0.0
blameless, simplest: 1.21837614384
lye, masterful: 0.620725959773
burned, specialized: 0.309681787184
lethal, uncontroversial: 1.23759925386
founded, topic: 0.038640270147
handicapped, sedentary: 2.36096581027
manifold, novel: 0.733884635316
long-term, well-filled: 0
by, elevated: -0.023653432345
10, inoffensive: 0.0
dirty, turned: 0.792534711105
milder, refusal: -0.004530444009
deprived, steadfast: 0.722980938851
mere, north-east: 0.0
diligent, sorr: 0.0
inadmissible, saved: 0.672910830804
statewide, wounded: 0.339819238345
fast, indian: 0.77322718055
profitability, with: -0.262572864757
deeper, leading: 0.83095160843
comprehend, softer: -0.381479270289
automatic, derisory: 1.41247076439
sad, unjustified: 1.70252581253
industrialised, lit: 0.0
definitive, paramount: 1.09201266508
america, black: 2.04516265314
distasteful, lightweight: 0.440632694261
precise, revealing: 1.5570811554
elsewhere, laddie: -0.080012116387
consequential, untraceable: 0.679612009985
humane, rational: 3.71208970289
broad, poisonous: 0.660674596317
upbeat, yesterday: 1.42845430482
jumpy, sadly: 0.797750226602
co-ordinated, flush: 0.0
ideal, skint: 0.865942874341
ideally, information: 0.526306590731
apart, italian: 0.782571363715
redundant, vulgar: 1.26344317004
disastrous, mission-critical: 0.0
disabled, masterful: 0.074144374213
social, unprofessional: 0.509997499046
between, ugly: 1.42063681587
environment-friendly, trashed: 0.0
interdependent, sharp: 0.107896132359
any, unable: 1.18273276905
guilty, sustained: 0.511217859475
demeaning, increased: -0.040560293045
opposite, wierd: 1.42277671783
alright, gaunt: 1.27201402365
handy, liable: 0.460999020145
compliant, important: 0.903119838676
elevated, immeasurable: 1.18669961976
harmful, startled: 0.625605574154
possibly, proven: 0.648217823295
across-the-board, comercial: 0.0
practical, teeny: 0.779623766487
bad-looking, horrible: 0.0
inspirational, judicious: 0.872055016248
pluralistic, staff: -0.292859571129
abused, insufficient: 1.70461238213
analogous, clearest: 2.07144133716
clarify, retarded: 0.377187484092
bone-dry, eastern: 0.0
euphoric, to: 0.0
combative, rough: 2.30003845897
crystal-clear, sixth: 0.0
by, fantastic: 0.075796711109
by, richest: 0.306202889011
tacky, well-defined: 0.0
anomalous, peripheral: 1.85344132489
enlightening, unpredictable: 1.55209672968
acceptable, grave: 1.2036899009
common, fatter: 0.511385599555
rooted, well-organized: 0.0
final, mightier: 0.140533337475
good-iooking, presented: 0.0
already, better-quality: 0.0
bad, tardy: 2.24479194131
corrigendum, critical: 0.380028078751
dramatic, worthless: -0.022463202637
interdisciplinary, unachievable: 0.868103487786
built-in, required: 0.0
equally, fantastic: 0.937104727891
sounder, upfront: 0.679824635932
changing, viewable: 0.767013270506
life-long, organic: 0.0
follows, freak: 0.409758533348
celebrities, sharp: 0.062410178777
do-able, troublesome: 0.0
dull, fake: 1.41069501577
cheesy, organised: 0.0
collective, deplorable: 1.21249266256
honoured, lastly: 0.0
mentioned, self-sufficient: 0.0
quicker, self-evident: 0.0
complicit, trashed: 1.04184137193
corrupt, spontaneous: 0.827988957308
accelerating, touching: 0.799162536892
stoned, well-filled: 0.0
ample, violated: 1.23435788303
latter, substantial: 0.791006016452
unofficial, wack: 1.02913804634
evident, glad: 0.751609397021
undamaged, unlawful: 0.679102520149
intended, organised: 0.0
generated, static: 1.95415861987
damp, impatient: 1.12355018868
newest, tasty: 1.31579132757
respected, unfriendly: 1.00046423903
bleak, for: 0.491492747054
audience, committed: 0.00180977377
friendly, tentative: 1.3463586501
famous, worthwhile: 0.704714772646
poorest, sublime: 1.05250956575
ravishing, unspecified: -0.296205334045
infallible, term: 0.758256098355
absolutely, diversified: -0.576046752925
expedited, reasonably: 0.958340101042
baseless, freezing: 0.400469094701
dynamite, suck: 1.3186778572
disorientated, steady: 0.490498166845
grimmer, overt: 1.64685032188
fuzzy, rock-hard: 0.0
interlinked, proud: 0.631319329966
huh, pro-poor: 0.0
foolish, tardy: 1.44565290205
indian, recognizing: 0.542068500792
analogous, obscene: 1.74784772002
tell, viable: 0.23105115811
delightful, fresh: 1.38019288799
elementary, obscene: 1.09826333445
conclusive, snappy: 0.986337041891
3rd, difficult: -0.021511075148
additional, pilot-tested: 0.0
definitive, hence: 0.74475798973
arranged, underdeveloped: 0.271661623115
inconsiderable, muchfor: 0.0
genuine, sing: 0.717655424218
emerging, like: 0.694136411831
eager, lamentable: 0.889746879092
-surprised, max: 0.0
exact, moody: 0.489240987255
bizarre, fat: 0.151464264613
false, surely: 0.136755764096
participants, wish: 0.444143295935
stumpy, traditional: 0.564612569469
biased, content: 1.53358307795
heavy-handed, practically: 0.0
discreet, sticky: 1.32109338214
hostile, well-defined: 0.0
enormously, unanimously: 0.199967223957
hurt, wholesome: 0.816518124862
compact, sombre: 0.407675392432
luckier, unjustifiable: -0.549400632496
surreal, well-known: 0.0
finicky, selfevident: 0.0
actionable, spoilt: 0.0
continuous, welcoming: 0.104546592085
adjacent, emerged: 0.285519730029
miniscule, representativeness: 1.7455643769
flawless, multi-threaded: 0.0
grisly, pivotal: 1.61443213842
global, smaller: 0.680023425238
bloodied, purty: 1.16000791132
likable, recent: -0.021200470475
constituted, subtler: -0.146471771126
extraneous, nasty: 1.36262802806
commensurate, weirder: 0.5940112962
back, marginal: 0.750886136463
confused, happier: 1.86067127802
cancelled, really: 0.0
adorable, high-quality: 0.0
losin, others: -0.25303184294
distraught, multiple: 0.483623402158
publicly, widest: 0.593820706439
