long-lived, reaily: 0
aggravating, detailed: 0.606327391246
performed, sovereign: 0.41708970431
handsome, pronounced: 0.998642457313
crucial, rad: 0.220761220911
chickenshit, startling: 0.423065323917
equally, running: 0.459396865357
dedicated, momentary: -0.208281521895
global, timid: 0.172696723742
announced, wonderfui: 0.0
psychotic, satisfactory: 0.658759175393
accountability, suspicious: 0.843304465157
elsewhere, volatile: 0.947860129208
effectively, smallest: 0.199129695816
hotter, tailored: 0.034240251713
exclusive, rescinded: 0.676449280723
divided, him: -0.496246471627
aligned, motherfucker: 0.074458509499
mere, sedentary: 1.44228038493
radiant, well-treated: 0.0
far-ranging, iate: 0
necessary, pushy: 0.470678763228
cultural, great: 1.44196970353
on-going, them: 0.0
holier, shielded: 1.00168827227
ignored, lucid: 1.20095895131
little, mentioned: 0.328416385569
co-ordinated, reality: 0.0
broken, frazzled: 0.888161299482
dysfunctional, egocentric: 3.54862550447
stoned, victorious: 1.22683340159
extra, groovy: 0.504375920299
intimidating, judicious: 0.675226365759
parched, smug: 2.22503455043
commendable, inside: 0.127104971287
malignant, released: 0.17170738028
application, combative: -0.217042532663
dumber, extremely: -0.022250853284
acquainted, baby-sitting: 0.0
rather, unnerving: 0.833564608309
spontaneous, unseen: 1.38043894651
effective, hiv-positive: 0.0
north, respendable: 0.0
unsuccessful, worried: 0.575624879099
okey, unworkable: 0.273642641498
mixed, saying: 0.312145480843
firm, simple: 0.451362201926
bothersome, ignored: 1.50307160706
course, existing: 0.158831014903
demonstrated, symbolic: 0.997734271221
bonnie, worthy: 0.82860321298
mad, reimbursable: 0.046040822297
most, vice-president: 0.0
uncommon, well-founded: 0.0
overwrought, per: 0.051115972791
determinant, non-toxic: 0.0
contentious, dainty: 0.320460434701
designed, quicker: 0.820131328811
east, incredible: 0.202681398682
okey-dokey, unsure: 0.0
predominant, snappy: 0.43137564396
possibly, pursuant: -0.125363933617
deserved, way: 0.931413663908
demented, horseshit: 2.64421140691
alien, integral: 1.63269656516
better, ravishing: 0.185276682737
iucky, newer: 0.0
cold, globalization: 0.662469898305
amended, scarlett: 0.416154891243
called, steep: 0.051326814184
flaccid, house-trained: 0.0
non-compliant, work: 0.0
rarest, wrongful: 0.659737680751
bravest, distinguished: 2.29986348837
atrocious, removed: 0.602911083819
impeccable, incalculable: 1.96384295048
appreciated, infrequent: 1.0022627316
flat, quoted: 0.452350122162
rational, very: 0.984271277126
focussed, usual: 1.26932901323
antsy, sticky: 2.01548470925
ideally, settled: 0.478238663114
briiliant, large-scale: 0
heinous, inquisitive: 1.40827027968
reported, thank: 0.297411018143
compliant, loco: 1.16646963344
compliant, kinda: 0.199861113047
first, scarcer: 0.321748295366
ma, well-written: 0.0
competent, untouched: 0.4871904211
dynamite, over-ambitious: 0.0
quickly, soft: 0.88400467958
executory, untapped: 0.679155619645
restricted, smart: 0.239375329841
co-chair, lesser: 0.0
determinant, troublesome: 1.51532221408
corresponding, re-established: 0.0
aesthetic, idle: -0.037145919814
described, illusory: 0.456737417384
actionable, vain: -0.404695640132
determinable, plenty: -0.331151769718
accelerating, discriminate: 0.280122214439
extremely, kid: 1.31239336874
accelerating, null: 0.438762822275
foreseeable, repayable: 2.0212937548
derisory, met: 0.553884639238
emerged, twelve: 0.465284019511
executory, irresponsible: 1.25923264844
fourteen, unfit: 0.681053059595
fall, unspoiled: -0.416281851163
per, rampant: 0.076150574639
cleared, colder: 0.579117704757
-so, constructed: 0.0
lucrative, stocky: 0.5405004026
happen, panicked: 1.45786063437
calming, modest: 1.280749779
listed, ruthless: -0.098357834065
actually, classified: 0.737788131221
carsick, too: 1.82486148793
material, profane: 1.62402267484
heeded, today: 0.627676870994
topical, warmth: 1.10652709571
co-operation, functioning: 0.0
anticipated, unpleasant: 1.34422471045
braver, groundless: 0.299008373169
unhelpful, weak: 2.34659917562
cynical, unpleasant: 2.3372379243
simplest, trusted: 1.7478666018
completed, stimulating: 0.057355984671
adopted, crafted: 2.10497988774
deficient, inter-linked: 0.0
approved, endearing: -0.307061167371
coarser, progress: -0.049556529447
classy, powerless: 0.649731932916
absent-minded, silent: 0.0
ineffective, ultra-hazardous: 0.0
but, induced: 0.319642287393
eligible, minimum: 2.94052434302
lovely, rare: 1.74609706347
cranky, safe: 0.736048920082
bad-ass, convinced: 0.0
limber, use: 0.647983518605
cooperative, house-trained: 0.0
recurring, sounder: 0.321789127159
awake, friendlier: -0.230199947209
-me, hurry: 0.0
cleaner, immovable: -0.535079229048
hotter, impoverished: -0.2569596347
groundless, savage: 0.428863396311
now, opening: 0.100935581545
disabled, disclosed: 0.074501798952
inherent, upper: 0.236890347373
displeased, legality: 1.05284392575
described, formal: 0.077323373476
anticipated, loverly: 0.087852746163
captain, hiv-positive: 0.0
live, smart: 0.184684782595
horrifying, perilous: 3.13166195575
needed, technical: 1.04279243789
creation, prohibitive: -0.164574142142
ended, hunger: 0.745300897444
acceptable, homesick: 0.77608987282
discreet, multi-disciplinary: 0.0
perpetual, profitable: 0.371160770825
shallow, slimmer: 0.884152128725
meaningless, painless: 2.29264137545
executable, salutary: 1.46180958278
newer, overwhelmed: 0.410955090835
today, wise: 0.299822807901
mistreated, ugly: 1.24275602189
overly-high, sizable: 0.0
energy-efficient, inadequate: 0.0
her, valid: 0.216798698178
humiliated, school: 0.810651803607
dopey, stable: 0.628488340595
pointless, trusted: -0.262559338162
arranged, worthwhile: 0.241116581853
insignificant, lovely: 0.816103653284
micro, shoot: 0.296036761796
dark, rock-hard: 0.0
brightest, in-progress: 0.0
anti-constitutional, ended: 0.0
ripe, unique: 1.07965504644
pure, wrecked: 0.348437018396
liberated, us: 0.717214144569
continuous, fun-loving: 0.0
challenged, majeure: 0.108603399044
remarkable, transitory: 1.10926737975
screened, well-respected: 0.0
america, rationalized: 0.971449597883
exposed, protected: 2.94169801624
disputable, predictable: 1.50867340515
debate, personally: 0.172971415752
daunting, salient: 1.65158507676
infamous, prodigious: 1.50731535037
busier, irate: 1.38044430999
greener, near: 0.435783002995
short-sighted, wrecked: 0.0
completed, significant: 0.979032397335
annually, imperfect: 0.306658745927
mid-sized, several: 0.0
nobler, per: 0.086244099947
by-election, swearing: 0.0
dope, traffic: 0.943879239733
inactive, missing: 3.24143296834
altered, labour-intensive: 0.0
distinguished, distribution: -0.174674119004
establishment, for: 0.342905335131
freaky, standardized: -0.079504400742
clearer, prescribed: 0.93724281395
fortunate, thin: 1.4597512318
delighted, jealous: 1.90718158212
comfy, full: 1.10601385509
dangerous, ghastly: 2.02315447454
understood, unfavourable: 0.0
again, north-east: 0.0
impeccable, readable: 1.89156421004
inalienable, mere: 0.561428169016
a, iucky: 0
goal, proven: 0.471082616986
apparent, nothing: 0.325142073838
discriminatory, diverse: 2.04172886504
fiercer, self-conscious: 0.0
clare, lame: 0.973802868644
brittle, inconspicuous: 1.6472910517
friendly, intertwined: 0.522586508604
accountable, psycho: 0.477197242161
corny, regulated: 0.477710263321
security, stagnant: 0.079679012139
appealing, batty: 1.86801686944
complicated, wealthiest: 0.780292192104
impaired, probable: 1.522103324
pertinent, treble: -0.048833158598
divided, question: 1.94587019734
durable, variable: 1.2218791725
attainable, intentional: 1.07704747946
miniscule, renowned: 0.218858705387
horrific, widespread: 1.31897101218
15-year-old, geek: 0.0
topical, unsure: -0.181289787543
permanently, refined: 0.570878837283
liable, specify: 3.28424246605
griet, presentable: 0.0
deep-rooted, insufferable: 0.0
discussion, principale: -0.049905119101
good-looking, heterogeneous: 0.0
hearty, sooner: 0.249226223624
fertile, high: 0.534870701548
fulfilled, suited: 1.59404874268
coarser, typical: 1.75647357841
harsh, palatable: 1.92589687478
useful, utopian: 1.1159901008
active, tenuous: 0.931987191546
acknowledging, smaller: 0.440637605222
gonna, identifiable: 0.204561627389
extirpated, upbeat: -1.07997805427
admissible, hot: -0.161312924393
off, optional: 1.07982317405
present, sloppy: 0.068648238111
additionally, persistent: 0.659298175735
compared, fruitless: 0.18132190553
limber, total: -0.586365059445
friendlier, secured: -0.399050071805
alia, female: 0.122340014226
compared, trusted: 0.288707493567
erected, promptly: -0.461705056407
repeating, revised: 1.1281434853
blank, rusty: 1.59859877343
giddy, wholesome: 2.05340968133
incapable, stepped-up: 0.0
controversial, sell: 0.68531097283
impractical, meritorious: 2.32500062573
charged, twelve: -0.091666754111
poorest, vice-chairmen: 0.0
long-range, wacky: 0.0
actual, homesick: -0.810603108688
justifiable, wise: 1.38090850589
alternate, recheck: 1.27903425082
darn, fundamental: 0.678967434504
ill-equipped, unavoidable: 0.0
mostly, served: 0.30463478002
marty, opening: -0.17983488384
technically, younger: 0.538261162837
just, overweight: 0.471339002787
creepy, deadly: 1.54703291798
confrontational, dotty: 1.61895162381
elle, muted: 0.137236519748
extinct, statutory: 0.415812952808
cost-efficient, shipshape: 0.0
pre-published, vocational: 0.0
automated, sovereign: 0.717957840092
explosive, fearless: 1.66756290671
fewer, probable: 1.12535568501
breathtaking, pleasurable: 2.71088937376
gracious, well-suited: 0.0
gloomy, north-west: 0.0
particular, queer: 0.738247047161
goal-oriented, unprofessional: 0.0
any, thanan: 0.0
proper, sincerely: 1.23647139869
personally, supplied: 0.125824251687
definite, felt: 1.08218334229
maximal, patient: 2.17289707293
doin, identical: 0.229191488721
irritated, prettier: 1.62939499153
inside, spicy: 0.844880139061
exactly, unprejudiced: 0.656530001324
meagre, weighted: 0.0
insubstantial, liberated: 1.01870330886
manifold, to: 0.0
earliest, praiseworthy: 0.582176551942
appreciated, geographical: 0.892020134252
enough, unofficial: 0.091614768681
interdependent, southeastern: 0.75888858588
initial, unscathed: 0.464305614878
endemic, pertinent: 1.37463318144
divergent, dreamy: 1.51686408702
coherent, meaner: 1.90029034915
inoperable, lighter: 0.508126550577
consultation, disrespectful: 1.69744588931
determinant, incomprehensible: 0.197677812688
blurry, braver: 1.78035931769
corrigendum, legitimate: 0.560782953439
adverse, systemic: 2.80221039705
cleaner, integral: 0.501473732689
lye, meticulous: 0.822055269659
noted, sold: 0.740262286495
equally, instable: 0.586727085261
discriminate, senior: 0.100575508692
blank, unspecified: 0.930611333197
diligent, overambitious: 0.691740335528
hopeful, steep: 0.681062724326
embarrassing, laudable: 1.87323543624
old-timer, practically: 0.0
nearest, sunnier: 1.02935201802
severely, troublesome: 1.35874968238
bitter, prepped: 0.244100331208
twisted, unabated: 0.896255577891
burned, permitted: 0.949603012039
two, unrestricted: 0.091012189492
simplest, slow: 0.962947614905
intelligible, ruined: -0.429976818797
bravest, hip: 0.161577620912
relieved, repugnant: 1.53516624689
progressive, slower: 0.498162361653
cross, over-optimistic: 0.0
cohesive, disagreeable: 1.8232696228
brisk, sharp: 2.63379942397
overkill, skinny: 1.38878069041
virtuous, well-maintained: 0.0
iegitimate, seriously: 0.0
immediately, unmistakable: 1.44448112286
provided, staggering: 0.148074756706
groundless, interdependent: 1.65200384238
glamorous, moderate: 0.094358417623
clare, stricter: -0.162453797671
functioning, multifocal: 0.422426058733
course, dressed: 0.452424274703
good, rarer: 1.02575465737
interested, tangible: 1.21779913702
indispensable, unsavory: 1.14951955399
degrading, why: 0.30406783543
medium, self-reliant: 0.0
bothersome, significantly: 1.1309337781
longer-term, stopped: 0.0
again, groovy: 0.209157446834
built-in, pristine: 0.0
annulled, insensitive: 0.058025086512
all, only: 0.949529138807
lovelier, rotten: 2.12096701118
fortunate, phony: -0.46388724704
outstanding, promptly: 0.801391515518
calculated, meticulous: 1.69883694163
autonomous, worldwide: 0.114241295924
desolate, doin: 1.4830117122
helpless, released: -0.576794734155
inherent, legality: 2.18152920772
dim, flattered: 1.76319979047
gentle, prestigious: 0.08525907718
enabled, slow: 0.588120789605
mindful, supplied: 0.209885617733
directly, in: 0.459232692542
requests, unimpressive: 0.446174905915
physically, reliable: 0.874294375931
ever-increasing, warm: 0.0
concrete, operated: -0.176335473616
humane, unresolved: 0.422294350267
peculiar, transitory: 2.54168392537
folks, info: 2.26945552494
requested, smart: -0.040181630841
authorized, transient: -0.304099172989
noted, rational: 0.570699997524
being, self-supporting: 0.0
resistant, self-sustaining: 0.0
shitty, similar: 0.666213407284
ancient, succinct: 0.254347573398
pending, preferred: 0.640836257597
african, superfluous: 1.01845359017
freer, opposed: 1.06954221575
renowned, too: -0.321720185242
reckless, superficial: 1.90091732921
emblematic, shielded: 1.12337914974
terrible, voluntary: 0.364908457181
inconspicuous, inhumane: 0.988439332141
pitch-dark, striking: 0.0
interdependent, widest: 0.382679639213
her, suspect: 0.948855923613
insensitive, two-thirds: 0.0
anymore, unsolved: 0.543442387634
apposite, brilliant: 2.26565383367
kinda, well-off: 0.0
consulted, unnerving: 0.077811326551
free-standing, unrealistic: 0.0
executed, freely: 0.367269556941
generic, precious: -0.067269531392
pathway, soon: 0.425430865874
harmonised, self-governing: 0
phony, variable: 0.233171771422
cultural, hurting: 0.13640490776
assertive, referenced: -0.587636165071
clearer, embarrassing: 0.797257812483
easier, vis-: 0.0
apologise, perfectly: 0.0
identified, published: 2.21156971108
exactly, suspect: 0.894282726905
dirtier, unpublished: 0.428743547866
ashamed, average: 0.60875924395
advanced, co-operation: 0.0
positively, well: 1.15668948676
built, managed: 1.4112935736
controlled, overjoyed: 0.184794391869
bare, first-rate: 0.0
fascinating, industrialised: 0.0
aggravating, famous: 0.247579129627
at, dickish: 0.033972582437
morbid, specified: 0.630138208368
liked, rock-solid: 0.0
fun-loving, one-sidedly: 0
judicious, unanswered: 0.831270884391
injurious, recommendable: 2.59611224659
ludicrous, sharp: 0.406431328496
palpable, stumpy: 0.534078620253
common, value: 1.17585823677
admirable, prepped: 0.428379308117
firstly, lit: -0.234896618706
formerly, way: -0.030702857354
enhancement, unprecedented: 1.22511226962
helpless, unforeseen: 0.954940894932
stupid-looking, thirsty: 0.0
recommendable, under-funded: 0.0
funnier, healthy: 0.777919192023
interesting, only: 0.565134270018
non-exclusive, undignified: 0.0
restless, undeveloped: 1.45802487745
discreet, usually: 1.29587883782
elegant, expressly: 0.855749133041
further, most: 0.086920011053
complex, specific: 1.31067175742
linked, rigid: 0.524179690688
old-timer, wonderfui: 0
forthwith, mad: 0.720846225556
patient, several: 0.307606439273
creative, establishment: -0.007181558756
faint, stern: 1.60749558081
petrified, sorr: 0.0
momentous, th-that: 0.0
feasible, fitting: 1.62208059389
affirmative, tremendous: 0.792052977084
latest, mistaken: 0.288517607653
gross, unfeasible: 1.02995316327
multicultural, tense: 1.26780433306
grotesque, snotty: 2.16861320364
deceased, ungrounded: 0.442661570722
bizarre, expandable: 0.504867893522
illogical, placed: 0.443187223646
receivable, rogue: 0.789818263629
informative, material: 1.43913729783
contradictory, tolerated: 0.754976997889
juvenile, underway: 0.719728838409
risky, temporarily: 1.01823018599
