all-important, low-skilled: 0
confidential, richest: 1.22046884118
happy, part: 0.715382620042
prosperous, removed: 0.175512718778
on, yet: 0.447001928216
focussed, thin: 0.96734318802
thirsty, together: -0.386665581452
moderate, viewable: 0.571425592575
endangered, medium-sized: 0.0
administered, on-going: 0.0
intermediate, unpleasant: 0.190056654284
panicky, submitted: 0.291212925376
certain, egocentric: 0.888863863399
shortest, speedier: 2.26962924505
afterwards, expandable: 0.095889675178
seamless, unchangeable: 0.422579475055
commensurate, west: -0.216375729423
convinced, non-self-executing: 0.0
extant, self-financing: 0.0
curious, principally: 0.629752908262
biased, noteworthy: 0.968736866734
sadder, unconvincing: 1.85796879041
alike, entirely: 0.893213983584
conclusive, sal: 0.654029587424
highest, polluting: 0.129704514596
negligent, unaware: 2.54501290077
lesser, subtler: 2.80528553567
concerted, exaggerated: 0.909311452002
heterosexual, traumatic: 2.52057732941
opportunity, scalable: 0.777576611997
altered, relaxing: 1.06057022796
part, purty: -0.106919802256
elite, extreme: 1.05328036225
arranged, outermost: 0.242511262908
constructed, luke: -0.135272785057
faulty, long-term: 0.0
gaunt, proportional: -0.978415341301
clueless, customary: 0.33485168065
fun, operational: 0.130478927735
essential, giant: 0.210112815415
blind, looser: 0.026522273008
asking, deliberately: 0.599172763447
fearless, senseless: 1.81956662161
exaggerated, freak: 1.85101034904
noted, undisturbed: 0.734995733294
acquired, state-funded: 0.0
counterfeit, striking: 0.199838435671
heard, timid: 0.97882901844
even, understand: 0.996508615259
donkey, weakest: 0.335090014551
prime, well-suited: 0.0
flashing, unhappy: 0.264700873157
reasonably, selfevident: 0.0
doubled, unpopular: 0.260355105462
juvenile, offensive: 0.078429882676
insufficient, standardized: 1.44992899246
almighty, obsolete: 0.793510557241
panicky, still: 0.403518522639
constructive, tenuous: 0.999919034998
acquainted, understood: 2.3261012695
deeper, preferential: 0.3709451584
cinematography, queer: 2.18697980548
conceivable, medium: 0.691145574982
multi-ethnic, transparent: 0.0
innovative, intriguing: 1.97074517346
set, something: 0.541344394691
motherfucker, nigh: 2.20918507256
bad-looking, practically: 0.0
pertinent, spicy: 0.666582282998
bulletproof, long-lasting: 0.0
authorised, multidimensional: 0.0
freezing, transparency: 0.656768650023
illegal, well-coordinated: 0.0
stressful, this: 0.656096288249
admiral, quality: 0.217781417973
accelerated, stimulating: 1.5721236208
ill, released: 0.399173610293
modernized, terminated: 0.895040571149
korean, original: 0.47955724938
broke, determinable: -0.896611747332
environment-friendly, persuasive: 0.0
scientifically, supported: 1.12622745133
moronic, strict: 0.850679319629
marine, slippery: 0.52944254564
beautiful, elaborate: 1.21205242704
hard, specifically: 0.420454954103
broad, widening: 2.58208447292
definitive, furious: 0.358543744902
afraid, dense: 0.646351432679
demented, frantic: 2.36490791817
legally, managed: 0.368446319969
conducive, recognising: 0.0
seamless, shortly: 0.38327537799
complicated, particular: 0.903063886004
honorable, insatiable: 1.36639029367
lucky, patience: 1.6088235823
attractive, whar: 0.0
american, non-binding: 0.0
apparent, gender-neutral: 0.0
casual, specifically: 0.944735808695
braver, naturalistic: 1.79411131727
carmela, stout: 0.0
brain-dead, co-operative: 0
cost-effective, etc: 0.0
additionally, although: 0.678281861179
permanent, proscribed: 0.918250859427
racked, responsible: 0.788120855654
acceded, ephemeral: 0.772046634366
lucrative, so-called: 0.0
medium, smart: 0.502360808364
selective, wild: 0.919564900537
claire, wrongful: 0.529235748454
home, idiotic: -0.069324506778
free-of-charge, pricey: 0.0
intended, primarily: 1.46105747507
creepy, undemocratic: 1.87635775794
pro-choice, unforeseen: 0.0
inviolable, stay: 0.552133352064
firstly, government-owned: 0.0
fifth, standing: 0.349131835018
approved, indigent: 1.02714783608
accuracy, inaccurate: 4.36057357187
bi-directional, suspect: 0.0
abolished, inhumane: 2.5313919679
funky, get: 0.932899233174
homicidal, pragmatic: 1.62973431483
thicker, yeah: 1.70579682753
grisly, targeted: 0.34503337566
burned, youth: 0.454327873223
encouraging, prepped: 0.090722910513
agreement, sincere: 1.36906678544
noble, treble: 0.48307595081
equivalent, lamentable: 0.811641065482
adaptable, undemocratic: 1.50894194666
immoral, rigght: 0.0
extremely, random: 0.314347204857
this, turbulent: 0.588343493699
defined, skilful: 0.16309287186
ongoing, unpublished: 1.03403853861
ill-defined, livid: 0.0
striking, thank: -0.318330000731
humane, precise: 1.71232842279
johnny, zesty: 0.92358772353
above-mentioned, captain: 0.0
emerging, internationaux: 0.161738609712
rarest, wide-ranging: 0.0
accessed, correct: 0.622067404095
dying, partially: 0.121241155177
awesome, encouraging: 1.32511036221
lovelier, wealthiest: 1.29487295152
exemplary, private: 0.762932393007
agreement, outrageous: -0.124917144652
ensure, liable: 1.18178311675
attended, fair-minded: 0.0
endearing, memorable: 3.7801742065
definite, il: 0.326220140579
hasty, unanswered: 0.805680534388
tenacious, unsuitable: -0.188477271023
fantastic, only: 0.839040860483
freely, kind: 0.652505233537
embedded, impressed: 0.108126847803
at, thicker: 0.107793515936
specialised, yourself: 0.0
ridiculous, unfeasible: 3.37438739202
hard, static: 0.33283478125
predictability, unknown: 0.528612721788
disoriented, humbled: 3.04144612303
pronounced, sharper: 1.37869316629
faultless, over: 0.325340564092
happy, labour-intensive: 0.0
self-governed, well-filled: 0
internal, released: 0.794035151664
able, yearly: 0.474530686939
tense, term: 0.410923599155
accelerating, iil: 0.0
democratically, myself: 1.46664879523
horny, unbelievable: 0.991904774516
environmentally-friendly, neutral: 0.0
bummed, displeased: 3.9374059553
functioning, today: 0.382176926273
accustomed, task-oriented: 0.0
low-skilled, non-specific: 0
awesome, illusory: 1.11123251614
liberal, yo: 0.275691625911
diversified, worse: 0.362036656089
ironic, secure: 0.426884006075
started, steeper: 0.547219566115
cordial, repeated: 1.19308897924
damaged, terrible: 0.909236273246
casual, unwelcome: 1.0534217546
depraved, horny: 3.45967907952
audacious, counter-productive: 0.0
expressly, regardless: 1.56082017729
understanding, wide-ranging: 0.0
housebroken, still: 1.07606598115
fantastic, impressive: 3.80130391202
clearly, indigent: 0.147326462201
iittle, inestimable: 0.0
rock-hard, unacceptable: 0.0
heated, interminable: 2.22296667949
but, well-trained: 0.0
gratuitous, soft: 1.03594312485
patentable, readable: 3.25275882378
heard, particularly: 0.620895940737
conservative, informed: 0.713810236053
dreadful, know: 0.670032472686
executable, nominal: 1.47467499898
gonna, pragmatic: -0.070149930241
determinant, expanding: 0.987561110448
announced, doctor: -0.778695806262
intelligent, thought-out: 0.0
disproportionate, withdrawn: 1.62627796194
noble, unhealthy: 1.14655839184
improbable, undetectable: 2.38167594812
focussed, premature: 1.04001849931
defunct, improvement: -0.216086196424
humane, obligatory: 0.95047378538
right-, stuffed: 0.0
adaptable, effectively: 1.07756249792
alarming, speedy: 0.586191956731
sparse, unimpressive: 3.37252185581
evil, non-self-executing: 0.0
distributed, syrupy: 0.401926913801
glowing, nascent: 0.758570780449
excited, stand-alone: 0.0
earliest, shut: 0.55400026642
self-employed, targeted: 0.0
brief, meritorious: 1.06679236579
interested, pushy: 1.5104932972
indisputable, occupied: 0.364439380079
admissible, ago: -0.487148261738
industrialised, sponsored: 0.0
absent, sale: -0.30603495515
considerate, unstable: 1.38732789646
clean, yet: 0.711920898668
bonnie, launching: 0.031707131734
gratuitous, retail: -0.151316518926
flattered, forgotten: 1.74224975107
consultation, touchy: 1.11004044123
amiss, marginal: 0.884365836808
saying, sure: 1.55958758841
ordinary, weird: 1.20289221241
fortunate, ridiculus: 0.442809867983
familiar, risky: 1.60894919573
several, sicker: -0.070718517401
fertile, stand-alone: 0.0
adjusted, sicker: 1.54834624403
pale, tangible: 1.09711843473
impossible, indisposed: 1.61123192672
elected, lightweight: -0.30648196576
dubious, manufactured: 0.384096262627
adorable, patent: 0.597191539696
pushy, visibility: 1.31819168759
intense, observant: 1.27616089854
amazing, documented: 1.3428795041
smug, sustained: -0.288643448153
absent-minded, strong: 0.0
aforesaid, dreamy: 0.761696950522
dysfunctional, finally: 0.81284285442
found, gonna: 0.099734837304
confrontational, unworkable: 2.11777076003
assertive, enough: 0.633570845594
constituted, credible: 1.27487422605
blessed, combative: 0.447784034852
listed, rusty: 0.296255854024
educational, strictest: 0.258574318207
southeastern, unused: 0.794538866822
clear, forever: 0.562006866372
sore, systemic: 0.782542031777
acceded, badly: 0.23267521175
cost-effectiveness, youthful: 0.0
magic, manifold: 1.38545656413
stupider, unprofessional: 2.37449546261
articulated, self-contained: 0.0
done, predominantly: -0.17718279157
crass, unchanged: 0.501847472231
fifteen, proactive: 0.120730041923
acclaimed, articulated: 0.98738126758
close, constant: 1.38199570404
non, repayable: 1.01227428384
charming, overwrought: 2.36790131654
specific, super: 0.311548029361
deep-rooted, hurting: 0.0
bereft, distasteful: 2.26538820182
fools, tiring: 1.04812514615
awake, displeased: 0.776057467966
disquieting, promptly: 0.511397321352
acknowledging, sacrosanct: 0.846668405958
administered, starved: 1.48522428787
move, sacred: 0.175182973961
multi-disciplinary, objectionable: 0.0
requests, smart: 0.024552280346
incidental, self-sufficient: 0.0
determinable, reduced: 1.16330788987
gay, inclusive: 1.72769579863
hideous, immaterial: 1.67578082844
like, off: 0.826694059525
-ready, tired: 0.0
geographic, one-sided: 0.0
ancient, steady: 0.219001445278
primary, unsure: 0.707208466479
agreement, relevant: 0.454480393692
blank, refusal: 0.944725847363
used, young: 0.065189201326
delicious, elle: 1.48128605996
enforceable, favourable: 0.0
manifest, uncertain: 0.664801446124
decided, year: 0.664261764688
social, unreasonable: 0.521740591789
grieved, unattainable: -0.216660367875
technological, unseen: 1.60340543111
autonomous, scarce: 0.37648985402
high-cost, thought-out: 0
him, hour: 0.680252423533
beter, undetectable: 0.6818780554
statewide, under-inclusive: 0.0
complements, undisturbed: 1.2351953642
cruel, well-coordinated: 0.0
superstitious, undisputable: 0.290408281873
need, professional: 0.647709558022
sensitive, snappy: 1.07856738845
mean, timed: 0.281002751903
exciting, joyful: 2.87311482433
know, twice: 0.897415506126
brighter, short-term: 0.0
bull, ready: 0.74286776411
ecstatic, hurtin: 1.81849934205
busy, everyone: 1.19256818737
competent, encouraging: 0.845832909729
intense, unable: 0.793767163469
secondary, self-executing: 0.0
enchanting, happened: 0.678281765533
simillar, wide-ranging: 0.0
doin, mama: 5.23479408377
bull, stark: -0.004692942353
docile, personally: 0.236017422048
crushed, responsable: 0.536118333687
compliant, initial: 0.67051922908
handicapped, idiots: 1.33628525855
registered, satisfactory: 0.951542569013
intelligent, wierd: 1.68163306371
great, tighter: 0.962827052825
inquisitive, reciprocal: 0.616255430746
moody, ubiquitous: 0.980254169696
spaced, statutory: 1.22592602088
categorical, nigh: 0.457950265548
consideration, though: 0.515929572941
breathe, marketed: 1.06387415543
ethical, problematic: 1.31931362495
sacred, soaked: 1.40533659701
accepted, supreme: 0.854212854697
rough, rude: 2.33419460263
remediated, spotless: 1.32970737689
atrocious, damaging: 1.45840783953
sharper, tough: 2.54515914093
exhausted, unused: 2.49680784585
simplified, well-done: 0.0
favorite, unambiguous: 0.033933986241
modernizing, understandable: 0.383420759271
mental, unable: 1.06139935152
capable, unpleasant: 0.367844578615
enlarged, mindful: 0.151432330854
keen, uptown: 0.279951437169
expanded, mad: -0.188297241776
obvious, wierd: 2.21046871232
optimal, quicker: 2.33050946747
idiot, ruined: 1.71923024561
highest, stern: 0.164387851269
liked, yo: 0.933813820279
co-, positively: 0.0
aggressive, severely: 0.910088123071
ludicrous, otherwise: 1.0274055323
flicka, seasick: 0.0
intentionally, undamaged: 0.946083066317
-lnteresting, unqualified: 0.0
agile, calculated: 0.125111623572
invested, newsworthy: 0.720359875435
opportune, smug: 0.875244676325
married, together: 1.89298856062
limber, understood: -0.101008331011
east, simple: -0.325484089816
pending, pertinent: 1.02502839465
alternate, scarce: 1.37083883796
environment, it: 0.766347261237
recognized, very: 1.23562320238
last-minute, legit: 0.0
holy, snug: 0.992775991953
deceased, huh: -0.277300011283
beneficial, hardest: 1.74425667735
long-standing, righteous: 0.0
inadmissible, receptive: 1.8958049646
enlarged, still: 0.294452058769
unpublished, zero: 0.073657408018
patentable, relative: -0.107808378209
either, indispensable: 0.282344986062
executed, snappy: 0.698751241385
ensuring, three: 0.588030694658
low-skilled, shortly: 0.0
bad-ass, suited: 0.0
fast-switched, solidarity: 0.0
advertised, heartfelt: -0.21794973886
drenched, proportionate: -0.133159890984
screened, viewable: 3.92223522942
healthy, periodic: 0.762530323164
marketed, sobering: -0.624307443725
hiv-infected, well-structured: 0
determining, patronizing: -0.371710564163
delicious, handed: 0.859593171857
outside, permissible: 0.972268644181
prescribed, surprising: 0.014804843828
inexplicable, static: 1.00259476792
elderly, mortal: 0.815496275239
fulfilled, hereby: 1.73276813178
but, stir-crazy: 0.0
believable, insensitive: 2.03575313033
speedy, uninsured: -0.153595103099
convincing, remediated: 0.064529724293
crafted, pro-poor: 0.0
every, infrequent: 0.930322616529
all-encompassing, presentable: 0.0
hazardous, soaring: 0.480355805665
a, for: 0.0
hardest, outnumbered: 1.77150419169
dead, excellent: -0.085696849734
self-supporting, widely: 0.0
efficient, tom: 0.23385979617
distressed, okey-dokey: 0.0
enhanced, serious: 0.056681713149
stupider, undetermined: -0.778185251339
dopey, marginalized: 0.798989658886
damaged, treble: 0.152610959783
long-term, up: 0.0
stillborn, with: 0.018081252012
high-availability, moronic: 0.0
greatest, substantiated: 0.992104598728
builshit, nasty: 0.0
cranky, preferable: 0.944377134522
clean, nice-looking: 0.0
hourly, tolerated: 0.82164520071
east, reimbursable: 0.387152663225
precisely, regularly: 0.837165898518
dorky, worldwide: 0.453244985131
constrained, unendurable: 1.71279989003
anticipated, leaner: 1.6957136314
good-iooking, herein: 0.0
large-scale, secondly: 0.0
ago, spent: 2.20080751081
patient, redundant: 0.499980313585
felt, systematic: 0.296190020845
described, laudable: 0.961024792496
non, simpler: 0.474345539116
provided, unsuitable: 0.332178926385
impoverished, realisable: 0.0
use, well-formed: 0.0
odious, technical: -0.217651404544
unhappy, updated: 0.444361142574
clearer, streamlined: 2.83725785635
laddie, large-scale: 0.0
inflexible, overambitious: 3.2061094458
eager, lowest: 0.049304321843
bothersome, substantiated: 0.775327480838
do, least: 0.841575769907
glamorous, malignant: 0.721657500777
hard-pressed, lacklustre: 0
managed, unique: 0.552771221983
accustomed, idiots: 1.03702335224
virtuous, wrecked: 0.876404525566
enhanced, prescribed: 0.830914462429
destitute, probably: 0.132038101279
scaleable, stout: 1.17105919846
fools, loyal: 1.38992252709
regretful, succinct: 1.58554763674
far, problematic: 1.04936625107
limited, principally: 1.4497712068
murderous, self-contained: 0.0
unfit, weakest: 2.29564041928
non-exclusive, preliminary: 0.0
below, edible: 1.09419602535
consequential, sized: 0.121812501435
independent, well-suited: 0.0
freezing, ripe: 0.720307572499
obliged, well-informed: 0.0
empowered, girl: 0.248287965069
canceled, inspirational: 0.312261777562
repulsive, short-lived: 0.0
impatient, rigorous: 0.878871210795
alright, steeper: 0.944566212049
feisty, use: -0.631896750741
non-self-executing, repayable: 0.0
grave, puzzling: 1.32702818583
cost-effectively, curious: 0.0
impermissible, unfortunate: 1.47330670644
appalling, various: 0.782977411181
hey, memorable: 1.16737665693
enlarged, proceed: 0.764861834086
closed, expeditious: 0.505051320418
discrete, scary: 0.343392231679
bulletproof, unnerving: 1.19531586982
complicit, significant: 0.671800173377
destructive, sizable: 0.018716668514
disclosed, mainstream: 0.394676171471
allergic, public: 0.483634105177
handed, quicker: 0.582980387057
all-embracing, innocent: 0.0
insulted, ungrounded: 2.07613462501
increasing, round: 0.142696495669
dark, intensive: 0.758598145157
sensible, serious: 1.8806151611
excitable, well-filled: 0.0
consultation, tough: 0.428618376908
continual, pitiful: 1.43130283685
groundless, in: -0.092216958185
fourth, unanswered: 1.37033612241
helpful, right-handed: 0.0
lucid, public: 0.723057798843
comprehend, delightful: 0.688341508813
least, traffic: 0.268260877027
checked, short-term: 0.0
opening-up, superfluous: 0.0
happened, live: 0.898759638402
innovative, repeated: -0.112630314105
fragmented, typical: 1.00300247724
subtler, wounded: 0.39526049979
rapid, uniform: 0.59356509441
actionable, scientifically: 2.89726255873
prudent, science-based: 0.0
adapted, held: 0.38018038863
disagreeable, silly: 2.87034675018
affordable, all-round: 0.0
complete, marginalized: -0.277464565451
amended, slender: 0.099937114868
inquisitive, moot: -0.286279166498
over-optimistic, zesty: 0.0
discernible, shipshape: 0.629044901127
elle, long-range: 0.0
big, inexhaustible: 0.8633394136
-sorry, omnipresent: 0.0
candid, responsive: 2.54491601232
big, blind: 0.45882258624
slender, unlucky: 2.03798430267
divine, elle: 1.833893612
rubbish, weak: 0.355780236127
automated, economically: 0.43136156942
affixed, objective: 0.47497030001
jeopardized, wacko: 0.442471844644
brain-dead, tasteful: 0.0
overwhelmed, puny: 1.90945282545
charmed, unfavourable: 0.0
action-oriented, opposite: 0.0
ageing, utilized: 0.0
confrontational, widely: 0.873091002858
modernized, sincerely: 1.04627905403
profitability, profitable: 6.50496831902
accused, far-ranging: 0.0
resident, uninsured: 1.12704543159
notified, persistent: 0.372417168582
narrower, stand-alone: 0.0
accelerating, potent: 0.783274427731
again, chilly: 0.512795584665
incomplete, material: 0.982263005963
increasingly, positively: 0.812139674097
cost-effectively, overburdened: 0.0
non, screened: 0.58542876919
feasible, willing: 2.27652480224
clearest, cleverer: 1.43613574312
faithful, touching: 0.686050387792
able, drenched: 0.164659590649
fifteen, selective: -0.041983043095
doomed, verify: -0.083860524661
crazy, undisturbed: 0.361453726154
abolished, barmy: 2.71589226426
clear, met: 0.507142226026
defunct, multi-ethnic: 0.0
say, sooner: 1.17978100235
sacred, vocational: 0.287660032273
received, safest: 0.137958165413
connected, doubt: 0.465384389399
mechanical, strengthened: -0.006936373884
heartening, hunger: 0.978114157263
crucial, legendary: 0.785075612819
succinct, therefore: 0.679264424722
gifted, user-defined: 0.0
identifiable, pitch-dark: 0.0
stale, trained: -0.434639794984
absurd, terrifying: 2.77522636427
evey, subtler: -0.440989277964
predictable, recent: 1.33443982786
powerless, undemanding: 0.757944739748
generally, shared: 0.39447179263
manifestly, state-funded: 0.0
bottled, freezing: 1.32594419568
jump, pretentious: -0.306019161145
hurtful, wider: 0.86403994819
hearty, self-reliant: 0.0
nutty, retail: -0.335707661779
also, diverse: 0.530386652731
dainty, witty: 2.45157727269
afresh, insatiable: 0.797186202239
enthusiastic, regretful: 1.74351824822
giddy, mainly: -0.25829172429
uncomfortable, well-behaved: 0.0
hard, mindful: 1.55127205614
returned, well-designed: 0.0
costly, multifocal: 0.877938251346
curious, multicultural: 1.13370953094
assertive, executed: 0.689058873202
moderate, sir: 0.093851601758
segregated, sufficient: 1.23950316147
diverse, telling: 0.062370243925
dazzling, definite: 0.949436035263
educational, peachy: 0.250845406669
inconsistent, unfettered: 2.08851991482
commensurate, faulty: -0.141769621377
fools, unfriendly: 1.75729438653
distraught, moron: 1.53231746305
busted, hon: 0.374920979513
mild, natural: 1.49346402294
prohibitive, thus: 1.28642320775
hiv-infected, nothingg: 0
exaggerated, fiine: 0.0
evil, evil: 9.9086785692
intelligible, juicy: 1.20835415807
results-oriented, unpleasant: 0.0
home, preceding: 0.353007076782
less-favoured, like: 0.0
defensible, understanding: 1.25657436639
countless, stay: 0.202410111116
onerous, stagnant: 1.93496423241
flagrant, robust: 0.492509228648
doomed, retail: 0.094148358785
confident, thriving: 1.14467664902
adequate, unnecessary: 2.00134110001
pitiable, simplistic: 2.28423560111
delightful, seminal: 1.55264392108
improbable, speedier: 0.890938635914
clare, non-competitive: 0.0
viable, well-received: 0.0
sacred, unfortunate: 1.6945292516
extinct, permitted: 0.874388071963
compensable, outgoing: -1.08993299207
newborn, rotten: 0.465562844002
immoral, started: -0.200673748268
bleak, combative: 1.43399937248
commended, tight: 0.170589009471
slender, tiresome: 0.589060161561
lively, trashy: 1.70064512409
competence, manifestly: 2.47824767165
coordinated, unquestionable: 0.093130594513
expandable, get: 0.330620114458
fewer, issued: 0.329203068976
-lnteresting, tacky: 0.0
older, usual: 0.918033245753
far-reaching, political: 0.0
moving, widespread: 0.398725351114
clare, salient: 0.712334478628
humane, valuable: 1.01040188433
cost-shared, well-positioned: 0
finished, iate: 0.0
complete, liable: -0.488459602741
aforementioned, new: 0.524684941832
pristine, unquestionable: 1.62841853392
diminished, overambitious: 0.66785129946
do-able, heavy: 0.0
nationwide, suspect: 0.350223826305
died, prejudicial: 0.2794190766
orderly, victorious: 0.463352986326
creative, eerie: 0.757100813516
entrenched, placed: 0.828284572719
notorious, undesirable: 2.03960189233
teeny, unpleasant: 0.996527126583
doubt, sugary: 0.287040747546
angry, squat: 0.434653700149
non-self-executing, promising: 0.0
all-powerful, dope: 0.0
excessive, ignored: 1.46572547999
laudable, ridiculus: 0.830381895455
continued, receptive: -0.182545166296
deprived, weary: 1.14841450104
e.g., lucrative: 0.0
lovely, shitty: 2.3945698087
exemplary, refusal: 0.611755784411
obtainable, thin-skinned: 0.0
later, self-supporting: 0.0
acknowledging, busy: -0.052410928335
ecologically, lighter: 0.259390388836
adapted, rarer: 1.00008861836
antsy, integral: 0.581095252112
foolish, unwise: 5.56860404378
lowest, repeating: 0.661346079137
glamorous, loving: 1.77401714692
contradictory, giant: -0.307413352974
egocentric, tighter: 0.400928389236
enraged, heavyset: 2.07820051963
gifted, nouveau: 0.886519502919
harsh, prohibited: 0.74177178789
disingenuous, screened: 0.271166989591
scared, ungrounded: 1.31699863235
feisty, trashed: 0.856975177389
efficient, oral: 0.729177345899
enhancement, presentable: 0.300987996862
innocuous, responsive: 0.619502086964
also, majeure: 0.009072927508
fbl, wicked: 0.0
blow, henry: -0.04184363164
despicable, full: -0.070218384658
competence, last: -0.248907575306
derisory, instable: 0.059780316334
confidential, mistreated: 1.8295782105
triple, unhappy: -0.177596196452
idiotic, independent: 0.401085671008
drastic, miscellaneous: 0.677447203196
polluting, useful: 0.50210275665
arguable, invariable: 1.77690943231
unforgiving, unfortunate: 2.05387250297
narrow, ruthless: 0.947824025045
extensive, primary: 0.615511237144
braver, dubious: 1.11167327155
doing, ordinary: 0.828594611991
gender-neutral, legendary: 0.0
facilitated, switching: -0.050003916599
poverty-stricken, unsure: 0.0
acceptable, diligent: 0.732329040387
inter-dependent, them: 0.0
infected, ridonc: 0.0
cardinal, precise: 0.722207819464
comprehend, unlikely: 0.734502568154
abused, lucky: 0.71633534884
delightful, idle: 0.299782088203
abolitionist, marvellous: 0.0
creation, roll: 0.472059422002
flawed, interestedin: 0.0
nifty, salutary: 1.3391769858
compensatory, nicer: 0.864419060643
continuous, il: 0.37321045656
alright, smaller: 0.31101607733
asinine, interwoven: 1.46317216096
inside, preferable: 0.425898941765
intractable, migratory: 1.57295918791
ethical, objective: 1.42359424085
shaun, surprising: 0.032415530193
persuaded, proud: 1.37225543914
excited, wiser: 0.671778491898
crazy, retrievable: -0.161727951386
comprehend, freest: -0.309183721742
condescending, move: 0.511605784301
key, warned: 0.443103447395
uncompetitive, wide: 0.737249086434
undamaged, well-controlled: 0.0
breadth, under-age: 0.0
cute, sincere: 1.86911810273
-so, affixed: 0.0
absurd, typically: 0.258097732942
remarkable, responsable: 0.17071642872
priceless, viable: 0.947066507004
embarrassed, incongruous: 2.01686910247
cracked, total: 0.573042744687
counterfeit, homesick: 0.107217262302
admitted, jurisdictional: 0.231607705991
old-fashioned, responsable: 0.0
needless, unaffordable: 1.99174109438
lesser, robust: 0.05593856742
honourable, realistic: 0.0
hereby, re-routed: 0.0
rusty, up: 0.981319404531
exact, organic: 0.329643640637
impracticable, intended: 0.897129463691
assertive, thought-out: 0.0
launched, temporarily: 0.203777896517
intelligent, urgently: 0.853756779213
dry, seamless: 1.05771889638
lye, policy: 0.203060808808
cinematography, irritating: 1.10714860517
slick, strongest: 0.457037794836
instead, shy: 1.33456837481
compliant, noble: 0.2588619266
certified, mistreated: 1.13354051762
ravenous, self-contained: 0.0
determinant, disposal: -0.167266328193
female, implausible: 0.340629026156
biased, diseased: 1.34534239252
constructive, latest: 0.41872038485
integrated, kinda: 0.045848029268
casual, guaranteed: 0.564823979867
eighth, particular: 0.292905320521
overworked, rugged: 0.872549202874
formal, hiv-positive: 0.0
receivable, unchangeable: 1.53324715159
enormous, you: 0.916480506522
immature, lofty: 1.12076028716
held, interested: 0.714643518771
fast-growing, unfeasible: 0.0
justifiable, thirds: 0.683267903958
conclusive, key: 0.884436598318
overambitious, renowned: 0.253746158875
ancient, rapid: 0.565484560109
equipped, inconclusive: 0.303651482074
committed, reimbursable: 1.06758551574
batty, started: 0.166110906973
disproportionate, prescriptive: 1.08107886445
absolute, flagrant: 1.88038242475
middle, though: 0.556290800879
colossal, iegitimate: 0.0
longterm, wasted: 0.341973796032
missingg, true: 0.0
above-board, nervous: 0.0
effectiveness, superior: 2.19297709212
grotesque, housebroken: 1.44249091862
interim, low: 0.245351237504
encouraging, transparency: 0.850743934622
outside, resolved: 0.530387031731
application, germane: 0.991549507602
hourly, justification: 0.711811927055
doctor, re-routed: 0.0
furthest, unconscionable: 0.86750106844
effectiveness, enabled: 0.767820107098
discernable, evident: 3.6740064105
frustrating, graduate: 0.843615353848
comforting, utilized: 0.394551964869
holier, overloaded: 0.316889882903
disadvantaged, tied: 0.86287927709
tense, unfortunately: 0.69490283436
bleak, off: 0.474873404059
average, pretty: 1.1682698918
disparate, strange: 1.46254828421
pricey, satisfactory: 0.801809891112
elaborate, remarried: 1.02561965473
docile, stipulated: 0.45604570475
on, reprehensible: 0.239543266689
business-friendly, reckless: 0.0
immediate, lucky: 0.253231963301
meticulous, mild: 0.977500873305
expeditious, gratifying: 2.17584344978
discussion, unforeseen: 0.152785696952
individual, recognised: 0.0
oriental, referenced: -0.225973675802
disadvantaged, timely: 0.401479257365
finite, off-the-record: 0.0
absurd, immovable: 1.79894857726
disposal, toxic: 2.45181438278
