fearful, sobering: 1.47334043333
democratically, obvious: 0.711727825822
advertised, woolly: 0.307536982502
brillant, subordinate: -0.055538924689
cloudy, representative: 0.492658377319
first-hand, prosperous: 0.0
marked, ridiculus: -0.049285534268
essential, priceless: 2.69454634044
generated, thanks: 0.977018388855
ended, latest: 0.785399629408
illegal, nessessary: 0.0
included, widening: 0.424184859284
mission-critical, regularly: 0.0
annulled, second: 0.65978607944
audience, poor: 0.162610258442
strengthening, two: 0.570853765961
thready, unstable: 1.19552263288
efficient, first: 0.393778176961
regretful, smokin: 0.310596836596
certainly, triple: 0.486494653029
favorable, vain: -0.042601276911
accordingly, outside: 0.53217062738
geographical, practically: 0.69410735108
admitted, expressly: 0.080068466584
defunct, depraved: 0.304470439649
asian, definitive: -0.064019014408
abreast, extremely: 0.201458861791
discernible, organized: 0.364675997518
tedious, unqualified: 1.53168013993
relevant, sonny: 0.233231373352
savage, tangible: 0.44933478316
nice-looking, tight: 0.0
actionable, batty: 1.12951459203
restricted, unlucky: 1.092795864
lucky, stoned: 1.69077828661
reassuring, unaffordable: 0.454221189651
eleven, unsavory: 0.569529588722
jumpy, thready: 1.50319820478
costly, tonight: -0.126554059209
twofold, well-armed: 0.0
exempt, frequent: 0.905863778185
administered, foul: -0.141151419254
coarser, patentable: 1.02064335407
sticky, tragic: 0.741684251935
marvelous, tolerable: 0.620848769936
cruel, immediately: 0.081103601902
applicable, shorter: 1.09918286897
fresh, workable: 1.01380764785
unconvincing, unusual: 1.6175163305
alien, longterm: -0.274201022649
polite, regularly: 0.96542669517
something, succeed: 1.12796952625
legality, visual: 0.6731306936
many, permanently: 0.469161959913
complicit, impeccable: 0.654617842579
invalid, secured: 0.912711616393
poor, twisted: 0.816803505469
any, representative: 0.551485970403
exorbitant, shitty: 1.97265214533
certified, unseen: -0.200815961343
adulthood, commenced: -0.215255683224
bulletproof, marginalized: 0.773588442354
effortless, self-contained: 0.0
high-availability, wealthier: 0.0
huge, obvious: 2.11868320804
accepted, illiquid: 0.493575374694
despicable, smaller: -0.349816916225
impossible, reported: -0.055781716981
fiine, specific: 0.0
allowable, mama: 0.088882902085
comprehensively, jump: -0.396874427888
indefensible, mentioned: 0.033966921
ashamed, sane: 2.54656558508
better-iooking, culpable: 0.0
overpriced, winning: 0.223443742068
again, thirsty: 0.552867259058
precise, spaced: 2.51166939565
frightful, new: 0.305432252022
credible, lackluster: 1.0906913806
discrete, invalid: 0.923732911848
early, susceptible: 1.08526331913
distracting, long-lived: 0.0
insured, jump: 0.622393177
cheaper, good: 1.47955717135
acquired, performed: 1.32515470381
devastating, significant: 2.03121663192
profitable, recognising: 0.0
calculated, cleared: 0.644553715175
iil, indebted: 0.0
constituted, horny: 0.230916476544
say, unsteady: 0.374293804197
closest, missingg: 0.0
every, foolish: 1.25858741502
instable, meticulous: 0.076167000119
clearly, excluded: 0.799396613127
average, refreshing: 0.639789916555
fourteen, partially: 0.5053849613
unforeseen, varying: 1.79817474355
no, obnoxious: 0.376459654176
sad, scheduled: 0.657817594942
optimistic, wierd: 0.129086192381
hunger, open: 0.03719615935
precise, stocky: 1.5205918073
consistent, skinny: 0.727304338362
compared, stocky: 1.12419995212
complete, debate: -0.651325838477
middle, strictest: -0.056828069025
co-operate, fun-loving: 0
pointless, secondary: 0.393297745076
doctor, stay: 1.32132018006
several, sooner: 0.681742717796
contemptible, longstanding: 0.855862084129
selfevident, talented: 0.0
infuriating, judicious: 0.767333989299
contemptible, unexpected: 0.570935178305
distraught, petrified: 4.27532208345
longer-term, presented: 0.0
idiots, okey-dokey: 0.0
ignorant, smarty: 2.67749790037
free-of-charge, mediocre: 0.0
fine, mimi: 0.427810627324
better-looking, uneconomical: 0.0
completely, well-lit: 0.0
deep-rooted, gay: 0.0
bold, proud: 1.59751404587
organized, safer: 0.808166076483
cherry, existing: 0.667591112343
delicate, light: 1.08396280227
cherry, geek: 0.681301229914
belated, certain: 0.628868430702
perplexed, served: -0.062019433207
marvelous, overemotional: 0.861250910588
co-operate, moderate: 0.0
non-partisan, slim: 0.0
countless, interlinked: 0.924511248949
conducive, shameful: 1.47764809299
cherry, depressed: -0.088649744687
formed, occupied: 1.31008396821
lighter, pretend: 0.380417288035
second, theoretical: 0.3258767967
horrendous, opposed: 0.506631694859
broad, formal: 1.72439168972
representative, stocky: 0.309584844732
maximum, trashed: -0.345803734713
screened, unpleasant: 0.442558449246
tiring, unproblematic: 1.54031371921
ecologically, true: -0.325801528972
part, smart: 0.543144751809
education, wide: -0.05495023829
annually, astounding: 1.46900275383
belligerent, vested: 1.47006708991
rational, thankful: 0.466598102782
infamous, pathway: -0.227423185128
lamentable, self-supporting: 0.0
perfectly, proscribed: 1.01656396758
deader, underpaid: 0.864764188685
acknowledged, distant: 0.226292644068
comprehensible, modest: 1.06324566984
heated, hideous: 0.747304947902
complementary, known: 0.795068757664
historic, indiscriminate: 0.184077303446
over, thirteen: 1.18253508475
cabbage, vulnerable: 0.560993768235
observant, structured: 1.14427137044
handed, right: 0.953117284345
monthly, rarely: 0.684947213544
well-coordinated, well-done: 0
faithful, well-developed: 0.0
elle, liberal: 0.436055250594
interesting, regrettable: 2.10527366226
-sorry, later: 0.0
radiant, rash: 0.034375406944
circumneutral, multiple: 0.0
asking, poisonous: 0.141413583271
comprehensively, overlooked: 1.18250280306
attractive, back: 0.222256895766
19, heart-warming: 0
de-insured, hot: 0.0
contaminated, deficient: 2.90049474672
brittle, finite: 1.11129159479
intolerable, northeastern: 0.602454978208
ever-increasing, lonely: 0.0
established, you: 0.25970884736
served, upfront: -0.414022882167
impractical, south-east: 0.0
direct, happening: 0.430453871639
horrendous, wack: 1.6929910225
bitter, innocuous: 1.24666735539
key, proscribed: 0.370999064528
brighter, honorable: 1.08426139747
subordinate, treaty: 0.741597744329
hungry, indefensible: 0.490459581967
buoyant, discreet: 1.4918050922
genius, improvement: 1.37521017956
organic, static: 1.17352710743
influential, lengthier: 0.539600519042
running, unequal: 0.228701060639
commenced, democratically: -0.038068993394
competent, interestedin: 0.0
current, unforeseeable: 1.17226685283
kosher, several: 0.201833249367
fella, truthful: 0.701789708178
disconcerting, overweight: 1.18054432824
inherent, korea: 0.582796874895
active, imperative: 1.28491385399
delighted, uncomfortable: 1.49094275549
disclosed, home: -0.101237486523
misused, unlucky: 0.76876935496
beter, clean: 0.377943670684
mere, susceptible: 0.929993311433
increased, skilled: 0.487928318793
no, stronger: 1.36860828039
hereto, trained: -0.623158529398
respect, surprising: 0.724259769006
actionable, trite: 2.38406331943
unpublished, well-lit: 0.0
political, unavailable: -0.188441490242
evey, ioyal: 0.0
diseased, thirsty: 2.27250702124
moist, undecided: 0.914882612255
danger, informative: 0.066300964021
fun-loving, official: 0.0
obese, speaking: 0.800841475736
mature, profitable: 2.29815065821
acceptable, schizo: 1.07612468879
fruitless, impoverished: 0.878062798624
five, jeopardized: 0.21026303425
nonexistent, probable: 0.897020040889
follows, lukewarm: 0.368795429226
co-operate, stifling: 0.0
frankenstein, heart-warming: 0.0
indigent, momentous: -0.249381988621
co-financing, incongruous: 0.0
droll, sooner: -0.307803975281
handed, maintained: 0.596527825956
fella, noisy: 1.10689280759
flattered, well-educated: 0.0
agreed-upon, bad: 0.0
basically, ghastly: 0.604243388833
generalized, toast: 0.087936043169
too, untraceable: 0.761210445567
explained, imrtant: 0.0
ok, suitable: 1.27564169405
hither, limp: 1.53932266022
asshole, moody: 2.34307329207
distinctive, unlucky: 0.715827831546
accountable, defective: 1.93800904554
steady, treatable: 0.319151418232
checked, wonderfui: 0.0
prompt, two-: 0.0
over-ambitious, planning: 0.0
sing, tabled: 0.247650996428
conservative, rationalized: 0.845478174941
associated, impressive: 0.077811131195
corrigendum, singular: 0.475100723281
daft, stipulated: 0.682086220264
seventh, vivid: -0.074308469481
th-that, weighted: 0.0
pervasive, voluntary: 0.710251364233
aggravated, well-trained: 0.0
-ready, hereby: 0.0
international, repayable: 0.720445163307
fucking, needless: 2.06894080616
effectively, needless: 0.968796406824
fourth, inconclusive: 0.532236357633
inter-connected, launching: 0.0
earlier, expanding: -0.021390561652
dysfunctional, justifiable: 1.17178537496
accomplished, restful: 1.37174211127
compared, encompassing: 0.886859643309
foolish, occupied: 0.381096761205
results-oriented, unequivocal: 0.0
annually, dopey: 0.182284641997
-ready, thought-provoking: 0
flexible, youthful: 0.823425797992
checked, unreal: 0.630370505923
demeaning, historical: 0.987314106074
delineated, welcoming: -0.129543760894
lukewarm, mla: 0.362513677046
naive, ourselves: 1.51664900094
distressing, thirds: 1.26203088877
disadvantaged, nigh: -0.265355241027
able, sloppy: 0.319127945199
eager, religious: 0.506316922756
batty, labour-intensive: 0.0
mental, straightforward: 0.090004150289
e.g., nineteen: 0.0
comprende, vigilant: 0.146909818026
asleep, comin: 2.67094333029
defective, unhurt: 0.655556366169
starved, successfully: 0.49521792225
however, super: 0.435614834262
admissible, novel: 0.454663289287
awestruck, well-paid: 0.0
fun-loving, reported: 0.0
visible, widespread: 2.21865021531
concerned, well-timed: 0.0
speedier, sufficient: 0.841504970125
discreet, importantly: 1.29971377879
soaked, unrelated: 0.593261639679
countless, sold: 0.166502410106
rebatable, squat: 0.0
grand, improper: 0.61022256456
stupid-looking, vulgar: 0.0
immutable, senseless: 2.1427966204
explained, unscathed: 0.533937672315
overt, secure: 0.04317661435
damaged, worried: 1.95898200435
abolitionist, intimidating: 0.851536547782
luckier, worded: 0.663572903403
naive, speaking: 1.2665375178
breathe, old-timer: 0.0
enriching, in: 0.216383043914
sincerely, small-time: 0.0
black, breadth: 0.413534422283
agile, forward-looking: 0.0
heterosexual, resolute: 1.04584564333
owned, single: 0.802444822507
dark, extremely: 0.697376968101
concluded, double: 0.300595771365
grass-roots, swift: 0.0
courrier, impossible: 0.420493873966
aforementioned, rock-solid: 0.0
bravest, transient: -0.413476050422
heavyset, upstanding: 2.14547218554
decisive, individualized: 0.569991997255
hopeful, representative: 0.871786457212
cinematography, infeasible: 1.4340404306
present, received: 0.691981363378
morbid, ruined: 1.30220526785
better-looking, co-chair: 0
economic, imported: 0.791870192883
appealing, babe: 0.15870598992
complementary, time: -0.178984247242
designed, moronic: 0.590169044254
corrupt, indisposed: 2.07703649336
insurmountable, relentless: 1.55645527068
shorter, volatile: 0.917232418544
biggest, pro-poor: 0.0
happier, widening: 0.008111943683
re-appointed, severely: 0.0
economic, empowered: 1.04879388114
embarrassing, switching: 0.531501718199
stricter, superb: -0.176364449681
contentious, freely: 0.618416808504
alarming, petrified: 2.28754587515
to, vice-president: 0
basic, funky: 0.517184619453
relieved, shameful: 1.30188667026
better, damaged: 0.74046511954
indiscriminate, racked: 0.675094349204
inactive, salutary: 0.577021072595
mind-boggling, reasonable: 0.0
attention, goal-oriented: 0.0
false, well-known: 0.0
beautifui, subsequent: 0.0
unharmed, unlikely: 1.66234660651
abrasive, chubby: 1.5284516133
dotty, hairy: 2.85860770922
insufficient, uneconomical: 3.7549787496
clinically, woken: 0.330938337706
indiscriminate, labour-intensive: 0.0
debatable, simpler: 1.30423719999
sober, uptown: 1.31690714416
desired, everyone: 0.580640620081
garbled, hateful: 2.79021052089
overheard, unprofessional: 2.73994788634
handed, routine: 0.681358622639
imperfect, justifiable: 1.50642920422
debate, high-ranking: 0.0
acknowledging, flashing: 0.857492806823
stupide, unable: 0.0
increasing, scant: 1.55894163905
shipshape, smartest: 1.44641630999
switching, urgently: 0.158003997907
adaptive, schizo: 1.09636891552
horseshit, relieved: 0.421096773995
bothersome, joyous: 1.04433057993
heterogeneous, intriguing: 1.58323960265
contaminated, defunct: 1.43776505747
persuasive, sloppy: 0.972828982788
longest, political: 0.752220772088
bravest, well-behaved: 0.0
rash, well-filled: 0.0
dismal, southwestern: 0.587720196576
visibility, wait: 0.083417677549
eleven, thoroughly: 0.271969103996
blurry, in-flight: 0.0
reduced, stark: 0.577756289232
psyched, tighter: 1.1196502231
10, shorter: 0.0
goofy, seductive: 2.37712208417
adopted, obsolete: 1.50871859512
mighty, mistaken: 0.418581963964
consequential, ugly: 1.32932649182
crippled, frigid: 1.72117332719
recurring, stubborn: 0.878871351317
dysfunctional, infeasible: 1.8336345844
aggressive, diligent: 3.19221738361
ashamed, tedious: 1.01722172742
extraordinary, tacky: 0.453912272047
2nd, arduous: -0.224260625073
flat, gravest: -0.19909345391
history, worth: 0.953837810237
going, unthinkable: 1.15451544626
disturbing, nobler: 1.26847072711
at, damaged: 0.616895234037
laborious, someplace: 0.341805109334
egotistical, mighty: 1.50535026074
-so, harmonised: 0
content, morbid: 1.31267587304
all, enormous: 1.0421920243
anymore, shocked: 1.43753653985
groundless, well-served: 0.0
awkward, observant: 1.99062439666
dirty, housebroken: 1.86739364195
deeper, selected: -0.214764559209
doable, integral: 1.27146539536
forgotten, sixth: -0.259980297183
crummy, tolerable: 2.18482632926
presumptuous, stopped: 0.587928806731
bullshit, milder: 0.29405188227
enlightening, reduction: 0.207540241631
annoying, increasing: 0.51090925815
jeopardized, vice-chairmen: 0.0
remaining, respect: 0.713976203656
missy, smartest: 1.39394413574
cleanest, hooked: 1.3596358104
answerable, constantly: 0.99391118742
massive, varying: 1.08325237895
stranger, testy: 1.01740967687
me, right-handed: 0.0
good-natured, warned: 0.0
hasty, well-reputed: 0.0
embarrassing, still: 0.31508580306
between, concrete: 0.868295407003
miscellaneous, possibly: 0.587495644731
efficacy, generated: 1.14529274806
inconvenient, scientifically: 1.37350773577
balanced, childish: 0.961765707639
fat, unqualified: 0.900809990851
black-hearted, well-filled: 0
childish, ten: 0.354015132221
however, untouched: 1.11180533871
