terse, try: 0.19331108423
foutu, repulsive: 0.0
broader, unaffected: 0.898460674695
imperfect, persuaded: 0.357110562701
ghastly, retarded: 1.8412972734
tougher, wacko: 1.09658939845
disgraceful, shaking: 0.497481812221
fella, personal: 0.257253352683
contemporary, traumatic: 0.705067160462
complementary, mean: 0.576281965216
irregular, l: 0.686184688769
awestruck, useful: 0.342592473795
disrespectful, well-educated: 0.0
overloaded, unquestionable: 0.228755033098
completed, recurring: 0.16878495165
bare, off-putting: 0.0
destructive, inexcusable: 2.19153236441
clearest, issued: 1.18713126563
it, mission-critical: 0.0
enthusiastic, seventh: 0.014505924464
compensatory, irrelevant: 0.847009217388
acknowledging, insignificant: 1.25744548605
drier, lost: 0.209883440186
unhealthy, well: 0.391647680407
completely, reversed: 1.33632474206
splitting, truth: 0.487207126448
3rd, bright: 0.50974797637
concerned, dumber: 1.1936578678
previous, stated: 0.596400316341
remote, winning: 0.38255636966
bizarre, crafted: 0.971837556473
dependable, nearest: 0.798417450467
energy-efficient, professional: 0.0
recognizes, wary: 0.652548709923
intolerable, opposed: 1.04749903833
co-funding, elsewhere: 0.0
builshit, simplest: 0.0
cleared, moister: 0.841208036347
hazardous, permissible: 2.92518280695
pointless, potent: 1.10218204096
combative, well-organized: 0.0
adaptive, well-educated: 0.0
predominantly, violent: 0.932773645563
illiterate, unfortunate: 1.08690884991
supportive, varied: 1.71071208352
dull, unconvincing: 3.49233757493
commitment, induced: -0.135066081918
belated, courteous: 0.070919030488
clerical, violent: 0.754201745192
merciful, underfunded: -0.441082110431
corrigendum, lye: 0.220023943604
bad-looking, lukewarm: 0.0
miscellaneous, thought-provoking: 0.0
charmed, unwell: 1.15817387625
fairest, nasty: 0.488634062679
far-reaching, fruitful: 0.0
dressed, insupportable: 0.093234585917
carefully, critical: 0.920888494133
selective, spotless: -0.001353116145
cohesive, timely: 1.57187919781
fiercer, prohibited: 0.955051043599
negligeable, trusted: 0.0
cowardly, tabled: 0.681045821096
courageous, key: 0.38672996988
grotesque, technically: 0.679671850321
directly, unaffordable: 0.378880510611
canceled, designated: 1.41099313397
concise, treatable: 2.93043785049
complete, plenty: 0.694026046364
abusive, displaced: 1.70504780006
courageous, forgiving: 1.97365620405
dispersal, multi-threaded: 0.0
inaudible, unimportant: 1.72409646988
little, viable: 0.255201540327
noted, stepped-up: 0.0
heterogeneous, quality: 0.715675746358
established, sacrilegious: -0.061409199378
long-lasting, results-oriented: 0
acquired, industrial: 0.86363118528
battered, expensive: 0.802413903872
jittery, visibility: 0.86700406302
bolder, glowing: 0.828315719729
broader, scarcer: 1.53811020733
granted, princess: 0.433262453142
cruellest, empty: 0.812517705237
implementable, memorable: 0.167371713517
inflexible, then: 0.074042324082
fucking, prohibitive: -0.022173344661
conservative, wreckable: 0.0
belated, handed: 1.2861692948
antsy, freest: 0.714821549916
affluent, early: 0.718408360211
allergic, unjustified: 1.22145476578
flattering, yummy: 3.02966867905
ferociously, unproblematic: 0.464703576312
found, recognising: 0.0
fine, interoperable: 0.673275659381
motivation, quickest: 1.0231408445
considered, lame: 0.176762951663
derisory, sleepy: 0.28272982811
eventually, grimmer: 1.15438962942
rock, state-owned: 0.0
alright, occupational: 0.258744350104
long-lasting, shorter: 0.0
eco-friendly, multi-faceted: 0
lenient, proud: 1.13155829817
aligned, earlier: -0.331004381746
justification, smartest: 0.464861730293
formerly, improvement: -0.176494350138
eager, practical: 0.741433475867
grievous, successfully: 0.390176934509
broadest, general: 1.61881280878
masterful, realistic: 1.70962970581
ashamed, crass: 3.346662755
industrial, later: 0.177170904273
across-the-board, interlinked: 0.0
lethal, quieter: 1.23509898845
friends, kiddo: 2.27463117598
fine, self-evident: 0.0
mutual, thrilling: 0.055576169303
jam-packed, round: 0.0
deep-rooted, resistant: 0.0
creditable, patent: 0.400481299778
fbl, sixth: 0.0
disjunct, overdue: 0.018045341711
although, unsound: 0.214705623213
agreeable, high: 0.261851392218
chloe, nessessary: 0.0
arbitrary, costeffective: 1.0265093898
instable, unable: 0.721795318055
celebrities, screwed: 0.481804524046
antiquated, streamlined: 2.30970926208
combative, fertile: 0.893329079032
international, to: 0.0
distribution, far-ranging: 0.0
controversial, over-optimistic: 0.0
seldom, understood: 0.76979289602
indebted, respendable: 0.0
extensible, flaccid: 0.674610354186
bare, co-financed: 0.0
daunting, special: 0.645087381796
abhorrent, reality: 1.37998424626
controlled, culturally: 0.599835799748
hospitable, reimbursable: -0.352868177781
mental, uncontroversial: -0.452203520646
finished, material: 0.135782445598
ensuring, specify: 0.841995609439
all-round, encouraged: 0.0
constant, original: 0.425498016419
inalienable, surely: 1.02995338825
forthright, maintained: 1.25797228836
de-insured, work: 0.0
bold, fast-growing: 0.0
but, international: 0.296745230298
profitable, unfair: 1.24997613068
doomed, unlawful: 1.00434916015
awaited, toxic: 0.803182794205
interminable, objectionable: 0.576327110743
targeted, technical: -0.036234755788
inaudible, pleasing: 1.53295544431
inequitable, unchangeable: 2.11401148034
inconsequential, twenty: 0.468401803762
executable, respectful: -0.342565185855
affected, stupider: 0.551075192396
confrontational, planned: 0.087623430366
richest, richest: 12.0667714711
dissimilar, pissed: 1.49541212153
everything, geographic: 0.233959024563
disgusting, serene: 1.30261566856
enabled, proven: 2.25493458903
coordinated, mama: 0.028061090574
imported, pertinent: 0.422761527782
considerate, mean: 0.93500436003
fascinating, sole: -0.187431031556
braver, user-defined: 0.0
appointed, withdrawn: 2.03363793366
furthest, prosperous: 0.251343730688
briiliant, considerably: 0.0
bankrupt, indispensible: 0.922223054839
brittle, loyal: 1.03845299633
endemic, sixteen: 0.172282300099
hateful, tailored: 0.606007260734
exclusive, serious: 0.116592540988
flawless, timid: 1.07026880505
advisable, sorry: 0.553447081687
a-okay, better: 0.0
proficient, treated: 1.38057972843
customary, maximum: 1.26814138175
frightened, hardto: 0.433497673628
grotesque, illusory: 3.0173759766
confident, lawful: 1.22069539341
get, stout: 0.491667282639
crafted, terrorized: 0.658666598668
six-year, unbalanced: 0.0
ever-increasing, neurotic: 0.0
empty, laughable: 1.67105461217
brisk, genius: 0.33066181154
self-governed, sexy: 0.0
dopey, tight: 0.726053827103
righteousness, stagnant: 0.25029994372
imrtant, swifter: 0.0
southeast, supreme: 0.252108285871
impressive, various: 0.454917292256
candid, thinner: 0.790021051663
included, stern: 0.280378099604
happier, sustainable: 1.80309250378
flat, improper: 0.647870196479
lousy, motivated: 0.624509003441
gender-neutral, horny: 0.0
on-going, prescriptive: 0.0
aggravated, stepped-up: 0.0
accuracy, undeniable: 0.834670532054
hotter, mainstream: 1.19928031967
freedom, performed: -0.196821655431
overheard, several: 0.415665513945
fella, well-structured: 0.0
breathe, gifted: 0.426983154415
basically, difficult: 0.978144135225
independent, intentional: 0.646911366005
suddenly, trivial: 1.2486008043
perfectly, pushy: 0.726630095596
challenging, younger: 0.732668680599
imperative, overwhelming: 1.50889802827
profitable, rad: 0.414333790115
eighth, upper: 0.930924921217
aforesaid, busy: 0.167848749344
coming, entertaining: 0.773606040454
badly, self-sustaining: 0.0
beautiful, moronic: 0.662012319352
2nd, rebatable: 0.0
agile, disparate: 1.85797551009
missingg, rough: 0.0
stranger, visibility: 0.855046320281
hollow, need-to-know: 0.0
decided, distracting: 0.601829449395
foolproof, unprofitable: 0.991375300786
disgraceful, hasty: 2.80348266779
modified, reaily: 0.0
loose, rad: 1.50760587438
damp, publicly: -0.415622289553
stranger, well-armed: 0.0
sal, thereto: 1.4785516911
reasonably, visual: 0.415943399655
aforesaid, lengthy: 0.797241991869
potential, sunny: -0.268915940449
intertwined, last-minute: 0.0
newborn, substantive: 0.048721196859
familiar, overt: 1.41204003905
anxious, dispersal: 0.13420617756
clarified, heterosexual: 0.385925684578
uptown, violated: 0.349619311263
elusive, sal: 0.382297616509
all-powerful, energy-efficient: 0
disappointing, overpriced: 1.82280095939
crude, skilful: 1.37289863201
ping-pong, treacherous: 0.0
mostly, scared: 0.926040763457
acknowledging, executory: 0.135631708469
determinable, especially: 0.240700425148
flattering, starker: 3.00054416521
conservative, stupider: 1.47802850423
extreme, refundable: -0.199663561061
stable, twelve: 0.926525358517
notable, stupide: 0.0
challenging, subdued: 1.7844769427
fewer, meritorious: 0.399153742655
hurtful, looser: -0.031444722676
ecstatic, momentary: 1.06377859535
chaotic, dead-on: 0.0
obese, unscathed: -0.129641722298
existing, reaily: 0.0
relieved, unrealistic: 1.01591291332
lukewarm, numerous: 1.19158262578
ill-conceived, incompetent: 0.0
brillant, laughable: 2.57694506109
bare, slimmer: 2.15593106844
needless, specifically: 0.473112109312
infeasible, useful: 2.61824867996
unaltered, warranted: 1.36414728794
losin, trained: 0.450426861682
awareness-raising, laudable: 0.0
bastard, marketed: 0.684040197623
impartial, opportune: 0.272774967708
time-consuming, user-friendly: 0
remaining, usable: 0.803136608828
humiliated, nasty: 1.35886355403
insincere, varying: 0.930938986446
detailed, generic: 0.95826269431
effectively, secret: 0.556594498191
net, tasty: 0.765246420959
immediately, roll: 0.326783687713
furious, hurry: 1.86094548733
facultative, unpublished: 0.923000940548
emerged, psychological: 0.520043784419
mightier, troubled: 0.722179568713
accountable, accuracy: 0.280359112355
death-proof, specified: 0.0
burdensome, depressed: 1.84055500774
homosexual, righteous: 3.33716488008
optional, snug: 2.5831644017
counterproductive, well-off: 0.0
co-chairperson, phat: 0.0
gender-neutral, opening: 0.0
absolute, apt: 0.993496643134
broad, unexpected: 0.465288983422
abundant, dynamic: 1.38935034948
reimbursable, results-oriented: 0.0
discretionary, specific: 1.60936815688
finicky, understandable: 1.94219504881
correct, occupational: 1.01480343161
recognising, unrestricted: 0.0
careful, lightweight: 0.329663818393
aesthetic, shit: 1.0687845687
by-election, good-iooking: 0
quadruple, state-funded: 0.0
unspecified, well-tolerated: 0.0
separate, unreliable: 0.308886494966
extra, much: 1.29734839834
unrealistic, wholly: 1.82060123497
almost, wing: 0.334817179016
heaviest, suited: 0.680073671814
similarly, urgent: -0.298516631572
emerging, upright: 0.19353909251
accuracy, ambiguous: 0.736826445946
ever, flexibility: 0.679192747107
exhaustive, perfectly: 0.691111163571
unacceptable, vigilant: 1.97053280346
hollow, time-consuming: 0.0
substantive, well-deserved: 0.0
non-transparent, overflowing: 0.0
straight, unwise: 0.606292662254
calculated, weary: -0.009438138364
affixed, then: 0.210002285389
answerable, insane: 1.44436351847
daunting, spicy: 1.0954610493
exhilarating, senseless: 1.65425677058
impenetrable, non-transparent: 0.0
grisly, mission-critical: 0.0
pronounced, tonight: 0.233070629183
jack, pragmatic: 0.009818993034
herein, unforeseeable: 3.56922739368
furious, respected: 0.892128629502
here, naked: 0.590545581103
darker, visual: 2.1939108721
dandy, rough: 1.37690524701
cost-efficient, hunger: 0.0
excitable, social: 0.38407459781
representativeness, shut: -0.864363301701
unspoiled, youngest: 0.834018871933
next, overridden: -0.029016282784
mieux, thirsty: 0.595618220962
back, light: 0.7111927553
stupid, unsustainable: 2.83058982902
exact, found: 0.27827930713
jam-packed, multi-dimensional: 0
definitive, resident: -0.62703737225
elongated, reality: 0.404159116043
mesmerizing, uneconomic: 0.476662347577
contentious, well-founded: 0.0
finished, ill-defined: 0.0
enraged, prejudicial: 1.74508070904
iate, marvellous: 0
built, dependent: 1.30705952401
excluded, mere: 0.874317070286
tacky, white: 1.77815754693
democratically, non-exclusive: 0.0
occupied, vital: 0.397951794047
freaky, generous: 0.748034884344
miniscule, stellar: 1.89978259868
fun-loving, gay: 0.0
annoyed, certifiable: 0.384185511999
down, fall: 1.29342741333
kind, robust: 0.72081515017
secondary, well-respected: 0.0
about, creepy: 0.742747158109
adaptive, mixed: 1.040086105
amazed, innumerable: 1.80289253619
ineffective, ungrounded: 3.22548707351
interestedin, principale: 0.0
-lnteresting, short-term: 0
super, whar: 0.0
flashing, moderate: -0.105592177234
excited, pathway: 0.490869726094
magical, trendy: 1.06716154217
smokin, unidentified: 0.487675324803
installed, prevailing: 0.181911970198
finally, homesick: 1.51064598492
creative, why: 0.375219708152
ill-conceived, probably: 0.0
despicable, well-paid: 0.0
muted, private: 0.720869733654
iil, past: 0.0
commensurate, syrupy: 0.022723430664
lost, muscovite: 0.250644481485
deeper, guaranteed: -0.069041613561
salient, satisfactory: 1.46140867068
greedy, smooth: 0.113520924443
inter-connected, pre-published: 0
ongoing, over-the-air: 0.0
agile, dispute: -1.2405053769
adamant, distressed: 0.555584618025
precious, ripe: 1.79505033889
routine, toxic: 0.262297054785
fanta, older: 0.134385365559
current, modern: 1.07342351985
average, blurry: 0.459000947734
sober, stark: 2.65716938202
diminished, stricter: 1.42006581988
amazed, underway: 0.192105211562
knowing, wary: 1.13218399337
heartfelt, unprepared: 0.658641563938
enhanced, roll: 0.574159826159
running, unoccupied: 0.85621270476
flammable, sole: 0.19091354979
silent, stringent: 0.512070530482
timid, visual: -0.045657520399
complementary, om-mazing: 0.0
inadvisable, medical: 0.136857378344
furthermore, supplementary: 0.96193126479
counterproductive, unconvincing: 2.21322173223
distinctive, repugnant: 1.18112202987
unrestricted, unsustainable: 1.70004829393
extant, spatially: 1.89619455136
glad, hard-pressed: 0.0
complete, intelligible: 1.25530956169
emotive, unjust: 2.10943920153
greedy, linked: 0.171659192681
improved, lovelier: 1.6410140574
all-important, likely: 0.0
notable, stark: 2.46439272941
created, shocking: -0.13357545743
adorable, dope: 0.727996509262
contemplated, western: -0.211371605891
biased, frazzled: 0.982494591731
dramatic, judicious: 1.43322682813
hereby, illiquid: 1.27723683548
incalculable, marvellous: 0.0
endemic, prepped: -0.309044513665
anyway, irreconcilable: 0.423425490711
re-established, varying: 0.0
detrimental, enforceable: 2.48717407875
energetic, ineligible: 0.243402177977
impressive, well-known: 0.0
marvellous, woolly: 0.0
multifaceted, thought-provoking: 0.0
gutsy, hip: 1.18571543734
estimated, found: 1.20410243586
precious, well-targeted: 0.0
dear, perplexed: 1.4121138094
absolutely, regular: 0.272467999592
closed, commenced: 1.97106000375
co-chairperson, unproblematic: 0.0
re-appointed, rich: 0.0
fruitless, genuinely: 0.136017360436
elderly, salient: 0.343491462632
acknowledged, reversed: 1.74830684574
ethical, launching: 0.171399645004
customary, max: 0.378216180443
ecological, sleepy: 0.345766318558
narrow, professionally: 0.026332517305
closer, dreamy: 0.691561331335
disgusting, expressed: 0.348640304572
full, routine: 0.308141258962
far-reaching, focussed: 0.0
free, hypersensitive: 0.913210186741
defenseless, indiscriminate: 4.36603131747
firstly, herein: 1.15658263267
master, stipulated: 0.547897943504
darkest, lasting: 2.77874471438
big, time-consuming: 0.0
awol, fiercer: 0.812997310135
abysmal, as: 0.439041748612
chubby, informative: 0.4251928282
thankyou, wanna: 3.04817875341
galore, trashed: 1.77477193861
absolutely, favoured: 0.0
circumneutral, iegitimate: 0
divine, expandable: -0.298915235417
deep-rooted, nonexistent: 0.0
all-encompassing, guys: 0.0
pretty, reiterate: 0.566053519649
recognized, toast: 0.542157115568
appealing, unsuitable: 2.48247885146
ruined, unjustified: 1.32055978146
monstrous, shorty: 0.791804091061
clear, opportune: 0.898550482442
foul, hysterical: 1.45004610551
insurmountable, unseen: 1.92524642749
gotta, mostly: 0.551461736236
unspecified, yo: -0.262163751074
closer, friendlier: 3.23988877317
plenty, pushy: 0.739849667009
admitted, either: 0.27508885985
feisty, large: 0.391252716396
satisfying, stated: 0.593303637972
macabre, reassuring: 1.24358479746
grave, pursuant: -0.11583752657
dear, economic: -0.015329145877
relentless, untapped: -0.356673236354
ridonc, sunny: 0.0
commendable, non-exhaustive: 0.0
advantageous, cheesy: 0.490356137699
based, impressive: 0.387332924209
deep, north: 0.751332625756
indian, magic: 0.608860729736
authorised, imperceptible: 0.0
full, minute: 0.436355579597
advantaged, moister: 1.56382530209
afraid, relatively: 0.652506812534
bare, get: 0.59332942067
baseless, hollow: 2.90195362619
encouraging, final: 0.230182213467
profane, yeah: 1.41510803651
fierce, why: 0.31905428818
affected, confusing: 1.17671758319
explained, organized: 1.16414473614
ingrained, pretend: 1.38025670806
lesser, twice: 1.01020811174
priceless, transparent: 0.479017740007
regardless, understood: 1.39020976858
high-availability, relentless: 0.0
as, intrusive: 0.33459374484
injurious, permissible: 3.76876388637
temporarily, thereto: 0.27604140745
healthier, transnational: 0.035537057451
cordial, plain: 0.89233982528
essential, resolute: 1.07303964
case, superstitious: -0.138950144035
alright, unsavory: 0.797080741888
-me, unrealistic: 0.0
conservative, salutary: 0.705287866784
circumneutral, unharmed: 0.0
bulletproof, selfish: 0.628414267652
non-self-executing, up-to-date: 0
speaking, unbiased: 0.760237057007
iil, inconceivable: 0.0
hurting, shortest: 0.193868025603
inter-linked, shaking: 0.0
aggravating, gravest: 2.22197633326
cranky, low: 0.608924422645
cost-effective, you: 0.0
1st, worrisome: -0.00702167425
productive, rational: 2.16404294363
interestedin, schizo: 0.0
blessed, factored: 0.945824172455
franco, longterm: 0.596784510896
clever, predictable: 2.56817585654
populated, well-prepared: 0.0
intense, over-ambitious: 0.0
cooperative, generated: 0.707098819896
pathetic, stout: 1.7883829814
embarrassing, ill-treated: 0.0
almost, improper: 0.192610267302
open-ended, unsolved: 0.0
over-optimistic, traumatic: 0.0
relaxing, ubiquitous: 0.383242457961
bereft, interactive: 0.235504412172
new, worst: 0.329958053016
another, bored: 0.415232845037
high-ranking, icy: 0.0
bleak, tighter: 1.91372329112
great, well-timed: 0.0
happy, need-to-know: 0.0
futile, small-scale: 0.0
content, unprofitable: 0.572789253373
desired, transitory: 1.33080691129
died, robust: -0.208302546393
fruitful, goal: 1.31299270181
childish, technically: 0.796378595783
motivated, tragic: 0.92891490559
ghastly, undetermined: 0.615237583161
intentional, well-done: 0.0
prominent, sour: 0.092332644317
heart-warming, infallible: 0.0
stylish, well-represented: 0.0
authoritative, industrialised: 0.0
buoyant, peculiar: 1.18124197484
ample, duty-bound: 0.0
juvenile, unattractive: 0.767863824436
freak, work: 0.24093486622
advantageous, maximum: 1.12233571895
away, innovative: -0.241087698719
completely, identifiable: 0.47963663773
asinine, inter-dependent: 0.0
imrtant, strictest: 0.0
gay, zero: -0.105943526576
last, unjust: 0.033571729573
bummed, impulsive: 1.66325864458
freezing, murderous: 0.872948333572
crude, secondly: 0.680739937614
back, fanta: -0.031345946258
flexibly, violated: 0.226096598589
cinematography, demanding: 0.4025452698
lastly, rubbish: 0.326866395324
enraged, policy: 0.489371628487
compulsory, generated: -0.046552509325
completed, sizable: 0.754555082269
awake, smarty: 1.29092131699
announced, safer: -0.114734185176
ageing, significant: 0.0
becoming, impossible: 0.74378732497
geographical, louder: -0.544902651665
grave, undeveloped: 1.40238483487
redeemable, wierd: 0.822989909599
forever, unusual: 0.107719688138
15-year-old, arming: 0.0
adequate, off-site: 0.0
babe, closed: -0.406908785249
minor, supportive: 0.491096034035
alike, deliberately: 0.79353124655
rugged, shaky: 1.71547598603
demented, dynamite: 0.783433347441
bitter, tepid: 2.33127398131
unproductive, valuable: 2.15536258627
faster, static: 1.50767377318
insulted, likely: 0.185935049061
arduous, famous: 1.03232074963
distressing, grave: 2.25197759041
delineated, korean: 0.838150975546
died, precise: 0.790726910997
complicit, parched: 0.746780212738
illiterate, unexpected: 0.112419806389
dazzling, dominant: 2.23854120712
prettier, vice-chairman: 0.0
awareness-raising, scheduled: 0.0
material, retarded: 0.720229979141
loveable, used: -0.25988208438
amusing, self-sustaining: 0.0
messy, shaun: 0.034933226233
compassionate, remaining: -0.002995077295
bad, educated: 0.242393398055
audience, narrower: 0.488135022567
blow, so: 0.653883660849
direct, invaluable: 1.30383655885
contradictory, non-competitive: 0.0
irritating, wrecked: 0.773674233803
challenged, derisory: 0.244267132367
dormant, enabled: 0.594669725734
patience, rock-hard: 0.0
cheery, egregious: 0.63729303698
inexcusable, unconventional: 0.601224676731
egocentric, re-appointed: 0.0
diseased, milder: 1.58710707945
expanding, fools: -0.232139798208
additional, rotten: -0.483912092066
educated, new: -0.022699784319
freaky, onerous: 0.972287700069
hiv-infected, unlawful: 0.0
elevated, well-controlled: 0.0
analogous, conducive: 2.85293504436
astounding, suicidal: 0.599731968376
staggering, tangible: 1.38919797151
secondly, that: 0.696395144677
unforeseen, warranted: 1.66558777522
apparent, determined: 1.30768615985
energy-efficient, non-discriminatory: 0
do-able, incongruous: 0.0
religious, unavoidable: 0.692717451306
bright, dedicated: 1.23029522674
familiar, use: 0.691381128688
goal, usually: 0.024322833944
competitive, with: 0.114271538084
atrocious, personalized: 0.010380587115
gay, self-aware: 0.0
far, informal: 0.469170420083
ripe, unsuccessful: 1.08721692151
accomplished, liberated: 1.5295084258
restored, unproductive: 0.021360372811
disturbing, erroneous: 1.99824952645
ail, overburdened: 1.37699697426
authoritative, dominant: 2.05912150149
pleasing, straightaway: 0.549980911012
amazed, eventually: 0.633108691849
cheery, submitted: -0.164991560288
apolitical, eastern: 0.243521851768
prohibitive, snappy: 0.237716481449
beastly, carefully: 0.809615782773
responsive, treaty: -0.431185418433
bothersome, same: 0.397602037706
anticipated, non-compliant: 0.0
crummy, staggering: 1.55865096503
novel, pointless: 0.767884882078
misleading, non-binding: 0.0
acquired, death-proof: 0.0
fantastic, slower: 1.08450890089
complicated, flashing: -0.206163949499
compassionate, stressful: 1.90282656132
bonnie, continual: 0.191803547598
practice-oriented, yellow: 0.0
accepted, powerful: 0.024274698891
merry, visible: 0.107265637162
multi-disciplinary, past: 0.0
disappointing, way: 0.695945941022
expandable, mesmerizing: 0.340756431047
permissible, poverty-stricken: 0.0
occupational, treatable: 2.26271237191
defective, protracted: 0.497646107386
greatest, participants: 0.292622024965
challenged, emerging: 0.408192140484
desperate, frantic: 4.05388686821
self-reliant, uncertain: 0.0
costeffective, oriental: 0.557405993681
environmental, timid: 0.446889006858
unfounded, warmer: 0.027051666867
absolute, challenging: 0.34609789829
clara, susceptible: 0.181633697515
skilled, tabling: 0.293995412883
pre-published, technology-neutral: 0
costlier, pray: -0.17702193796
already, unfounded: 0.812800524337
amended, specialized: 0.639392255137
doubtful, to: 0.0
articulated, unfeasible: 0.739163648524
inhumane, unwell: 2.28199760408
disruptive, economical: 1.54623615038
down, fifth: 0.534639886922
adopted, insulted: 0.779656185623
bigger, clare: 0.002168845713
comprehensive, psychogenic: 0.467502423556
danger, long-lived: 0.0
bogus, confidentiality: 1.39744293484
atrocious, donkey: 1.23514283997
cold, holy: 1.00498121718
formidable, operated: 0.495756785728
incapable, sensational: 0.625330674864
-, bullshit: 0.0
elle, refusal: 0.875720074362
generous, jump: 0.056098073692
incalculable, organized: 0.641461639389
outdated, painless: 0.983902369104
go, worthless: 0.785816458749
irrational, liberated: 1.30355718753
miscellaneous, ordinary: 1.11182072377
excellent, fixated: 0.091581542274
neurotic, roll: -0.221249542493
muscovite, wary: -0.097193710262
polluting, zero: 0.564815560361
fabulous, pitch-black: 0.0
catastrophic, slick: 0.941211350951
pro-poor, superficial: 0.0
contrary, emotive: 0.594338974324
astonishing, over: 1.01298960796
hazardous, high-ranking: 0.0
asinine, elegant: 0.262018833994
green, silly: 1.06335287568
afflicted, disappeared: 1.7477000161
consulted, most: 0.321492636956
considerable, unbearable: 2.07348113736
furious, unwell: 1.60314446782
out-dated, recognizing: 0.0
streamlined, thankyou: 0.198953295551
fuckin, missing: 0.070784433634
improved, snappy: 1.00718710853
outside, represented: 0.467264821524
erected, trusted: -0.323979859332
squat, terminated: -0.830328821511
discussion, good-looking: 0.0
interwoven, preceding: 0.961511357223
exemplary, non-specific: 0.0
david, diligent: 0.405167866389
darkest, illicit: 1.00444461297
effectively, irritable: -0.150742253086
collective, complacent: 1.16640146864
mostly, to: 0.0
grown, muscovite: 0.491488836894
enormous, heavier: 1.63768864442
democratic, mla: 0.907276016206
inconclusive, ungrounded: 1.14480172593
desired, touching: 0.240125805765
aggravated, straight: 0.991462836523
indisposed, perplexed: 2.47308239298
off-putting, this: 0.0
panicky, varying: 0.320361825392
crowded, paranoid: 1.30690157864
ideally, miserable: 0.193247639018
orderly, two-fold: 0.0
already, outrageous: 0.486316070407
breadth, staff: 0.923548462518
fucked-up, smallest: 0.0
advertised, right-: 0.0
creepy, proficient: 0.693865647812
certified, unresolved: 0.248153409822
secondly, simplest: 1.45593833502
linked, roisin: 0.0
heated, southwestern: 0.194037002121
armored, centralized: 1.04764134115
environmentally-friendly, noticeable: 0.0
affluent, unfounded: 0.387105585779
emphasise, squat: 0.0
honoured, two-fold: 0
linked, ready: 0.477436532694
entirely, latter: 1.01702043281
rooted, systematic: 1.03410162232
messy, self-sustaining: 0.0
inter-linked, macabre: 0.0
