adapted, marketed: 2.89288611474
minute, running: 0.274599643324
discussion, intolerable: 0.330947736645
content, rationalized: 0.60326599027
blurry, rude: 1.44002614592
bigger, flashing: 0.736552672534
livid, wider: -0.111717780866
babe, unforeseen: 0.005135687521
industrialized, shameful: 1.78829410705
iate, non-toxic: 0
awake, responsibility: 0.745999559003
indispensable, part: 1.16523299004
enchanting, enhanced: 1.32371647674
automated, spooky: 0.97131324837
cruel, ensuring: 0.061821529386
dubious, self-governed: 0.0
enough, fun: 1.42384527542
bravest, in-flight: 0.0
determining, omnipresent: 0.005960308029
miserable, promising: 1.56309257351
confident, neutral: 1.20231027804
indispensable, naive: 0.836316135649
elusive, ubiquitous: 2.3874965856
intact, well-developed: 0.0
constrained, observant: 1.7457062004
already, secret: 0.716876862895
strong, valuable: 1.55500530628
doctor, thankyou: 0.961072730761
parallel, running: 1.32089988689
deep, frank: 1.3987508805
self-financing, trashy: 0.0
enough, welcome: 0.522626220665
bold, pathway: 0.200029824709
relevant, trippy: 0.611662139797
deficient, vocational: 0.997067399082
beloved, obnoxious: 1.53753949377
extraordinary, nineteen: 0.50601489506
darker, win: 0.036237393536
sexy, trained: 0.42923201955
shaky, unnatural: 1.19845195358
multi-layered, recheck: 0.0
naughty, south: 0.216299722891
ephemeral, exorbitant: 1.12836367701
combative, oriental: 0.411356540405
fearless, flattering: 1.77588389748
categorical, simplest: 1.19947143213
degrading, fairly: 0.929238025998
evident, preoccupied: 1.7955986251
cleared, entrenched: 0.682403016408
overkill, trained: -0.29190979596
safeguarded, upright: 1.04866356025
numerous, slim: 0.49935734116
contrary, frankenstein: 0.482469726166
shocking, sound: 0.463469270866
likely, voluntary: 0.626572571036
brisk, fast-switched: 0.0
clarify, sacrosanct: 1.05894680269
everyone, government-owned: 0.0
massive, pragmatic: 0.078103559617
blurred, checked: 1.43266260769
-ready, certain: 0.0
non-self-executing, solid: 0.0
overpriced, repugnant: 1.69119515393
diverse, inter-related: 0.0
prohibited, young: 0.011397892944
incompetent, state-of-the-art: 0.0
automatic, steeper: 1.67301830887
listed, maximal: -0.621165526505
busted, looking: 0.928367966192
intricate, off: 0.317354476436
outstanding, pressing: 0.456623839237
homosexual, non-discriminatory: 0.0
clara, counter: -0.015874008283
coarser, ioaded: 0.0
indispensable, suddenly: 0.991583965151
provisional, typically: 0.263784811698
hip, well-represented: 0.0
finally, non-discriminatory: 0.0
felt, moister: 1.49215802032
endearing, mortal: 2.01897338523
involved, tremendous: 0.695279543375
mid-sized, precisely: 0.0
primordial, unprepared: 0.659228850585
aggressive, stated: 0.717214020708
defunct, disrespectful: -0.411858622512
egotistical, fake: 0.98891829184
inherent, overripe: 1.76120476856
fine, quiet: 1.20072343207
muscovite, undisputable: 0.379172376101
acquired, elsewhere: 0.371270875508
do-able, simplistic: 0.0
asian, widespread: 0.382471069474
mediocre, twelve: 0.656020260706
efficient, moderately: 0.75691653467
designated, multidimensional: -0.168498592977
excessive, urgent: 1.25539073113
ever, prevalent: 0.675953349528
counter, knowing: 0.287289846467
remaining, terrified: -0.225923092903
disputable, honourable: 0.0
heavy, sinful: 0.975930519952
cross-border, treacherous: 0.0
back, emphasise: 0.0
griet, intelligent: 0.0
brave, treble: 0.283162150447
polished, stressful: 0.66423554418
distinguished, overlooked: 1.46953270373
neutral, unprecedented: 0.237978056096
expandable, unseemly: -0.23161204476
welcomed, wierd: -0.393975084149
near, spooky: 0.552396773586
again, inexpensive: -0.218251411893
treaty, unrestricted: 1.00530800054
babe, unwarranted: -0.33078158752
-lncredible, released: 0.0
high-cost, reasonnable: 0
crummy, dickish: 2.05830742366
grotesque, matched: 0.472084962836
proper, valuable: 1.48485058495
moderately, really: 0.88818109659
chloe, intriguing: 0.348455770785
distressed, well-received: 0.0
diligent, represented: 0.522891009925
fairest, shocked: 0.949278197061
glamorous, respendable: 0.0
use, warranted: 0.807169332108
admitted, childish: 0.53327329241
disappointing, require: 0.115028724347
acute, desirable: 1.58106138199
absent, delicate: 0.398595878433
murderous, powerful: 1.77275677616
dope, just: 0.971614184567
adjacent, operational: 1.25478644407
blow, idle: 0.335444497284
forceful, moreover: 0.83486089025
open-minded, unsuccessful: 0.0
10, scanty: 0.0
her, skinny: 0.605422419919
emaciated, heinous: 1.90555325834
craze, destructive: 0.709092314071
okay, wrecked: 1.41933589161
clare, implausible: 0.144073574316
indiscreet, untenable: 2.4337916293
distressing, graceful: 1.19092302465
heated, material: 0.418144453873
public, stopped: 0.168836027979
charged, plentiful: 0.258251231526
desirable, unfit: 1.82947081966
flattered, lacking: 1.29800198303
automated, slippery: 0.694373011894
thick, unavoidable: 0.579485361424
pretend, under-funded: 0.0
bastard, well-placed: 0.0
debate, payable: -0.660980100216
democratic, personalized: 0.138732124847
discussion, illustrative: 1.33168237436
queer, well-organized: 0.0
passionate, rank: 0.22899574537
peachy, redeemable: 1.03160799756
bereft, varying: 1.27680978684
non-binding, schizo: 0.0
okay, proven: 0.12084667064
-good, appreciated: 0.0
multi-disciplinary, over: 0.0
dreamy, started: 0.275544826456
free, salutary: 0.693636632954
lighter, stir-crazy: 0.0
erroneous, well-organized: 0.0
dire, favoured: 0.0
alarming, luminous: 1.44330754099
classy, potential: 0.012129981911
certainly, over-the-air: 0.0
friendlier, hon: 0.581260447329
greedy, race: -0.029139940451
fit, unbearable: 0.55816680693
stimulating, together: 0.960663870516
black-hearted, mightier: 0.0
faultless, unrelated: 0.083239251249
two-pronged, vivid: 0.0
mistreated, preponderant: 0.807244346413
humiliating, senior: 0.34102948935
danger, rational: 0.977751018382
chaotic, unfettered: 1.91116260661
corrupt, latest: 0.205168079714
last, placed: -0.118622635644
hairy, poor: 0.898453455745
long-term, uptight: 0.0
dual, lovely: 0.278411240639
counter, determining: 0.070594041368
inspirational, respected: 2.21100839247
long-term, switching: 0.0
fraudulent, mistreated: 2.15447661503
dotty, unhelpful: 3.05019146824
generic, nutty: 0.515945703173
butthead, do: 1.17023141891
official, starker: 1.0026832227
ill-founded, unaffordable: 0.0
impeccable, permissible: 0.490650907895
end-to-end, junior: 0.0
fuckin, mediocre: 1.25435048843
coast, right-: 0.0
move, noisy: 0.672982845296
astounding, ping-pong: 0.0
adopted, inexcusable: 0.403099768184
sizeable, unspeakable: 0.653287450302
advertised, pointless: 0.521182905109
coordinated, patentable: -0.210653523231
complete, elegante: 0.0
fairer, majeure: 0.1047073653
indian, magnificent: 1.02076127988
hon, practical: 1.67662103785
depressing, self-sufficiency: 0.0
defensible, selfevident: 0.0
optimistic, well-suited: 0.0
audience, receivable: -0.186920975275
famous, thrilled: 1.08389587047
agreeable, ideal: 2.87169634813
corny, high-ranking: 0.0
stuffed, unjustifiable: 0.681542332241
bravest, modern: 1.36096903185
bigger, doomed: 0.689385174467
hardto, midget: 0.339588072736
reasonably, self-executing: 0.0
clare, insincere: 0.065994653983
task-oriented, trusted: 0.0
allowable, overall: 1.19591789892
thereto, upset: -0.395722997971
experienced, stupid-looking: 0.0
exactly, unemployed: 0.480185418188
decent, egregious: 1.27503946509
good, mainly: 0.8207831347
ample, princess: -0.062390726358
forthcoming, reprehensible: 0.254543974542
issued, therefore: 0.466418745731
green, upper: 0.200731751657
actionable, come: 0.588684407615
fledged, improbable: 0.73478239341
cautious, inconspicuous: 1.39155102349
ruined, transitional: -0.172908789058
equivocal, little: 1.10124436132
bummed, pro: 1.07352813398
denser, sedentary: 2.63181555496
even, provisional: 0.177648267087
designated, unfortunate: 0.326152830537
pleased, rubbish: 0.150891746343
fluid, inspirational: 1.13634899815
filthy, intolerable: 3.45869181477
happier, insufferable: 1.41995164362
wetter, worded: 0.608943826508
as, dear: 0.363400211647
harmful, unnatural: 2.94978056497
nosy, sacred: 0.566365069528
commendable, marvellous: 0.0
invariable, rough: 0.567035691634
invested, jeopardized: 1.1937496268
overloaded, specifically: 0.045059459574
-so, sexy: 0.0
conducive, reyes-torrena: 0.0
vegas, well-deserved: 0.0
bloodied, spotless: 2.47168570612
handled, ju: -0.225694817416
afraid, major: 0.347540277839
internal, pronounced: -0.201023359009
adaptive, breathtaking: 1.05994324146
admitted, incredible: 0.37029635218
overemotional, terrific: 0.799560516213
fourth, outside: 0.614248262315
meticulous, perfectly: 1.91935213352
sonny, unconvincing: 1.09222249673
additional, unprecedented: 1.89987197127
dazzling, distressing: 1.12504008938
diseased, opportunity: -0.00695243255
hinky, screwed: 2.93712099234
safeguarded, secretive: 1.71367299679
batty, concerted: 0.979693810324
distributed, realist: -0.60717274793
present, watchful: 0.962144268849
adversarial, impracticable: 3.27138081508
ample, mieux: 0.370364936817
thus, timed: 0.380337717253
premature, right: 0.724337693661
lost, unaltered: 0.524175282395
heights, this: 0.602374657978
manageable, meritorious: 0.184469660511
flagrant, insensitive: 2.77083860122
insupportable, non-binding: 0.0
-ready, profitable: 0.0
robust, work: 0.413114884373
far, time: 0.687844246684
impenetrable, presentable: 1.07798834386
horrifying, wider: 0.97356514931
e.g., science-based: 0
holy, rude: 1.13033991514
flexibility, transparent: 1.90549591435
equitable, inexhaustible: 1.414453668
louder, neurotic: 1.56034324587
psyched, well-tolerated: 0.0
brain-dead, cost-effectively: 0
impartial, obtainable: 1.23913161947
good-looking, unsatisfactory: 0.0
ludicrous, unable: 1.16067677355
distinguishable, whassup: 0.533260920374
cheery, intricate: 0.590333452936
cheesy, stated: -0.258799304158
persuasive, vulgar: 2.22937826381
by-election, grieved: 0.0
confusing, useful: 2.67023635522
dark, friendly: 1.0597246428
odious, unified: 0.549420395509
chosen, light: 0.218607154102
insignificant, race: 0.245441032253
sonny, thirsty: 1.34072968005
filthy, negative: 1.29519015359
19, mostly: 0.0
scheduled, set: 2.10722081091
cancelled, typical: 0.0
impermissible, wider: 0.368383459242
annoyed, fine: 1.2136878554
impeccable, irreconcilable: 1.1566216235
extensive, so-called: 0.0
meagre, tall: 0.0
daunting, unjustified: 0.482387305614
out-dated, paid: 0.0
franco, transient: 0.539915818106
longterm, pertinent: 0.336304124524
latter, well-respected: 0.0
focussed, sir: 0.173766970133
absolute, considerable: 1.50607496039
multifaceted, thriving: 1.48042477219
laddie, vacant: 0.034289928447
all-important, safe: 0.0
fall, futile: 0.26198176367
junior, rad: 0.087513827618
awol, hopeful: 0.219859047701
acquired, met: 1.00737696952
asian, heavy-handed: 0.0
daunting, spoilt: 0.0
merely, sunnier: 0.862832494915
as, groovy: 0.015647466246
traffic, wounded: 0.350827076211
richer, scalable: 1.67214784549
busy, life-long: 0.0
calculated, urgently: 0.343250906516
customary, supra: 0.973831227292
immeasurable, modified: -0.471840702216
developed, receptive: 1.35469958924
although, frazzled: 0.063546850149
mediocre, scarlett: 0.51134324009
repelling, tailor-made: 0.0
ineligible, leading: 0.240598076029
enhanced, motherfucker: -0.444251230599
furthermore, u.s.: 0.0
redundant, remote: 1.70546444769
last, temporary: 0.621554745161
constrained, traditional: 1.08916656535
selected, sorry: -0.031680602879
expedient, yearly: 0.192124624948
merciless, repayable: -0.691785988023
ignored, implacable: 1.45745575967
moot, singular: 0.990777482208
intolerable, nationwide: 0.580153305869
recognizes, welcome: 1.7735733743
determinable, nessessary: 0.0
depraved, rarest: 2.89258620948
expedited, infeasible: 2.08631411921
enduring, west: 0.510367860542
extraneous, sleeping: 0.061438440924
equivalent, every: 1.5220723225
all-out, okey: 0.0
harmful, newest: -0.230939504582
ma, twice: 0.473881682842
substantive, worrisome: 1.42661142896
creation, up: -0.00989075112
requests, stumpy: 0.361400213907
fragmented, honored: 0.060726744307
fools, self-reliant: 0.0
fruitful, material: 0.211263428606
chaotic, pray: 0.604725799087
enhanced, reasoned: 0.231298533259
obliged, single: 0.462839815344
co-funded, sixth: 0.0
factored, major: 1.49777728115
contestable, stressful: 1.25244105683
estimated, plenty: 0.811421871716
motherfucker, understandable: 0.453496306748
captain, unharmed: 1.0193649681
depraved, internal: -0.066803918184
prosperous, recognising: 0.0
impartial, stand-alone: 0.0
ridonc, unfortunate: 0.0
helpless, meaner: 1.84254739623
southeast, vice-president: 0.0
blended, powerful: 0.641393794386
elusive, needy: 0.55727942782
dishonest, monstrous: 1.44713427024
generally, self-contained: 0.0
null, solidarity: 1.31721134911
largest, remarried: 0.620722846915
incomplete, mind-boggling: 0.0
near, successful: 0.128854342893
blinded, heterosexual: 1.59148366396
inadmissible, saying: 0.687860827596
agreeable, under-inclusive: 0.0
factored, sacred: 0.244448856528
absent-minded, used: 0.0
fucked-up, inter-related: 0
advanced, delusional: 0.407604224272
destructive, ensuring: 0.502445544102
suicidal, topnotch: -0.147380081903
reduced, together: -0.112033117312
religious, rising: 0.286214837611
negligent, owned: 1.79281342496
biased, probable: 1.38425790201
brand-new, stunning: 0.0
hysterical, motivated: 1.17605088307
selective, traded: 0.362654821861
unlocked, unquestionable: 1.16483059809
liquid, nude: 1.07766287299
spooky, unfilled: 0.561148145379
detrimental, tricky: 1.762917318
overpriced, unfathomable: 1.41392766369
annually, flattered: -0.07457570753
comforting, nearest: 0.659429947711
cold, widest: 0.085650497598
craze, hunger: 1.57278068509
adverse, ugly: 1.25381214586
confidentiality, short: 0.169084530617
awake, various: 0.190464896493
baseless, in-flight: 0.0
designated, dressed: 1.18384375788
hungry, saying: 0.717634652612
conscientious, overloaded: 0.763593999824
bitter, unlikely: 1.45579956961
obliged, pretend: 1.61304956586
ago, scandalous: 0.519501643642
find, submitted: 0.598968433132
needy, overridden: -0.149979035216
directly, unbearable: -0.306250563636
heavier, stringent: 2.43863749366
distinguished, instable: 0.649781740169
integrated, master: 1.19930051921
all, personally: 1.05523410422
ill-founded, trippy: 0.0
by, considerably: 0.70855477864
determining, justiciable: 2.02688799941
first-rate, secretive: 0.0
ever-increasing, stranger: 0.0
complements, especially: 0.839334096532
possibly, severely: 1.07160834406
booming, fair-minded: 0.0
bureaucratic, well-filled: 0.0
exemplary, southwestern: 0.963141352053
felt, problematical: 0.702951610095
moving, touchy: 0.765613321779
mainly, younger: 1.20208586616
grown, momentous: -0.113818710446
well-received, wished: 0.0
affordable, unrealistic: 1.59117229716
humble, symbolic: 1.58466789165
insubstantial, internationaux: 0.489032398921
authoritative, organic: 0.666859424491
cautious, toxic: 1.44624076451
inter-dependent, powerful: 0.0
jurisdictional, master: 0.011232901166
aesthetic, weirder: 2.12911843166
frazzled, joyous: 2.07691474096
heterogeneous, predominant: 2.4259704412
exclusive, reduction: -0.453174071362
distraught, useable: 0.106354289304
honourable, newest: 0.0
finer, seamless: 1.56070128606
dismissed, twisted: 1.01543665045
marty, technically: 0.500212598133
fragmented, thicker: 1.18815536789
comfy, hardworking: 0.999057924422
defective, ineffective: 3.59491231384
lucky, virtuous: 1.4246153247
frightening, intertwined: 1.86563745905
occurring, scanty: 0.736789901453
galore, graver: 1.53462075763
freest, homicidal: 1.49430675205
hilarious, unhurt: 1.49246001052
considerate, horseshit: 0.928700126698
newborn, supportive: 0.652807685739
abrasive, mind-boggling: 0.0
cheaper, staggering: 0.477677277627
go, widely: -0.38906408587
inoffensive, run: 0.372356297197
unproblematic, urgent: 1.25836855026
darn, tall: 1.63497234094
fair-minded, tolerated: 0.0
junior, vain: 0.151410410789
long-term, pleasant: 0.0
celebrated, hurry: -0.018332698935
inevitable, subtle: 1.66714370189
generic, same: 1.17551928497
dispersal, wack: 1.00152052265
misguided, nutty: 2.44433440075
dorky, elementary: 1.35882643513
becoming, stiff: 0.096243367279
complements, excitable: 0.128970923835
detailed, self-sufficiency: 0.0
priceless, sale: 1.08448183425
abnormal, disciplined: 1.19456057202
transitional, up: 0.492566626016
jump, tighter: 0.79684424741
irritated, listed: 0.064238891141
anyway, collective: 0.533805945494
issued, scarcer: 0.34691360401
polite, smooth: 2.71001567335
equitable, inoffensive: 1.56477954081
for, momentary: 0.250829492301
disagreeable, nessessary: 0.0
prestigious, secondly: 0.170131303967
brightest, imrtant: 0.0
exclusive, tailor-made: 0.0
attractive, outrageous: 1.35419067933
certified, regardless: 0.673397144485
complete, warm: 0.170892411806
liable, maintained: 1.05914754313
mysterious, organised: 0.0
happiest, longitude: 2.29917317499
ridiculus, unlawful: 0.894878364477
giant, unnatural: 0.843097717227
abusive, fucked: 2.11837365226
implacable, insincere: 2.0022326928
funny, susceptible: 1.54486735876
heavier, meaningless: 0.39002146164
contemporary, insufferable: 0.717711352524
extra, segregated: 0.429847127998
complacent, deader: 1.34094032829
even, free: 0.625291439001
engaged, of: 0.0
flawless, upper: 0.058104318927
disrespectful, startled: 2.41647101319
dynamite, wrongful: 0.442281072795
demonstrated, honourable: 0.0
mean, monstrous: 0.710784827261
depressing, hurting: 2.6747411396
expressly, open-minded: 0.0
big, newborn: 0.435879690547
application, symbolic: -0.088582703182
constantly, undesirable: 1.11146021604
eerie, uncomplicated: 1.10346782252
disgraceful, fair-minded: 0.0
deliberate, rarer: 0.415457743557
ashamed, even-handed: 0.0
infeasible, jurisdictional: 2.29019488591
deprived, lacking: 3.55912150834
ashamed, simpler: 0.365131890322
hurt, unwarranted: 1.49951387071
inequitable, otherwise: 1.17251207725
enforceable, humiliated: 0.761507820399
happiest, youthful: 1.1024611272
her, illogical: 0.408996838666
deliberate, liberated: -0.113630620716
shitless, wide-ranging: 0.0
automated, relaxing: 0.25959070348
loyal, repayable: 0.942140341954
grateful, smaller: -0.10848616093
muchfor, principale: 0.0
apologise, unsatisfactory: 0.0
courrier, livid: 0.401612554254
eleven, rescinded: 0.100731074827
named, started: 0.684378160809
exactly, swearing: 0.384661370034
principale, reality: -0.291260174242
unremarkable, vocational: 0.565112403102
girl, rampant: 0.48013106751
entirely, restful: 0.554009237757
thinner, unabated: 0.718052403523
beneficial, om-mazing: 0.0
blunt, well-balanced: 0.0
appalling, multiple: 0.27842206806
favorite, subsequent: -0.154890489283
keen, rooted: 1.30128639052
fiine, recommendable: 0.0
disoriented, mysterious: 2.48014386983
accuracy, romantic: -0.137722538829
non-exclusive, re-appointed: 0
come, rampant: 0.787019923683
broadest, unnerving: 0.36904991197
handicapped, preliminary: 0.106217558195
okey-dokey, squat: 0.0
preposterous, unfavourable: 0.0
displaced, well-formed: 0.0
debate, fiercer: 1.05308483617
patient, updating: 0.857033568412
hard, scalable: 0.5751917786
silent, skeletal: 1.54294713833
exhaustive, polluting: 0.502426046345
malicious, poorest: 0.448625642805
alone, fun-loving: 0.0
skeletal, soothing: 0.677037795065
matched, regardless: 2.0883384586
ineffectual, striking: 0.422965311631
damaged, mid-sized: 0.0
info, prestigious: 0.263965463552
clearer, southeast: -0.141575575029
bi-directional, differing: 0.0
leaner, spotless: 0.794797767515
irritating, nobler: 1.33786471523
categorical, irrelevant: 2.17768414052
hard, reaily: 0.0
humbled, inoperable: -0.058373415343
stronger, unlikely: 1.50524551992
disappeared, minuscule: 1.20769526241
acceding, devastating: -0.095323756857
long-standing, secretive: 0.0
busted, searchable: 0.665351257612
dickish, rad: 2.5026326032
dramatic, separate: 0.412794883089
interesting, sure: 1.54604810807
improper, ourselves: -0.036436587569
losin, rooted: 0.758534379963
recognizes, reprehensible: 1.07872442074
interdependent, mistreated: 1.35198196733
earlier, expedient: -0.081994487168
presentable, sing: 1.19103953929
hopeful, strictest: 0.315650662362
freest, proceed: 0.666865063461
injured, really: 0.523399144285
amiss, unlimited: 0.007347352786
five, voluntary: 0.544904394772
hypersensitive, secretive: 1.93799520247
frequent, neutral: 0.733455965986
better-educated, important: 0.0
perilous, politically: 1.86956008324
scientifically, warmest: 1.26919799616
courageous, flame-retardant: 0.0
blessed, confrontational: -0.040719796644
bitter, viable: 0.195864126288
agile, eccentric: 1.76234671155
multifaceted, superior: 0.958466541142
environmentally-friendly, overridden: 0.0
best-known, working: 0.0
cheapest, known: 0.930059187488
masterful, pathway: 0.209346152611
crushed, doomed: 2.37362127773
arranged, lead: -0.145846728086
high-cost, smart: 0.0
adorable, altered: 0.281345635082
advanced, unwell: -0.017382426311
nothing, predominant: 0.313835805587
indiscreet, slower: 0.563245179099
religious, unfortunate: 0.604784231597
disturbing, housebroken: 1.30202819151
to, you: 0.0
discretionary, elegante: 0.0
polite, supported: 0.3117175719
initially, satisfactory: 0.416086054363
dependable, western: -0.071812207988
proportionate, tedious: -0.056480672109
comfortable, dope: 0.573035022035
counter, slender: 0.783284929954
meticulous, security: 0.543768633808
emotive, handy: 0.759510029153
faster, flaccid: 0.870502994236
flexibility, nearest: -0.196256118243
former, sixteen: 0.170104188818
hospitable, nathan: -0.199797326127
exceptional, utopian: 0.016188136133
functionally, stricter: -0.070900410285
redundant, us: 0.315545819259
modified, temporary: 0.958804949215
glad, paranoid: 1.32066380499
completely, parched: 0.206355287619
built, well-trained: 0.0
exactly, unabated: 0.112872489377
specialised, superfluous: 0.0
imrtant, incompetent: 0.0
ambiguous, broader-based: 0.0
carefully, vain: 1.29583168493
korea, quickest: 0.829345715924
functional, time: 0.071179992542
content, egotistical: 0.790106796288
informal, opposed: 0.946221821664
homicidal, pleasant: 0.865719867468
like, troubled: 0.406628987261
abrasive, whilst: 0.362363954742
clear, wrong: 2.14873632162
courageous, sealed: -0.252146952765
clearer, disappointed: 1.08185558828
frankenstein, jealous: 1.13573517209
culpable, unharmed: 2.87162887252
elementary, terrifying: 0.671039657965
feasible, odious: 0.784260507916
canceled, staggering: -0.113621512388
disrespect, whilst: 0.375321500504
convincing, pronounced: 1.25190218061
growing, idle: 0.374298915997
imperceptible, self-serving: 0.0
hour, unoccupied: 1.13990244212
nationwide, slightly: 0.161575515747
sold, user-defined: 0.0
smallest, vigorous: 0.302565146173
adopted, quoted: 0.83148214242
celebrated, non-transparent: 0.0
educated, than: 0.988678929675
buoyant, flexibly: 1.75383520271
emotional, stoned: 0.482075371662
explicit, knowledgeable: 0.866209697024
absent-minded, thanks: 0.0
ice-cold, rational: 0.0
abreast, opposite: 0.156314193917
adaptable, anything: 0.84053076012
reciprocal, tolerated: 1.50172089893
culpable, impatient: 2.16254911241
fifty, hazardous: 0.350293480963
empty, transparency: 0.432185396257
imperceptible, yellow: 0.735371027266
less, underfunded: 0.990865524054
shit, vivid: 0.558294056154
interoperable, unbecoming: 0.634650824896
foreseeable, significantly: 1.02060141541
connected, year: 0.244922174239
consequential, physically: 0.523529859167
baseless, timelier: 0.471934078777
energetic, suspected: 0.111810841225
jeopardized, rough: 0.887473908995
beautiful, simplified: 0.83096450356
average, insincere: -0.090522189844
inviolable, outrageous: 1.49627844518
