effectively, unexceptable: 0.0
alarming, ideal: 0.996476097188
as, nearly: 0.397021663777
difficult, revealing: 0.556950721917
irritable, only: 0.315157713708
adversarial, need-to-know: 0.0
horrifying, in: 0.455101027491
-sorry, unsettled: 0.0
busier, human: 0.186899050171
old, well-prepared: 0.0
arming, rough: 0.694855728099
heart-warming, stable: 0.0
iilegal, smarty: 0.0
for, gravest: -0.007645535491
awkward, illustrative: 1.43262611586
emaciated, handling: 0.274566052838
enormous, erroneous: 1.11252749529
demonstrated, surprised: 1.10037011125
definite, rock: 0.604468174199
antiquated, hazardous: 1.53460701888
handled, skint: 0.112423688233
top, wicked: 0.470914439527
sal, warmer: -0.054694098665
broke, optimal: -0.146186519707
pleasant, technical: 0.042900909337
surreal, thirsty: 0.850188914536
able, pervasive: 0.548067370529
bad-looking, weak: 0.0
elaborated, uninsured: -0.161632034336
like, whatever: 1.3689302572
braver, moderate: 0.677923499341
innocents, unavoidable: 1.56193305138
craze, unpublished: -0.613602678267
brand-new, humiliating: 0.0
discernable, emerging: 1.05733923597
apolitical, grouchy: 1.7595631776
negligible, self-sufficiency: 0.0
non-exhaustive, related: 0.0
normally, responsible: 0.012681598763
fearless, sleeping: 0.658680806474
chickenshit, nosy: 1.89357231135
darkest, environmentally-friendly: 0.0
functional, partial: 1.16905284172
interested, worthless: 1.09519540835
murderous, uppermost: 0.900906633851
comercial, fast-growing: 0.0
exclusive, stale: 0.192407781843
certainly, euphoric: 1.03610372631
personalized, trusted: 2.22892118222
afflicted, equitable: 0.556745691761
apt, thoroughly: 0.49155180366
alarmed, verify: 1.72145114419
compliant, tragic: -0.631573377624
coarser, unresolved: 0.195270184478
transnational, two-thirds: 0.0
seminal, unattractive: -0.278940128173
reliable, worse: 0.839304056367
leave, short-sighted: 0.0
economic, individual: 0.735080146028
serious, well-treated: 0.0
determinant, impartial: 1.26629817551
formally, shortly: 2.85485656217
assertive, faultless: 1.33731874282
forever, require: 0.510973740057
dependable, familiar: 1.44877926656
dual, flat: 0.898677052569
classic, losin: 0.520161033302
brisk, emerged: 0.136132183556
appropriate, hopeful: 0.614758195698
bureaucratic, tabling: 0.355209398811
toasted, unachievable: 0.739313430017
smitten, sophisticated: 1.50533279503
degrading, shaun: 0.993360171346
shielded, so-called: 0.0
conscientious, responsive: 3.84445546537
defective, ill: 1.77893350609
adamant, unworkable: 1.6677500437
-ready, routine: 0.0
inherent, tired: 0.55969938642
small, suspicious: 1.44913326709
structured, well-developed: 0.0
bad, fragile: 1.75841455584
afflicted, occurring: 1.71543519442
blurry, darkest: 2.47494473726
fucked, shit: 6.37379481587
present, yes: 0.539342333666
noteworthy, well-armed: 0.0
married, monstrous: -0.186321587788
mere, unsteady: 0.42737590162
bloodied, mixed: 0.978567575278
murderous, soon: 0.449331049488
modern, seminal: 2.14032624034
observant, underlying: 0.428564562607
steeper, well-filled: 0.0
however, increasingly: 1.13976642739
patience, precarious: 1.13497755486
reduced, rugged: -0.176758116204
across-the-board, affixed: 0.0
sympathetic, tenuous: 1.74020506694
-lnteresting, yet: 0.0
grumpy, well-formed: 0.0
uncertain, well-formed: 0.0
moody, notably: 0.994359803667
incomplete, lackluster: 2.00908194305
spicy, technically: 0.656368902161
agile, hereby: -0.645761156835
legibly, okey: 1.73164314468
absent-minded, all-out: 0
clever, sacrilegious: 1.89400107119
hurting, stifling: 2.52498010439
race, tremendous: 0.127323185255
baseless, senior: 0.671056991341
easier, in-progress: 0.0
helpless, unsavory: 1.37845197873
moronic, volatile: 0.8111905569
answerable, homosexual: 1.54870776592
iilegal, impractical: 0.0
severe, state-of-the-art: 0.0
free, opposed: 0.473670246136
sixteen, unfortunately: 0.649120093857
scary, uncomfortable: 3.36479201137
integrating, transparency: 1.14468675973
interoperable, perilous: 0.224814006346
retrievable, scarce: 1.05523442567
moist, warm: 5.4489856721
decent, gonna: 1.84163218743
gorgeous, granted: 0.106304713136
insatiable, requested: -0.033122286748
current, supplemental: 1.09808612065
bull, theoretical: 0.752327496583
exorbitant, unfettered: 1.91523098246
bone-dry, installed: 0.0
lengthy, unlawful: 0.725624139379
another, dormant: 0.791938264544
reduction, sold: 0.238137412355
dubious, unequivocal: 1.2133133211
malicious, well-reputed: 0.0
america, long: -0.048663780514
dismissed, speaking: 0.450533430309
acute, stale: 0.83738340341
binding, steadfast: 0.819033252861
later, pro-active: 0.0
possible, prat: -0.162493135098
guilty, handled: 0.586745530095
impressed, stir-crazy: 0.0
exempt, inconsistent: 1.45065669243
calm, good-looking: 0.0
tardy, unambiguous: 0.695645352918
candid, worthy: 1.16880808468
premier, worried: 0.15420997664
customized, stepped-up: 0.0
differently, probably: 1.49175148857
-good, horny: 0.0
insured, nineteen: 0.963675352746
begin, catastrophic: 0.249603210527
important, joyous: 1.26117472125
grouchy, soothing: 2.2933716706
screwy, socio-economically: 0.0
bored, presentable: 2.18368938409
by, soaked: 0.199843806889
additionally, quickest: 0.045146618285
majeure, thus: 0.332871926389
peripheral, unique: 0.702872692486
hour, wonderful: 0.295138025114
standing, vulnerable: 0.7853676816
fraudulent, sold: 0.981311546955
subtle, uh-huh: 0.0
muscovite, well-organised: 0.0
potential, prevalent: 0.659263681781
callous, transitory: 0.896800732358
invalid, refundable: 1.7525332684
sleeping, spontaneous: 0.82981389158
self-supporting, tell: 0.0
characteristic, legit: -0.105779888981
inexcusable, romantic: -0.062599962261
concerned, engagement: 0.368008203865
moody, stone-cold: 0.0
competent, ruthless: 2.43650783845
brightest, vice-president: 0.0
boy, innovative: 0.138741199247
touchy, wide: 0.887834925641
archaic, manifestly: 1.80990297584
claire, respectable: 0.590428877928
based, disadvantaged: 0.669176375057
intense, re-routed: 0.0
preponderant, unlocked: -0.188129034259
moving, repulsive: 0.381782086701
infamous, sympathetic: 0.637286731909
disgusting, mysterious: 1.32803533036
first-class, something: 0.0
firstly, scaleable: 0.539452959361
consulted, handed: 1.14315225399
goal, small: 0.199762050688
defined, pivotal: 0.89663823222
boy, mild: 0.758047550237
north-east, stocky: 0.0
compared, freaky: 0.686920250549
hiv-infected, previously: 0.0
accomplished, luke: -0.438677489002
fussy, salutary: 0.924151827487
follows, self-sustained: 0.0
needy, refreshing: 0.466044153972
bulletproof, explosive: 1.92764385882
envious, extant: 0.50002547885
compared, depraved: 0.248190104452
decisive, underdeveloped: 0.219193658521
lengthy, pricey: 1.75350775887
affixed, brand-new: 0.0
circumneutral, well-documented: 0
darling, with: 0.085181329023
annually, educational: 1.2918977934
any, seventh: 0.277054774227
insufferable, unremarkable: 2.41149575148
definite, surprised: 0.804634142628
agreement, patent: 2.2058118988
broad, iilegal: 0.0
respendable, rude: 0.0
smooth, vested: -0.106409710082
leveraged, tasty: 0.586922443034
clear-cut, quiet: 0.0
freely, life-long: 0.0
e.g., loose: 0.0
healthier, soaked: 0.627392416632
predictable, sketchy: 1.86480332097
convincing, widest: 0.516770606102
immediately, senior: 0.293755748202
capable, good-looking: 0.0
screwy, transparency: 1.27534566035
beloved, inadmissible: 0.096309688372
global, monumental: 1.12810951709
expedient, prohibited: 1.21006855081
state-owned, two-: 0
fixated, louder: 1.7341433764
graduate, mutual: 0.095702633813
courteous, peachy: 1.57339070494
displaced, violated: 1.48555764007
acquainted, pressing: 0.990486586091
imperfect, temporarily: 0.266022742778
envious, priced: 0.792471165629
chilly, grass-roots: 0.0
eerie, stout: 0.739986761729
alarming, safeguarded: 0.238149690646
heterosexual, self-serving: 0.0
feisty, obvious: 0.566016901512
incompetent, predictability: 0.632279965094
defined, poisonous: 0.649159932264
light, wing: 0.125748862045
ineffective, self-supporting: 0.0
long-winded, soft: 0.0
undisturbed, watchful: 2.40349279671
met, pro-active: 0.0
blessed, unhelpful: 0.807120042367
actual, modernizing: 0.164817588185
danger, nutty: 0.619299009179
antsy, segregated: 0.741510987101
desired, insensitive: 1.23044262501
jolly, swift: 0.572571706347
enrolled, staff: 0.537926616742
amusing, heavy: -0.058306546678
dummy, upfront: 1.16571780744
negative, remarkable: 0.747475014788
aggrieved, naughty: 1.4042384618
dopey, vibrant: 0.23406671097
cruellest, dainty: 1.90184789662
grateful, surprising: 1.43380085767
conclusive, south: 0.353221490192
easier, existing: 1.43489479162
lesser, pre-published: 0.0
illiquid, ridiculous: 1.54360580901
equipped, exhausting: 0.174092614279
disruptive, well-placed: 0.0
died, mistaken: 1.40288592486
chosen, work: 0.584317814105
clear-cut, modernizing: 0.0
invalid, maximum: 0.401452623987
deep, mysterious: 0.706676628135
all-important, opening: 0.0
disappointed, whatever: 0.838687082506
concrete, expeditious: 1.00782332128
dark, economic: 0.515043300947
factored, presumptuous: 1.57504729051
dangerous, reprehensible: 3.26416695409
biggest, relaxing: 0.239623729858
optimal, unrelated: 0.64608626735
fairly, stupid-looking: 0.0
exhausting, received: -0.030502633558
impeccable, uncontroversial: 1.91853687145
earliest, off: 0.278224127151
sacrosanct, wary: 2.04807186596
nearly, transnational: 0.169453313141
moronic, synergistic: 1.36419759223
notified, scientific: -0.248105308443
graceful, unsettled: 0.601475117417
accountability, state-of-the-art: 0.0
planned, well-trained: 0.0
all, wrongful: 0.379741574866
decided, untapped: 0.468366026011
definitive, ideal: 1.28148711235
groovy, guaranteed: 0.127266065108
dandy, safest: 0.283367691003
merciful, scientifically: 0.580702685459
inaccurate, outdated: 4.40583052308
eleven, prepped: -0.146764021384
disastrous, grisly: 2.14181949158
kidding, unprofitable: 0.690724690228
rash, round: 0.912296388177
antagonistic, inequitable: 3.09629897543
clear-cut, decisive: 0.0
luminous, mama: 1.11015241611
functionally, maximal: 1.94116989825
expanding, suspect: 0.387080867543
environmentally-friendly, launching: 0.0
needed, vulgar: 0.029234660077
heterosexual, unwarranted: 0.725547362081
nobler, wealthiest: 1.77358179836
chickenshit, pro-poor: 0.0
quiet, timid: 2.82481044879
cruellest, evolving: 1.08586911871
positively, prevailing: 0.978646368358
down, speedier: 0.486288125795
indefensible, presentable: 0.601589826067
debate, overemotional: 0.557385940822
ambitious, every: 0.303391442825
furious, ineffective: 1.37640543119
astounding, brillant: 1.81176169413
alien, leveraged: 0.032807841468
giddy, slender: 1.33576476469
either, spontaneous: 0.729829294886
deep, heterogeneous: 1.0661719169
domestic, feeble: 0.694741811311
inflexible, relentless: 1.3446751213
scarcer, withdrawn: 0.939220159109
environmental, punchy: 0.061339845116
conspicuous, repeated: 0.944144071771
thirsty, unquestionable: 0.221319599746
perverse, sensational: 1.42898577416
entertaining, multifaceted: 1.67468717581
ineligible, luke: 0.361131528031
cooperative, usually: 0.434118000053
personally, squeamish: 0.9529673497
accountability, embarrassed: 1.30049221969
meager, particularly: 0.706396846995
archaic, dubious: 2.05422082381
-just, motivation: 0.0
quicker, scarlett: 0.28974700422
allergic, desired: 1.67668166602
few, in-flight: 0.0
deficient, ideal: 0.989342012
greener, invisible: 1.30012476327
heartening, unimportant: 1.84317740046
best, overambitious: 0.810927453884
primordial, too: 0.185470042444
attainable, vice-president: 0.0
disturbed, physical: 0.814742411858
illicit, spooky: 1.04465180464
balanced, substantiated: 0.826234931541
a, pressing: 0.0
nasty, repelling: 1.56948443128
improvement, true: 0.366972953693
advisable, sounder: 2.06006885544
adaptive, ok: 0.159970595709
divergent, shit: -0.14165268287
frigid, psychotic: 1.42659086468
consequential, green: 0.055008613572
unhurt, wise: 0.666191963175
cautious, short: 1.19683712809
lawful, used: 0.894012138719
given, perfectly: 0.5229887915
careless, widening: 0.254273138542
pretend, stern: 0.933834037638
overwrought, whilst: 0.353759740142
asleep, wing: 0.924766293405
america, unfit: 0.917959113625
cynical, promising: 1.07839749389
forgiving, gratifying: 1.33561041506
non-partisan, practical: 0.0
critical, mediocre: 0.64477519312
fuckin, sentient: 2.13731737921
insane, wide: 0.318589792925
anomalous, two-pronged: 0.0
live, moreover: 0.333878887793
done, flat: 0.188853964504
interwoven, unharmed: 0.000800358715
grown-up, pertinent: 0.0
innovative, undesirable: 0.755217537293
broken, sustained: 1.78276890793
on, peripheral: 0.605036958941
complements, faint: -0.077203484863
disproportionate, northern: 1.10029166353
predictability, sluggish: 0.683625287276
clear, well-balanced: 0.0
controlled, edible: 0.313887505467
equipped, world-wide: 0.0
nosey, widening: 0.0
optimal, unworkable: 1.30907863356
overburdened, thrilling: 0.092303966255
-lnteresting, thin: 0.0
injured, unspeakable: 0.157399623948
implausible, yourself: 0.641792154034
cautious, pre-established: 0.0
only, unsavory: 0.422568717422
ideal, sell: 0.515156907493
least, surreal: 0.152646666705
denser, harsh: 1.29786321717
frightful, short-term: 0.0
well-designed, wrecked: 0.0
accomplished, motherfucker: 0.393164301752
case, protracted: 1.15011965371
either, recheck: 0.198613732335
best, cross: 0.674499448953
rusted, this: -0.026624166129
exclusive, inter-connected: 0.0
customary, lofty: 1.21261835074
hope, someday: 2.97675277073
displacement, marked: 0.903097577966
statewide, task-oriented: 0.0
commended, flashing: -0.378061051125
deplorable, good: 1.81673262615
foolproof, willing: 0.99944799265
that, trustworthy: 0.960247787991
negative, thrilled: 0.269416268191
informal, wasted: 0.333872272738
friendly, wet: 0.813737135712
-mentioned, spoilt: 0
associated, depraved: 0.188824117889
hairy, seropositive: 0.484814864209
harmless, unabated: 1.80903077444
dead, well-developed: 0.0
rooted, softer: 0.505595591642
personal, thoroughly: 0.701563649354
refrigerated, regardless: 0.816986637523
marvellous, running: 0.0
first-class, prejudicial: 0.0
brittle, juvenile: 0.79736598216
far-ranging, zero: 0.0
complacent, enrolled: 0.818176765673
perplexed, yet: 0.841105930633
talkative, unspoiled: 1.18019683558
pitch-dark, underlying: 0.0
fixated, swift: 0.054409303265
annoyed, huge: 0.775089292795
irritable, socio-economically: 0.0
lifelong, pure: 1.01531505475
smarter, terrifying: 0.592524954671
diseased, tiresome: 1.48436917494
comprehensive, poisonous: 0.505855285258
goodto, heartbroken: 0.0
all-round, legit: 0.0
radiant, thorough: 0.490908471614
lively, unhealthy: 1.0604324088
ignorant, smallest: 0.432491946562
persistent, unprejudiced: 0.858538838912
uptown, utopian: 1.33329021418
ghastly, swearing: 0.488396657164
obtainable, unexceptable: 0.0
heterogeneous, top: -0.184910881871
western, wider: 1.34485784729
diminished, distinct: 1.78615388508
clerical, sizeable: -0.124560529519
deep-rooted, flawed: 0.0
co-operation, homicidal: 0.0
pricey, reversed: 0.254560546112
identifiable, small-scale: 0.0
industrialised, scheduled: 0.0
kiddo, physically: 0.412241070118
exceptional, jurisdictional: 0.272684980946
hip, psychological: 0.730282822897
dubious, unjustified: 2.35631987921
bravest, heated: 0.006113522448
eligible, heartfelt: -0.118311918087
died, ill-founded: 0.0
almighty, reported: -0.172716217373
awol, neutral: 0.562340959997
immense, poverty-stricken: 0.0
prepared, sick: 0.644276660098
elegante, motherfucker: 0.0
alarmed, simply: 0.55246293478
spectacular, very: 0.2566418359
nigh, unfounded: 1.35593066095
'sgoing, apparent: 0.0
breathe, overburdened: 1.53942107616
casual, merciless: 1.11694361349
improved, self-financing: 0.0
precise, staff: 0.112844016637
clever, underdeveloped: 0.944506895204
impoverished, relaxing: 0.13208580767
intelligent, mentioned: 0.002965374402
audience, stubborn: -0.300417729291
broke, priceless: 0.454156886942
concrete, talkative: -0.1945726734
protected, removed: 2.77624216397
humbled, pleasing: 2.03755900991
glowing, impermissible: 1.4806893115
evident, grisly: 1.52040781884
dead-on, savage: 0.0
double, moister: -0.043156011075
agreed, cardinal: 0.027013377909
insufferable, spectacular: 0.871157279813
delicate, firstly: 0.715267525375
bleak, fatter: 1.95504251529
astute, non-exhaustive: 0.0
needed, touching: 0.120587752541
co-, redeemable: 0.0
insolent, nationwide: -0.106927712449
brisk, nothing: 0.666168413244
hypersensitive, incredible: 0.308141966407
actual, peaceful: 0.455297520684
able, whassup: 0.330543997619
illusory, sustainable: 1.66124752041
risky, superficial: 1.66664005002
immediately, persuaded: 0.895340764189
built-in, thanks: 0.0
multidimensional, purty: 1.2620177724
enthusiastic, malicious: 0.250312971693
readable, shortest: 1.43521006918
-just, arbitrary: 0.0
inconsequential, preferential: 0.508293962122
developing, spaced: 0.223343829101
grown-up, responsable: 0.0
calming, divided: 1.01723558474
droll, self-sufficient: 0.0
farther, necessarily: 1.35857356408
big, profound: 1.6686942142
defenseless, dickish: 2.08884397285
immersive, indian: 0.706831316505
depraved, knowledgeable: 0.502071362989
twofold, willing: 1.20336371338
demand-driven, gloomy: 0.0
contentious, whilst: -0.461567377009
involved, plain: -0.107883227143
definite, wild: 0.482515586452
latter, sloppy: 0.997573576096
alert, proprietary: -0.346615666155
ageing, disingenuous: 0.0
level, time: 0.918933185535
bi-directional, whilst: 0.0
cabbage, well-placed: 0.0
lovelier, occurring: 0.862060354005
detrimental, understandable: 1.50903422996
fairest, inconsiderable: 0.532586215911
coming, monstrous: 0.629910402157
outgoing, stimulating: 0.596286281129
iate, self-governed: 0
closest, worrisome: 0.737606060434
despicable, eligible: 0.160153484957
creation, non-partisan: 0.0
respected, succeed: 1.84589824443
dull, sleeping: 0.776468428948
addition, gigantic: 0.426803359304
forceful, unfilled: 0.546763158705
apace, implausible: 1.57865749369
iil, pitch-black: 0
self-conscious, worrying: 0.0
appointed, right: 0.147414982952
ideally, johnny: 0.216181559934
flattering, widest: 2.08274420698
morbid, self-reliant: 0.0
constructive, delineated: 0.848581835481
identical, utopian: 1.39281451241
omnibus, self-contained: 0.0
content, valuable: 1.40875092569
found, testy: -0.125888660128
drenched, self-sustaining: 0.0
arguable, justified: 2.8641207615
lofty, statewide: 1.15038443847
awful, dodgy: 2.78096126198
cruellest, proud: 0.532446686815
especially, moist: 0.7454851522
housebroken, ineffectual: 2.02368570355
overt, ultra-hazardous: 0.0
impolite, on-going: 0.0
dear, troubling: 1.09995786418
despicable, pathetic: 5.1300982845
recognising, sociable: 0.0
fancy, fewer: 1.27891489585
aggrieved, mostly: -0.165757546376
perplexing, welcome: 0.886127019359
socio-economically, systemic: 0.0
enough, infuriating: 0.779426920039
professional, unreal: 0.716635936399
feasible, regrettable: 1.90676559502
boundless, entrenched: 1.24219653057
bankrupt, galore: 0.395247796134
hopeless, rehearse: 0.51536144788
cabbage, missy: 0.828358567324
malicious, troubling: 1.51044468509
freest, restless: 1.55596819092
bloodied, interlinked: 1.13484103217
poorest, unequal: 3.83309852383
southwestern, sufficiently: -0.015771182175
forthright, preoccupied: 1.95096562779
adversarial, changing: 1.41779478321
hazardous, systemic: 1.18423237272
liberal, null: 0.6598721957
breathe, victorious: 0.468684558169
based, sluggish: 0.242915783164
okey, palatable: 0.158072926978
accuracy, salutary: 0.419474767802
childish, familiar: 0.898702387672
humble, ill: 0.683087819656
flagrant, invaluable: -0.141115553151
david, recommendable: 0.574088417851
prick, untenable: 0.698167951256
internal, tentative: 0.161175634245
antiquated, minuscule: 1.19919583407
perilous, self-sustainable: 0.0
mild, surreal: 1.48401193718
dependable, mad: 0.59903715377
dissimilar, hip: 1.22758044552
fearless, shaky: 1.43376794384
also, ashamed: 0.068765865581
full, shocking: 0.469005013926
afterwards, usable: 0.817995958183
heaviest, intermediate: 1.08617171029
also, stupid: 0.178772873205
boring, dreadful: 2.25617352127
immutable, suddenly: 1.70448745342
impracticable, patience: 5.08869936298
harmonised, part: 0.0
intertwined, unsure: 1.29361652329
apace, benign: 1.77657499121
general, ravenous: 0.261830036588
fairly, opened: 0.234344015888
crazed, defunct: 0.666287581953
busier, religious: 0.20784493618
crowded, elegant: 1.40243734111
disparate, visible: 1.29424510547
arming, irreconcilable: 1.26280043256
psyched, stubborn: 0.971524718065
recognized, tempting: -0.744183725737
builshit, good-looking: 0
determinant, inactive: 1.43170099562
all-out, minimum: 0.0
opening-up, woken: 0.0
accelerating, dummy: 0.36602452255
broader, flexibility: 1.48779848877
dry, loving: 0.716566269655
high-availability, pissed: 0.0
bored, encouraged: 1.4759356846
desolate, tough: 1.3026705678
intentionally, smartest: 0.940535796571
bummed, succinct: 0.888911142546
infeasible, rife: 1.25202495469
imported, misguided: 0.741206633814
similarly, tan: 0.378661902521
laudable, modernizing: 2.24447347227
proper, spatially: 0.432263341846
bankrupt, dubious: 1.3864382197
incidental, upper: 0.786688593451
fluent, seropositive: 0.875079105249
standardized, then: 0.149783285187
bloodied, cruel: 1.39880389226
laborious, unjust: 1.02274189538
nothingg, well-documented: 0
case, crafted: 0.315249473379
remaining, saved: 0.600988970247
pleased, prepared: 1.96980018038
treble, unsanitary: -1.59567624955
amazed, dry: 0.454513722963
natural, sugary: 1.33186240246
cheerful, untrue: 0.777728785125
maximum, spicy: -0.154246790635
free-standing, wholly: 0.0
horrid, troubling: 2.57915056833
-sorry, baby-sitting: 0
dumb, untapped: 1.24937930856
brave, circumneutral: 0.0
actual, classified: 1.35090276316
bone-dry, rash: 0.0
adjacent, proscribed: 0.003600486543
acute, otherwise: -0.132189244936
accused, rare: 0.109025315115
nonsensical, responsive: 0.911548028038
tricky, unsatisfactory: 2.05549641233
personal, yellow: 0.239848490294
longstanding, tougher: 0.130823107409
embedded, junior: -0.176593083152
moist, vast: 0.303658694274
all, restored: 0.633673728196
peaceful, same: 0.642702220019
hip, present: -0.110204695151
moody, unambiguous: 1.12564823691
displacement, far-ranging: 0.0
classified, fair: 0.593756228661
fifty, well-established: 0.0
prohibitive, recurring: 0.525014732773
doctor, timelier: -0.023526813375
enthusiastic, visible: 1.35714358884
long, marvellous: 0.0
fat, strained: 0.900758104599
global, virtuous: 1.05194668698
interest, solemn: 0.263933692399
results-oriented, simplest: 0.0
audience, preceding: 0.700611441746
fundamental, low: 0.357749101183
hey, multi-threaded: 0.0
doctor, moving: 0.030500170103
missingg, wonderfui: 0
comparable, nascent: 0.030094351602
briiliant, marginal: 0.0
fragile, technically: 1.11321815744
inadequate, meaner: 0.335389028712
roisin, untenable: 0.0
acclaimed, latest: 1.18843217729
irritable, west: 0.275462401812
firstly, owned: 0.334406713068
contestable, problematic: 2.35631091965
foutu, principale: 0.0
affirmative, memorable: 0.694999925762
respendable, youth: 0.0
3rd, tighter: 0.225529299073
irrational, rock-hard: 0.0
cheesy, untouched: 1.17013105252
diseased, drawn-out: 0.0
booked, choosy: 0.767928735588
spaced, this: 0.097810162164
weary, wet: 1.38349223114
fun-loving, practice-oriented: 0
later, yearly: 0.31882076867
all-inclusive, merry: 0.0
black, subsequent: 0.229459672801
fourth, thirteen: 1.27945544758
freezing, vulgar: -0.17406472668
destabilizing, warmth: 0.000176175137
daft, rarest: 1.26269315014
lovable, material: 0.347237129321
happened, strengthened: 0.363886807231
gracious, material: 0.361876664446
exact, occurring: 1.23686850512
groovy, mad: 1.74398704089
kinda, lovely: 2.68119677771
continual, integrating: 0.71807221691
marine, off-putting: 0.0
longer, populated: -0.202054946936
regretful, yo: 0.453725578153
immaculate, thankyou: 1.2310078229
inaccurate, odious: 2.16234714054
dotty, irresponsible: 2.42223810247
annoying, painful: 2.73538615607
non-toxic, oversensitive: 0.0
far, recognizes: 0.692254985665
3rd, managed: 0.400096929595
-just, snotty: 0.0
restful, sunny: 4.40272186172
convincing, dispersal: 0.383637588691
remaining, rogue: 0.40772234173
agile, tasteful: 0.800827982723
testy, white: 0.43290552277
humane, short-term: 0.0
gullible, sweeter: 0.715559980507
naturally, shorty: 0.830372566024
acknowledged, discriminatory: 0.352176768899
intelligent, tricky: 1.263072479
arguable, nationwide: -0.076631855543
desirable, horrendous: 0.571084465869
bottled, flaccid: 0.662751126523
comprehensively, genuinely: 1.1957613793
intertwined, reality: 1.42530828469
chickenshit, defenceless: 0.0
aggressive, multifaceted: 2.06777396657
registered, unabated: -0.071031020597
planned, understanding: 0.178547019423
bold, slim: 1.44515162078
major, occurring: 1.1525346462
