tenable, unlawful: 2.23957690806
inadmissible, introduced: 0.830191583062
pro-poor, realist: 0.0
honoured, topnotch: 0.0
disagreeable, sparse: 1.13322495604
establishment, necessary: 0.473336711673
dangerous, preoccupied: 1.38732365379
discernible, worded: 1.0938985148
co-dependent, despicable: 0.0
glowing, mistaken: 1.30618454642
advisable, sluggish: 0.180824022546
over, science-based: 0.0
invalid, unclear: 2.09400255535
coast, principally: 0.7855337629
sick, stubborn: 1.63876698636
empowered, remarkable: 0.654929684935
educated, treasured: 0.536390842218
cumbersome, stylish: 1.28390177877
basically, massive: 0.872863903538
export, unanimously: -0.254040295372
antsy, launching: 0.168985023607
handed, mimi: -0.462041053896
solid, valuable: 1.76323943703
mental, traffic: 0.352698660374
do-able, strengthened: 0.0
newborn, sporadic: 0.00256485041
irreconcilable, well-written: 0.0
goofy, reyes-torrena: 0.0
beloved, rapid: 0.131963442787
obscure, terrifying: 1.11817535451
painful, serene: 1.3297825063
consultation, entertaining: -0.06838538821
disrespect, evey: 1.17076654187
toasted, turned: 1.12594460101
incredible, smallest: 1.30683221569
complementary, disappointing: 0.438736167865
non-transparent, vulnerable: 0.0
longterm, unemployed: 1.10108926409
green, yourself: 0.635762713867
intractable, uncommon: 2.29831936726
degraded, zero: 0.977500295905
loveable, snotty: 3.53965445898
least, pro: 0.754186720289
solidarity, stay: 1.00988708643
close, managed: 0.822202980196
armored, preponderant: 0.538718918219
recheck, yellow: 1.14766157993
immediately, smitten: 0.596326433974
cozy, user-defined: 0.0
freer, sexy: 1.22952067244
favoured, hereby: 0.0
disjunct, unseen: 1.35522130498
elle, nouveau: 3.6736534032
awaken, kidding: 1.40679783129
growin, unprejudiced: 0.998793523404
insecure, intense: 1.0319296207
favourable, potent: 0.0
adverse, encompassing: 0.553037374293
supplied, unattractive: -0.251198199981
dispute, soaked: 0.09571637506
displacement, guilty: -0.29286142376
frustrated, interestedin: 0.0
aggravating, single-ranked: 0.0
prosperous, supported: 0.868379933413
euphoric, palpable: 3.70139001085
accomplished, terrible: 0.940815973501
ephemeral, wasted: 1.25033092357
bad, permitted: 0.20267608033
unimportant, warm: 0.243806377178
lately, temporary: 0.542808236288
multidimensional, stellar: 1.36231702966
allergic, damp: 1.79576081934
bull, legally: 0.758146379985
certifiable, unworkable: 1.92995395358
compact, forthcoming: 0.304702331871
aesthetic, bravest: 0.186394347385
coherent, integrated: 2.52646152606
at, free-standing: 0.0
sole, well-lit: 0.0
afresh, late: 0.446886593653
in-flight, well-protected: 0
disproportionate, social: 1.50773974936
complements, standard: 1.81688194329
developed, fall: 0.34401388337
sole, virtuous: 0.854572070273
significantly, unfettered: 0.476100319044
overworked, yes: 0.826319071004
tolerated, undeveloped: 0.670654620731
docile, obese: 2.23634351847
race, seldom: -0.088879823998
extensive, favorite: 0.040262182273
booked, held: 2.12841067443
loveable, stone-cold: 0.0
user-friendly, wild: 0.0
lonesome, other: -0.138356054321
destabilizing, rock-hard: 0.0
sinister, welcomed: 0.305946577548
distraught, pretentious: 1.70371520461
dearer, indisposed: 1.57256075202
able, weil: 0.011581070629
mild, ten: -0.003656038884
environmentally-friendly, ruthless: 0.0
disgusting, psychogenic: 1.80280805263
streamlined, to: 0.0
possible, speedy: 1.31935487838
multi-faceted, well-armed: 0
callous, started: -0.226048935926
bereft, nonsense: 1.56689755522
hardworking, muchfor: 0.0
horrific, severe: 2.61570433527
certifiable, far: 0.462036414354
profitable, stupid-looking: 0.0
miniscule, tougher: 0.275143144152
dumb, rigorous: 0.497333227728
moist, than: 0.027747524212
-so, discernible: 0.0
friends, terrific: 0.879106581535
surrounded, worth: 0.328768441442
nearly, principal: 0.149116333837
as, assertive: 0.499328308517
exhausting, sober: 1.26775459734
christian, saying: 0.431393191532
cozy, fairer: 0.739581731086
explicit, omnibus: 1.17801660472
enriching, further: 0.676533588083
higher, worth: 0.768792338768
braver, psychogenic: 0.598643051021
innovative, misguided: 0.748903894919
born, under-inclusive: 0.0
happening, impressed: 0.750559548027
doable, ironic: 1.55877408439
salutary, well-maintained: 0.0
fried, funny: 2.32758574993
launching, unhelpful: 0.488057249782
extinct, insolent: 1.01335279389
safest, spontaneous: 1.1446538924
efficient, traffic: 0.992465326773
arguable, generalised: 0.0
really, shameful: 1.05333313236
repulsive, warranted: 0.908413791749
favourable, spatially: 0.0
committed, extreme: 0.357987812723
note, on: 0.488954111218
extirpated, troubled: -0.181273618566
disclosed, fucked-up: 0.0
adequate, questionable: 1.29963157661
comprehensive, imrtant: 0.0
concerned, fresh: 0.291408093946
intentionally, palatable: 0.752381977777
staggering, unhelpful: 0.909154428545
disparate, plenty: 0.354010310024
out-dated, restful: 0.0
detailed, inadvisable: 0.618441682025
doing, treasured: 0.508785823029
acclaimed, worthless: -0.265990045534
pathway, second: -0.378583625393
embedded, simple: 1.24028968912
concise, impenetrable: 1.5595383091
affixed, wacky: 0.698783711481
distinguished, inalienable: 0.919097282276
enriching, nearby: 0.475265337358
above-board, complicated: 0.0
midget, well-lit: 0.0
determinable, increasingly: 0.289394984981
former, rapid: 0.018083174158
frightening, girl: 0.98855308997
killed, partial: 0.460414571734
abundant, aggrieved: -0.387476339801
recent, strongest: 1.27407228923
humid, safest: 0.855800259484
successfully, unitary: 0.720575535477
mostly, multi-ethnic: 0.0
carsick, contestable: 0.497145340215
desolate, strongest: 0.876260165431
fearful, theoretical: 0.547233849393
off-site, overripe: 0.0
first-rate, sincerely: 0.0
switching, topic: 0.421387943782
nationwide, responsable: 0.099892327402
arduous, mimi: -0.334239480029
combative, horseshit: 0.874513484573
exclusive, mama: 0.260451808336
rusted, unbalanced: 1.41295698694
demanding, proportionate: 1.08910191791
onerous, subsequent: 0.589015127683
equivocal, six-year: 0.0
rigorous, startling: 0.731074499126
grave, perplexed: 1.23703081998
antsy, goal: 0.569934634023
higher, pervasive: 0.798311539392
patentable, taller: 1.20949602714
promising, unaware: 0.222481680787
decisive, unfathomable: 1.06482355206
nauseous, picky: 2.23784991851
impractical, mental: 0.192928665204
smallest, tentative: 1.10880429435
marked, violent: 1.25707301903
incredible, seen: 1.08012076944
immovable, systematic: 0.234922300661
irritating, north-east: 0.0
inspirational, susceptible: 0.015883681798
empty, lenient: 1.04496327319
dramatic, super: 0.390817016556
categorical, comfortable: 0.970498196983
moron, vested: 0.925587459595
physical, thorough: 1.30694817049
dual, embarrassing: 0.102128749961
clarified, envious: 0.004494055226
hostile, on-going: 0.0
slightly, strongly: 1.15253029957
confidentiality, transparency: 5.04295602985
flattering, freak: 1.99212329647
temporarily, yummy: -0.139192526347
loose, protected: 0.442622356496
faint, straightforward: 1.38893204937
acknowledged, lengthy: 1.34862458236
degrading, ridiculus: 0.979830485155
-lncredible, crass: 0.0
abreast, rising: 0.868770593459
beautifui, prescriptive: 0.0
satisfying, western: -0.089643839739
ambitious, neighbours: 0.0
environment, screened: 0.104985106218
cheesy, full: 0.321831198043
endemic, implausible: 1.64737995506
common, willing: 0.67023625091
disciplined, dissimilar: 0.620357765101
fatter, thorough: 1.05684804168
identical, ok: 1.24591396094
pleasurable, well-known: 0.0
moot, psychogenic: 1.21173562394
dreadful, maintained: 0.231754959097
dangerous, move: 0.739506753037
comfortable, folks: 0.501877191799
abnormal, horrible: 2.35316844686
hopeful, used: -0.002889279404
disgusting, modified: 0.244579120057
similarly, unseemly: 0.944989456929
egocentric, some: 0.429602556294
goodto, well-maintained: 0
concentrated, wish: 0.10155101611
parallel, stubborn: 0.021800836819
refundable, rigght: 0.0
crazy, same: 0.984258619896
kinky, southwestern: 0.478524536195
few, run: 0.532194615761
invalid, jumpy: 0.21137432417
deliberately, isolated: 0.887643529107
changed, classic: 0.788042804466
feisty, jolly: 2.60510410736
disrespect, subtler: 1.06315263993
ecstatic, no: 0.484129578022
builshit, central: 0.0
snug, wished: 0.251720742745
discernible, juvenile: 0.912548330144
dormant, reasoned: 0.638440073028
fat, incomprehensible: 0.342315039869
commendable, unforgiving: 1.45947075213
expanded, overflowing: 1.27437227808
iate, overpriced: 0.0
joyful, rough: 1.09555631521
heavier, shoot: 0.875196718974
attended, retrievable: -0.405640604444
friends, innovative: 0.228367934729
comfy, free-of-charge: 0.0
distinctive, roisin: 0.0
hooked, second: 0.690783929954
excellent, white: 0.471225085086
-me, obese: 0.0
lazy, preferential: 0.502946846841
attainable, through: 0.477414056372
cranky, decent: 1.22095376138
picky, unknown: 0.718855567912
stay, tenuous: 0.752665176231
flexible, held: 0.063244120256
handy, weil: -0.128834294602
commitment, urgent: 1.69081302955
low-skilled, personal: 0.0
expedited, hourly: 1.27248284276
fragmented, inactive: 1.46548994202
patentable, straight: 0.467095126641
all-out, rusted: 0.0
fast-switched, shut: 0.0
lamentable, sugary: 0.595422674711
daily, occupied: 0.434505839127
chloe, classic: 0.825768639337
certifiable, thoughtful: 1.16761946239
seasick, sing: 3.05232826217
mieux, shiny: 0.69432194598
advanced, authoritative: 1.27999807441
mistaken, unsavory: 1.18557886623
this, worrisome: 0.904308387023
mad, perverse: 2.24966943981
humiliated, well-founded: 0.0
massive, see-through: 0.0
bi-directional, flavorful: 0.0
marginal, overdue: 0.452818715472
prepared, temporary: 0.319318666653
misguided, symbolic: 1.83859471025
iil, lighter: 0.0
dismissed, unfounded: 4.39109122773
exceptionally, hon: 0.709718880284
heterogeneous, startled: 0.399688866054
ma, valued: 0.644477803118
impatient, improbable: 1.07192005507
eligible, rationalized: 0.408762431601
bankrupt, lousy: 1.80392274486
defensible, usually: 0.486778788152
logical, marked: 0.46298272206
effective, frantic: 0.18196067789
griet, innumerable: 0.0
short, well-done: 0.0
durable, relentless: 1.12365680432
big, integrating: 0.227400233843
exactly, wary: 0.728978558004
hopeful, neat: 1.28518261541
incorrect, useless: 3.18558726129
fascinated, useful: 1.38641635324
automatic, illusory: 1.50130221232
brighter, exhilarating: 0.721445223791
snotty, weil: 0.791869394845
harmless, untouched: 2.68519013907
-lnteresting, neglected: 0.0
graver, intriguing: 2.36380988749
euphoric, sell: 0.699716776429
mightier, thoroughly: -0.072820820771
mortal, unlucky: 1.86781992246
foreseeable, wide: 0.45602512392
automated, non-exhaustive: 0.0
authorised, populous: 0.0
a, categorical: 0.0
agreed-upon, implementable: 0.0
nobler, om-mazing: 0.0
forgiving, sole: 0.473169206521
harsh, okey-dokey: 0.0
greater, timely: 0.920289187485
a, mad: 0.0
holy, th-that: 0.0
dire, matched: 0.304924086361
affluent, firmer: 0.649089650708
complementary, cowardly: 0.252281334365
brightest, streamlined: 0.149787796124
reasonnable, unhelpful: 0.0
inaccurate, predictable: 2.20639182174
fat, reduction: 0.848067400819
exhilarating, freak: 1.77293231846
co-operate, valid: 0.0
lukewarm, supplemental: 0.40544162664
apace, multi-threaded: 0.0
shoot, surer: -0.039742900275
multifaceted, vice-chairman: 0.0
bygones, horrible: 0.933153189658
copacetic, turbulent: 0.482251706486
human, joyful: 1.3000671778
junior, truly: -0.169910799262
nessessary, outdated: 0.0
appreciated, vast: 0.628319007472
moreover, nobler: 1.22493359716
happened, proficient: -0.154302246646
fifty, unfortunate: 0.306700771217
accomplished, intertwined: 1.38389690923
familiar, icy: 0.897549758966
corrigendum, someplace: -0.707205396398
educated, unsafe: 1.06783575924
hopeless, stated: 0.035045620436
appealing, non-competitive: 0.0
scattered, unanimously: 0.160774756929
broken, shielded: 1.40861056962
canceled, prosperous: -0.260610932416
no, propitious: 0.412977351722
active, realistic: 1.11229264712
consulted, heterogeneous: -0.324999382284
mightier, shocking: 1.39680166828
bi-directional, empty: 0.0
certifiable, unofficial: 1.36622551218
gracious, lamentable: 1.44169906797
empowered, resistant: 1.12630607138
invisible, known: 1.03702759287
fbl, nifty: 0.0
low-skilled, salute: 0.0
hey, loving: 1.99209356271
apace, superior: 0.492128166382
dangerous, dishonest: 2.35232835321
resolved, soft: -0.297565465463
super, technically: 1.0332380107
certain, effectiveness: 0.614567855458
populated, reality: 0.770776582987
constantly, cozy: 0.469326285848
mild, prat: -0.101192336236
apt, seriously: 0.963031764483
irritated, yes: 0.901111109928
begin, universal: 0.425787140573
cleared, eligible: 2.1043787767
underpaid, unlawful: 1.12968048563
courageous, named: 1.28706664246
impracticable, lengthier: 2.65746545161
meagre, skeletal: 0.0
generous, unspecified: 0.990238202548
inequitable, marginal: 1.83985456288
done, nosey: 0.0
feeble, founded: -0.583029319035
synergistic, terrified: 0.357573442033
beastly, dreamy: 2.29271985278
realistic, unachievable: 3.9690030517
meritorious, progress: 1.01400496139
egocentric, shared: 0.453520533188
max, received: -0.226567568888
potent, surreal: 1.21783916236
distinctive, superfluous: 1.03310733333
free-of-charge, sorr: 0
poorer, recognizing: 0.600001548963
louder, quicker: 4.03855475328
involved, perplexing: 0.728687055203
hither, promptly: 1.58898261997
faulty, recent: 0.665063321913
diversified, respect: 1.10809490147
keen, violent: 0.63431510709
additionally, non-self-executing: 0.0
direct, disappeared: -0.038695973428
beastly, timelier: 0.115315629222
internationaux, often: 0.079200206793
better-looking, distracted: 0.0
briefly, devastating: 0.6748016814
lower, withdrawn: 0.876204834213
cited, serious: 1.05231260334
but, righteous: 0.306366684048
slow, technically: 0.555863630934
lean, unsteady: 2.68401719577
authorized, well-formed: 0.0
fairer, short: -0.255161532968
antsy, speedier: 1.9210524467
devastating, indicated: -0.002786985588
house-trained, prepared: 0.0
specialised, telling: 0.0
principally, stunning: 0.390556486256
dirtier, remediated: 2.80282811554
black, greatest: 0.906588839634
affixed, ok: 0.52861824623
non-partisan, opening-up: 0
lamentable, sympathetic: 1.48673829762
aesthetic, refined: 2.53431416537
demand-driven, well-managed: 0
lean, nigeria: -0.519524433362
happiest, narrower: 0.525336758665
exceptionally, updating: 0.29140955635
manageable, toast: 0.175518792903
formidable, reasonnable: 0.0
2nd, pray: 0.893546337957
included, possibly: 0.412978447032
rude, straight: 1.13634555594
fundamental, graduate: 0.26538926171
egotistical, stranger: 0.970291321129
mindful, strained: 1.72782789668
laughable, laughable: 7.44778530993
renowned, unspecified: 0.50652126643
schizo, thick: 0.316268282207
ingrained, lifelong: 2.65814067859
ionely, unprofitable: 0.0
as, bastard: 0.408812918485
blank, enforceable: 0.580224217544
complementary, forthwith: 0.165377322545
cherry, primarily: 0.314290309956
exhaustive, preferential: 0.87790193973
pray, risky: -0.231198095968
corrupt, shortly: -0.155599247771
advisable, risky: 3.71261718843
co-financing, worldwide: 0.0
opposite, well-placed: 0.0
lovable, yourself: 1.0302926722
nosey, skeletal: 0.0
soaked, systematic: -0.325558617654
infamous, sadder: 1.47874074645
expeditious, massive: 0.312912705243
empty, livid: 1.17655600451
better-educated, exhausted: 0.0
grumpy, him: 0.681868900351
admirable, geographical: 0.095464163847
mesmerizing, moron: 0.805687480166
deceptive, kosher: 1.19803789338
approved, fourth: -0.075863228106
in-depth, surreal: 0.0
accessed, exceptionally: 0.047444914647
formerly, young: 0.150050580418
protracted, roll: 0.116890186698
annoying, irritated: 3.74393786234
trusted, unimpressive: 0.130236341912
challenging, dependent: 1.17803071885
enormous, problem: 0.816362268491
accountability, careful: 1.25183064105
convinced, enabled: 1.21365688645
insufferable, painful: 1.87910525089
heavy, integrated: 0.254191011567
scandalous, task-oriented: 0.0
economical, frightful: 0.815986762484
adulthood, grave: 1.80311101011
rude, understandable: 1.98025729474
indispensable, purty: 0.809537866892
across-the-board, inspirational: 0.0
elaborated, well-placed: 0.0
enlarged, handsome: 1.34057716351
shared, tabled: 0.535289209178
good-natured, laughable: 0.0
!, closed: 0.0
asked, inevitable: 0.440716660356
get, soaring: 0.432784073636
determined, educational: 0.200393730097
easier, well-established: 0.0
quicker, upset: 0.973525834433
guilty, open-minded: 0.0
amusing, infected: 1.26843096402
varied, vis-: 0.0
l, valued: 0.374503644149
flexibly, technology-neutral: 0.0
archaic, bold: 0.960243702787
graceful, heavy: 0.513672484884
admiral, realistic: 0.479403194579
mistreated, others: 0.855382437507
born, jeopardized: 0.468900443382
apparent, eco-friendly: 0.0
clearer, second: 0.625994176384
crass, impressed: 0.933329702862
formally, patronizing: -0.062995098247
central, informal: 0.630372451552
hiv, warmth: -0.026536131681
seventh, swearing: 0.103134096113
circumneutral, liked: 0.0
committed, vulgar: -0.104408041328
bro, idiot: 4.34268417634
all-round, race: 0.0
thorny, uncomfortable: 2.47507879071
gorgeous, multi-disciplinary: 0.0
denser, unsafe: 1.65400946014
affluent, over-the-air: 0.0
especiaily, vis-: 0
starved, unprofessional: -0.217985114371
darling, historic: 0.373547330228
grimmer, inconsiderable: 0.411072567322
incompatible, undeniable: 1.51284326566
primarily, respect: 0.645242994133
accessible, thick: 0.963152952866
unpopular, worthy: 1.64554059123
ensure, widening: 0.216017423794
first-class, powerful: 0.0
garbled, noble: 1.31441679469
else, insolent: 0.673698081843
bad, western: 0.516744212295
fun-loving, hasty: 0.0
broader, profitable: 0.956397441095
reinforcing, selected: 0.280338888193
myself, petite: 1.32213249848
complementary, ill: 0.123193800458
medium-sized, still: 0.0
illusory, racked: -0.093086783159
amazed, illiquid: 0.100248215303
carsick, reiterate: -1.30905122796
absent, vivid: 1.10481076608
marked, terminated: 0.51626973465
heated, streamlined: 0.949798983026
history, principally: 0.26278427948
dependable, interrelated: 0.0002210054
possibly, task-oriented: 0.0
challenging, omnipresent: 0.518747487432
doubtful, interest: 0.387582820822
determining, lengthy: 0.974953619578
equal, explosive: 0.751146988554
plain, verify: 0.137779745712
heartening, simplest: 1.33955422084
cost-shared, valuable: 0.0
go, mindful: 0.477129560267
fastest, ideal: 1.75518711969
ever, wierd: 0.744400961146
altered, challenged: 2.24285154239
understanding, well-managed: 0.0
ensuring, self-conscious: 0.0
indispensible, risky: 1.62227502449
commendable, fucked-up: 0.0
infeasible, southwestern: 0.63427795024
disgraceful, outgoing: 0.445807201436
courteous, self-sufficient: 0.0
iilegal, th-that: 0
onboard, unproductive: 0.054874532631
beastly, shortly: -0.220646073737
ridiculous, sing: 0.657477805101
accordingly, wonderful: 0.210631878255
need, promising: 0.758228537191
serene, treaty: 0.776245713908
divergent, scarcer: 1.01541876927
conspicuous, integrating: 0.019520858425
deposited, repelling: 0.76647283139
notably, surprising: 1.66008676003
horny, self-employed: 0.0
inspirational, use: -0.085109014642
depraved, privileged: 1.85828190417
longterm, sing: -0.501319044014
-surprised, mild: 0.0
corny, overkill: 3.17144329097
aforementioned, fair-minded: 0.0
perplexed, sure: 1.239653102
obstinate, unhealthy: 2.36169348827
advanced, thorny: 0.701087766271
firstly, low: 0.198826912116
scaleable, unwholesome: -0.952386080635
bro, topic: 0.756552001962
hour, magic: 0.547074788795
possibly, taller: 0.2764259064
elevated, ravenous: 0.45925201652
contentious, unfeasible: 1.90312607633
interesting, unwarranted: 0.393550375385
ioaded, well-organized: 0
advertised, infuriating: 0.290504571028
skilled, well-respected: 0.0
displeased, unimpressive: 2.87748764308
accustomed, pre-established: 0.0
brain-dead, restored: 0.0
below, merciless: 0.183403530172
crushed, designed: 0.49782919015
chickenshit, delirious: 1.24237307657
cited, hazardous: 0.782106321575
corrigendum, unknown: 0.39256145009
less-favoured, non-toxic: 0
single, uncertain: -0.052718865316
defined, unpleasant: 0.473311718935
delirious, faster: 0.212326126322
contestable, relaxing: 0.714392026501
alone, neglected: 1.25790914213
diversified, meagre: 0.0
jurisdictional, scant: 0.698706749649
living, noisy: 0.951448497598
kid, restful: 0.843866299379
afraid, kind: 1.73032897131
executed, unlawful: 0.918662506673
moister, unidentified: -0.253939310495
unofficial, year: 0.670181212794
bereft, reinforcing: 0.927970521309
defective, scalable: 0.074131248465
murderous, retail: -0.129350285108
arbitrary, opening-up: 0.0
superb, unexceptable: 0.0
feisty, wanna: 0.992551430809
liquid, modernizing: 0.38872496173
protracted, timelier: 1.47493848767
legitimate, livid: 0.786893655214
initial, prompt: 1.15441764983
mainstream, unhealthy: 1.33460382979
nessessary, tan: 0.0
conspicuous, unaffordable: 0.827216741065
directly, prejudicial: 0.510892637117
comprende, stimulating: 0.400557318562
delightful, emerging: 0.195041871767
triple, unhealthy: 0.010466703423
gloomy, usually: 0.403848349215
hurtful, recommendable: 0.328552214448
senior, thank: 0.322206781802
go, self-evident: 0.0
loyal, minimum: 0.386441489792
moving, needy: 0.643958645396
apace, terrorized: 0.357677720615
marginal, worthwhile: 1.61120109597
gravest, humiliating: 3.06207674621
gone, marketed: 0.459477837749
insignificant, undetectable: 2.87976392513
tighter, unreasonable: 1.07767494673
administered, stricter: 0.536344502487
kid, psychogenic: 0.333655006971
extraneous, lovable: 0.153380765213
laddie, specialized: -0.058050413247
inaccurate, unseen: 0.601169639204
grown, upbeat: 0.527847832186
appointed, il: 0.323415004294
everyone, long-range: 0.0
also, something: 0.724848641537
demented, timid: 2.46674343637
sturdy, there: 0.439731283556
better-looking, fourteen: 0.0
accustomed, naturally: 1.68100251744
jittery, trashed: 1.25842822365
fearful, popular: 0.720789527059
open-minded, simply: 0.0
apolitical, unjustifiable: 2.22241285899
elementary, neurotic: 0.737340002043
praiseworthy, rarely: 1.41023529172
inconsequential, unpublished: 1.20898103635
frequent, truthful: 0.777321417473
prior, straight: 0.846402930833
muchfor, silent: 0.0
operational, that: 0.355100181667
babe, implausible: 0.883537353318
droll, new: -0.040203318688
clean, gracious: 1.66604610778
it, slim: 0.50873456354
balanced, bleak: 0.878130435919
compact, moderate: 0.942110626526
decisive, well-trained: 0.0
oversensitive, sized: 0.102839367309
apt, excitable: 1.8391188154
dead, hostile: 1.06902150549
assured, talkative: 1.4491466878
apparent, uncanny: 2.60715697414
cancelled, doable: 0.0
known, odious: 0.527198909957
infallible, yet: 1.53136195193
discreet, non: 0.542543919267
primary, tardy: 0.63805345813
contestable, essential: 1.8851501677
customized, dismal: 0.12789839409
deliberately, well-designed: 0.0
interim, welcome: 0.494879320637
multi-layered, sane: 0.0
charming, filed: -0.180325861281
clear-cut, registered: 0.0
equivocal, scandalous: 2.03224288395
interrelated, remarkable: 1.49953305276
audience, transnational: 0.369420628781
achievable, delicious: 1.01927532059
horrendous, loose: 0.972638341557
modest, unseemly: 1.0631065484
facilitated, senior: 0.520978864185
lively, quiet: 2.78422101799
foremost, unforgiving: 0.860789160112
darkest, structured: -0.176845827655
calm, nutty: 0.970060515594
first-class, jolly: 0.0
black, laughable: 0.724798703169
course, double: 0.226583637743
horrendous, naive: 1.60846250931
binding, grown: -0.09768802439
ensure, unlikely: 0.986335157062
evolving, testy: 1.29814303764
certain, fucking: 0.506783032404
dead, neighbours: 0.0
low-skilled, unwise: 0.0
awareness-raising, worthless: 0.0
non-exclusive, sacrosanct: 0.0
inter-connected, third: 0.0
darker, going: 0.608519873685
affixed, innocents: 0.578649682439
disconcerting, you: 0.832797360821
captain, proceed: 0.238942003427
generalized, huh: 0.827690799245
expanding, overjoyed: 0.723834243972
briiliant, luck: 0.0
bad, dreadful: 3.59137372391
bogus, deep: -0.167987589209
expressly, unanimously: 2.03635830564
anywhere, enraged: -0.272282316063
fried, thorough: 0.003545145812
inevitable, much: 0.914967291035
debatable, observed: 0.619478338671
rad, unwarranted: 0.114928929082
frustrated, reality: 0.679379396313
minute, receptive: 0.264178459191
damaging, pending: 0.58525731895
disquieting, rather: 0.668743146963
carsick, richer: 1.38822421853
everywhere, wholly: 0.505331788826
back, grouchy: 0.878893748961
especiaily, grimmer: 0.0
far, unsavory: 0.337832212779
considerably, mediocre: 0.956792939652
hour, persuaded: 0.410491261012
majeure, severe: 0.338227101063
cautious, moving: 0.826404647232
collective, overall: 1.0489715218
goal, indian: -0.282860586781
intertwined, luminous: 1.80752279483
happy, human: 0.073832383024
cheapest, registered: 0.400802296777
crucial, lesser: 0.789037633632
basic, unable: 0.563886768481
impulsive, lawful: 0.956575716468
end-to-end, self-aware: 0
hence, yes: 0.980406087131
inconsistent, non-exhaustive: 0.0
mere, uncompetitive: 1.03277467587
adapted, knackered: 1.14386362508
awareness-raising, superstitious: 0.0
even, unavoidable: 1.11455596685
selfish, softer: 1.38788625384
cancelled, holier: 0.0
limber, satisfactory: 0.06570117193
desired, hour: 0.706900614164
before, irreconcilable: 0.445848960148
all-round, two-thirds: 0
timed, unjust: 0.604415661096
commensurate, unfettered: 2.20200235041
america, twelve: 1.01251412474
agreed, northeastern: 0.578050453801
dysfunctional, timed: -0.656580208074
franco, psychological: 0.200028607794
expressed, welcoming: 1.43633353155
bygones, specifically: 0.229268293916
multidimensional, radical: 0.701319197748
extant, updated: 1.43240891086
funny, suddenly: 1.16445018422
complementary, ultra-hazardous: 0.0
muted, thereto: 2.39418439701
glad, good-natured: 0.0
messy, world-wide: 0.0
ageing, touching: 0.0
disappointed, inclusive: 0.536329035057
lucid, myself: 1.86091649632
identical, lacklustre: 0.0
doing, technological: 0.523182125995
courrier, germane: 0.160493270742
weighted, well-developed: 0.0
sacrosanct, unused: 1.93819913182
ma, rock: 0.762050940819
formed, weii: 0.0
insulting, vast: 0.07470804261
enormous, negative: 1.08257472558
sappy, strange: 2.13673381033
cancelled, exceptionally: 0.0
acceding, long: 0.033848743258
exclusive, ice-cold: 0.0
importantly, inconceivable: 0.956697542884
potent, redeemable: 0.494242519236
freer, meaner: 3.56417426594
alike, traditional: 1.16020311518
felt, segregated: 1.11484321447
giddy, nicer: 1.51731990286
fourth, north-west: 0.0
allright, increasing: -0.266465900002
honoured, hourly: 0.0
idiot, warmest: 0.576981326458
drawn-out, obscene: 0.0
called, limited: 0.278450398313
brand-new, self-governed: 0
commonplace, kinky: 1.53816250677
compliant, grand: -0.364329369709
modernized, rather: 0.429247405355
immaculate, nasty: 1.09756073465
impossible, legit: 1.90897560173
abnormal, shocked: 1.31861821938
diminished, me: 0.095015338857
another, sixteen: 0.584885446722
three, warmest: 0.464568904622
before, increased: 0.068949849898
occupational, radical: 0.256434299245
alternative, inspiring: 0.663000384503
foreseeable, sane: 2.38459030221
disoriented, racked: 0.277456573236
circumspect, ideally: 0.331408824745
so, succeed: 0.431984555491
enchanting, poppycock: 0.948242958372
breathe, find: 1.92082964716
flagrant, lovable: 0.899220599469
anywhere, kid: 1.67312981881
heavy, long-lasting: 0.0
unjust, worried: 0.902892911085
gender-neutral, jolly: 0.0
nasty, shut: 1.04648967569
ridiculous, yearly: 1.14481208966
hope, patience: 1.94991454868
imported, strengthening: 0.572013082855
carmela, world-wide: 0
asian, standard: 0.172265156751
determined, trivial: 0.51901009736
associated, screwy: 0.570383599147
etcetera, trained: 0.473772851813
submitted, upfront: 0.325243145335
lengthy, loyal: 0.80266873529
practice-oriented, under-inclusive: 0
embarrassed, recommendable: 0.238415813532
enrolled, under-age: 0.0
of, universal: 0.0
admirable, every: 0.679636447446
honourable, well-paid: 0
opportune, sweetheart: 0.659642505624
heart-warming, largely: 0.0
blameless, tiny: 0.658615800083
lively, pale: 1.0297287313
contained, unreasonable: 0.888511667799
respected, solid: 1.09218709658
elusive, insured: -0.500447107835
continued, unknown: 0.101593037718
galore, terrible: 1.25737558417
aggrieved, coming: 0.169625852005
identified, rapid: 0.362372924381
greedy, sinful: 3.24977837792
compensatory, well-treated: 0.0
payable, proper: 1.12627350623
guys, profound: 0.515856153064
laddie, run: 0.36397921636
smoother, unacceptable: -0.060974524563
also, ultra-hazardous: 0.0
nonsense, southwestern: -0.06458747579
small-scale, starved: 0.0
afflicted, noteworthy: 0.38731775961
applied, treaty: 0.059007392044
battered, overwhelming: 0.966256248276
forthright, prick: 1.41503758938
iegitimate, late: 0.0
connected, per: 0.479809483002
conceivable, disingenuous: 2.0136253358
born, holistic: 0.342452470415
indiscreet, superstitious: 2.13689831089
choosy, determinative: 1.15171676238
her, tabled: -0.333864511878
ridiculus, stumpy: 0.827284888266
presumptuous, returned: -0.395579991562
antsy, perverse: 0.466665153216
humid, later: 0.191472378112
mostly, willing: 0.345380150454
problem, stricter: 1.45785808134
