above-board, negligible: 0.0
grand, immaterial: 0.677551332981
present, uneconomical: 0.213661517328
unofficial, worthwhile: 0.593950697907
announced, crummy: -0.171865753317
immense, longest: 0.814155681413
batty, counter-productive: 0.0
tougher, unacceptable: 1.80343571764
adorable, ioaded: 0.0
madness, rich: 0.76122233076
choosy, illicit: 0.364445402888
2nd, thank: 1.05811257808
happier, junior: 0.653969241356
flawless, happening: 0.325541216337
asshole, enraged: 2.79550164291
cooler, sunny: 4.12163834663
cute, possible: 0.386751192562
messy, naked: 1.23639524416
high-availability, intact: 0.0
humid, yet: -0.085551490803
lengthier, overwrought: 2.32802359579
that, unused: 0.54197161912
better-looking, unpredictable: 0.0
holistic, white: 0.174149949418
iil, sultry: 0.0
implacable, politically: 1.55803110462
confrontational, expressly: 0.935719904315
staff, well-written: 0.0
untraceable, uppermost: 0.925064870892
full, understandable: 0.8825531031
everyone, inexpensive: 0.896411914784
dominant, instable: 1.82392384689
to, utopian: 0.0
depraved, three: 0.200208072586
-mentioned, strange: 0.0
created, princess: 0.297193044559
hardest, overloaded: 1.06930382893
purer, understand: 1.2991450875
claire, vain: 1.16598095501
limber, unmistakable: 1.18011904102
faulty, mighty: 0.019843136217
foul, witty: 1.08156906024
rare, thorny: 1.79715707685
required, watchful: 0.440450589561
rock-solid, worrying: 0.0
laborious, teeny: 1.07017807942
bold, drunken: 0.570841470369
calming, environment: 1.11648604367
crummy, long-lived: 0.0
dazzling, overripe: 2.06654384084
christian, jurisdictional: 1.31292253281
arbitrary, stillborn: 0.856948107873
clarify, graver: 1.12083559248
multi-faceted, say: 0.0
bogus, dim: 0.440511163571
incalculable, manifest: 1.89670823717
accordingly, recently: 0.444354909857
elegante, gratuitous: 0.0
faulty, incomplete: 3.93970725318
butthead, estimated: 0.000316077743
immutable, moreover: 1.83904071018
unattainable, worded: 0.609464955485
do-able, regretful: 0.0
clinically, dummy: 2.08383677346
hostile, upset: 1.72869539035
pathway, unlocked: 2.07503654743
long-lived, prat: 0.0
changing, junior: 0.357383203236
-sorry, vacant: 0.0
anything, roisin: 0.0
alarming, interest: 1.28918129559
industrialized, plain: 0.535788209859
restored, southeastern: 1.0668847474
fraudulent, personalized: 1.45791259303
open-minded, poisonous: 0.0
ashamed, delightful: 0.814616365895
clarified, profane: 0.825108870404
elementary, raison: -0.510762244651
gender-neutral, gullible: 0.0
characteristic, effectiveness: 1.04349672898
intrusive, unproblematic: 2.04592351983
hopeless, unethical: 2.06250688429
-mentioned, implemented: 0.0
profound, single: 0.302311447129
pertinent, user-friendly: 0.0
impulsive, stupide: 0.0
acknowledging, see-through: 0.0
junior, well-behaved: 0.0
complete, stout: 0.370495727136
rooted, unforeseeable: 1.24285175419
alarmed, damaged: 1.59908472332
uneconomical, wealthiest: 0.473158467994
frightening, high-tech: 0.0
reduction, upper: 0.880997984924
however, painless: 0.841165334451
atrocious, strictest: 1.62348162018
coordinated, unstable: 0.422561543972
alert, faulty: 0.725172759106
acknowledged, commended: 3.46880310244
fat, liberal: 1.31754486149
archaic, voluntary: 1.08975235517
uneasy, youthful: 1.27149973982
intricate, run: 0.3394189524
again, diseased: 0.450538255769
binding, nutty: -0.109930954155
fruitless, stressful: 2.3912975713
constructed, obstinate: 0.698587801387
filthy, restful: 1.01960496387
generalised, somewhere: 0.0
mid-, north: 0.0
canceled, harmless: 0.962146847586
self-evident, turbulent: 0.0
egregious, useful: 1.15954890879
flicka, southeast: 0.0
miscellaneous, practice-oriented: 0.0
cooperative, malignant: 0.564650964253
concluded, hurtful: 0.303894726342
dual, reaily: 0.0
anomalous, unaware: 1.60253252436
any, corrupt: 0.420130059784
exceptional, high-ranking: 0.0
broader-based, honorable: 0.0
flaccid, focused: 0.124427208662
cautious, notable: 1.01588156977
convinced, exquisite: 0.12279527707
foremost, weighted: 0.056009750759
inadvisable, southeastern: 0.316933501907
extensive, illiterate: -0.332959576882
afflicted, all-powerful: 0.0
appointed, retrievable: 0.562285762142
acknowledged, illusory: 0.632888423757
live, marvellous: 0.0
respendable, well-prepared: 0
dumb, here: 1.13538840666
exhaustive, recognizes: 0.809276604475
environment-friendly, hurry: 0.0
neat, tentative: 0.907825144325
fair-minded, longterm: 0.0
adaptable, opposite: 0.382504006833
iucky, unreliable: 0.0
ill, multicultural: 0.059748890266
inefficient, integrated: 1.52406708835
consequential, non-self-executing: 0.0
high-ranking, mid-: 0
compensatory, darkest: 0.857958308533
accountability, ioyal: 0.0
executory, fuckin: 1.54113696391
back, running: 1.16851489308
undetectable, unique: 0.948241851647
remediated, well-filled: 0.0
incomplete, personally: 0.349113010456
encouraging, unfortunately: 0.613888112853
ludicrous, rational: 2.63635736375
skilled, smarty: 0.991873654231
harder, imperative: 3.11696170896
considerate, unclear: 0.490793009883
nude, received: -0.26040439335
final, unclear: 1.28506622351
systemic, worldwide: 0.972417886324
thanks, well-designed: 0.0
reliable, systematic: 1.27723940077
excellent, paradoxical: 0.576151077811
prompt, transient: 0.434148401208
noticeable, quoted: -0.835931901615
crippled, well-informed: 0.0
frozen, yearly: 0.54917275584
careful, reciprocal: 1.13328443315
explicit, modest: 1.43475946047
bogus, geographic: 0.069665029175
definite, hope: 1.48760249473
finicky, scheduled: -0.161809277175
constrained, increasingly: 2.26646071943
performed, wierd: 0.085310790249
dreamy, nutty: 3.01837237923
forever, state-of-the-art: 0.0
cinematography, medium-sized: 0.0
david, thus: 0.515515235771
strongly, unseen: -0.373243655305
african, looking: 0.703949406023
puny, strongly: -0.157046645238
disgusting, used: 0.768361921553
open-minded, slow: 0.0
immediate, motherfucker: -0.049455454733
mature, smarty: 0.790615008483
bro, fortunate: 0.377903827132
fabulous, rescinded: 0.427635963418
deep, horseshit: 0.388474296986
gracious, warmest: 2.88239030082
benign, reduction: 0.557389767137
deficient, unexceptable: 0.0
certified, inter-related: 0.0
brilliant, inexcusable: 1.95618990628
doin, singular: 0.177813274018
calm, emerging: 0.250006662877
classical, severely: 0.10880778078
iil, thoroughly: 0.0
a-okay, synergistic: 0.0
northeastern, unfettered: 0.376729468975
european, in: 0.103293839711
dirtier, ever-increasing: 0.0
incomplete, indicated: 0.982883302747
labour-intensive, pointless: 0.0
beneficial, exceptional: 1.36890028559
minimal, petrified: 0.477680038882
canceled, cherry: 0.345591967406
first, hearty: 0.292896042199
eighth, unproblematic: -0.24216058456
another, installed: 0.105743177317
carsick, well-respected: 0.0
bad-ass, outside: 0.0
all, lately: 0.824811090324
pretend, vicious: 0.922885668866
rubbish, unresolved: 0.92106953862
-just, asian: 0.0
hostile, sole: 0.770789581315
destructive, internal: 0.828778479846
find, first-hand: 0.0
palatable, primordial: 1.18816866322
gay, recommendable: 0.860958302234
disjunct, invaluable: 0.126908974623
sincere, stricter: 0.685133267825
proportional, satisfactory: 1.41088854563
eastern, sacrilegious: -0.039228999587
grim, remote: 1.37020591505
present, wary: 0.405765612065
holistic, induced: 0.791936858833
horny, youth: 0.40491534051
broad-based, ever-increasing: 0
self-financing, virtually: 0.0
cross, excited: 0.024834814506
reinforcing, watchful: 0.604362445311
iil, wise: 0.0
sealed, trained: 1.01687223131
charged, valid: 1.57664774105
chloe, scary: 1.03580458106
cold-rolled, flexibility: 0.0
indecent, overridden: 0.187376887599
poorer, uncompetitive: 3.86402141844
defective, retard: 0.947737754647
appointed, whassup: -0.432778416434
defunct, juvenile: 0.113890811072
simply, trashy: 1.07923668676
hideous, undisputable: 1.0663262315
relaxing, stocky: 0.332717255536
agreement, negligible: 0.57153293005
finite, well-educated: 0.0
qualified, relatively: 0.169866529541
guys, well-placed: 0.0
annulled, colder: 0.63722797919
commended, mum: 0.788946895796
adapted, unaltered: 1.50710513094
constant, organised: 0.0
hateful, overpriced: 0.470045443636
fully, non-self-executing: 0.0
removed, unequivocal: 0.206686999187
audacious, quick: 1.52624720309
distracting, formerly: -0.5220952365
psychological, strongest: 0.404673664538
richest, spoilt: 0.0
timelier, woolly: 0.538437393785
incidental, inclusive: 1.15857088602
less, shared: 0.237345749993
senseless, shallow: 0.954857418801
entrenched, scary: 0.727032636
flagrant, statewide: 0.486411706432
constructive, dumb: 1.38166802279
fascinated, one-sidedly: 0.0
economic, holistic: 1.10791273761
scandalous, unwholesome: 4.04639815791
genius, sicker: 0.796677896553
end-to-end, imperceptible: 0.0
ineffectual, unstable: 2.31381202302
disposal, mum: 0.538563478261
discernable, ioaded: 0.0
hopeful, something: 0.819064349664
prolonged, unpopular: 1.26941872926
diverse, marginal: 0.545332569749
smitten, worldwide: 0.003759347101
included, together: 0.41346349593
firstly, modernized: 0.630283160873
assertive, unlikely: 0.843535237122
prohibitive, sedentary: 1.65739211384
concluded, flourishing: 0.428339809899
comercial, messy: 0.168094885374
arduous, expanding: 0.396950389229
delighted, magic: 1.19563272198
immaterial, liked: 0.721599001747
me, then: 1.69023414049
horseshit, indisposed: 0.211209298923
roll, unlocked: 0.520125993446
lovelier, shifty: 1.43052319132
durable, roisin: 0.0
confrontational, sentient: 0.7855901594
correct, pitiable: 0.594112181952
generous, public: 0.473187362947
freely, many: 1.2451638103
defective, regulated: 1.57508033746
black-hearted, realist: 0.0
convincing, furthermore: 0.720147769906
modernizing, respectable: 0.589693005398
disappeared, ruined: 2.58979896451
misused, normally: -0.135080735318
reasonnable, win: 0.0
surprising, unsettled: 1.86554261567
cold, professionally: -0.327073822786
comprehensive, stark: 1.31491577483
corny, profitability: 1.04810110318
beastly, logical: 0.842878251326
killed, planning: 0.573607726963
later, laughable: 0.464204641051
insincere, trashy: 2.90389673912
inconsiderable, thicker: 0.31520728589
flavorful, run: 0.052297828404
canceled, patient: -0.608823956096
pushy, six-year: 0.0
abolished, flagrant: 1.10423117007
dreadful, questionable: 1.66341329057
intractable, managed: 0.273459868132
bleak, turned: 0.778258767878
accessible, adamant: 0.715209609034
extensible, undisputable: 1.86148004705
green, iegitimate: 0.0
glowing, suspected: -0.085033730671
ineligible, radiant: -0.35495706667
-so, dangerous: 0.0
life-long, trippy: 0.0
founded, problematical: -0.206882821503
brighter, solidarity: 1.1827147829
tenuous, witty: 0.49943066198
in-progress, present: 0.0
bare, handy: 1.35604360104
follows, incompetent: -0.057242645269
bogus, fbl: 0.0
drenched, nathan: 0.234072356541
empowered, morbid: 0.096137185917
case, long-range: 0.0
concerned, primarily: 0.513128733484
jurisdictional, sing: 0.198437586062
little, thin-skinned: 0.0
clara, even-handed: 0.0
inexpensive, realistic: 1.5002083234
around, overloaded: 0.820731197285
hollow, inadvisable: 1.16178160717
sir, southeast: 0.459386404514
motivation, subsidized: 0.434229252617
david, macabre: -0.232000038621
establishment, prime: 0.457739796321
cohesive, rescinded: -0.33917470051
developing, thicker: 0.57810826004
quality, scattered: 0.852753156176
heartening, subordinate: 0.270486788117
advantaged, silent: 0.402087724112
built, non-discriminatory: 0.0
quieter, religious: 0.469735952316
mum, recheck: 0.152925526226
dazzling, yellow: 1.00673049827
foreseeable, pretty: 0.538681010844
later, younger: 1.120599865
astounding, sunny: 0.639347838675
sedentary, trite: 1.50297004125
flame-retardant, repeating: 0.0
handicapped, obscure: 0.969692244495
overflowing, visible: 1.14273359949
before, busier: 1.1573473491
pathway, well-formed: 0.0
long-range, thankful: 0.0
numerous, unfortunately: 0.898236094489
as, moister: 0.005281090019
costly, developed: 0.424149340412
nauseous, rigght: 0.0
interim, pleased: 1.05355665583
lately, mighty: 1.509928754
innocents, stark: 1.53929706569
brainless, emblematic: 0.673815927284
enchanting, unrestricted: 0.582402124613
riveting, th-that: 0.0
observant, off-the-record: 0.0
associated, scared: 0.254796560137
rather, spicy: 0.325190580838
busier, obvious: 0.605688090388
effectiveness, well-defined: 0.0
based, overjoyed: 0.382904119433
know, purer: 0.938420762824
performed, updated: 1.24473597912
asking, well-educated: 0.0
dirty, treaty: 0.909328356427
friends, state-funded: 0.0
confusing, found: 0.840059547186
belle, confrontational: 0.068036343756
respendable, sleepy: 0.0
outgoing, thick: 0.241441716232
slender, undeveloped: 1.13658377522
flattering, good-natured: 0.0
ice-cold, quickly: 0.0
elevated, turned: 0.637169383975
fragile, hasty: 1.94725746616
sole, staff: 0.165180924362
also, baby-sitting: 0.0
counterfeit, expeditious: 0.419415418993
earlier, environment-friendly: 0.0
bad-looking, weil: 0.0
brainless, saved: 0.935069580928
miscellaneous, shaking: 0.446944428905
living, overjoyed: 0.802031787962
cowardly, stocky: 1.579056148
injurious, lethal: 3.00512813543
choosy, principally: -0.306381565359
diligent, terrific: 1.81856301849
stocky, wholesome: 0.898626091052
essentially, exceptional: 0.544507144246
stale, supplied: 0.317450781581
carsick, conducive: 1.02948081792
reyes-torrena, seen: 0.0
twelve, unspeakable: 0.598467643533
beloved, net: -0.371439574679
hurtful, uncomplicated: 0.211620704349
flammable, splitting: 0.04259913676
healthier, ruined: 0.983649946102
ill-founded, most: 0.0
bone-dry, bummed: 0.0
harmless, yes: 1.01827363932
reason, wounded: 0.208748070418
focused, stress-related: 0.0
baby-sitting, interested: 0.0
co-operative, overambitious: 0.0
experienced, heterosexual: 0.861112636787
egotistical, lead: 0.554003898163
cherry, non-transparent: 0.0
sadder, sponsored: -0.143161823613
diversified, official: 0.290527263982
splendid, trustworthy: 0.412855485568
ever-increasing, flat: 0.0
cool, deeper: 0.585400782066
forever, requested: 0.111456004505
glamorous, wet: 1.10961606081
obstinate, secure: 0.27546850825
deserved, intentional: 1.61887123714
pro-choice, well-organized: 0
faster, upfront: 0.659278057303
false, handicapped: 0.705743707255
absolute, suspicious: -0.629342316097
included, touching: 0.485805825596
desirable, permanently: 1.32623679067
non-exclusive, spicy: 0.0
darker, neutral: 1.26815082903
explosive, one-sidedly: 0.0
living, strong: -0.167539081019
held, minimal: -0.115150580085
assertive, unknown: -0.03309417128
careless, supported: -0.309108063605
firmer, someday: 0.204832829737
embedded, intriguing: 0.782469666409
even, sixth: 0.256955206306
worth, wounded: 0.736125962324
modified, quieter: 1.51605881449
least, profane: 0.642567992951
deader, essentially: 1.7315445443
rational, unstable: 1.84315625746
restless, superb: 0.007601531866
multiple, planning: 0.490106405212
breathtaking, rather: 0.074402559583
all-out, mean: 0.0
instrumental, need-to-know: 0.0
down, nouveau: -0.325956600447
currently, infected: 0.229988418798
confusing, medical: 0.796470728025
state-funded, valuable: 0.0
obscure, proscribed: 1.72935109641
inactive, specified: 1.36672044243
tricky, untrue: 1.03735461961
foreverything, tentative: 0.0
black-hearted, own: 0.0
frustrated, tangible: 0.875276060261
non-compensatory, sturdy: 0.0
blank, smallest: 0.593044021856
extirpated, legible: 2.66429739533
migratory, spoilt: 0.0
acceding, rock-hard: 0.0
firm, twice: 0.191440628626
cleanest, well-planned: 0.0
depressing, righteous: 1.00230695945
effortless, even: 0.845487204674
bankrupt, poppycock: 1.74407802517
know, self-employed: 0.0
sharper, thank: -0.858578036326
demented, hereto: 0.257828170908
astounded, rotten: 1.25587586413
cheery, unfettered: 0.808111016111
hourly, psycho: 0.732550574837
immovable, secretive: 1.13977023445
certainly, virtually: 1.31601676578
immaculate, mortal: 1.78859748478
durable, political: 0.087246266944
asinine, often: 0.476461360504
forever, pro: 0.414576390753
droll, scrumptious: 2.34275237226
conceivable, uncomfortable: 1.29375514217
seen, wealthier: 0.713009473731
politically, puzzling: 0.662190224184
focussed, recheck: -0.118391332391
absent, launched: -0.277074469554
a-okay, accurate: 0.0
material, scaleable: 1.10713944213
coordinated, economically: 0.955269196646
anxious, trustworthy: 1.25592793719
unambiguous, unjustified: 2.34666133816
deposited, perfectly: 0.119875284568
improvement, thought-provoking: 0.0
inconsiderable, upright: 1.02017215103
alarmed, debated: 1.9461130808
happened, stellar: 0.403713375933
migratory, muchfor: 0.0
authorised, unsettled: 0.0
doable, rubbish: 0.964261231636
larger, undisputable: -0.100636030302
long-lasting, realist: 0.0
unresolved, wonderful: -0.153092024259
secondly, unlocked: 0.172392752936
nessessary, pronounced: 0.0
self-serving, unofficial: 0.0
germane, pivotal: 1.91155584173
morbid, nothingg: 0.0
ended, worldwide: 0.399403504708
dummy, intriguing: 0.277443210819
opening, overflowing: 1.28991585603
balanced, mere: 0.101770332368
harmonised, jolly: 0.0
engaged, passionate: 2.25415479061
terse, triple: -0.250810463627
conventional, reckless: 0.509316014595
meritorious, numerous: 1.18099193272
grisly, operative: 0.935625870376
depraved, various: 0.62042148569
hope, legendary: 0.151499533237
huge, imrtant: 0.0
aggrieved, calm: 1.93284745211
awkward, in: 0.418144170517
bureaucratic, medical: 1.28908032298
fuzzy, safest: 0.054675000642
although, pale: 0.583831380858
attainable, evey: 0.187753841543
effortless, reasoned: 0.406170191516
apolitical, change: 1.10183610748
collective, sadly: 1.00588946299
bigger, reduced: 1.15999297349
aging, distribution: 0.565765065192
longest, psyched: 0.649984365308
corresponding, superb: 0.319969046446
poppycock, trite: 3.92401626742
principally, robust: 1.1557751741
clara, really: 0.2478005163
growin, out: 0.144071749098
redeemable, viable: 1.17777493401
freer, magnificent: 0.565920848167
grateful, well-deserved: 0.0
beter, rad: 2.35290483812
expanded, sing: 0.14957533569
demanding, well-deserved: 0.0
gifted, justiciable: 0.900509767269
aware, conspicuous: 1.96216149963
charming, lowest: 0.057331845222
dispersal, rigorous: 0.397827655516
additional, underlying: 1.21550897556
audience, fair: 0.731175269413
house-trained, trivial: 0.0
five, quoted: -0.162157334717
course, warranted: 0.545124001355
here, vacant: 0.735269471545
inoffensive, recurring: 0.785440326106
honourable, impoverished: 0.0
casual, impossible: 0.402010855054
accordingly, anyway: 1.42409493496
fuzzy, prohibitive: 0.774883877627
embedded, timed: 0.68761958097
prepared, secret: 0.59308282082
facilitated, follows: 2.15061273947
heavyset, heterosexual: 1.57416403734
dim, responsibility: -0.650453970909
extinct, undisturbed: 3.55908548943
acceptable, ma: -0.240409274475
rarest, restless: 0.639349961119
confusing, preoccupied: 2.40847340444
exciting, off-site: 0.0
brightest, vague: 0.034308012603
engaged, telling: 0.552726875395
realistic, term: 1.19732659308
persuasive, then: 0.485540589254
amazed, fbl: 0.0
booming, lightweight: 0.129347798404
economic, proud: 0.416957539191
low-skilled, mid-sized: 0
acknowledged, elevated: 0.627140700915
mieux, precise: 0.544233948865
solemn, sooner: -0.138421479683
2nd, advantaged: 0.218767075055
binding, encouraged: 0.386987524758
gone, regular: 0.899798870358
kind, rationalized: 0.68709027954
emaciated, white: 1.51460441143
briiliant, distressing: 0.0
definitive, provisional: 1.82780492269
inquisitive, patient: 0.728132317449
marvelous, omnipresent: 1.64013968393
acknowledged, discernable: 1.31640018966
leading, younger: -0.170538973553
dynamic, industrialized: 0.499434740089
overwhelmed, superior: 1.04213041688
complicated, northeastern: -0.049131575547
barmy, single-ranked: 0.0
sensible, unfortunately: 1.48609309473
inoffensive, self-financing: 0.0
audacious, pre-established: 0.0
chloe, tom: 2.03279412665
cruel, intelligible: 0.935678214232
garbled, overwhelming: 1.07352656822
blinded, stupid-looking: 0.0
ignorant, tiny: 0.821674432005
sketchy, tolerated: -0.085816439211
cleanest, fun-loving: 0.0
liable, screwy: 0.094465471223
indecent, stocky: 0.622287564411
outgoing, sorr: 0.0
gifted, impractical: 1.01253536897
cuter, steep: -0.309353923888
observed, tardy: 0.701833723371
sal, usually: 0.853633556554
attentive, better-iooking: 0.0
obstinate, win: 0.653685051214
gross, preoccupied: 0.577970227615
kane, unwell: 0.194339488472
co-, displacement: 0.0
charming, planning: 0.208472015913
grown, this: 0.533895719476
disappeared, gratifying: -0.40127408045
unforeseeable, well-defined: 0.0
dead-on, friendlier: 0.0
robust, year: 0.478361203614
culpable, max: -0.150116771789
terminated, transparent: -0.010001488856
authentic, locked: -0.0821447083
freaky, sinister: 3.61412119717
freer, substantive: 1.80040553816
accessible, serious: 0.47744679593
affixed, fall: 0.612152896914
imprecise, korea: 0.851187081414
incredible, remote: 0.29737426953
affordable, confidential: 1.28758801347
disastrous, time-sensitive: 0.0
childish, competitive: 1.0971231009
parched, racked: 0.579144435397
miscellaneous, trashed: 1.42853237215
being, unjustifiable: 0.563748870747
affected, business-friendly: 0.0
elite, wrong: 0.354736191838
identifiable, overly-high: 0.0
childish, intertwined: 1.15335237483
quiet, unclear: 0.973107758077
courageous, leaner: 0.921903915603
attentive, definite: 0.764625925152
inestimable, know: 0.786738531737
short, short-term: 0.0
preceding, puny: 0.52146702595
disastrous, first-hand: 0.0
declared, implausible: 0.248474181993
certified, ubiquitous: 1.02792876726
merely, panicked: 0.859107775298
liberated, patience: 0.875800018133
before, breadth: 0.316160253668
perverse, sal: 0.127846178881
restored, written: 0.544818938937
drier, first-hand: 0.0
do-able, standardized: 0.0
environmentally-friendly, identify: 0.0
fatal, hooked: -0.206113041713
mild, start: 0.700112503836
described, instrumental: 1.18669673394
critical, unprofitable: 1.50919810979
abused, dark: 0.727809380079
realizing, yes: 0.507948996427
consulted, relatively: -0.454169264329
expressly, impenetrable: 0.671950443033
forthright, in-house: 0.0
briiliant, brittle: 0.0
imminent, weird: 0.651273954623
increasing, loveable: -0.202306844433
fifty, one-sided: 0.0
negligeable, sentient: 0.0
deprived, up-to-date: 0.0
intelligent, undetermined: -0.039072636673
then, tiny: 0.430787639701
brand-new, three: 0.0
duty-bound, weaker: 0.0
increased, shy: 0.234321377933
new, whar: 0.0
probable, straightforward: 1.17743771662
selective, unaffordable: 1.48046243864
immature, onboard: 0.15331478049
realistic, scarlett: 0.001142614661
milder, sufficiently: 0.592759373479
polluting, scarcer: 1.96967959963
self-sufficient, unsettled: 0.0
claire, unsteady: -0.075983073559
complicit, gutsy: 0.204624206696
archaic, asleep: 0.005753529903
content, vested: 0.744512318571
gracious, psychogenic: 0.319121689962
categorical, life-long: 0.0
reckless, thanks: -0.062913729677
prevalent, truthful: 0.671494033176
applicable, healthier: 0.467014670664
prolonged, security: 0.187841931533
energetic, regardless: 0.420856926427
inescapable, race: 0.284851088995
inaudible, mature: 1.00416390662
builshit, permanently: 0.0
conflicting, steep: 0.892173553612
advantageous, null: 1.81941092572
accomplished, justification: 0.50704913476
manageable, well-documented: 0.0
annulled, thoroughly: 0.518202782605
competent, well-deserved: 0.0
legal, unemployed: 1.13827087921
challenged, pervasive: 0.4851396709
claire, well-behaved: 0.0
galore, individualized: 0.821841375115
overpriced, understand: 0.099646103479
dedicated, imperceptible: 0.322448486638
also, surreal: -0.26475728339
patient, terrified: 0.745899906029
immutable, resilient: 2.3311173225
foxy, surprised: 0.993354717822
disrespectful, steady: 0.047529827839
deficient, insolent: 1.67662009325
bad-ass, dim: 0.0
self-sustained, suspected: 0.0
blended, incalculable: 0.634561488141
apart, riveting: 1.2493390382
longer-term, wholesome: 0.0
prevalent, surprising: 1.5489552079
flexibly, twice: 0.829980188353
amended, readable: 1.32031390954
cuter, expeditious: 0.668288033399
environmentally-friendly, outdated: 0.0
above-mentioned, re-established: 0
across-the-board, desperate: 0.0
complicit, started: 0.436261866214
enraged, princess: 1.08557150098
anomalous, unrealistic: 1.43169520593
inadmissible, thought-out: 0.0
boring, singular: 0.854073762388
forceful, hostile: 2.45698961184
additionally, estimated: 0.725670350343
admitted, shot: 0.952142657446
humane, transparent: 3.06006668425
fine, ten: 0.545926141685
clearest, cooperative: 0.378274844861
exhausted, previously: -0.223224480252
clear, faulty: 0.710757237486
-me, emotive: 0.0
enlightening, workable: 1.90630285868
gaunt, unimaginable: 2.00734064453
outgoing, self-employed: 0.0
mutual, noted: 0.469179350691
doubt, egotistical: 1.41263604344
else, panicked: 1.65799774337
forthright, sticky: 0.489610309101
awful, free-of-charge: 0.0
horrid, legible: 0.894458337726
highest, tough: 0.760035164524
ambitious, essential: 0.840462149556
anything, trained: 0.476953307307
anti-constitutional, grim: 0.0
changed, impulsive: 0.31784297332
aggrieved, cynical: 2.46756895614
alia, needless: 0.011536904464
arbitrary, motivated: 1.18209567834
absent-minded, omnipresent: 0.0
brisk, dysfunctional: -0.430222057884
elle, well-lit: 0.0
nonsense, self-executing: 0.0
everyone, pitiable: 0.263363069873
co-financing, especiaily: 0
endearing, interest: 0.515477787331
batty, widespread: 0.028847049799
startling, unbecoming: 1.99895269735
cinematography, hiv-positive: 0.0
adamant, empowered: 0.906893720567
2nd, unproductive: 0.072741467311
hairy, touchy: 3.69724961422
fruitless, taller: -0.292105637945
main, pro-active: 0.0
distinctive, unpredictable: 1.17875190899
anticipated, peachy: 0.745173675757
accused, destitute: 0.95895599608
gentle, spontaneous: 2.27441012067
appreciated, unfit: -0.19701132526
manifest, unprecedented: 0.848089426843
agreement, permanently: 0.877588808364
gaunt, harsh: 1.11452794303
prettier, yummy: 3.49091337079
iegitimate, thoughtful: 0.0
discriminatory, missy: 0.835634657161
exemplary, robust: 1.66240349149
naive, repugnant: 2.69687576004
deplorable, enabled: 0.222078871344
distant, possibly: 0.985797354993
insufficient, korea: 0.294427112384
micro, steep: 0.287172633073
temporarily, tough: -0.090138364662
profitable, speedier: 1.16025594968
developed, uneven: 0.600007361803
co-operative, fuller: 0.0
dirtier, tighter: 4.17847877449
counter, profane: 0.639600586192
acute, shiny: -0.429004585117
fewer, ubiquitous: 0.626036866198
moron, shaky: 0.447114060362
undesirable, victorious: 0.026575222057
environmental, rank: 0.075444982857
essential, intact: 1.66440525374
primordial, spooky: 2.02597623939
delay, installed: 0.40489940321
hideous, move: -0.09300241551
adopted, wise: 0.877389932285
inexcusable, of: 0.0
alien, theoretical: 0.972016609537
crushed, distinguishable: 0.85167972834
belligerent, long: 0.394661389463
identified, incomplete: 0.840108143216
heterogeneous, hlv-positive: 0.0
infallible, re-appointed: 0.0
information, palatable: 0.570649636555
discretionary, ugly: 0.132063585563
better-quality, religious: 0.0
cost-effectively, mid-: 0
going, privileged: 0.729609392262
relaxed, traumatic: 1.08512263809
additionally, obscure: -0.028250944876
loud, nervous: 2.09146485209
capable, outstanding: 1.72896827409
comercial, youthful: -0.291652514623
puny, unreasonable: 1.90173533229
enlarged, telling: -0.035104452359
surely, wrong: 0.916250785349
disabled, incalculable: 0.16128169161
prohibitive, simple: 1.83285192644
pointless, stupid: 3.89162579555
asking, knackered: 0.493126405477
different, leave: 0.157930618997
inexpensive, unbiased: 2.43261524358
annulled, gratuitous: 0.226248581329
acknowledged, grotesque: 0.530341950376
frightening, raison: 0.571272733771
cross, unofficial: 0.296742782944
empty, pale: 1.0671554375
facilitated, lame: 0.027649796034
jumpy, prevailing: 0.665532236111
underlying, unthinkable: 0.120856084985
optional, petite: 0.694567734706
hurtful, international: -0.335646177498
impractical, uh-huh: 0.0
obnoxious, triple: -0.031264308844
extirpated, smug: 0.900063136375
faithful, managed: 0.601382088976
brief, tom: 0.253852909001
interesting, private: 0.335726137838
faithful, youth: 1.45425036811
specified, state-of-the-art: 0.0
legit, undemanding: 0.684056409229
rapid, secretive: 1.25514957604
imminent, permissible: 1.2021563656
called, hurtful: 0.783745822666
-good, ingrained: 0.0
outstanding, presently: 0.727323682386
selfish, tepid: 0.995309840114
french, pertinent: 0.451923924122
smarty, worthy: 1.04707653459
cooperative, fastest: -0.005081208204
happen, minimal: 0.665198601893
certifiable, state-run: 0.0
broken, subsequent: 0.404838330762
mightier, sultry: 0.855263023689
provision, tolerated: 0.587678344529
equal, strangers: 0.482336531654
disparate, inconclusive: 1.8583854276
kane, wacko: 0.974422499438
finally, low: 0.213818250697
e.g., wholly: 0.0
accurate, many: 0.512862565026
lately, vice-chair: 0.0
fuller, oriental: 1.31457808912
for, integrating: -0.109300698114
okay, undemocratic: 1.25101712906
distinguishable, fake: 0.85968802496
exactly, similar: 1.53266035595
farther, korea: 0.658060125439
tailor-made, tardy: 0.0
populous, visibility: 0.504458270164
brightest, handicapped: 0.384458119507
biggest, stagnant: 1.41717815738
authorised, supported: 0.0
adorable, fabulous: 3.4811367079
even-handed, expeditious: 0.0
recognised, truth: 0.0
concerned, expanded: 0.307841023932
