10, independent: 0.0
better-educated, supreme: 0.0
restful, scrumptious: 3.4201680272
friends, frozen: 0.519942097098
instrumental, safeguarded: -0.04849385289
taller, tiring: 2.44075267441
immutable, particular: 1.01197398301
all-encompassing, being: 0.0
executed, healthier: -0.590767838075
capable, latter: 0.507149917557
action-oriented, lovelier: 0.0
distributed, fucked-up: 0.0
illegal, reasoned: 0.538810684531
delighted, non-binding: 0.0
alia, scalable: -0.169064555507
correct, periodic: 1.18889412044
confidentiality, cynical: 0.788503589818
objective, prudent: 1.80403221148
classified, educated: 1.35044357855
change, unseen: 0.194655345598
imperfect, unnecessary: 1.80535998374
constructive, pitch-black: 0.0
authorised, efficient: 0.0
nearby, usually: 0.500077427906
nothingg, unspeakable: 0.0
here, undemocratic: 0.583887421083
unidentified, well-served: 0.0
baseless, self-reliant: 0.0
heterogeneous, unfit: 1.21047563277
elaborated, jumpy: -0.133988116685
missing, sobering: 0.379698606708
bereft, compensable: 0.730462630058
unqualified, winning: 0.245071045902
blessed, intended: 0.204225504482
routine, superficial: 1.80150074074
turned, varied: 0.747039309972
handling, undamaged: 0.682286087485
inconclusive, paradoxical: 1.86784669812
complementary, disingenuous: 1.48567736789
braver, maximum: 0.082132644068
!, central: 0.0
significant, wary: 1.27741773655
senseless, stumpy: 0.788686554049
formally, later: 1.81398483999
smarter, though: 0.741666460588
first-class, induced: 0.0
installed, troubled: 0.004681983063
adapted, childish: 0.529860390084
frustrated, year: 0.599539065321
committed, very: 1.33802811648
manifestly, zesty: 0.807823882541
impulsive, underage: 1.93835450746
bereft, imperfect: 2.40682442981
entitled, largest: 0.339819787471
ample, topnotch: 2.04901298987
heavier, impracticable: 0.651007544831
heard, iittle: 0.0
drenched, rogue: 0.42013986297
brain-dead, detailed: 0.0
constituted, first: 0.222904776678
handed, voluntary: 0.92464200286
disruptive, unified: 1.25752196207
prohibited, sunnier: 0.206568271657
few, vested: -0.275942896676
co-chairperson, doubt: 0.0
korea, out: 0.431549784939
fuckin, obtainable: 0.173916340448
muscovite, tense: 0.239335142258
handicapped, self-executing: 0.0
given, indispensible: 0.350595474472
radiant, terrified: 1.79146838306
out, questionable: 0.967379546444
stand-alone, ungrounded: 0.0
ping-pong, transnational: 0.0
undeniable, various: 0.42106042571
previously, rarest: 0.449258309016
frail, wing: 0.470764006479
fast-growing, geographic: 0.0
immature, staff: 0.143590500325
american, related: 0.707757758907
meaningful, next: 0.529237672179
robust, well-suited: 0.0
archaic, stone-cold: 0.0
actually, coherent: 1.03301538301
david, manufactured: 0.049446041424
aggravated, optimal: 0.784709602404
discernible, observant: 1.67682880336
mid-sized, under-inclusive: 0
damaged, hotter: 1.65476158487
de-insured, hinky: 0.0
1st, rogue: 0.111300472906
dispute, fascinating: 0.449796878032
daily, inaccurate: 0.823691456089
elaborate, stiff: 0.955515119531
extra, troubled: 0.117383695256
imperfect, middle: 0.303839554751
damaging, illusory: 1.33577208595
hateful, irregular: 0.208771886327
cleverer, dispute: -0.593749761867
abused, enriching: 1.4149342265
false, lately: 0.354594720258
culpable, history: 0.556423263748
real, recurring: 1.67721790108
elusive, superfluous: 1.06169370416
hurt, simplest: -0.425303807011
general, generous: 0.113117239847
co-, try: 0.0
connected, dotty: 0.38724608905
generated, included: 1.47371734797
depressed, expanded: 0.403435652244
explicit, well-known: 0.0
imminent, max: -0.011338117391
absent, snappy: 0.337540444287
redundant, shoot: 0.030622160814
assertive, slower: 1.85685694169
destructive, handled: 0.062645753062
lasting, low-skilled: 0.0
application, disorientated: 0.717058633471
non-competitive, sophisticated: 0.0
bygones, stubborn: 2.189868738
better, fragmented: 0.99933997617
hard-pressed, strengthened: 0.0
voluntary, widening: 0.22731700105
-me, uptight: 0.0
rusty, small: 0.698521031448
permissible, tiresome: 0.779858498875
-so, southeastern: 0.0
practice-oriented, vivid: 0.0
away, stunning: 0.651669001925
inviolable, overjoyed: 0.722565183727
elsewhere, northern: 2.08494268502
anxious, moderate: 0.756386022767
moronic, nut: 1.44391493517
better-educated, logical: 0.0
corresponding, longest: 0.807927927183
busier, well-positioned: 0.0
embarrassing, u.s.: 0.0
costly, trashy: 1.17490404235
-mentioned, funnier: 0.0
holy, seldom: 1.02604576096
juicy, yes: 0.962665302835
awesome, inequitable: 1.26695245807
exciting, meticulous: 0.860201149888
clinically, flattering: 0.691966487068
parallel, uptown: 1.04917364008
anomalous, naughty: 1.07783309121
-mentioned, better-iooking: 0
broad, costeffective: 0.949412245025
extraneous, risky: 1.28268303513
injurious, lucrative: 0.916483620154
individual, realistic: 1.0720104619
abolished, impoverished: 0.897958662334
soaring, untrue: -0.009851257817
clarify, wealthy: 0.021237334326
beastly, defined: 0.45404381471
builshit, newborn: 0.0
dubious, slim: 1.49856607025
tenacious, wholly: 0.577260884114
'sgoing, gravest: 0.0
delightful, motherfucker: 0.643318719527
hereby, theoretical: -0.110736846617
beter, live: 0.904300705993
inspiring, sentimental: 2.06651480997
gentle, rationalized: -0.021966104451
bureaucratic, neat: 1.03289564144
omnibus, pathetic: 0.859642484995
frustrated, technical: 0.813037902537
automated, muchfor: 0.0
imported, uncomplicated: 0.592150598211
flagrant, unnerving: 1.33766978118
about, many: 1.16539415301
co-operate, meritorious: 0.0
instructive, lost: 0.206029599824
ionely, self-evident: 0
raison, unquestionable: 1.80100177404
affirmative, enthusiastic: 2.04613419374
discernable, innumerable: 1.75567769707
dodgy, far-ranging: 0.0
all-embracing, one-sided: 0
indicative, unfilled: 0.460145789325
low-skilled, tentative: 0.0
enrolled, loyal: 0.922473322909
initial, note: 0.286007287742
cognizant, drier: 1.31953113636
a, unconscionable: 0.0
facilitated, lamentable: 0.328140337492
sal, winning: -0.341402117365
beautifui, sized: 0.0
mandatory, thereto: 0.636023394299
coordinated, disastrous: 0.874242827848
reaily, well-founded: 0
dodgy, hinky: 2.91316048743
counterfeit, exclusive: 0.528040882921
distracting, unimpressive: 2.24928981295
supplemental, wide-ranging: 0.0
kinky, realizing: 0.221173925451
lifelong, receivable: 1.38829410078
growing, overloaded: 0.990351968895
better-educated, confused: 0.0
patchy, productive: 0.847722878888
consistent, dark: 0.210701114086
chubby, planning: -0.228369305283
knackered, novel: 0.265942507604
mostly, wack: 0.598159404216
ensure, sudden: 0.572892853449
sentimental, uncomplicated: 2.16938035688
funny, move: 0.348272879025
dissimilar, princess: -0.110489127708
ail, blatant: 0.672231102117
around, silent: 0.661561420414
linked, marvellous: 0.0
pathway, unable: 0.08998446259
cumbersome, strongly: 0.276925539997
indebted, several: -0.235839470005
essential, sincere: 0.71771391565
monumental, prejudicial: 0.541482995042
ideally, immediate: 0.481789842962
accepted, stiff: 0.88577003557
awkward, educational: 0.123189703015
allowable, shortly: -0.220496737229
public, telling: 0.23475448335
attractive, baby-sitting: 0.0
fierce, information: -0.82156485512
3rd, entirely: 0.000208857506
re-established, underway: 0.0
adjusted, reprehensible: 0.021805436302
lucid, previously: -0.371990214416
accelerated, talented: 0.163804554106
constituted, unanswered: 0.203062766965
prestigious, scary: 0.479471755187
deceased, killed: 3.14345386571
commenced, smitten: 0.205133799325
moody, non-competitive: 0.0
rock-hard, weighted: 0.0
distinguishable, indian: 0.840008648124
convenient, physical: 0.58614462956
delirious, egotistical: 1.830084838
non-specific, romantic: 0.0
diseased, worldwide: 0.340296522782
tiresome, well-educated: 0.0
insufficient, most: 0.186289118165
case, truth: 1.66497221591
dramatic, shorty: -0.239851198475
adopted, secured: 0.723846450385
asked, vice-chairman: 0.0
implacable, reduction: 0.219152178169
laudable, thin-skinned: 0.0
leading, tailor-made: 0.0
innocent, provision: 0.29459842794
grimmer, over-the-air: 0.0
immutable, stupid-looking: 0.0
absolutely, challenging: 0.617954953118
durable, specialized: 1.87288551255
outstanding, syrupy: 0.366772517365
dormant, tenuous: 1.89973157853
ill-treated, mild: 0.0
safeguarded, unaffected: 2.59790698391
adamant, race: 0.794274377419
done, formed: 1.11961570784
implementable, unused: 0.375174540563
gutsy, over-optimistic: 0.0
less, unjust: 0.313677184026
known, unstable: 0.634995139491
nearly, smarty: -0.287900292732
actively, skeletal: 0.252686252863
awol, reprehensible: 0.890117868554
apolitical, distracting: 1.8655569636
actually, laudable: 0.888942982263
plentiful, testy: 1.03117514071
burned, simple: 0.024786896375
applicable, circumspect: 0.536518860219
competence, quicker: 0.422786403615
newborn, trippy: 0.600199259859
fall, reciprocal: 0.237187763838
choosy, dying: 0.939348062453
comercial, unthinkable: -0.023871999661
action-oriented, unfair: 0.0
many, wholly: 0.687443655228
expressly, upset: 0.117303011593
thought-out, vice-chairperson: 0
obscene, thus: 0.760469848702
dubious, kiddo: 0.475621057326
self-aware, virtuous: 0.0
-me, reciprocal: 0.0
attractive, results-oriented: 0.0
oversensitive, unsuitable: 2.61229094586
disgusting, imperfect: 1.52234595611
adverse, stay: 0.292486890212
overjoyed, startled: 4.11846567014
cost-effectively, sweeter: 0.0
improbable, intimidating: 1.96322211126
cohesive, unattainable: 1.15440971093
assertive, successful: 1.67209570264
problematical, proficient: 2.06732993635
distraught, well-coordinated: 0.0
brain-dead, sluggish: 0.0
funded, overburdened: 1.40840863873
bygones, trivial: 2.4236949492
genius, mediocre: 2.21607971841
exaggerated, flashing: 1.21806599825
dependable, inconceivable: 0.38817126516
counterfeit, weak: 0.862105680067
articulated, sing: 0.20692156898
contradictory, tall: 0.846999704515
reinforcing, vicious: 0.462129941753
fledged, right-handed: 0.0
referenced, then: 0.219652716505
successful, warned: 0.129899449668
stringent, visual: 0.344716674291
moderately, off: 0.255692290204
2nd, imrtant: 0.0
aforesaid, cheap: 0.262100250639
granted, rough: 0.621621889746
displacement, unharmed: -0.146974665347
disparate, unsure: 0.605870412046
fair-minded, western: 0.0
interim, thirds: 0.242389851441
comprehensive, different: 0.711279821897
conclusive, galore: 0.748825542439
clara, well-lit: 0.0
innocuous, static: 2.21673755122
mimi, standard: 0.06016067514
needless, physical: 1.2065606547
immediate, magnificent: 0.344871430085
defined, glamorous: 0.366505019308
just, snug: 0.75992634434
frustrating, useful: 2.55505098822
giant, imprecise: 1.10183145073
democratically, truthful: 1.4761715751
historical, mature: 0.375152838323
designed, unattractive: 0.600885429697
bitter, overlooked: 0.957926690318
indicated, unsatisfactory: 0.75982673522
higher, transnational: 0.399527694095
leveraged, louder: -0.074997551502
above-board, fall: 0.0
forgiving, twenty: 0.011345048805
docile, miniscule: 1.91162558671
ludicrous, overt: 1.52914155414
justiciable, unbiased: 2.59014698674
astute, proprietary: -0.025319146825
dismissed, liked: 0.956271947912
belligerent, deceased: 1.26824819476
ever-changing, tense: 0.0
exhausting, rare: 0.964907497978
berserk, scientifically: 0.425522876354
consulted, identified: 2.22800077448
luck, uncomfortable: 0.105748386314
dismissed, grumpy: 0.894575729025
exhausted, stone-cold: 0.0
amended, occurring: 1.08438233328
friendlier, hopeful: 1.57985744177
apposite, find: 0.359053855977
serious, specialized: 0.917040219023
forever, stiff: 0.15579789489
juicy, unidentified: 0.434302506474
sicker, viewable: 0.522451777126
considerate, end-to-end: 0.0
linked, tricky: 0.713897674944
proceed, screwy: 0.288426191443
oral, watchful: 0.043487645142
-sorry, stand-alone: 0
contemptible, scattered: 0.892021450873
anyway, over-optimistic: 0.0
shocked, starker: 1.12201292435
medium, soothing: 0.762759125373
crafty, undisputed: 1.27172010255
shiny, successfully: 0.150238922412
bastard, high: -0.120481851121
sincerely, vain: 2.23258782604
generalized, unidentified: -0.196045542157
captain, inactive: 0.455293654628
around, longest: 1.02652600296
intensive, sad: 0.322667100955
bankrupt, reasonably: 0.518654462725
vital, warmest: 0.888215329111
mere, preposterous: 2.63458260056
mightier, problematical: 3.14895056658
neutral, unused: 1.14740675813
delusional, injured: 0.880283522599
indicative, inter-linked: 0.0
contradictory, holistic: 1.61609619821
carsick, invisible: 1.95421595793
careful, chubby: 0.814066015585
practicable, round: -0.214045573064
commenced, worst: -0.168939160527
agile, founded: 0.537054411533
complete, needy: 0.053346214268
basic, entrenched: 1.33074651244
bureaucratic, export-ready: 0.0
awake, sloppy: 1.0443355343
afterwards, peaceful: 0.908622916852
infected, well-suited: 0.0
delightful, reiterate: -0.195007047796
being, offensive: 0.49860323108
long-winded, nonexistent: 0.0
exciting, rotten: 0.290509531819
discussion, repeated: 0.108500453022
angry, operational: -0.151340690163
fair-minded, mind-boggling: 0
adulthood, despicable: 0.550548463597
educated, true: 1.14164271977
disrespectful, well-controlled: 0.0
freedom, impractical: 0.831475920297
hardworking, lengthier: -0.814491741965
amiss, fella: 1.15640480482
engagement, modest: 0.211102951332
renowned, sincere: 0.464386890505
increased, wack: -0.065874322636
15-year-old, rough: 0.0
notable, retrievable: -0.04450996957
asinine, busy: 0.75970365541
publicly, race: 0.213798028143
stuffed, well-lit: 0.0
magical, marvelous: 4.00324220314
speaking, unusual: 0.510579172494
monumental, perplexing: 2.15946056999
disingenuous, only: 0.625489582242
bolder, full: 1.30149420268
holier, liberated: 0.689363726997
l, outside: 0.084183347058
inoperable, stout: 0.095448182815
clever, fun-loving: 0.0
self-supporting, unseemly: 0.0
creative, plentiful: 1.31695092642
dependent, hurtful: 1.2236963149
displaced, ended: 0.917810628498
segregated, sell: 0.726242189909
axiomatic, tentative: 0.336466907368
patience, whole: 0.956145296697
mad, up-to-date: 0.0
open-ended, opening-up: 0
complex, psychotic: 0.85163108483
complicit, fucking: 1.53101967258
simplifying, thready: -0.010819176058
admitted, exquisite: -0.000651488207
daunting, newer: 0.537349491025
genius, jeopardized: 0.138868268974
disagreeable, perplexing: 2.59338064605
adapted, differing: 2.18895158236
evey, transitional: -0.079521103568
bone-dry, scrumptious: 0.0
nervous, properly: 0.992951165088
far, restless: 0.431197635476
earliest, enduring: 1.24888780845
busy, threaded: 0.616090975482
celebrities, doubtful: 0.45025059903
appropriate, rational: 2.6158166664
scheduled, ungrounded: -0.615128507189
defunct, morbid: -0.09208931272
go, moreover: 0.143588906766
keen, quick: 1.85224620018
gone, shoot: 0.957090260415
grim, wholly: 0.581544257709
first-class, upbeat: 0.0
bold, freak: 0.648064253165
here, short-sighted: 0.0
evening, priced: 0.206275416571
black, envious: 0.922182891847
entrenched, undecided: 0.996859221135
ethical, specifically: 0.608149936785
objectionable, unpublished: 2.13077210633
all-round, uncertain: 0.0
steep, value: 0.835143168319
co-operative, cruel: 0.0
industrialised, shocked: 0.0
perfect, scheduled: 0.8626015554
progressive, random: 0.34843064432
careful, graduate: 0.633241910723
probable, shaking: 0.607871360517
shocking, super: 0.180918136749
characteristic, spontaneous: 1.92846962917
cleared, responsible: 0.868830011744
recognizes, superb: 0.328128962848
reasonnable, transparency: 0.0
interesting, splendid: 2.0472217396
bravest, prosperous: 1.69927630238
15-year-old, henry: 0.0
next, outgoing: 0.287427107399
horrific, magic: 1.34748668746
fit, limp: 1.16322435244
liked, violated: 1.6527787386
informative, recognizes: 0.330679853743
proceed, unforgiving: 0.142766827139
competence, gross: 0.704188892844
talented, technical: 1.50421411823
sweetheart, wary: 0.695197665961
paranoid, quick: 0.614461394423
faultless, this: 0.44816114434
generic, worthy: 0.851983379104
come, delay: 0.667623326909
competitive, unsavory: 0.927132166171
extremely, hiv-infected: 0.0
effectively, unconvincing: 0.710654236044
self-employed, twofold: 0.0
fuckin, stringent: -0.193345218071
dead-on, per: 0.0
notorious, rock-hard: 0.0
stable, unconscionable: -0.083411167504
emphasise, implemented: 0.0
antsy, wholesome: 1.06618684093
fullest, invaluable: 2.53708310128
finicky, flexibly: 1.34394988435
extant, telling: -0.35857603851
orderly, worded: 1.73059648745
interest, updated: 0.03584557023
executory, fantastic: -0.326537453687
broader-based, far-ranging: 0
over-ambitious, tougher: 0.0
justiciable, well-armed: 0.0
deliberate, globalization: 0.691960357531
grisly, laudable: 1.29933419614
roll, unattractive: 0.144559721138
certifiable, horrifying: 0.97525212139
flashing, indefensible: 0.100344443595
encompassing, upbeat: 1.13492088455
doomed, stubborn: 2.25366625479
desirable, lovable: 1.07230871239
claire, unsuitable: 0.865838474614
true, unlimited: 0.807834199332
labour-intensive, pronounced: 0.0
recurring, tough: 0.609858954527
glamorous, unchanged: 0.077582732483
reasonable, vivid: 0.911072046489
expanded, tardy: 0.292735287116
cinematography, usually: 0.328248345828
genuinely, interlinked: 0.909188416816
insolent, ultra-hazardous: 0.0
overpriced, well: 0.375811204956
condescending, refusal: 1.33804600642
bonnie, thin-skinned: 0.0
conclusive, flicka: 0.0
unspoiled, warned: -0.376487525772
reasonnable, unused: 0.0
masterful, realizing: -0.173210668477
inescapable, quiet: 0.762526969036
prat, well-served: 0.0
french, glowing: 0.477004708058
emotive, objective: 1.18764831768
biased, weary: 0.630477690915
cardinal, quickest: 0.450645177397
ensure, paranoid: 0.206692953407
sunny, technological: -0.116284370337
easiest, untouched: 1.27727285836
irresponsible, relieved: 0.95177007006
consequential, impartial: 1.44389209321
school, selected: 0.263106058695
principal, redeemable: 1.21488545968
abhorrent, comin: 0.101356978366
foxy, well-done: 0.0
arbitrary, inequitable: 5.09920420981
binding, horrendous: -0.195770210351
convenient, searchable: 3.47563542091
fairer, uneasy: 1.33239338043
desired, settled: 0.33105539532
impressed, technological: 0.645303545389
anonymous, middle: 0.386688026584
competent, inestimable: 1.35055121129
motherfucker, obligatory: 1.7528115802
integrating, knackered: -0.003471923958
undisputable, wide-open: 0.0
binding, hard-pressed: 0.0
confrontational, unseen: 0.674827084825
disjunct, nobler: 1.54516246002
casual, happening: 0.534631493838
progressive, staggering: 0.443158067073
transitional, well-written: 0.0
normally, wing: 0.296425097112
detrimental, school: 0.681158969382
inappropriate, innumerable: 0.79813677689
instrumental, permitted: -0.275515109141
ambitious, short-sighted: 0.0
perfectly, substantiated: -0.586690269871
improving, yummy: 0.344579825055
furious, recognizes: -0.38726240125
mild, tonight: 0.356516589363
polite, predominant: 1.03532772062
mama, obsolete: 0.43579794374
estimated, solidarity: 0.300860644263
infeasible, seasick: 2.24695693709
decent, longer: 0.901050459302
either, respectful: 0.292659729573
considerate, constant: 1.23766040482
frightened, geographically: 0.594914901534
dedicated, moot: -0.068228401017
heaviest, us: -0.20391749746
clean, notorious: 0.555665079048
comprehend, global: 0.884214687816
applicable, typically: 1.24689215756
independent, properly: 0.894063786754
damaged, viewable: 0.584704677229
cultural, outdated: 0.782283186489
identical, overdue: 0.050675024998
horrendous, hypersensitive: 1.18679937963
manageable, named: -0.856113276948
exciting, ridiculus: 0.437120831158
effortless, flammable: 0.973291389608
clearly, geographical: 1.255449762
endemic, extirpated: 5.10854189013
death-proof, in-house: 0
cool, shy: 1.71432189237
abysmal, distracted: 0.549219062894
alarming, presentable: 0.163040334774
moderate, reaily: 0.0
rad, supplemental: 0.555498298218
antsy, naive: 2.09814167946
gifted, in: 0.021181414777
cardinal, of: 0.0
life-long, wrecked: 0.0
lunatic, tight: 0.378805318056
gigantic, representativeness: 0.167420338136
disorientated, subsequent: 0.57007961251
fresh, unrealistic: 0.420715984122
all, darling: 0.459531772803
awkward, secret: 1.24914977012
illicit, just: 0.091931227621
founded, see-through: 0.0
decisive, mysterious: 0.235458703332
massive, welcomed: 0.344626252057
predictability, sweeter: 0.780538983458
mid-, valid: 0.0
infrequent, intimate: 1.69273154386
l, stimulating: 0.166188285844
corresponding, enchanting: 0.347863650209
additional, rock: -0.016959394702
asleep, better-iooking: 0.0
reasonnable, restored: 0.0
effortless, stay: 0.298609515163
ourselves, well-written: 0.0
best-known, grotesque: 0.0
across-the-board, unsteady: 0.0
arranged, relentless: -0.141271438695
girl, regrettably: 0.114252380475
constrained, designated: 1.07645601773
maximal, sole: 0.981024957947
riveting, squeamish: 2.68922455823
desperate, talkative: 1.04145248978
non, silent: 0.610592518538
adaptive, horny: 0.237449301128
accelerated, screwed: 0.405860819526
heavier, irreconcilable: 0.257515982286
foxy, pro: 0.240573831432
rigght, solidarity: 0.0
direct, hollow: 0.72485647097
constant, respected: -0.013710380664
aforementioned, endearing: 0.997080990559
fiercer, these: 0.739017597445
despicable, suited: 0.708720918001
shifty, vibrant: 0.629183443808
elected, over-optimistic: 0.0
by-election, daily: 0.0
retard, wiser: 1.40065036585
statutory, two: 0.483713974629
panicked, right-: 0.0
eager, undisturbed: 0.452536449216
predictability, recognizes: 1.0039505753
cynical, enlightening: 2.38711222658
deliberate, spent: -0.0637519912
minor, workable: 0.728358168705
locked, pleasant: 0.448443963789
max, straight: 0.682713775862
imperative, inalienable: 3.16415617184
repeating, silent: 1.76144419017
disconcerting, enhancement: 0.144626851891
held, sparse: 0.394817569894
required, upright: 0.432770220825
based, dedicated: 1.14193427851
fast, satisfactory: 0.593389271656
gigantic, tolerable: 0.736486732563
brutal, processing: 0.031733132143
greater, needless: 1.18238170665
harsh, topical: 1.16432322131
coarser, e.g.: 0.0
informative, purer: 0.622375972725
euphoric, tight: 1.12032082313
il, lately: 0.549564528119
rash, something: 0.97962764023
at, unfair: 0.398033667168
heaviest, limp: 0.213758072692
admirable, cabbage: 0.45356456408
distressed, irreconcilable: 0.657867841871
demonstrated, traffic: -0.190496060225
held, multi-layered: 0.0
luminous, realisable: 0.0
lenient, okay: 1.96625321462
seamless, skint: 0.056384996818
heights, unnatural: 0.335779132025
hard, overkill: 0.8941647443
application, inconceivable: 0.286811276854
crummy, unexceptable: 0.0
guaranteed, non-existent: 0.0
legal, thirds: 0.150988115664
angry, mind-boggling: 0.0
proportionate, superstitious: -0.357365167965
sensitive, silly: 0.938489766611
hungry, stillborn: 0.934034337106
nascent, up: 0.74699937409
annoying, generic: 1.67422726962
arming, warmer: 0.590392132241
obnoxious, under-age: 0.0
discrete, imminent: 0.083606859174
tabled, wonderfui: 0.0
accustomed, great: 1.26537376008
cancelled, luminous: 0.0
global, harmonised: 0.0
softer, troubling: 1.085915104
distinguished, non-exclusive: 0.0
broadest, cited: 0.038304855879
multifaceted, proven: 1.43881235466
omnibus, worthwhile: 0.704950776181
germane, meagre: 0.0
earlier, herein: 1.0338759486
elle, one-sidedly: 0.0
inexpensive, sinister: 0.18249608336
fearless, identify: 0.386375473389
global, longer: 0.500100409796
hourly, prior: 0.64466068249
pro-choice, thought-provoking: 0
establishment, omnibus: 0.534635699833
continuous, tied: -0.044084620926
blind, stress-related: 0.0
risky, targeted: 1.01245776238
henry, scant: -0.042313505037
appropriate, dependable: 0.966291501009
happier, inexpensive: 0.667943310673
glowing, malignant: 1.01809489818
co-ownership, well-done: 0
crowded, shocking: 0.729651791495
exhausting, manifold: 1.03384700765
troubling, uniformed: 1.15572597838
cherry, ping-pong: 0.0
