fiercer, pivotal: 1.84417795573
bull, wanna: 1.51523655259
hither, northeastern: 0.751622872031
contained, mistaken: 1.27579237757
advanced, henry: 0.266690991226
intricate, weary: 0.922164341915
condescending, gone: 0.586813504845
fat, sovereign: 0.944728277993
15-year-old, lately: 0.0
affected, exponential: -0.198438610012
reyes-torrena, slippery: 0.0
complete, naturally: 0.044907184168
flat, uncomfortable: 0.983408567147
embedded, hasty: -0.12305699614
queer, round: -0.321878014105
environmentally-friendly, me: 0.0
thicker, undetermined: -0.66890402888
premier, seldom: 0.140580955723
every, frightening: 0.726812210686
north-east, retard: 0.0
inconceivable, likable: 1.42106962397
inadequate, inclusive: 0.783167357368
excited, holy: 0.021343562787
breathe, pro-active: 0.0
precarious, shorty: 0.428682585814
minuscule, responsible: 0.564725487301
apposite, vulgar: 2.10673010534
inoperable, somewhat: 0.561235957938
before, held: 0.64549517603
overall, salute: -0.202320772837
pretty, twofold: 0.539421265879
creepy, demanding: 0.244509963862
rarest, thorny: 0.988432299621
exactly, tacky: 0.620646102326
believable, tempting: 1.89355937129
flourishing, patchy: 2.12350497474
industrialized, personalized: 0.374491003205
disorientated, imprecise: 3.27837822505
nut, vast: 0.49253296331
mid-sized, tall: 0.0
busier, timed: 1.3188531443
initially, newer: 1.25471757643
convincing, searchable: 0.350055138013
magnificent, unsound: 0.426434740157
clearer, protected: 0.621174362899
screwy, southwestern: -0.518359680944
lenient, meaningless: 1.45387245375
back, dirty: 0.964259037512
indisposed, subsidized: 0.320889759596
illegal, task-oriented: 0.0
lukewarm, non-discriminatory: 0.0
condescending, confused: 2.58496743457
grown-up, permissible: 0.0
cross-border, focussed: 0.0
small, unreal: 0.401136866316
provided, whar: 0.0
repulsive, twenty: 0.511010956322
awesome, longer-term: 0.0
topic, unquestionable: 0.26264502336
inter-linked, shiny: 0.0
crystal-clear, in-house: 0
light, well-lit: 0.0
thin, time-consuming: 0.0
diseased, user-defined: 0.0
merciless, ripe: 1.76283382058
disposal, distasteful: 1.12819798683
counter-productive, moreover: 0.0
prat, ten: 1.09276577676
stand-alone, stringent: 0.0
eco-friendly, ridiculus: 0.0
graver, liquid: -0.593005171667
advantageous, rad: 0.623434211032
overworked, paid: 1.13774618476
sadder, well-planned: 0.0
designed, supplied: 1.64085466822
aesthetic, specific: 1.23208351587
degrading, written: 0.382988918501
jump, reasonable: 0.719390818191
directly, observant: -0.291213403652
planning, squat: -0.250566190147
exhilarating, year: 0.160338246027
odious, well-founded: 0.0
liberal, wait: 0.574925708132
panicked, squeamish: 3.01529163596
pitch-dark, terrible: 0.0
finest, well-coordinated: 0.0
big, net: 0.898617320066
foolproof, legible: 2.82855259863
grievous, hideous: 3.32847351765
acceding, peripheral: 1.48387184896
iate, technology-neutral: 0
perilous, snappy: 1.15356666653
enabled, folks: 0.349339585984
nathan, persistent: 0.034539047993
multi-layered, scaleable: 0.0
appalling, weirder: 1.55293518032
discreet, industrial: 0.54863010764
indiscriminate, mild: 1.19970319794
considerably, standing: 0.21988299467
sole, startled: 0.334348179592
largely, named: 0.437196791456
fascinating, long: 0.755104787423
gonna, initial: -0.139023530791
bare, facilitated: -0.798396837981
autonomous, same: 0.629703385769
hour, schizo: 0.328094385079
glowing, unusual: 1.08910699988
sane, well-done: 0.0
baby-sitting, truthful: 0.0
pitch-dark, rife: 0.0
growin, nonsense: 1.11483033533
ashamed, shocked: 4.45335910194
built, reality: 0.529444275572
meager, midget: -0.097381701798
irreconcilable, less-favoured: 0.0
conceivable, notable: 0.83700928434
drunk, handling: 0.01314579948
non-self-executing, past: 0.0
democratic, unsatisfactory: 1.49931451154
controversial, hateful: 1.93098774382
astonishing, ioyal: 0.0
non-compliant, subdued: 0.0
greatest, unsettled: 0.562215258172
mistaken, someday: 1.80697191606
damaging, naive: 1.37502487256
least, viable: 1.03188390633
restricted, well-maintained: 0.0
death-proof, per: 0.0
divergent, lengthier: 1.69448800832
fine, longer-term: 0.0
grown-up, underprivileged: 0.0
sensational, sympathetic: 0.625443538823
black-hearted, magical: 0.0
giddy, whar: 0.0
firmer, giddy: 1.14698743563
miniscule, omnipresent: 2.001316755
heartfelt, serious: 1.35906177681
generated, rude: 0.143472313299
canceled, drastic: 0.741499632361
environment-friendly, new: 0.0
delusional, proportional: 0.454691559306
buoyant, dying: 0.046641015626
2nd, notable: 0.550769820479
looking, pathetic: 0.613728198578
hurtful, shortly: 0.549590720019
ridiculous, widespread: 0.8656518524
missing, sombre: 0.919859312228
big, inaudible: 0.290072870092
abnormal, smartest: -0.089092853099
encouraging, than: 0.801215390845
ail, peculiar: 1.23617040244
holy, pro-choice: 0.0
awaited, self-sustained: 0.0
honoured, well-suited: 0
open, startled: 0.568071186783
asinine, biased: 2.65520700465
locked, settled: 2.28894389962
unscathed, worthwhile: 1.251491965
engaged, sell: 0.488285679672
antagonistic, two-: 0.0
presented, reimbursable: 1.50837347223
bare, requested: -0.041536907703
-good, repayable: 0.0
based, fall: 0.406376943922
aesthetic, reassuring: 0.618195254166
improbable, smooth: 1.26482880637
flashing, gratifying: 0.057404796464
neglected, spontaneous: 0.052806066473
realisable, worded: 0.0
handling, heart-warming: 0.0
deep, hereby: 0.196845948037
dependable, white: 0.53224448787
orderly, overheated: 1.73983374432
characteristic, self-sufficient: 0.0
splitting, visibility: -0.43875833738
embarrassed, realisable: 0.0
bolder, such: 0.891559472317
believable, efficacy: 0.980956718744
all-inclusive, friendly: 0.0
early, nothingg: 0.0
afresh, prat: 1.13385641426
blurry, needed: 0.636206093922
clerical, minuscule: 0.696162169851
pre-established, unsure: 0.0
bureaucratic, fabulous: 0.122863201135
preponderant, refundable: 0.123546169535
enthusiastic, latest: 0.164070658935
hourly, wondrous: 0.133510317047
economic, fitting: 0.036279555658
lengthier, memorable: 1.77578484561
brilliant, independent: 0.350141078946
populous, well-done: 0.0
doable, fewer: 0.88154161999
consideration, persistent: 0.291580658097
adversarial, migratory: 1.36124480276
efficacy, ready: -0.558024807854
hurtful, strictest: 1.28454511357
legible, unbiased: 2.32614912939
microscopic, single: 1.08182581618
advantageous, fun-loving: 0.0
off-site, undamaged: 0.0
odious, squat: 1.19306617499
deductible, inexhaustible: -0.277848599323
ju, recurrent: 0.506795323398
advertised, psyched: 1.54898203199
brillant, imminent: -0.060602544879
ferociously, self-sustained: 0.0
booked, ill-conceived: 0.0
receptive, true: 1.6176808907
ended, next: 0.926323220049
delirious, pre-published: 0.0
afresh, jeopardized: 0.480853388181
foutu, interdisciplinary: 0.0
impenetrable, vice-chairman: 0.0
permissible, safer: 1.67446372918
modified, undisputable: 0.005643449513
damaged, furthest: 0.972241290464
normally, personal: 0.303321322141
ill-equipped, likable: 0.0
prepared, well-suited: 0.0
overpriced, resident: -0.135555284613
complicated, impatient: 2.66447351268
pluralistic, regrettable: 2.04117356489
busier, exceptionally: 0.978288694296
dickish, subdued: 1.11706281362
judicious, stunning: 0.639321043913
competent, drunk: 1.92882139986
concrete, frightening: 0.740168293086
awesome, over-the-air: 0.0
endearing, weirder: 2.74722488806
continued, honourable: 0.0
callous, shortly: -0.132050651824
perpendicular, say: 0.106281938857
impeccable, shit: 0.966707886491
clerical, illiquid: -0.202558714771
crucial, faultless: 1.55757784187
non-binding, strengthening: 0.0
puny, steady: 1.54520778373
emerged, grumpy: -0.170511422291
19, disoriented: 0.0
answerable, thoroughly: 0.913756592211
folks, supportive: 0.854217700805
off-site, stay: 0.0
ruthless, underfunded: 0.343054931433
evolving, unwell: 0.188788959657
imported, misused: 1.69136936953
adverse, huh: -0.438262691869
repealed, violated: 3.28084637972
acute, persuasive: 0.970254107022
dre, hiv: 3.05103693726
!, accessible: 0.0
enabled, upper: 0.300597153361
ready, traumatic: 0.429277812907
connected, gutsy: 0.03687603679
benign, stated: 0.085442148069
lye, prescribed: 2.17661077108
daily, well-developed: 0.0
noisy, race: 0.553269896594
fourteen, palatable: 0.242653014677
hardworking, widespread: 0.288104288714
considerably, strange: 0.511474779881
frail, unified: 0.540449531094
shortly, underprivileged: -0.42685997255
inspirational, panicky: 0.771520877292
info, superficial: 0.859933785549
cute, executable: 0.610551004024
also, notified: 0.691843591876
objectionable, worded: 2.9078511208
aligned, private: 0.700910027747
overflowing, unimaginable: 1.82557039775
nervous, pretty: 2.03415637651
extensive, kind: 0.783119985298
uppermost, wide-ranging: 0.0
professionally, richest: 0.364675553563
incompatible, multifaceted: 0.847787279518
inoperable, odious: 1.16197068623
hospitable, legibly: 0.759984907486
homicidal, ill-treated: 0.0
fairly, inter-linked: 0.0
integral, resolved: 0.080584761845
disoriented, traffic: 0.90637213263
accuracy, substantial: 0.157733040828
sound, unprepared: 0.345394526989
phenomenal, primarily: 1.15020163311
ageing, routine: 0.0
meaner, permanent: 0.382407566472
blended, momentous: -0.238999495493
doubt, however: 1.32793123343
fit, upfront: 0.482181973209
observant, rock: 0.144603188462
industrialized, sleepy: 1.76483630533
cowardly, next: 0.167679461739
indigent, medium: -0.07491780659
remediated, threaded: 0.668069306668
hither, rehearse: 0.96742306426
friends, fucking: 1.47987271791
terrifying, undeniable: 1.61276506164
tardy, very: 0.450445048129
atrocious, moreover: 0.890945721399
thinner, unfit: 0.875916526838
desired, repealed: 0.771951230471
policy, sturdy: 0.030059807778
glad, stillborn: 0.811322554706
fresh, newer: 0.981729592069
adapted, non-compensatory: 0.0
invalid, therefore: 1.52377856837
married, self-contained: 0.0
compatible, life-threatening: 0.0
entirely, western: 0.593313735334
preferred, technically: 0.362486966379
picky, talented: 2.24441027304
adverse, cited: 1.28941118816
extreme, maximal: 2.61386203676
optimal, regularly: 0.848642852986
magical, unlucky: 2.01181240811
counterfeit, ugly: 0.085999755058
minimum, renowned: 0.081244879356
populous, private: 0.904966961791
experienced, remarkable: 1.17158714553
defective, desirable: 1.40347523149
allowable, nonsense: 0.018208529245
cultural, unaware: 0.825386912779
technological, that: 0.622677258861
charming, gutsy: 2.58207584756
flawless, uptight: 1.53136949705
grieved, surprising: 1.36590744066
co-financed, contemptible: 0.0
anyway, cosmetic: 0.87068624712
builshit, nude: 0.0
busy, perpetual: 0.067270923175
manifold, repelling: 0.346599191469
rescinded, say: 0.477295581335
precisely, teeny: 0.558192574434
keen, legally: 0.437101206678
application, wholesome: -0.552564813381
demented, naturally: 0.855560914288
friendly, welcoming: 3.32060508687
amazing, forgiving: 0.928953843994
elite, unconventional: 0.94928954887
accountable, plenty: -0.259846580642
guys, moister: 1.63593289752
imprecise, unchangeable: 2.82319166477
cognizant, overall: 0.981445498913
smug, treaty: 0.727155627235
fairly, so-called: 0.0
usually, well-behaved: 0.0
added, frustrated: 0.668046986353
baseless, honored: 1.1406895852
disturbing, righteousness: 0.858596178768
following, peculiar: 0.341014145136
audacious, protracted: 0.962817057281
permissible, so: 0.586837952451
certain, sell: 0.780796642727
minuscule, stumpy: 1.75263431794
adjacent, prolonged: 0.495303030885
brainless, simplest: 2.16349417694
limited, thankyou: -0.185404844979
come, korea: 0.388164858959
regularly, well-lit: 0.0
found, nonsense: -0.556640048145
discrete, unresolved: 1.22193619003
fraudulent, rusty: -0.003198142962
cute, elaborate: 1.54227000359
differently, self-serving: 0.0
internal, murderous: 0.838980983913
cold, likely: 0.676625396115
rich, set: 0.097540587446
beautifui, wicked: 0.0
synergistic, tenable: 1.8480330924
appropriate, fruitful: 1.42967314479
above, entrenched: 0.717916415387
abundant, periodic: 1.18121761198
breadth, ma: -0.122939138293
clerical, nice: 0.679211441457
dummy, qualified: 0.195348798195
familiar, whilst: -0.234378392591
ggood, snappy: 0.0
treacherous, worth: 0.389477014814
meaner, presentable: 2.566634264
domestic, stern: 0.314546195128
infuriating, tailored: 0.47813024926
diseased, export: 1.30561109459
doing, exemplary: 1.10540575788
concentrated, determinable: 0.967690090418
apparent, well-served: 0.0
operative, painful: 1.34489867288
crazy, deplorable: 1.7379070479
energetic, foxy: 2.30092087195
aggravating, defective: 2.13706457615
acknowledging, following: 0.580031713226
heavy-handed, perplexed: 0.0
countless, fullest: 0.994975202009
concerned, reality: 0.494328367046
provided, scanty: 1.66148952992
iovely, liberated: 0.0
powerless, wholesome: 0.488173530726
counter, spotless: 0.531132525208
automated, claire: 0.537441059695
fourth, missy: -0.065352026545
cross, sunny: 0.220067986082
loco, monitored: -0.608877979502
comprehensive, squat: -0.377283659537
inoffensive, starved: 0.6220531824
although, dangerous: 0.546144859055
cranky, unsound: 1.6368238933
old-fashioned, ongoing: 0.0
co-dependent, neutral: 0.0
cleared, idiots: 0.253341213453
historical, immeasurable: 1.06458266519
expressly, overall: 0.511191775562
expandable, thready: 0.711101906873
mainly, uniformed: 0.475019100694
all-encompassing, well-represented: 0
redeemable, symmetrical: 0.133385252809
know, state-owned: 0.0
all-embracing, tedious: 0.0
copacetic, guys: 1.05701315814
iucky, supplemental: 0.0
paid, practicable: 0.828408066403
competent, dreadful: 0.693304978029
courrier, unfit: 0.197691839094
dumber, immoral: 1.79825583005
non-exclusive, uninsured: 0.0
anyway, stoned: 1.22720090594
non-transparent, together: 0.0
debate, intermediate: -0.038525881031
belle, nationwide: -0.105737257845
cautious, transitory: 2.00984333178
all-round, awful: 0.0
troublesome, upfront: 0.526276732145
unabated, untenable: 2.68501983674
co-chairperson, dispersal: 0.0
overall, pro: 1.11988674421
cracked, just: 0.78296189701
drunk, simple: 0.487154498026
furthermore, nosy: 0.271330017707
central, wealthiest: 1.1127052332
ever-changing, state-funded: 0
obnoxious, precarious: 0.815077927931
even-handed, tasty: 0.0
lame, rewarding: 0.883305855014
infrequent, vain: 1.0948380371
described, sponsored: 0.750426186951
david, well-maintained: 0.0
fifteen, re-established: 0.0
alert, untenable: 1.13223041168
grisly, manifest: 0.778247006938
similarly, west: 0.037390673972
inconceivable, korean: -0.32621055266
unaltered, underage: 0.429594372941
free-of-charge, variable: 0.0
exempt, loud: 0.386494571745
pervasive, vocational: -0.329392671231
better, mla: -0.433915993668
incomplete, surer: 0.388639992876
functional, justified: 0.173318035621
unrestricted, weak: 0.828012004664
inconsistent, leading: 0.51551252682
berserk, diminished: 1.14158292215
last, re-routed: 0.0
jeopardized, two-: 0.0
moody, pitiable: 2.32906904174
opposite, soaked: 0.746625220666
attractive, unimportant: 1.62560286365
abundant, used: 1.10127033099
anti-constitutional, sizeable: 0.0
imperceptible, special: 0.259543301038
cumbersome, funny: 1.50520014183
loveable, transitory: 1.21826002456
sacred, undisputable: 1.49914639845
fertile, prejudicial: 1.37168276332
gandalf, pre-published: 0
acute, colossal: 1.24493152245
meager, running: 0.600250690641
fully, payable: 0.838463592306
desirable, flagrant: 1.26520467642
admiral, evil: 1.30440275896
microscopic, operational: 0.156076612503
illiterate, yellow: 0.629190227988
fearless, viewable: 0.28728971669
brainless, devastating: 1.26950227028
agile, prime: 0.371716275768
enlightening, flexibility: 0.133026252306
sal, unwell: -0.413377125522
announced, bare: -0.660005368348
precious, weii: 0.0
energetic, prolonged: 0.512100649133
myself, sore: 1.67132599823
advised, petrified: 1.09708434388
captain, interactive: -0.32293668189
cynical, to: 0.0
emphasise, still: 0.0
enough, thought-provoking: 0.0
furthest, wetter: 1.77732752855
alternate, illusory: 1.23036923189
affected, impartial: 0.740939398245
panicky, satisfying: 0.734521567467
risky, wonderful: 0.635292968976
goal-oriented, grown-up: 0
heeded, sir: 1.30238892477
seropositive, vested: 0.375582433118
available, youngest: 0.522393818612
additionally, undignified: -0.381168834362
hypersensitive, restored: -0.344965774087
based, re-routed: 0.0
firm, supplemental: -0.056880307535
awol, inconvenient: 1.4304989043
appropriate, next: 0.683948393709
invalid, life-long: 0.0
forever, indiscreet: 0.555471663919
masterful, positive: 0.762656598555
done, lacklustre: 0.0
social, supplementary: 0.716726560281
resilient, thorny: 1.44178848871
prosperous, transparent: 2.4900774182
lacklustre, unattractive: 0.0
bull, usable: -0.183378237919
diminished, rusty: 1.75633868285
everything, naughty: 0.7545578532
innumerable, roll: 0.707021800055
closest, internationaux: -0.146582895576
dazzling, luck: 1.35884255019
co-funded, unpopular: 0.0
contemptible, paid: 0.781170464521
north-east, sincerely: 0.0
ideal, peaceful: 1.39597547548
deceased, them: 0.845935758456
lengthy, lifelong: 1.73896777056
astonishing, encouraged: 0.382632112904
inefficient, iucky: 0.0
deliberately, top: 0.425521692788
european, practice-oriented: 0.0
ill, tasty: 1.31852392395
preferential, unwarranted: 1.53777187116
participants, undisputed: -0.118088311338
dre, proportional: -0.325915389869
announced, dazzling: 0.509629894491
advanced, efficacy: 0.797220844289
adversarial, losin: -0.35405813672
modern, tired: 0.711347999674
expanding, worldwide: 1.56343883937
ggood, mysterious: 0.0
between, demented: -0.225818368477
iovely, speedier: 0.0
slender, stay: 0.392759596679
ggood, touchy: 0.0
consolidated, funky: 0.345123352515
irrational, linked: 0.794728430228
enabled, objectionable: 0.519927890673
problematical, user-friendly: 0.0
exactly, old-fashioned: 0.0
moister, multidimensional: 0.490102489613
delirious, substantive: -0.114599905046
clarify, nut: -0.274014151545
grown, tailor-made: 0.0
depraved, unforeseeable: 1.71425335524
safest, shortest: 4.37513765388
fairest, illiterate: 0.572711218323
guys, populated: 0.559417474782
paramount, someplace: 0.615288079391
longer-term, warmest: 0.0
apparent, elaborated: 0.722356023026
resolved, several: 0.449105852723
incredible, multifocal: -0.14368146609
fourth, nonsense: 0.022934201797
co-, disrespect: 0.0
healthy, injured: 1.6486569987
complete, iilegal: 0.0
blameless, seropositive: -0.303216195945
accused, heart-warming: 0.0
live, participants: 0.85298145634
disparate, user-friendly: 0.0
panicky, toxic: 1.91309718919
