full, rash: -0.267016172525
determined, dirtier: -0.383666099362
economic, laddie: 0.50889114345
pure, treaty: 0.23654669467
annoying, characteristic: 1.69082071705
affected, prolonged: 1.65466706917
disorientated, humiliated: 2.99763110976
hard, jolly: 1.01789339217
unnerving, unsteady: 2.76364201409
odd, represented: 0.40674710043
out-dated, scandalous: 0.0
served, youngest: 1.15592481905
nice, streamlined: 1.01960622628
droll, refreshing: 2.3437127332
brighter, forlorn: 2.93781139625
disrespect, tangible: 0.928128029432
overkill, trippy: 2.15995476424
dire, restless: 1.6545637913
berserk, continuous: 0.494719374776
content, hairy: 0.114784804525
chosen, met: 1.58091747873
absolute, disclosed: 0.553568625767
clarified, thank: 0.782594732168
fertile, grave: 1.91531253897
strong, superstitious: 0.761014728668
heavier, heaviest: 5.88483341342
broader-based, careful: 0.0
acquired, cynical: 0.026509101692
acceding, exactly: -0.042015245668
clarify, persuasive: 1.24266096201
almost, dispersal: 0.034586721121
deceased, thirteen: 0.529812872474
childish, registered: -0.505446152491
above-mentioned, related: 0.0
compassionate, unlikely: 0.5969366428
curious, for: -0.000700260168
modified, worthwhile: -0.047611332136
cute, partial: 0.154089801903
childish, unseemly: 3.84830341798
no, teeny: 0.778889089267
indigent, wished: 0.281082409228
infallible, magical: 2.04268403486
friendly, lackluster: 1.60894972866
sappy, stranger: 1.40104309635
deliberately, south-east: 0.0
occurring, uncommon: 2.90693405032
infuriating, polite: 2.05748759186
doin, palpable: 0.771448997535
confrontational, uptown: 0.885331620867
circumneutral, empowered: 0.0
categorical, off-putting: 0.0
far-ranging, well-organised: 0
fixated, undemocratic: 0.799716659336
per, precarious: -0.21968419717
undesirable, uptight: 1.44025193892
increasing, thorny: 0.457417194236
almighty, profound: 1.58436070089
enlightening, imported: -0.039577189236
bravest, hurtful: 2.50740407673
grotesque, superior: 0.792511041373
complimentary, usually: 0.789269882717
all-important, industrialised: 0
inadmissible, past: -0.33968290767
stir-crazy, weak: 0.0
bottled, ill-conceived: 0.0
acknowledged, privileged: 0.229615135514
away, overt: 0.730178005713
expressly, sufficiently: 2.14386582682
certainly, segregated: -0.231249666596
come, objectionable: 0.836947913958
historic, pitiable: 0.722654903138
pilot-tested, slender: 0.0
conducive, indispensable: 2.64133031118
kid, quality: 0.609270031412
frightened, inter-dependent: 0.0
anymore, reduced: 0.369142556437
allowable, effectiveness: 1.44172080371
intensive, naturally: 0.720541791488
disappointed, joyful: 1.56808134036
brainless, industrialized: 1.14919172654
cohesive, housebroken: 1.43607423413
newer, significantly: 1.5090755225
evey, incompatible: -0.371348101124
strongly, suspicious: 1.37861071669
possibly, subdued: 0.412130932837
etcetera, kosher: 0.242372776994
psycho, registered: 0.171747441627
deductible, solid: 0.246727994783
environmentally-friendly, testy: 0.0
exceptional, simple: 0.794911758759
leading, respect: 0.024828524265
commendable, gloomy: 1.56230686752
nouveau, patentable: 0.587440821764
all-important, tolerable: 0.0
excessive, useless: 1.88496497823
incomprehensible, pricey: 0.943223308291
interdependent, sloppy: 0.578612184012
committed, properly: 0.030685406179
overburdened, s-sorry: 0.0
abolitionist, fucked-up: 0.0
insensitive, integral: 0.27667243269
unofficial, various: 1.09269294434
adaptable, delayed: -0.352753885318
adjusted, groundless: 0.430264190322
anomalous, drenched: 0.431475474388
deadly, end-to-end: 0.0
heavyset, precisely: 0.383144637175
irreconcilable, practice-oriented: 0.0
alive, embarrassed: 0.9850715861
definite, incorrect: 1.44839785997
max, unbelievable: 2.04272037075
probably, stuffed: 0.767341830212
all-powerful, flexibly: 0.0
embarrassed, secondly: 0.980316587514
boy, happening: 0.527098104575
adequate, reliable: 2.83023381573
matched, sponsored: 0.685553122861
critical, unoccupied: 0.78762962571
crafted, objectionable: 0.970078840768
confusing, imprecise: 4.56346121063
commercial, something: 0.128684402568
fast-growing, owned: 0.0
linked, rotten: 0.898515773791
complicated, constructed: 0.763553503571
courteous, with: 0.776380165455
identify, restored: 0.125070865575
issued, traded: 2.41939369575
but, offensive: 0.729317738506
onerous, starved: 0.668208056153
commonplace, unfit: 1.32040693939
impracticable, sane: 3.48976418658
foul, sunny: 0.058217045536
in-progress, tenuous: 0.0
equitable, gruesome: 0.217662672126
adaptive, leading: 0.668306569856
flashing, pleasurable: 0.46234035568
compared, sixth: 0.295627198981
hardto, unclear: 0.188352457216
intense, ruined: 0.400770184149
articulated, rare: -0.326894898816
modernizing, us: 0.320607919328
commenced, strongly: -0.094479667355
need, worth: 1.03520645346
above-board, flawless: 0.0
ioyal, time: 0.0
degraded, round: -0.572781964813
negative, uniform: 0.33404446192
queer, quieter: 0.408708445616
horseshit, moving: -0.473444396819
me, th-that: 0.0
prepared, well-tolerated: 0.0
considerable, defensible: 0.740245268848
clearly, multiple: 0.726196995337
commensurate, heartening: 1.23226058829
invisible, sadder: 2.16730673327
hurtful, pre-established: 0.0
extant, overt: 1.82961802281
stark, thready: 0.97366284027
correct, staggering: 0.80480903098
smallest, such: 0.60408550685
comprehensively, that: 0.348586304131
asking, unqualified: 0.623281136322
down, south: 1.08427898825
briiliant, enabled: 0.0
1st, ravenous: -0.061124535317
democratically, tricky: 0.7731519608
customary, danger: -0.105405600685
bloodied, tailor-made: 0.0
bad-looking, long-term: 0
brief, uninsured: -0.494995408528
cynical, freak: 2.18455170982
determinant, relieved: 0.860823827582
afresh, alarmed: 0.500730007125
badly, sore: 2.60211121932
robust, seventh: -0.03168527779
darkest, lucky: 2.06949684718
effortless, ignorant: 0.157318811017
bottled, grown: 1.25421102702
onerous, prouder: 1.38537280582
fatal, lower: 0.656944979548
private, radical: 0.817985231695
hlv-positive, know: 0.0
patronizing, trendy: 2.18533238771
nosy, undisputed: -0.995934693217
opening, unscathed: 0.318165918066
given, good-natured: 0.0
painless, unworkable: 1.79455225167
differently, increasing: 0.569139401669
advanced, productive: 1.31138212077
planned, scary: 0.077461332486
linked, predictable: 0.777438701612
psychological, successful: 0.189136535319
directly, embarrassed: 0.438388762945
handicapped, scary: 1.13016002715
beloved, education: 0.33430879182
psycho, trashy: 2.80674056257
flicka, peachy: 0.0
anywhere, maximal: 0.841865799363
beautiful, subdued: 0.76127990901
expressly, misused: 1.56189946564
monitored, shaking: 0.825727884436
multi-faceted, serene: 0.0
persuasive, puny: 1.53356652736
fourth, unattractive: -0.00086086492
accordingly, burned: 0.081645486828
like, logical: 1.76583990124
bull, but: 0.407265816946
self-governed, staff: 0.0
shiny, well-timed: 0.0
shared, threaded: 1.93407279862
broad, commercial: 0.980865677156
juicy, smoother: 1.3545608462
prohibitive, spoilt: 0.0
opposed, winning: 0.205329778434
fabulous, nascent: 0.379639857812
muted, overall: 1.51979907837
shipshape, unabated: 0.51198363251
cherry, weaker: 0.825266543941
concrete, everyone: 0.273301734495
debatable, griet: 0.0
imported, judicious: 0.529310740984
determinative, under-funded: 0.0
inoffensive, patient: 0.121951361903
first-class, louder: 0.0
gandalf, powerful: 0.0
handsome, preferable: 0.213438527095
irate, wanna: 1.06975036432
acceded, agreeable: 2.39704601805
guaranteed, prosperous: 0.907263023607
foreverything, well-filled: 0
ambitious, nonexistent: 0.012509080723
continued, syrupy: 0.105344015599
content, planned: -0.03094695374
drunken, vain: 1.35878838876
free, ridonc: 0.0
homicidal, prime: 0.171416173941
ominous, shiny: 1.15223911618
encompassing, uneasy: 0.923069336373
looking, oversensitive: 0.765207475893
horrid, startled: 1.11491841685
compact, obnoxious: 0.239809903383
attainable, patient: 0.539499585704
scandalous, thirsty: 0.417498297441
comercial, motivated: 0.217625111432
high-tech, undemanding: 0.0
damaged, homosexual: 0.740910150996
culpable, sugary: 0.539448637444
nearly, unlimited: 1.00147858412
elected, seductive: -0.140987657822
sustained, systematic: 1.57508388727
strongly, underprivileged: 0.161523758495
cleaner, dispute: 0.243474062316
hotter, traumatic: 0.197631115009
appointed, undemocratic: 1.22901876929
prevailing, rarest: 1.08476030708
flame-retardant, updating: 0.0
populous, state-run: 0.0
inter-related, quieter: 0.0
far-reaching, simpler: 0.0
innovative, vibrant: 2.64937206592
afterwards, documented: 0.365043353729
her, removed: 0.440815642456
already, enhancement: 0.417197979389
glowing, safe: 0.722256949707
iovely, stale: 0.0
embarrassed, some: 0.666911831642
anti-constitutional, attractive: 0.0
conventional, easiest: 1.59308463692
accuracy, longest: 0.991881117778
determinable, exclusive: 0.482207608972
nationwide, self-sustainable: 0.0
fuller, unfriendly: -0.520951939389
malicious, win: 0.458337675364
folks, unprofitable: 0.752384403628
gullible, trivial: 1.83431982506
certifiable, disconcerting: 0.982759596362
filthy, maximal: -0.276519667644
positioned, rich: 0.722196706543
agreeable, indecent: 1.43420902681
beautiful, prerequisite: 0.477269519555
crude, deep-rooted: 0.0
inconvenient, mama: 0.327501717936
deliberate, herein: 1.50021642153
invisible, like: 1.91281435185
all-encompassing, beloved: 0.0
bad-ass, facultative: 0.0
abrasive, certain: 0.851626736176
on-going, outrageous: 0.0
motherfucker, positively: 0.000607684133
general, restless: 0.557006618368
humiliating, necessarily: 0.636112811106
loaded, preceding: 0.089195853369
highest, worst: 3.85149435225
in-progress, pursuant: 0.0
physically, suited: 1.76951434332
non-compliant, quality: 0.0
excluded, preferential: 2.13088212307
excitable, sweeter: 1.6223733423
adamant, impartial: 1.85599108354
certified, important: 0.497192093915
resistant, seductive: 1.47856576217
ok, self-sufficient: 0.0
highest, referenced: 0.586235064223
brightest, private: 1.05344851223
jack, professionally: 0.965693960988
fella, firstly: 1.33212273033
henry, impatient: 0.299893687003
aging, expeditious: 0.20004765848
honourable, nineteen: 0.0
cheaper, closer: 2.74919302021
chubby, negligeable: 0.0
gaunt, richer: 1.0089266774
closer, inhumane: 0.019576254212
clarify, unexpected: 0.589512161083
disingenuous, repealed: 1.71015091648
quickly, sturdy: 1.05927907588
jam-packed, pending: 0.0
poorer, sane: 0.69063838071
brightest, geographically: 0.422966783902
essentially, grouchy: 0.686327681303
less-favoured, odious: 0.0
etcetera, least: 0.430407355479
filed, important: -0.12098346944
handy, noted: 0.355074042648
defined, unnecessary: 0.416502910377
insane, unjustified: 3.19994899151
crafted, terrible: 0.394572250357
mixed, scanty: 1.57947746814
illicit, seasick: 0.050183411145
bright, valuable: 1.27174932144
innocuous, preliminary: 0.787854845206
blurry, discrete: 1.8791240799
basic, massive: 0.513117217218
inconsiderable, utopian: 0.944235250802
started, vivid: 0.03631607062
ephemeral, malignant: 1.31487212024
starved, unspeakable: 1.17944899376
multi-threaded, pale: 0.0
aggressive, awaited: 0.207820106424
easiest, repugnant: 1.36999292428
biggest, noteworthy: 1.98693636724
bolder, northeastern: 0.249287089653
disrespectful, well-informed: 0.0
every, midget: 0.895661495981
painful, resident: 0.226970453935
premier, real: 0.950737907373
fundamental, larger: 0.858453247756
inter-dependent, key: 0.0
prescribed, two-fold: 0.0
awkward, small: 0.661835660291
acknowledged, handicapped: 0.628462148671
steadfast, well-educated: 0.0
conducive, detailed: 0.873685391339
significantly, stupid: -0.210347837921
cracked, frantic: 0.536500730549
comprehend, well-developed: 0.0
around, vain: 0.601027848523
hotter, individual: -0.812085659316
certified, longitude: -0.493370588193
connected, provided: 0.740523916929
forgiving, sluggish: 1.25602942773
efficacious, kane: 0.581535516605
careless, truthful: 1.64975909307
-just, mean: 0.0
doubled, unharmed: 1.32380472139
old-timer, well-designed: 0
breathe, run: 1.02276638276
de-insured, thankyou: 0.0
non-binding, straightaway: 0.0
high-ranking, off: 0.0
fucked-up, sore: 0.0
amiss, open-minded: 0.0
damaging, opening-up: 0.0
improved, non-compliant: 0.0
inoperable, quieter: 1.16984748702
blank, starker: 0.266824446145
inviolable, unwise: 1.79797181745
recurrent, vice-chair: 0.0
rash, seasick: 1.17979633666
central, migratory: 1.03007053309
fuckin, moot: 0.719346633814
actually, graceful: 0.279650220579
grim, hard-pressed: 0.0
regular, striking: 0.318141615148
enduring, sensitive: 0.282651827599
distinguished, truer: 0.655577760618
salient, shit: 1.17841443556
reachable, streamlined: 0.680233434694
peaceful, reyes-torrena: 0.0
interim, unsafe: 0.490744356279
physical, workable: 0.36576879581
aroused, hurry: 0.509042556752
astounded, seventh: -0.242550510591
devastating, enough: 0.295965330679
galore, generic: 0.628382829572
allergic, relieved: 1.58571939527
psycho, so-called: 0.0
optimistic, strongly: 1.98790970535
either, saying: 0.573109377088
referenced, sociable: -0.502006390576
perilous, welcome: 0.235222762045
unjustified, well-founded: 0.0
agile, imported: -0.099717520581
overripe, unwarranted: 1.45278250255
marine, publicly: 0.084500505108
panicky, principale: 0.395524082246
astounding, influential: 1.53659101948
cruel, hope: 1.05421295566
ancient, easy: 1.04366880334
imported, thereto: 0.41444525396
concerned, intolerable: 2.10216610389
aggressive, work: 0.733380799337
indian, requests: -0.183239081655
legibly, tasty: 0.896654443081
livid, optimistic: 2.97323455929
careful, worthless: 0.870597519792
french, well-received: 0.0
doing, north: 0.352409891376
groovy, unified: 0.335640975868
insatiable, malicious: 0.875470173257
amiss, overheard: 2.24800381311
migratory, standing: -0.12655250115
time-sensitive, transnational: 0.0
anything, typically: 1.07996308367
groundless, justification: 2.97143625893
briefly, married: 0.25968993576
antagonistic, unrealistic: 2.08285773089
myself, particular: 1.26657235811
commended, vulnerable: 0.427276468166
complements, hlv-positive: 0.0
irate, renowned: 0.537126957341
proactive, selfevident: 0.0
dishonest, undetermined: -0.060821169991
10, propitious: 0.0
commendable, representativeness: 1.61930754452
brutal, ever-increasing: 0.0
imperfect, updating: 1.30257395024
burdensome, similarly: 0.816527626819
extreme, tense: 0.978086578072
race, understandable: 0.41850568957
grimmer, on-going: 0.0
expedient, sobering: 0.631860969854
globalization, lengthy: 0.571227888066
attentive, flattering: 2.0598696124
jack, live: 0.359820870687
dispersal, eleven: 0.098722677646
belligerent, probably: 0.301940541173
scarce, vested: 1.02241001503
delicious, systemic: 0.430910082051
detrimental, wealthiest: 0.817291313165
denser, fruitful: 0.94847785768
automatic, longer-term: 0.0
roisin, true: 0.0
rarely, stable: 0.50834087162
french, obtainable: 0.245035565279
trashed, yes: 0.932090394034
detrimental, moreover: 1.22314965016
affixed, desirable: 0.670709418715
information, main: 0.095470294603
extirpated, flavorful: 2.7092392698
actionable, hopeful: 0.397536550971
forward-looking, scarcer: 0.0
broader, classic: 0.747399672728
classified, democratic: 0.328513241777
ill-conceived, immoral: 0.0
forthright, grown-up: 0.0
monumental, perpetual: 1.34854413217
aggrieved, appalling: 2.05447892742
dishonest, planned: 0.127960905013
mechanical, snug: 1.11599466033
illustrative, worthless: 0.870303515914
creditable, enough: 0.64331558548
better-looking, damaged: 0.0
dying, underfunded: 1.34804580685
divergent, fiercer: 1.45670722062
breathtaking, tolerated: 0.217137948469
cozy, sophisticated: 1.56767828491
restrictive, seen: 0.306093957805
harsh, selfish: 1.77735223188
blended, subject: 0.7574555509
near, touchy: 0.133198031729
greener, lukewarm: 1.50151594128
hospitable, tougher: 2.81618446767
american, furthermore: 1.29233893792
interoperable, visibility: 2.50237898371
adaptable, enjoyable: 3.210985722
apace, direct: 0.381717591906
builshit, stylish: 0.0
delighted, unused: -0.267292208549
cruel, right-handed: 0.0
determining, newest: -0.079597424769
burdensome, max: 0.322299121477
justifiable, negative: 1.09494285358
clearly, surprising: 1.07067221393
disruptive, notorious: 1.18761564628
progressive, thoroughly: 0.805184774957
flawed, thanks: -0.138639026263
hard, marked: 0.210546537397
jittery, youthful: 1.65348319014
brisk, large: 1.13864930951
off, partial: 0.283095673826
clearly, optional: 0.091913457634
smarter, vice-chairman: 0.0
suck, wicked: 1.9406404831
inadmissible, syrupy: 0.883352520597
intelligible, nearest: 0.945577430027
19, fast-growing: 0
topnotch, wonderful: 2.19641884159
discretionary, general: 1.44430362065
awaken, extensive: -0.321518032569
overridden, phat: 0.274321711404
economical, included: -0.086676701915
alert, knowing: 0.80270767374
promptly, savage: 0.327759032148
doubt, international: 0.655289853045
fifteen, irate: 0.213339842372
eventually, interdependent: 0.465226752635
absent, ill-founded: 0.0
discreet, perpetual: 1.14901124762
anticipated, chilly: 0.72533499969
although, used: 0.569492642704
disruptive, obvious: 1.2899418188
proficient, restricted: 0.938654764437
cheapest, prepared: 0.604260506125
deliberate, ephemeral: 0.635236594215
absent, disgusting: 0.935267356442
ongoing, tragic: 1.1214154335
beautifui, self-sustaining: 0
aware, ignored: 2.48570982304
asshole, scientific: -0.092865237327
lye, understand: 0.193226356392
off-the-record, tied: 0.0
annoying, baby-sitting: 0.0
little, presented: -0.073201017717
extraordinary, indispensible: 1.72605853414
disadvantaged, kosher: 0.944975634568
cohesive, unremarkable: 2.1669231477
briefly, swift: 0.502426507044
invalid, prat: 1.70486309038
better-quality, uniform: 0.0
across-the-board, well-developed: 0
exceptionally, folks: 0.472259249291
deceptive, overall: 0.65449716118
fast-switched, state-funded: 0
enlightening, mimi: 0.647129762442
authorized, pathetic: 0.179163181742
singular, wide-ranging: 0.0
loud, petite: 1.79642762668
distressed, impractical: 1.02485654108
flame-retardant, worthy: 0.0
answerable, progressive: 1.3382909232
dysfunctional, organised: 0.0
co-ownership, flexibility: 0.0
docile, tolerable: 2.51305104486
3rd, staff: 0.003085654679
annoying, current: 0.22426154492
ecological, final: -0.10888404645
experienced, toxic: 0.196751904609
embedded, objective: 0.65860027199
unreal, various: 0.67005350174
released, unwholesome: -0.707428212416
missingg, sedentary: 0.0
gullible, gutsy: 1.28354192379
ghastly, self-sufficient: 0.0
cranky, specialised: 0.0
mature, responsive: 2.2656687686
increasing, ungrounded: 0.494494455271
coherent, overwhelming: 0.669652289022
reimbursable, sentimental: -0.408669298349
illusory, tenacious: -0.168406378702
best, open: 0.555389142282
comforting, restricted: -0.102862787398
prestigious, sick: 0.024907012734
assertive, shitty: 0.051266484614
performed, softer: 0.083261802134
jumpy, on: 0.393968900064
hardest, stringent: 0.94382741312
disruptive, overheated: 1.34728898766
convinced, debate: 0.579027786513
beautiful, permanent: 0.740301599348
many, marginal: 0.817735085672
unhealthy, unheard-of: 0.0
cancelled, untrue: 0.0
cranky, ravishing: 1.46731921301
ail, clara: 1.44688872567
long-range, naturalistic: 0.0
identify, strained: -0.159321896413
fancy, recent: 0.033258832726
almighty, vain: 1.89479161536
unjustifiable, yearly: 1.03491742813
jittery, non-transparent: 0.0
blameless, professional: 1.10662006105
certainly, married: 0.339577713744
clarified, healthier: 0.318184027227
midget, shiny: 1.51285498846
combative, icy: 1.94753139967
pertinent, s-sorry: 0.0
generic, individualized: 1.50338240347
blameless, enormous: 0.689347790415
immediately, peculiar: 0.374159298375
extirpated, om-mazing: 0.0
dreadful, woken: 1.84794942371
awaken, energy-efficient: 0.0
co-funding, ghastly: 0.0
all-encompassing, vital: 0.0
shorter, startled: 0.312962946341
calming, constrained: 0.003616754842
doing, seasick: 0.941797180049
inconvenient, shameful: 2.75867516861
broad-based, rising: 0.0
multifocal, short-lived: 0.0
nut, well-organized: 0.0
accordingly, favourable: 0.0
notable, overkill: 0.48339951217
note, tenacious: 0.033984277942
customized, secret: 0.823808383962
irate, massive: 0.797360663601
tepid, unconvincing: 4.04172973564
individual, om-mazing: 0.0
genius, intentionally: 0.786719132002
inconsiderable, invariable: 1.49924584273
blurry, supportive: 0.000135910593
possible, sensible: 1.68425391969
hon, overambitious: 1.11611072473
all-round, well-armed: 0
senseless, unhappy: 0.960980755632
hurry, invalid: 0.547169235088
some, up-to-date: 0.0
burned, psychogenic: 0.682290296879
earliest, girlie: 0.059964219687
evident, hope: 0.350510564647
outnumbered, strained: 1.85326054178
hearty, screened: -0.258311577763
nigh, slick: 1.16143650831
cute, switching: 0.464257970902
groovy, rad: 4.27513521837
present, yeah: -0.214910859642
egocentric, solid: 0.133090601149
scientifically, wealthiest: 0.606576917725
fruitful, yesterday: 0.733737531775
franco, lesser: 0.697793258597
roisin, surprising: 0.0
lacking, perfect: 1.38116726051
bright, ignorant: 0.940222151575
noble, omnipresent: 1.11210450288
frazzled, off-site: 0.0
damaging, results-oriented: 0.0
savage, seropositive: 0.088204219713
accelerating, crafted: -0.168205632131
pilot-tested, prolonged: 0.0
cleverer, diligent: 2.05629398688
clear-cut, satisfying: 0.0
easier, secured: 0.049435973897
apposite, binding: 0.72074404826
crafty, incorrect: 0.461343216507
dynamic, manifestly: 0.536525192532
roisin, vocational: 0.0
generic, self-employed: 0.0
operational, perplexed: -0.016985606153
satisfied, u.s.: 0.0
redeemable, referenced: 1.64892891676
distressing, plenty: 0.137196756386
roll, self-reliant: 0.0
nude, puny: 0.824944378254
dual, moderate: 0.643829983922
disgraceful, straightaway: 0.530281056016
integrated, italian: 0.712116562005
identify, prescribed: 1.12928870255
acceding, conventional: 0.139637265527
courrier, instead: 0.420177935329
hey, patience: 0.804544432257
convincing, unsteady: 1.15236827642
multi-ethnic, sunnier: 0.0
justified, wrecked: 0.750368720409
enthusiastic, formidable: 2.03292396458
ever-increasing, ludicrous: 0.0
humbled, self-sufficient: 0.0
buoyant, careful: 1.13871621706
populous, stocky: 1.22474372261
fragile, puny: 2.13175390437
divine, far-ranging: 0.0
courrier, flicka: 0.0
finite, unaltered: 1.19773777809
home, moreover: -0.009576972184
pronounced, stipulated: 0.571406306347
finest, usual: 0.306998540342
commercial, magnificent: 0.431334636542
interactive, scant: -0.207361386929
expedited, rogue: -0.133739656728
initially, meager: 0.46226744687
comprehensively, implacable: 0.781836391214
calm, state-funded: 0.0
-mentioned, required: 0.0
held, misleading: 0.452755647165
hinky, jeopardized: 1.08648375748
counter-productive, kane: 0.0
rugged, specified: 0.359638794576
indefensible, ioaded: 0.0
disparate, hiv-positive: 0.0
education, striking: 0.068231647572
hurry, well-served: 0.0
disconcerting, loveable: 1.07322151432
coordinated, non-exhaustive: 0.0
lofty, western: 0.139796374588
courteous, flexible: 2.51464995054
arduous, imrtant: 0.0
fbl, susceptible: 0.0
central, paranoid: 0.671114356276
own, varying: 1.34748229167
calm, nauseous: 1.90128544991
deserved, fully: 0.164485023278
gone, patient: -0.029312013312
admiral, significant: 0.136907964707
egotistical, reachable: 0.580055211047
another, issued: 0.168124002427
elderly, nut: -0.090279678257
on-going, sizable: 0.0
conflicting, irritating: 0.927596160284
forlorn, lost: 1.85328937964
restored, several: -0.051586344937
especially, thank: 0.681970614022
privileged, well-prepared: 0.0
encouraging, further: 0.886338380589
expeditious, interest: 0.771721273639
historical, well-positioned: 0.0
axiomatic, ecologically: 1.07174819421
e.g., possible: 0.0
deep-rooted, hooked: 0.0
down, jittery: 0.817525354589
irritable, modest: 0.446939968846
notably, sizable: 1.21725318903
proceed, unemployed: -0.382823898409
immaculate, unmistakable: 2.87413217234
largest, well-informed: 0.0
commended, stylish: 0.843500604892
foul, transnational: -0.061108909261
sadly, unpublished: 0.332461610134
hurtin, perilous: 1.14923402503
ambitious, self-contained: 0.0
defined, deliberately: 0.310860392987
prescriptive, sooner: 1.02847143014
dishonest, divergent: 1.42744605671
debated, unseen: 1.04982688896
darker, up-to-date: 0.0
centralized, premature: 0.67308127322
blinded, strongest: -0.516286168893
undemanding, widespread: 0.217934322275
interdisciplinary, nasty: 0.010803210072
alive, unsuitable: 0.180781444213
naughty, stupid-looking: 0.0
co-financed, multi-layered: 0
announced, cherry: -0.207565921203
determinant, formed: 0.478183925314
fascinating, straightaway: 0.458562229529
inadvisable, tedious: 2.99051135493
warm, well-tolerated: 0.0
certified, confusing: 0.507071043302
former, reality: 0.466283121387
receptive, timid: 3.16871096445
broad, integrating: 0.853139512418
plentiful, there: 1.73824350968
dry, fifty: 0.771334408202
appropriate, emphasise: 0.0
babe, unbiased: 0.580410392314
mechanical, scarcer: 0.218528709727
anymore, streamlined: 0.163996641305
marine, thrilled: -0.001808535917
elongated, welcome: -0.095348621931
fuzzy, opened: 0.045387526927
doing, shitty: 1.7085671679
annoyed, based: -0.30479285705
culpable, privileged: 1.76784622794
elaborate, unthinkable: 1.15745138
knackered, vegas: 3.22104993492
disjunct, homesick: 0.331688181206
indicative, noted: 1.10503762562
awareness-raising, skilled: 0.0
accuracy, near: 0.147012534476
fertile, these: 0.606389461405
astounded, wounded: 1.92470637584
ominous, single: 0.158475470005
hiv, subject: 0.42664529795
prescribed, useful: 1.19915667706
actively, greater: 1.00238897981
results-oriented, such: 0.0
stale, unabated: 1.94141319089
calculated, shocked: 1.00759782426
environmentally-friendly, leading: 0.0
earlier, hollow: 0.38801688714
judicious, virtually: -0.027410500096
formal, safe: 0.500481205468
intelligent, joyful: 1.30839396614
condescending, desolate: 1.55328059838
but, stiff: 0.723087179758
registered, wreckable: 0.0
bygones, essential: -0.643739444962
naked, standing: 1.9545599138
distressed, utilized: 0.378259481747
supplementary, various: 1.45224343013
alone, cleverer: 0.394756973781
positively, sorr: 0.0
nuts, voluntary: 0.567244885806
amazed, uh-huh: 0.0
cold-rolled, stated: 0.0
present, supra: 1.12110827964
technology-neutral, unoccupied: 0.0
meticulous, unlawful: 0.219229331118
innocent, maximal: 0.408314463899
dim, flicka: 0.0
profitability, weirder: -0.513177328776
expandable, laddie: 0.200708775437
spoilt, well-written: 0
destabilizing, greater: 1.4822131156
damaged, multidimensional: -0.394006060082
multi-disciplinary, time: 0.0
pushy, unforeseen: 0.031568899065
accuracy, mistaken: 1.80924659969
sentient, sweet: 1.47457400345
black, random: 0.741314386355
breathtaking, justification: 0.946816981652
content, fewer: 0.405984236533
african, practically: 0.184963075722
forthwith, impulsive: 0.461263973705
flavorful, marked: 0.138781498868
mistaken, removed: 1.40915114796
excited, trivial: 0.17119936579
grateful, major: -0.010322896123
painful, referenced: 0.42273194322
hungry, youth: 1.04907876247
enormously, inoffensive: 0.876045751992
nude, sophisticated: 0.681044675819
picky, south: 0.632584095657
trained, widest: -0.167335848692
freedom, unavailable: 0.561067328881
accountability, afterwards: 0.19169166532
round, unfortunately: 0.619253863496
indiscreet, pretend: 1.50899214075
co-financing, scarlett: 0.0
partially, welcome: -0.329920888458
by, compliant: 0.682339416173
brand-new, goofy: 0.0
beter, generally: 0.704911587492
idiotic, talkative: 1.15899145105
fearful, independent: 0.449582685883
delayed, fast-switched: 0.0
off, small: 0.48031237666
lame, unspoiled: 1.06013847514
flawed, memorable: 0.36574200485
imported, inexhaustible: 1.31619880718
proficient, sappy: 0.632287355691
lamentable, staggering: 2.29982299383
starved, wicked: 1.02446637924
accused, dynamite: 1.23055029213
belated, efficacious: 0.763436258697
commercial, huge: 0.635090415495
phony, usually: 1.23480319226
importantly, topical: 0.667305052886
aggravating, seductive: 1.34619876131
everyone, macabre: 0.19953308351
acquainted, swifter: 0.643847454689
elderly, milder: 1.0640812371
corrupt, hence: 1.08241284361
gandalf, registered: 0.0
doable, received: -0.059681588073
rugged, traffic: -0.248043439571
super, synergistic: 1.31448020972
adulthood, mistaken: 0.925764974463
explained, topic: 0.759554886468
flourishing, kid: 0.829481082365
blurry, shocking: 1.73103388824
live, naughty: 0.793763996946
solid, time: 0.278293330558
awol, required: 0.331332432665
prolonged, unfettered: 1.27838863252
inaudible, thanan: 0.0
secure, variable: 0.595822113931
favorite, typical: 1.07268170795
ecological, pointless: 0.7444481838
permanently, unforeseen: 0.794154067318
authorized, debated: 1.21054201328
instead, pray: 0.451728436032
exactly, hey: 1.89885430061
it, pretty: 1.79505730008
exponential, humid: 0.020968644633
debatable, worrying: 2.40298149582
e.g., worth: 0.0
commenced, organised: 0.0
fluid, marked: 0.399096727704
optimal, race: 0.496638128947
colder, talkative: 1.40255351925
cheerful, severe: 0.662081580011
incapable, manifold: 0.786867083687
discernable, eager: 0.284536929277
impermissible, suicidal: 1.41953135994
resolute, risky: 1.10150794031
goofy, mission-critical: 0.0
released, skint: 0.326898621782
ambitious, equal: 0.490394133428
mighty, understand: 0.366407821437
co-financed, louder: 0.0
absent-minded, opened: 0.0
complementary, organised: 0.0
commonplace, imrtant: 0.0
likable, prior: -0.733496132093
