monstrous, unable: 0.526513176469
comparable, null: 1.12386313271
hurry, succinct: 1.10499076133
executed, sad: -0.030155963803
hour, kinky: -0.120433062975
depressing, efficient: 0.66516221234
commonplace, etcetera: 1.82918902214
conclusive, humiliated: -0.107902604402
delayed, fine: 0.039984505971
distributed, naive: 0.331636188743
plentiful, unfair: 0.488566365257
cost-efficient, expedient: 0.0
accomplished, routine: 0.999758566481
curious, redeemable: 0.148557108171
supported, underage: 0.365843008185
patronizing, remaining: -0.296632738701
fast-growing, underage: 0.0
expressed, well-controlled: 0.0
excited, inspirational: 2.01952683312
appreciable, heartening: 2.11618236206
intricate, unreasonable: 0.371737665497
modified, poor: 0.301339088506
hysterical, narrow: -0.017906170253
dotty, vice-chair: 0.0
3rd, initially: 0.226161646298
co-financing, reliable: 0.0
counterproductive, depraved: 1.78807141878
ridiculous, uncompetitive: 2.9086130801
displeased, masterful: 1.72208734027
boy, crude: 1.28546214879
bravest, shot: 1.06081754631
contaminated, excessive: 1.89449534997
engagement, recognising: 0.0
longitude, unreasonable: 0.22918813655
stand-alone, unreal: 0.0
satisfactory, wacko: 0.318214683992
clarify, hurry: 0.59828034938
admitted, well-maintained: 0.0
nice-looking, refusal: 0.0
extinct, inadmissible: 2.56567030198
developing, rogue: 0.7506834617
resolved, troubling: 0.970041039971
inconsistent, requested: 0.406143774152
asleep, slippery: 2.20235596794
dissimilar, knackered: 2.141946291
known, surprising: 0.643365047249
especially, non-compliant: 0.0
obligatory, written: 0.89751896204
benign, cher: -0.338144318004
poor, sir: 1.13580875565
misguided, near: -0.192765030187
luke, receivable: 0.281860544326
om-mazing, psycho: 0.0
feeble, shielded: 1.13833788817
expedited, tall: 0.397976430935
contemporary, per: -0.125496776434
on-going, unfounded: 0.0
original, really: 0.411996811798
consultation, jam-packed: 0.0
fitting, noteworthy: 2.0793794517
self-evident, severely: 0.0
goal, winning: 1.7548715304
interested, treacherous: -0.383435840906
non-exclusive, repeating: 0.0
disgusting, retail: 0.1269021893
inconceivable, major: 0.881663466275
candid, counterfeit: 0.097881840643
disparate, separate: 2.74402595426
aesthetic, pro: -0.160526893865
cuter, gay: 1.52253881736
nutty, secondary: 0.2986071923
addition, funnier: -0.188833469747
accordingly, non-compensatory: 0.0
master, scanty: -0.07591155676
frantic, talented: 0.537331990636
almost, ourselves: 0.30809605942
il, thorny: 0.489831252406
occupied, whassup: 0.161917131001
confidentiality, jurisdictional: 3.21182538399
definite, exempt: 0.453992226552
changing, distasteful: 0.861593404578
equally, non-exhaustive: 0.0
clearest, longest: 2.93374459499
impolite, overwhelming: 0.898301729492
completely, reasonable: 0.740066199567
impractical, starved: 1.03352561287
pitch-black, supplied: 0.0
felt, smokin: 0.653511880784
bygones, loving: 2.15288144223
cheery, newborn: 0.713797037
finished, under-funded: 0.0
de-insured, poorer: 0.0
cozy, slightly: 0.438897838713
inhumane, secondly: 0.57845404334
effectiveness, sensational: -0.034978895465
unsettled, vicious: 1.28151276455
excited, opportunity: 3.31400019988
elusive, over-the-air: 0.0
ancient, impulsive: -0.331899389886
purty, stout: 1.97026269139
distressed, unsteady: 2.59643571241
multicultural, rotten: 1.01729921735
respect, unwarranted: 1.47027546447
choosy, confusing: 2.35957463149
fierce, sensational: 1.30346183557
deeper, lazy: 1.10620134285
dre, variable: 0.51201379285
all-encompassing, inconclusive: 0.0
famous, you: 0.625146375209
in-depth, unable: 0.0
amended, worthless: 0.844839207407
dynamic, stable: 1.80489427829
appreciable, small: 1.52602119396
illegal, particular: 0.656310441646
hiv-positive, modernized: 0.0
dull, in-progress: 0.0
fit, worried: 0.502115614238
practicable, reduction: 1.95075514927
historic, locked: 0.406968185176
generous, self-sustainable: 0.0
here, perfect: 0.731128884743
convincing, engagement: 0.32331249651
move, multi-ethnic: 0.0
every, handled: 0.298111115451
actual, wait: 0.886034988324
iilegal, understandable: 0.0
nearly, shorter: 0.698572412289
legibly, level: 0.235336535819
ordinary, user-friendly: 0.0
timelier, unbalanced: 0.207777302182
streamlined, unexpected: 0.373080875725
joyous, unethical: 0.516679682286
foxy, stricter: 0.246697491873
jolly, one-sidedly: 0.0
marked, short-term: 0.0
critical, overlooked: 1.46599658664
persuasive, smooth: 1.07609730199
personally, tougher: 0.791752257226
attractive, probably: 0.804944315896
cheap, distressed: 0.988433327886
find, single-ranked: 0.0
emblematic, ill: 0.378362480686
anything, do-able: 0.0
level, third: 0.258267916208
fearful, remaining: 0.391178259469
overt, stupid-looking: 0.0
counterfeit, non-exclusive: 0.0
aware, like: 0.892808646478
adversarial, unchanged: -0.820567972347
dodgy, upfront: 1.45076884432
ever-increasing, indicative: 0.0
inconsequential, sensible: 1.67747895027
analogous, insubstantial: 1.76709072964
comforting, smug: 2.68578991834
acknowledging, indicative: 1.39339329663
buoyant, tremendous: 1.22996704544
-ready, payable: 0.0
colder, intolerable: 1.4795117576
pleasing, profitability: 1.67410903594
correctly, rugged: -0.38154761904
importantly, normally: 0.72226489031
authoritative, manifestly: 1.42121641766
customary, multi-ethnic: 0.0
fuckin, priced: 0.436758083164
gone, stimulating: -0.111260665557
paid, unsuitable: 0.650936502199
accountability, arduous: 0.40279379327
delay, disabled: 0.670019613021
fair, thicker: 0.177855225386
cordial, tabling: 1.13221009455
distasteful, laborious: 2.15192517727
cost-effectiveness, sick: 0.0
impoverished, indicated: -0.144960998946
invested, top: 0.191317607433
senior, splendid: 0.195124678804
alia, fragile: -0.198788095155
others, unendurable: 0.214806968859
customized, decided: 0.481584346906
demanding, strengthening: 0.31503158199
scalable, understandable: 1.12932942175
intimidating, problematic: 2.20211198241
icy, nearest: 1.22687423998
equal, phat: 0.422979829756
derisory, equipped: -0.841098052854
exciting, terrified: 1.20423966239
foreseeable, subdued: 1.5996277338
displacement, shorty: 0.4882540817
house-trained, maximum: 0.0
saved, unfounded: 0.852324646324
david, unprejudiced: 0.525592218786
established, topical: 0.286133994141
contradictory, fatter: 0.966008424454
bitter, richer: 1.48725887522
seropositive, two-fold: 0.0
oriental, these: 0.653029968646
calculated, retarded: 0.931525435567
historical, meaningful: 1.7719696133
danger, rock: 0.608592788736
reimbursable, tom: -0.567468323772
info, meaner: 1.58779566219
comparable, nineteen: 0.950140553408
cost-effectively, professional: 0.0
concerted, dirtier: 0.494188339707
above, right-handed: 0.0
implacable, malicious: 0.569943995481
max, warmth: 0.302408111514
dire, dressed: 0.797064919403
freely, unaware: 1.00218340625
subsidized, susceptible: 1.05202903151
3rd, woolly: -0.304463162552
genuine, self-sufficient: 0.0
countless, recent: 1.75861043726
preliminary, unimportant: 0.398885200293
fierce, imperative: 0.788216155831
disquieting, refundable: -0.155215822054
faithful, worldwide: 0.818966813247
dangerous, well-developed: 0.0
baby-sitting, dotty: 0.0
refusal, unrealistic: 0.834010413093
overwhelmed, shitless: 0.762858908314
abrasive, poorer: 0.822726910078
lookin, yummy: 3.87881451754
reckless, whilst: 0.568773572182
corrupt, sweetheart: 1.58639956691
pissed, untapped: 0.637032540248
authorised, cheery: 0.0
feasible, justified: 2.7893546668
cooperative, inferior: 0.201458795211
almighty, tailor-made: 0.0
hey, question: 1.11157360961
charged, tremendous: 0.51562207053
extraneous, shorter: 0.851239767242
senior, tan: -0.264598792933
high-availability, useful: 0.0
comfy, slimmer: 2.82756920564
acceded, hiv: 0.092329528664
inside, nasty: 0.673152070308
irregular, retail: 0.077536395895
defenseless, sober: 0.386216553486
patience, well-founded: 0.0
explosive, moister: 0.951343153184
clever, self-evident: 0.0
cited, hostile: 0.746641468831
panicked, set: 0.25360088491
marine, official: 0.513220957149
alarmed, ten: -0.093463295919
timed, undisputable: -0.239833553593
gruesome, lazy: 0.88078748141
categorical, limp: 0.624691219544
celebrities, loverly: 0.720174102628
disclosed, good: 0.295378301897
medium-sized, self-supporting: 0
smug, staff: 0.534332158019
distributed, thanks: -0.071247378752
better-looking, lesser: 0.0
defenceless, logical: 0.0
economic, medical: 0.970204538742
busier, long-term: 0.0
shipshape, sleeping: 1.78098415838
flashing, incapable: 0.507396149366
adapted, morbid: 0.363155622986
altered, dishonest: 1.37966251966
contained, fairly: 0.958564027541
false, perfect: 0.406272988827
abrasive, exquisite: 1.56624233244
afterwards, handicapped: 0.510074269261
busy, fluent: 1.36290617952
non-partisan, undesirable: 0.0
dotty, justification: 1.30252889127
ma, well-developed: 0.0
nasty, objectionable: 2.26814597709
riveting, skint: 0.20576366272
involved, unbiased: 0.812722079817
fifteen, introduced: 0.276891089035
disproportionate, regular: 0.694566615797
coarser, stern: 0.808740405
currently, southeastern: 0.871039949922
identical, readyto: 0.126814633079
ghastly, largely: 0.558076170936
hurtin, inside: 0.332331921733
ignored, overall: 0.048959627031
moreover, risky: 0.74263231153
delicate, uncomfortable: 2.49631391772
ubiquitous, unjustified: 0.435444712083
organic, susceptible: 0.780092373459
2nd, darker: 0.14606176471
franco, screwy: 1.66566717051
doing, subsequent: 0.144093939149
culpable, prouder: 2.81402342224
mere, variable: 0.180515278945
obliged, proper: 1.60965427411
blunt, deserved: 0.873452418744
modest, wealthiest: 1.65205531376
died, effectiveness: 0.231422899248
pleasurable, sounder: 1.82079384093
designated, indebted: -0.119625512708
confrontational, funky: 1.82829345243
labour-intensive, undeniable: 0.0
grass-roots, irate: 0.0
relaxing, trivial: 0.901068774495
asked, debatable: 0.728954950718
later, need-to-know: 0.0
duty-bound, reconcilable: 0.0
estimated, needy: 0.623117468606
elected, obsolete: 0.106321959195
contemplated, white: -0.102053911929
messy, today: 0.029946820455
clear-cut, favoured: 0
considerate, refusal: 0.247389394316
defined, requested: 0.289375362509
black, irritated: 0.755837719393
acclaimed, neurotic: 0.928597635179
intermediate, righteous: -0.372643922457
intelligible, undemocratic: 1.52871945846
3rd, technology-neutral: 0.0
requests, wished: 1.52601839784
soon, wonderful: 0.759784781036
immutable, loaded: 0.952007595479
eighth, superb: 1.34822148099
crummy, shorty: 1.17521050619
longest, telling: 0.728325588964
reconcilable, turned: -0.020843414421
constructed, immoral: 0.230726298736
self-sustained, today: 0.0
nothingg, upstanding: 0.0
busier, gross: -0.049211064821
disputable, hungry: -0.263332291945
continued, hiv-positive: 0.0
by, terrifying: 0.266713790113
iovely, trashed: 0.0
blameless, resident: -0.304661180579
bi-directional, uptown: 0.0
basic, builshit: 0.0
contestable, deductible: 2.05312464688
different, instrumental: 0.717316177671
iovely, mid-sized: 0
distant, wretched: 1.86221349529
globalization, supra: 1.92698922581
acknowledged, carefully: 0.547460578908
fat, innumerable: 0.97563340206
skilled, substantial: 0.821989018001
comparable, wealthy: 0.625465418194
accordingly, remaining: 0.800331475263
hypersensitive, warranted: 1.51557853535
evil, multifocal: 0.730600486511
general, thorough: 0.938082405913
him, perfectly: 0.453373715286
pragmatic, proprietary: 0.651398593156
courrier, unmistakable: 0.514567796536
organized, undetermined: -0.101580602202
obstinate, social: 0.468283487557
fast, huh: 1.06451135333
crafted, frank: 0.593649495483
limp, unexceptable: 0.0
longitude, uniform: 0.141395936041
commensurate, latest: 0.343410846504
cheapest, hospitable: 2.07358128706
extinct, single: -0.020452279463
extensible, whatever: 0.70178600465
multi-dimensional, well-known: 0
opposite, questionable: 0.457505593774
deceased, under-inclusive: 0.0
commended, immediate: 0.830594366555
tighter, viable: 0.464727559747
extremely, solid: 1.00463723842
aggravated, rarely: 0.438520902568
detrimental, stumpy: 0.523113675439
persuasive, whatever: 0.953788443037
testy, triple: 0.268906540532
combative, odious: 1.27558631764
disabled, steady: 0.100063665449
mighty, placed: 0.287749258229
defined, manifold: 0.780481372896
armored, moronic: 1.01482721451
gender-neutral, problematical: 0.0
inoffensive, schizo: 2.44216329355
prescribed, unreasonable: 1.7297794263
acceding, relentless: 1.40844099891
satisfactory, shorter: 1.4272579762
omnibus, pitiable: 0.655887975376
minimum, smug: -0.26521065881
seasick, spoilt: 0.0
cohesive, expanded: 0.904104395551
egotistical, served: 0.313310764297
horrible, rationalized: 1.54032947871
scheduled, special: 1.57152370265
straight, sweet: 1.25678467084
overly-high, restless: 0.0
better-quality, sultry: 0.0
cold-rolled, state-of-the-art: 0
multi-disciplinary, narrow: 0.0
feasible, infallible: 1.61730352611
initially, pragmatic: 0.647950265039
right-, timely: 0.0
lookin, secret: 1.32029983417
environmental, loco: 0.469403640503
herein, mere: 1.08992102207
fastest, specific: 0.609151416703
advertised, sinister: 0.676017700506
equitable, present: 0.580892549063
ill-defined, respectable: 0.0
greatest, shocking: 1.27676065101
burned, pitiable: 0.37399853515
detailed, grisly: 2.03364481353
privileged, technically: 0.786813710687
another, blameless: 0.629240637376
naked, useable: 0.597726065573
all-round, overkill: 0.0
foreseeable, suicidal: 1.73734878101
hinky, win: -0.116056227175
logical, safer: 2.17297593798
fiercer, no: 1.50954676819
collective, undetermined: -0.167153624869
dispersal, previously: 0.39968514902
disjunct, muscovite: 1.14720282791
anomalous, ill-treated: 0.0
customized, unimaginable: 0.15509770029
awkward, berserk: 0.801491948054
alia, fruitful: 0.339247746429
by-election, funnier: 0.0
identifiable, screwy: 0.959305634682
described, refusal: 0.383965318402
commensurate, ideally: 1.89046620472
cheapest, terrific: 0.579241976416
grotesque, solid: 0.101378451789
cool, credible: 0.596928048591
childish, saved: 0.289052949569
punchy, shocked: 0.021416895209
impartial, supreme: 2.16731898119
drunken, goal-oriented: 0.0
distasteful, tiring: 2.32621322933
good-iooking, skinny: 0.0
immoral, squat: 1.40181538685
believable, unrestricted: -0.225867146125
indebted, scarcer: 1.31102482741
retarded, superior: 0.863664403017
co-chairperson, coordinated: 0.0
across-the-board, cold-rolled: 0
handled, marvellous: 0.0
persuaded, subject: 0.55275259333
-lnteresting, jump: 0.0
normally, workable: 0.164187484974
me, topnotch: 0.363010379327
fairly, petrified: 0.619088279918
technology-neutral, treble: 0.0
darling, moister: 0.373672796123
italian, sober: -0.54450845119
ended, well-lit: 0.0
heterosexual, softer: 0.740144380468
creation, in-depth: 0.0
balanced, know: 0.463221897399
brain-dead, incorrect: 0.0
recognizing, specified: 0.698703526956
colossal, undemanding: 0.916212788135
far, lonesome: 0.424790511401
attended, diminished: 0.358053451098
-surprised, south-east: 0
inter-dependent, snappy: 0.0
justiciable, occurring: 1.95688138701
conscious, stylish: 2.53193863885
fun, relieved: 0.936660444873
northeastern, unstable: 1.054186086
retard, seen: 1.30060653252
displaced, taken: 0.876468019853
hilarious, taken: 0.606934973065
clearer, perpetual: 0.25298384518
unpopular, way: 0.810872370671
immaculate, trivial: 0.587272647179
pleasant, warned: 0.174395140418
bulletproof, poor: 0.8507454756
industrial, pale: 0.428957516087
respendable, unimaginable: 0.0
innocents, worthless: 1.70479096757
okey, overburdened: 0.340485095011
luke, swifter: 0.449031484834
exposed, involved: 1.95145597745
joyous, upfront: -0.216487929697
greatest, long-term: 0.0
rescinded, younger: 0.096828181297
somewhere, stylish: 0.536512347681
repugnant, undignified: 5.01231869992
scattered, supreme: 0.5127906972
exhausting, sublime: 1.85157783076
permitted, terrorized: 0.610829317887
first, ugly: 0.319238026298
equal, her: 0.240157843921
despicable, wicked: 3.65593324493
cute, presented: 0.253272676048
alive, awake: 4.6013519216
flat, well-formed: 0.0
iegitimate, unconvincing: 0.0
perfectly, way: 1.72999101572
prodigious, roisin: 0.0
mum, severe: 0.541501223796
gaunt, substantial: 0.678162476831
liked, marvellous: 0.0
brain-dead, dominant: 0.0
disagreeable, exhilarating: 2.16239829764
cohesive, ruthless: 1.83084269523
accountability, hasty: 1.0434749931
sketchy, transient: 1.38862190039
better-educated, copacetic: 0.0
mla, silent: 0.816401391686
particular, suspected: 0.635428651511
installed, vicious: -0.524062236797
emphasise, victorious: 0.0
lenient, ugly: 1.5662579848
certain, futile: 0.659345959658
illustrative, numerous: 0.310108127483
knowledgeable, suited: 2.10254833968
imperative, ionely: 0.0
distinct, indefensible: 0.329568146407
magical, treated: 0.071866942326
mature, strongest: 1.74719535242
reckless, undamaged: 0.262613605534
icy, unjust: 0.483741148789
motherfucker, tepid: 0.221256642947
good-iooking, kinda: 0.0
broader-based, striking: 0.0
sixteen, unqualified: 0.585325255556
dissimilar, pragmatic: 1.7170152365
complacent, pronounced: 0.687657349417
scattered, updated: 0.088839010823
previously, sizeable: 0.61847684338
apologise, heeded: 0.0
friendly, well-represented: 0.0
medium, overflowing: 0.033902989787
medium-sized, unproblematic: 0.0
evey, smarty: 2.07543290239
near, otherwise: 0.426574969749
desolate, weird: 2.13090114683
helpful, quieter: 1.48868786957
hunger, terrified: 0.696688184051
self-contained, surreal: 0.0
lacklustre, nearly: 0.0
opened, reai: 0.0
excessive, racked: 1.16626213459
cordial, freely: 0.87693911802
misleading, sedentary: 0.82827250358
delicate, ruthless: 1.43246924001
nut, orderly: -0.86917635984
paranoid, phenomenal: 0.149866504122
dramatic, truly: 0.752989694697
below, co-ordinated: 0.0
dead-on, simplifying: 0.0
enlightening, lonesome: 0.968188324157
iovely, shaking: 0.0
fanta, late: -0.199842729909
graver, unthinkable: 2.69083677836
co-chairperson, unspoiled: 0.0
fragile, off-putting: 0.0
nut, pervasive: 0.171917292208
gigantic, marvellous: 0.0
displacement, off-site: 0.0
irritable, self-conscious: 0.0
following, proceed: 0.881337011749
lead, transnational: 0.468009453114
automatic, extensible: 2.92447939949
cheapest, unhealthy: 0.983885695327
iike, supportive: 0.0
autonomous, closer: 0.632990658732
self-employed, undeniable: 0.0
multiple, reduced: 0.965462127352
appropriate, primary: 0.76973106658
miniscule, new: 0.079710660663
contrary, potent: 0.524976373368
compared, prolonged: 0.548479712654
desolate, unharmed: 2.59364829766
goofy, lucrative: 0.795533886784
automatic, sympathetic: 0.67743386937
few, thready: 0.412621562987
ideal, plausible: 2.22373133791
integrating, well-positioned: 0.0
set, stranger: 0.364392391992
conscientious, well-lit: 0.0
fruitful, unexceptable: 0.0
global, sultry: 0.526751566851
alia, then: -0.105391956454
fussy, processing: 0.848847778199
affluent, stout: 0.852495117489
concerned, deceased: 0.73076472406
superfluous, work: 0.392835715433
indiscriminate, legally: 1.1777433769
systematic, unaffected: 0.990521675706
comfy, utopian: 1.70597253011
furious, lacklustre: 0.0
lively, own: 0.536781122405
democratically, policy: 1.73465742924
impartial, representative: 1.98737140099
cosmetic, developed: 0.513111302728
focused, livid: 0.439692823064
grouchy, losin: 2.25512986524
deep-rooted, short-term: 0
good-natured, sour: 0.0
off-putting, spectacular: 0.0
gaunt, robust: 1.1505153641
forgiving, long-standing: 0.0
sustained, tougher: 0.511987595359
15-year-old, unavoidable: 0.0
self-governing, skilled: 0.0
cheesy, petite: 1.92477778945
grumpy, hey: 2.16078846026
jealous, secondary: -0.261291978885
hey, unoccupied: 0.181391813186
opening-up, sonny: 0.0
emerging, for: 0.381711021729
flexibly, preferential: 2.02804591639
competitive, drastic: 1.39933930305
cost-efficient, fierce: 0.0
completely, you: 1.11849637806
hope, treated: 0.306966867421
seriously, spectacular: 0.321606734265
delirious, less-favoured: 0.0
concise, perpetual: -0.116706800559
expanded, rogue: 0.399190017157
flammable, supported: 0.045516221885
oral, wacko: -0.936710914459
proud, statewide: 0.328705014091
outrageous, uneconomic: 2.7883115377
exaggerated, time-sensitive: 0.0
sacred, spent: -0.134359215758
flaccid, rock: 0.983279843217
enough, mixed: 0.6148444715
holistic, underage: 0.336800619837
imminent, secured: 1.05718348725
free-of-charge, negative: 0.0
unfathomable, well-represented: 0.0
extensive, unofficial: 0.92188836524
multifocal, opposed: 1.5024545134
tentative, thrilled: 0.921244102114
audience, top: -0.041568236126
bone-dry, monstrous: 0.0
leading, sovereign: -0.199616074735
interesting, under-inclusive: 0.0
disingenuous, sacrosanct: 2.79500978081
disagreeable, nigeria: 1.30912551011
clearly, pointless: 0.4506317781
embarrassing, inter-dependent: 0.0
central, micro: 1.1174377893
distraught, immature: 2.15213265641
fuzzy, passionate: 1.05332067935
explosive, hazardous: 3.24813419468
elaborate, happen: 1.31203121239
described, major: 0.128319938713
grown-up, housebroken: 0.0
satisfying, smartest: 1.08898894548
cautious, passionate: 2.64115330799
despicable, scary: 2.77461220248
disadvantaged, illicit: 0.784888907036
co-financing, humane: 0.0
formidable, pleasant: 1.6064603308
applicable, persistent: 0.169275450863
patience, restless: 2.45058202736
hostile, separate: 1.73210882177
uniform, widening: -0.437892739634
improper, stipulated: 1.36400926389
deceased, outrageous: 0.332154761793
rebatable, strongly: 0.0
collective, grumpy: 0.81955296015
boring, elementary: 0.584971208514
biased, imperceptible: -0.075049690339
generalised, shaun: 0.0
developed, differing: 0.900400641754
distasteful, unseen: 0.584086548825
pointless, them: 0.923993495456
corny, jeopardized: 0.845096157454
all-inclusive, guys: 0.0
cabbage, intelligent: -0.336766781918
divine, hey: 1.03838666731
constantly, formidable: 0.725730360513
motherfucker, say: 1.16765434249
simplest, wholly: 0.973491833739
sustained, tasty: 0.318941006007
