light, recognising: 0.0
dismissed, proficient: 0.456522794006
cracked, friendlier: 0.722428854345
impressed, ping-pong: 0.0
moody, wrong: 0.868039564799
really, sour: 0.801576816147
exhausting, retrievable: 0.526820095789
low-skilled, wreckable: 0
chickenshit, issue: 0.835648216716
efficacious, useable: 2.12660751783
enforceable, remaining: 0.727080324895
documented, someplace: 0.300503355686
silly, true: 1.47167371951
presentable, welcome: 1.35925470499
adamant, idle: 0.65437734214
conclusive, sized: 0.026652030042
celebrated, indispensable: 1.06205529389
unbalanced, white: 0.411607242865
abused, reported: 0.473593667487
horseshit, unable: 0.176070314913
awkward, interdependent: 1.73018721359
charged, equitable: 0.865643370409
appreciable, unfavourable: 0.0
absurd, snug: 0.695649206871
bad, under-funded: 0.0
longterm, meaner: 0.115845686242
enhancing, live: 0.372810047049
every, superstitious: 0.531799147857
reasoned, then: 0.915917115408
expressed, grievous: 0.51408336618
ephemeral, proportional: 0.863152678476
cautious, well-maintained: 0.0
self-executing, unemployed: 0.0
bad-ass, muchfor: 0
cinematography, policy: 0.632069174908
logical, unambiguous: 2.44110444342
leveraged, remediated: 2.52043507086
broke, inoperable: 1.17896862745
corrigendum, divided: 0.435086121402
apposite, elite: 0.58089311136
deadly, indian: 0.37532443752
two-thirds, well-managed: 0
begin, endangered: 0.242942699236
inconsiderable, questionable: 1.10134293972
insincere, near: -0.519060069346
added, suspected: 0.369139177865
shiny, smartest: 1.07888238208
legality, savage: 0.165901718799
kidding, something: 2.57327730406
minute, time: 1.61895738073
stoned, terminated: 0.813548351782
anticipated, tangible: 1.35530671562
infuriating, wide: 0.220841931749
benign, especiaily: 0.0
integrating, lengthy: 0.075991044148
craze, favorite: 2.15317170425
hurtful, preceding: 0.3882160006
also, by-election: 0.0
acute, self-aware: 0.0
microscopic, uninsured: 1.5588645417
dope, underdeveloped: 0.261786733331
deep-rooted, payable: 0.0
agreeable, though: 0.983203736127
gaunt, huge: 0.714303041589
amended, vast: -0.339994272664
2nd, scarcer: -0.112614143483
cloudy, unharmed: 1.52557462941
huge, unlocked: 0.508427817221
neglected, original: 0.625889850261
inadmissible, well-lit: 0.0
severely, stepped-up: 0.0
alive, lightweight: 0.096541882477
fuller, lacking: 1.4635366285
repeated, sweetheart: 0.184967064531
interest, simillar: 0.158988732035
non-compensatory, typical: 0.0
elaborate, humiliating: 1.01137844392
prohibited, recurrent: -0.120522618277
'sgoing, indicated: 0.0
export, traded: 1.73826141544
individual, kinda: 6.17553400006e-06
changing, screened: -0.287605855026
drunken, tenable: 0.157925356256
crucial, wiser: 0.912194885872
derisory, dull: 2.07113720524
dying, hostile: 0.826409449926
predictability, why: 0.746332444739
fucking, optimal: -0.136642504998
omnipresent, unfeasible: 1.41857961223
justified, retail: -0.158940208704
notified, purty: -0.67288425107
immense, unnerving: 1.22847675129
ambitious, maintained: -0.373867783761
high-ranking, interest: 0.0
bonnie, notified: -0.672910196379
far-reaching, subdued: 0.0
of, rebatable: 0
distraught, fully: 0.142141475119
inevitable, scalable: 0.295595545045
case, impoverished: 0.141000349075
adjacent, emphasise: 0.0
candid, vice-chairperson: 0.0
accustomed, articulated: 0.189601614068
2nd, wanted: 0.189476639242
frail, odd: 1.37736231234
adjacent, pleasant: 0.552648911689
issue, sized: -0.294147639906
self-conscious, unharmed: 0.0
real, relaxed: 0.5751705655
inherent, soothing: 0.380375078387
requests, striking: -0.774103513236
three, unjust: 0.128962996519
coming, lukewarm: 0.752574664478
gonna, justiciable: 0.678685385663
indicative, induced: 1.34487145718
liable, restored: 0.113672764928
black, secondary: 0.814787423303
else, regularly: 0.740468698492
black-hearted, famous: 0.0
cherry, precarious: 0.19709940055
female, in-progress: 0.0
logical, worthless: 1.54205215985
puzzling, spicy: 1.15549198646
almost, disturbing: 0.406923875369
co-financing, proportional: 0.0
commercial, enraged: 0.010932375103
alert, surer: 0.457959444092
democratically, unlocked: 0.257486235742
cruel, scant: 0.570209591645
small, sporadic: 1.72979799251
abysmal, flexible: -0.324988225495
enough, profane: 0.548127190065
long-term, multifaceted: 0.0
blameless, warm: 1.30262771783
hazardous, inspiring: 1.09262739993
arbitrary, spotless: 0.112595042676
ruthless, uneconomic: 1.14476353867
politically, stated: 0.344487071726
fair, later: -0.040237095008
batty, enormously: 0.61937435745
attainable, snug: 1.83715984589
meticulous, question: 0.226378973326
confrontational, stress-related: 0.0
dorky, instable: 0.76322245129
graduate, third: 0.596357552414
adjusted, even-handed: 0.0
crazy, mixed: 1.14912686922
holistic, lacklustre: 0.0
important, momentous: 2.95605176635
obscure, overt: 1.79945943231
industrialized, self-supporting: 0.0
graduate, simplifying: -0.436365910467
grimmer, unsound: 0.980324080576
masterful, strained: 0.554873058319
accepted, concerted: 0.02580169158
alert, challenged: 0.213014838368
approved, policy: 1.06879931775
far, nineteen: 0.991927423199
competitive, seropositive: -0.05553864573
sinful, stubborn: 1.8014059229
phat, well-timed: 0.0
arguable, missy: 0.343171549396
endangered, whole: 0.147455104289
obscene, youthful: 0.887223346262
considerable, disposal: 1.18123966042
constructive, endearing: 1.28560402294
geographic, legit: -0.005726471607
implacable, readable: 1.64782121857
doomed, folks: 0.350842419741
main, well-placed: 0.0
advertised, focussed: 0.890635024166
so, well-coordinated: 0.0
boundless, simple: 0.862721178831
corrupt, unequivocal: 0.623067112553
perverse, well-armed: 0.0
groovy, well-paid: 0.0
dishonest, non: 0.59411760099
heeded, white: -0.120636587911
either, inter-connected: 0.0
alia, sensible: -0.13538543944
ghastly, heavy: 0.974615832774
forgiving, in: 0.320176470558
also, repugnant: -0.158414091932
fullest, worth: 0.3007243204
life-long, prompt: 0.0
absurd, onerous: 2.79758697134
co-operate, unavailable: 0.0
safest, west: 1.49680547708
knowing, surrounded: 0.890051149075
afresh, deserved: 0.412633121509
discriminate, iike: 0.0
impatient, reprehensible: 0.808244177223
one-sided, undamaged: 0.0
okay, processing: 0.266424045374
conventional, extirpated: 0.52442092002
large-scale, together: 0.0
apolitical, om-mazing: 0.0
motherfucker, unclear: 0.02833706807
one-sided, top: 0.0
pathway, radiant: 0.88406888158
given, nut: 0.12329332724
concerted, cumbersome: 0.549063876099
cardinal, wary: 0.929625575656
denser, on-going: 0.0
inclusive, super: 0.895842795987
hence, pro-poor: 0.0
dependent, now: 0.744817754324
clear-cut, evident: 0.0
hinky, orderly: 1.00596443765
imrtant, international: 0.0
cordial, mideast: -0.017516645749
across-the-board, princess: 0.0
crazy, humble: 1.41757284464
obstinate, unwarranted: 1.51255741499
clueless, psycho: 2.55516199153
populous, suitable: 0.645266949616
mature, scandalous: 0.222386446398
weirder, young: 0.404273732834
n'tunderstand, volatile: 0.0
freest, her: -0.328518342206
abusive, bygones: 1.44941209066
preferential, technology-neutral: 0.0
relaxing, simplistic: 1.06307020661
functionally, holy: 0.495549769987
messy, resolute: 0.734328598334
direct, keen: 1.07166989593
several, soothing: 0.444079972997
heavier, reduction: 1.52918749288
affixed, repeated: 0.681406535627
beautifui, spotless: 0.0
associated, horrendous: 0.574176320678
likely, sharper: 1.3203350749
fearful, rotten: 0.975664655771
ill-equipped, parallel: 0.0
extinct, surrounded: 1.02635769118
first-class, unfriendly: 0.0
distasteful, mightier: 1.45453267521
becoming, puzzling: 0.055951111328
afflicted, fairer: -0.034605665874
damaged, snug: 0.857416159416
possibly, restored: 0.200725558441
accurate, heaviest: 0.928521685705
damaging, non-partisan: 0.0
destructive, sobering: 1.42125551992
mobile, shitty: 0.292113323964
enlarged, good-looking: 0.0
happier, selfevident: 0.0
conclusive, worrisome: 3.16545384625
calculated, newer: -0.432684193461
celebrated, higher: -0.122173854653
brilliant, iil: 0.0
mistaken, only: 0.640966858977
panicky, thrilled: 0.190720422624
by, good-natured: 0.0
enjoyable, grim: 1.06490612125
shortly, simillar: 0.214061890581
longitude, spectacular: 0.55216500432
firstly, new: 0.241833995411
dormant, self-contained: 0.0
fewer, intense: 0.785486444971
debate, dubious: 0.891060097855
economic, innovative: 0.565032651111
dissimilar, misguided: 1.32883686884
agreed-upon, clueless: 0.0
ecologically, youngest: -0.311821245264
jumpy, pitiful: 1.43700679762
neat, ungrounded: -0.353140356601
co-ordinated, concrete: 0.0
delirious, micro: 0.18904635165
humid, invalid: -0.083296503632
warmth, well-lit: 0.0
counterfeit, yeah: 0.155773026787
intact, run: 0.613930036823
inexpensive, rarely: 1.38373981508
co-ownership, dismissed: 0.0
dickish, egocentric: 3.00719778368
brillant, casual: 0.975912926016
-me, obliged: 0.0
riveting, shocked: 1.41589103771
inaccurate, last: 0.423131135023
advantageous, commenced: 0.654911946917
culpable, inflexible: 0.883380535089
improbable, thirds: 1.03974660987
objective, splendid: 0.289914986396
eccentric, sweetheart: 1.08451276759
co-chairperson, undisputable: 0.0
actual, freezing: 0.566566907867
interrelated, nuts: 0.767871849054
inconsequential, justiciable: 2.80361904726
prominent, subdued: 0.97973989605
geographically, sacrilegious: 1.3144689881
all-out, blameless: 0.0
extirpated, nominal: 0.798246139941
cleared, superstitious: 0.070301010223
conflicting, ill-treated: 0.0
doing, non-exclusive: 0.0
filed, multi-threaded: 0.0
cranky, here: 0.693730610354
spatially, unrelated: 1.01632765294
famous, harsh: 1.04573053681
stress-related, weary: 0.0
main, protected: 0.346176777876
fitting, grim: 1.58192150842
exponential, younger: 0.251091068298
enthusiastic, laborious: 1.02079292426
presentable, snarky: 1.80975231235
tom, unimportant: 0.641490245984
accomplished, granted: 1.59334748931
environmentally-friendly, unforgiving: 0.0
chilly, iilegal: 0.0
hurtful, self-serving: 0.0
non-self-executing, troubled: 0.0
iovely, smooth: 0.0
anticipated, legitimate: 0.241370551193
repulsive, tenable: 2.09426256216
bitter, stupider: 0.883323892478
dearer, prohibited: 0.758623114602
entitled, nineteen: 0.214811653613
environment, retrievable: 0.763153643769
de-insured, wacky: 0.0
classic, impermissible: 0.552157305626
comprehensive, wholly: 0.168443503429
defunct, overdue: 1.26527218394
disclosed, social: 0.241227770522
emblematic, relieved: 0.640164617275
delicate, essential: 1.63531543798
ashamed, hostile: 1.45462410052
generalised, well-represented: 0
negligeable, science-based: 0
afterwards, medium-sized: 0.0
obscure, unlucky: 1.37766592157
divergent, divided: 3.99620022327
linked, oldest: 0.547219094847
distributed, user-friendly: 0.0
humiliating, inappropriate: 3.02163087136
fluent, intractable: 0.753428284318
intriguing, obese: 1.1166524364
ambiguous, sophisticated: 1.63207360966
damp, premature: 0.806043674539
actionable, painful: 0.983034966685
compared, opportunity: 0.788854024056
pro, wack: 1.40943850007
cosmetic, medical: 2.68492633712
coordinated, super: 0.207390308136
claire, iegitimate: 0.0
cardinal, notorious: 0.870728423242
dopey, sober: 2.29742813956
two, unprepared: 0.2360077356
ecological, heeded: 0.394307627993
interdisciplinary, uncompetitive: 0.285860252696
longest, repugnant: 0.020625063548
informal, unpublished: 1.87018363809
preponderant, underway: -0.058153610746
so, trivial: 0.999413338462
abolitionist, pray: 0.776815165438
incapable, timid: 3.08557412986
life-long, medium: 0.0
arming, ecstatic: 0.26194889612
co-funded, reaching: 0.0
aggravated, illegal: 1.15778957186
abhorrent, stand-alone: 0.0
manageable, omnipresent: 1.30032612313
positively, transparency: 0.638825988033
faulty, suicidal: 1.22471121311
-me, northern: 0.0
praiseworthy, ultra-hazardous: 0.0
hurting, tiny: 0.488189095253
best, two: 0.384402855196
considerably, younger: 1.5757123597
completed, rebatable: 0.0
staggering, unnecessary: 1.30397539564
annoyed, interesting: 1.97473878543
declared, trashed: 1.54317326492
bereft, long-range: 0.0
iike, quickest: 0.0
carsick, dishonest: 1.39516975201
scandalous, thirteen: 0.396698884708
archaic, supplemental: -0.070101689547
culpable, fascinated: 0.304088997938
heights, rarely: 0.863763264303
disrespectful, distinctive: 0.707463201702
five, overweight: 0.443575242155
constrained, indisposed: 2.1824140388
bureaucratic, valued: 0.201109076433
accustomed, gutsy: 0.19158737259
radiant, tighter: 0.311252658196
biggest, insolent: 0.43124863204
depraved, fucked-up: 0.0
ill-equipped, smarty: 0.0
prudent, toasted: 0.020292783973
discreet, pushy: 3.09796607994
goodto, reckless: 0.0
comprehensive, profound: 1.17285158578
rich, unqualified: 0.572835191584
treble, uptown: 0.022739670354
bureaucratic, so-called: 0.0
served, well: 1.11314139413
direct, smartest: 0.62819918763
self-sustained, uncanny: 0.0
abolitionist, meticulous: 1.8856815818
etc, permanently: 0.384769017201
serious, taller: 0.180487497955
awful, discriminatory: 1.01775622473
disingenuous, high-cost: 0.0
handsome, harmonised: 0.0
labour-intensive, see-through: 0
sombre, stipulated: 0.49525595556
giddy, well-documented: 0.0
fatter, focussed: 1.42803233484
cost-effectively, need: 0.0
non-specific, withdrawn: 0.0
rife, wished: -0.435620751385
global, whole: 0.770356599821
effectiveness, lacking: 1.1442299545
attended, massive: -0.27192608451
question, well-written: 0.0
demeaning, distribution: -0.137756776326
admissible, infected: 1.54158487743
delayed, ill: 0.90166227976
chaotic, expeditious: 1.63729788984
anywhere, healthy: 0.965283291833
germane, novel: 1.06264581814
belated, laughable: 2.32138938537
scared, uh-huh: 0.0
of, volatile: 0.0
equitable, inefficient: 2.39728341703
disgraceful, liked: 0.980187175628
appropriate, embarrassing: 1.14163641448
exposed, unimportant: 1.0827176681
commercial, soaring: 0.658625023572
fair, up-to-date: 0.0
deserved, rock: 0.847809504325
others, quickly: 0.776671227769
distinguished, represented: 2.32763337676
peculiar, prick: 0.797315435411
mind-boggling, prat: 0.0
bizarre, inexhaustible: 1.00806918235
eager, positive: 1.46654907735
flaccid, moderately: 2.23129173874
grotesque, nouveau: 2.08325966187
designated, motherfucker: 0.24695355047
overwhelmed, prohibited: 0.224229752589
blessed, personalized: 1.27660924326
pre-established, prescribed: 0.0
applicable, thankyou: -0.29567811598
dotty, muchfor: 0.0
favourable, inspirational: 0.0
minor, positioned: -0.232296563209
distribution, reliable: 1.02448414051
insulted, off-the-record: 0.0
ill-equipped, impatient: 0.0
interwoven, retrievable: 2.47619391853
incredible, ripe: 1.64915136008
large, turbulent: 0.715368436518
distinct, prodigious: 0.860549217959
ambiguous, okey: 0.64314046526
gratuitous, unsatisfactory: 1.49746170752
majeure, observant: -0.325822505088
insincere, safer: 0.328597202635
history, irrational: 0.600329087743
quicker, unanimous: 0.54505624379
unfeasible, whassup: -0.011731105896
courteous, mid-: 0.0
dispute, wretched: -0.056224643167
direct, pressing: 0.467290162341
il, yo: 3.10407459612
readyto, trashed: -0.061946296771
envious, stress-related: 0.0
definitive, physically: 0.328379427386
stark, unchanged: 0.949229371881
blank, risky: 0.197143701282
critical, remarkable: 1.75084510656
outdated, someplace: 0.731344695966
absent-minded, justified: 0.0
opening-up, pluralistic: 0.0
guaranteed, heterogeneous: 0.056741217271
destitute, implacable: 1.59374761266
compact, some: -0.027875106419
combative, immaterial: 0.794632422423
additional, harsh: 0.191320272719
indisposed, overheated: 0.796342329388
co-financed, orderly: 0.0
dynamite, tenacious: 1.28381898355
intertwined, laborious: 1.56484574672
multicultural, worthy: 0.693556946965
broader, smart: 0.814973620088
multicultural, pretty: 0.350923061008
emblematic, near: 0.682752076531
firm, righteous: 0.349913814384
comprehend, folks: 0.607869191407
abolitionist, brittle: 0.252579162521
jumpy, predictable: 2.89670294502
acquainted, now: 0.441685234586
allowable, healthy: 0.647509046999
courteous, ecologically: 1.79509784832
by-election, them: 0.0
applicable, minus: 1.36807301293
conflicting, especiaily: 0.0
guaranteed, jump: 0.544432190832
internal, wrecked: 0.29457451189
remarried, untapped: 0.531757736791
considerable, several: 1.43443653054
fake, splendid: 0.274283429168
established, traded: 1.04230370328
harmless, inaudible: 1.09080727105
flexibly, working: 0.958164708544
deep, imperfect: 0.830930038566
clear, equal: 0.81658401125
certified, defunct: 1.07500166994
culturally, through: 0.059680369902
monitored, wrongful: 0.178542505752
proportional, substandard: -0.343811772704
fascinating, griet: 0.0
darling, foxy: 2.71492837287
interoperable, spooky: 0.322264042402
accessible, outdated: 1.74234218099
defensible, motivated: 1.92072982423
challenging, observed: 0.513252981806
unaffected, wholly: 1.95771174313
exquisite, over-optimistic: 0.0
helpless, warned: 0.694023999598
non-compliant, realisable: 0
scarcer, superior: 0.994637031634
encompassing, heartbroken: -0.266799543406
aggressive, invaluable: 1.01408096697
intense, strengthening: 0.911986286923
complements, skilled: 1.11147530035
considerable, sponsored: -0.009984767077
black, horrifying: 0.995380633354
overkill, polite: 1.43804902487
adapted, discriminate: 1.68012718125
challenging, effortless: 1.4502500647
distraught, run: 0.063505218241
changing, exorbitant: 0.835573681923
accepted, firmer: 0.654195470683
economically, traffic: 0.428730483239
obligatory, rising: 0.096721013507
starved, superb: 0.384015507827
commenced, multiple: 0.055622984058
batty, slimmer: 1.03250690492
related, warmest: -0.062193892672
busted, overall: -0.19288917075
done, for: 0.585172476262
bogus, environment: 0.059764071187
creepy, simplifying: 0.52908645576
greater, tolerated: 1.11252566094
clearly, indefensible: 0.993818441136
lastly, uncontroversial: 0.131966304689
slimmer, unaltered: 1.61550326551
immoral, screwed: 1.76511966663
crucial, ruined: 0.98017595177
challenging, nearby: -0.515463997559
directly, occupational: 0.067558310363
counterfeit, fortunate: 0.615887451179
stocky, well-respected: 0.0
1st, smarter: 0.617273687686
beneficial, fuzzy: 1.07391040279
him, win: 1.29329381426
pale, satisfied: 1.23977612307
evil, imminent: 1.39212053748
hereby, home: -0.468966366325
fruitless, sour: 2.03846926386
modest, provided: 0.42959330946
mental, panicky: 1.50555044026
fake, ineffective: 1.25402424659
flame-retardant, magical: 0.0
laughable, valuable: 1.16291639378
ashamed, comin: 1.21593044066
start, well-planned: 0.0
distinct, non-compliant: 0.0
afraid, need: 1.95700537257
perpetual, strengthening: 0.311317913792
overflowing, short-sighted: 0.0
authoritative, ten: 0.409241112481
deficient, franco: 0.530101679244
conventional, flawless: 1.26386281208
blank, positively: 0.482963480409
absolute, elaborated: 0.471412696472
finished, worried: 0.619887006311
insulted, stronger: 0.877987768511
fully, grateful: 1.23207770146
prettier, reconcilable: 1.48634005857
calming, smitten: 1.17993634271
customized, patronizing: -0.002181760704
rarest, snotty: 0.834206286755
day, mutual: 0.175606561002
discernable, fragile: 0.822312508353
disquieting, unhappy: 2.01249705458
evening, ugly: 0.477879565012
builshit, installed: 0.0
earliest, unfortunate: 0.634227591609
few, understanding: 0.145311063384
addition, paid: 0.340834821785
death-proof, instrumental: 0.0
noble, stylish: 1.50051225608
precarious, telling: 0.334480344331
certified, owned: 2.01420409602
antagonistic, vast: 0.12901546262
derisory, running: -0.251488728698
bolder, functionally: 0.374209645433
coherent, wrongful: 0.713501904545
cardinal, pale: 0.905783110898
found, heavy-handed: 0.0
deep, inadequate: 0.6328327399
material, powerful: 0.141795971063
enabled, insubstantial: 0.102374996248
narrow, specified: 0.913526188809
high-ranking, lackluster: 0.0
fuzzy, minute: 0.306503577919
principale, variable: 0.641771139188
conventional, welcomed: -0.366234119569
afraid, responsibility: 1.17489374626
madness, unanswered: -0.131216938269
fast-growing, thin-skinned: 0
indispensable, proportionate: 1.07354305229
quickly, vacant: 0.384081332065
cloudy, free-of-charge: 0.0
deep-rooted, satisfying: 0.0
meaner, self-employed: 0.0
bizarre, masterful: 2.14016749711
contemplated, inequitable: 1.04892089044
galore, losin: 1.70822413201
neurotic, pleasing: 1.49722755259
executed, hooked: 0.828782117349
unprejudiced, well-armed: 0.0
cracked, nearest: 0.639152306097
booming, serious: 0.395050743316
generalized, previously: 0.13076826339
disabled, frightening: 0.897426706728
complicated, debate: 0.983602739118
elegant, manifestly: 0.537506912953
required, wanted: 1.37833058965
discriminatory, unfathomable: 1.0828823778
far-ranging, incompatible: 0.0
mightier, overripe: 1.61448736119
find, horny: 1.15769930262
financed, pretty: 0.755326197922
abolitionist, conceivable: 0.075430408245
heaviest, married: 0.437963597046
named, outside: 0.253020526833
question, reinforcing: 0.322378083394
knowing, properly: 1.22096635343
alright, overheard: 1.91640088864
american, fairest: 0.559073575932
clean, mindful: 0.993129977799
fundamental, recurring: 1.47823107723
technological, wacko: 0.386293572662
ill, lunatic: 1.45336946577
everybody, legality: 0.787106273959
blurred, tom: -0.395263853691
above-mentioned, interesting: 0.0
categorical, wet: 0.00682976166
corrigendum, yeah: 0.093794878058
a-okay, flexibly: 0.0
heaviest, see-through: 0.0
planning, recognized: 0.252947458417
bizarre, undemocratic: 2.84073276765
all-out, smaller: 0.0
hourly, masterful: 0.209031972819
masterful, standing: 0.008233818734
gaunt, school: -0.100951804832
louder, nonsensical: 1.85307081918
profound, user-friendly: 0.0
'sgoing, believable: 0.0
here, misleading: 0.157526251866
implausible, wide-ranging: 0.0
heterosexual, unprofessional: 1.32774438018
trashed, unavoidable: 0.157900958949
non-transparent, stifling: 0.0
lighter, warned: -0.022996066516
differently, lasting: 0.331962118095
numerous, twelve: 1.37881232484
related, western: 0.603480015983
deadly, underfunded: 0.874382078862
singular, volatile: 0.4824154352
apparent, eleven: 0.236238987222
mentioned, remaining: -0.098849349784
disruptive, ghastly: 0.600592754885
self-executing, unanimous: 0.0
intolerable, talkative: -0.129156686117
international, worthy: 1.04058620117
dynamic, inconclusive: -0.081646133458
breadth, closest: 0.785906302142
narrow, nauseous: 0.134458342878
indigent, propitious: 0.200685789832
finally, idiot: 0.887918574684
government-owned, suicidal: 0.0
deadly, notorious: 2.11382946985
brave, ill-conceived: 0.0
gone, rapid: 0.158294593147
effectiveness, well-respected: 0.0
apparent, often: 0.696800514769
flourishing, ma: 0.853226771569
professionally, right-: 0.0
enormous, rigid: 0.609991454328
elderly, slick: 0.319063423321
losin, nearby: -0.527492269491
pitiful, presumptuous: 2.11886720332
flattered, naked: 1.9150075183
bizarre, empowered: -0.095848252568
constituted, leveraged: 0.761146614189
fundamental, puny: 0.164487643403
lonesome, opposed: 0.217894473929
find, focused: 0.483245715571
pushy, useful: 0.803016971139
infeasible, refundable: 2.31884138186
sonny, south: 0.152280611319
gotta, twice: 0.704509920246
anxious, locked: 1.54270743269
incomprehensible, scant: 1.2309508342
abhorrent, hope: 1.23435156747
loverly, novel: 0.676693137462
certainly, crazy: 1.5185434234
notably, year: 0.235759183639
together, vice-president: 0.0
frankenstein, praiseworthy: 0.443201595194
damaging, environment: 0.502126357686
folks, unequivocal: -0.276063008734
anymore, net: 0.178039558248
effortless, statewide: 0.226474792907
drier, whatever: 0.457022791981
assured, overheard: 0.854464765975
legendary, sparse: 0.261356851037
omnibus, selective: 0.403766263111
gone, intentionally: 0.091940539338
illicit, robust: 0.800880885296
badly, self-governed: 0.0
added, radiant: 0.622461827472
funny, generalized: 0.806633158763
apolitical, exhausted: 1.61512127653
apt, forthright: 1.771178911
broader-based, poor: 0.0
disappeared, essentially: 0.499287398117
multidimensional, u.s.: 0.0
enhanced, yourself: 0.428154757165
demand-driven, nauseous: 0.0
diminished, undamaged: 1.9239896781
acceded, unpredictable: 0.269560497269
blank, uniform: 1.4285571898
efficient, homesick: 0.339668781756
screwed, unsatisfactory: 1.46271666745
fatal, genuinely: -0.218558014681
corrupt, slower: 0.343436819214
free-standing, touching: 0.0
