economic, successful: 0.32790439873
self-sustainable, structured: 0.0
unchanged, violated: 1.34497767396
crude, notorious: 1.27174786454
complicated, deliberate: 1.43208623805
firm, kosher: 0.666862192061
derisory, gentle: 1.92136704597
frightened, unremarkable: 0.858577944449
gigantic, regretful: 0.211009500239
kind, victorious: -0.100512808525
awol, butthead: 1.19373309846
rehearse, uncertain: 0.689888993978
flashing, understandable: 0.59448033405
permissible, understood: 1.37148524449
representativeness, viable: 1.32106205234
concise, going: 0.710337247657
based, denser: 0.901738384929
guilty, large: -0.249910012116
imprecise, proscribed: 2.19581206083
good-iooking, loose: 0.0
wait, wrong: 1.29488803315
hot, outrageous: 0.848580930358
case, organised: 0.0
displeased, yourself: -0.656729196398
inexpensive, resolute: -0.145469577409
dependent, really: 0.118282313305
democratic, uneconomical: 0.306207091604
expandable, handsome: 0.884939787168
afraid, trivial: 1.03047436036
dummy, numerous: 0.623134229771
hooked, killed: 1.01256642596
deeper, liked: 1.0259726132
improvement, optimistic: 2.1944056221
before, slower: 0.874514613444
fine, warmest: 0.111248587081
appalling, flattered: 1.31679878335
finicky, ruined: 0.895534501099
scaleable, visible: 1.83392089898
earliest, recent: 1.02844113103
old-fashioned, world-wide: 0
salient, well-educated: 0.0
belligerent, surer: 1.87300848919
edible, expanding: 0.515422330836
apologise, iate: 0
corrupt, lackluster: 1.37917280361
frightened, momentous: 0.838763013751
mild, unidentified: 0.508142743678
consideration, secret: 0.296286321494
little, requested: 0.11906135863
awful, uncertain: 1.67939788197
bigger, spoilt: 0.0
far, nominal: 0.60160393964
allergic, crushed: 1.73967474916
iittle, one-sidedly: 0
astute, differing: 1.42536749553
differently, hiv: 0.227237277417
polished, standing: 0.229800232017
minus, well-designed: 0.0
accessed, fragile: 0.515063182325
regardless, third: 1.01297263058
anymore, unavoidable: 1.38932635964
matched, properly: -0.023916351523
eco-friendly, mutual: 0.0
fatal, systemic: 2.23794619658
traditional, unhappy: 0.651920694317
close, wish: 0.420135106047
celebrities, practicable: -0.262567974545
brighter, lengthy: 0.099460924225
designated, hysterical: -0.613055923571
distracted, ineligible: 1.24190218096
awol, concise: -0.020042486038
egregious, single: 0.829000684344
conscious, consideration: 0.839052786983
indebted, unsustainable: 3.08405185544
adopted, boy: 0.842426125105
happen, required: 0.68411895868
absurd, disadvantaged: 0.587828025489
muchfor, southeast: 0.0
relentless, remarkable: 2.06207734576
ideal, multifocal: 1.7380797202
that, tied: 0.112429600569
intense, that: 0.43440320786
hurtful, premier: 0.035277203458
collective, enjoyable: 0.148091521256
blunt, dainty: 1.47276955758
gender-neutral, positioned: 0.0
alike, informal: 0.49965576239
rotten, sorry: 2.30802528322
aggravating, unsavory: 2.15409095252
brutal, elle: 0.281892328417
adversarial, ominous: 1.42997374518
reversed, superficial: 0.404752677226
overjoyed, perverse: 1.36498778284
hopeful, uniform: 0.309678252554
launching, nasty: 0.171295559572
rising, tall: 0.795428900176
bolder, stimulating: 1.30590816236
environment-friendly, hard-pressed: 0
around, nutty: 0.70450656473
drenched, executed: 0.389485250075
bad, clearly: 1.03233438398
identify, modern: 0.255217277483
ageing, close: 0.0
righteous, teeny: 1.20665332835
small, smartest: 0.831595093384
attention, unfettered: 0.230258948229
ioaded, northern: 0.0
painless, quickest: 3.00709029062
impartial, ineligible: 1.72082242781
added, immediately: 0.851538649083
geographically, obliged: 0.471827275043
built, wide-ranging: 0.0
inefficient, less-favoured: 0.0
exhilarating, supplementary: -0.318947121288
gentle, judicious: 2.94785732308
accelerating, decisive: 1.17370391206
comfortable, insupportable: 1.26371417872
slim, stupid-looking: 0.0
erected, unseemly: 0.176852477845
available, undetectable: 1.57841000254
accuracy, poisonous: -0.569072717516
former, unprecedented: 0.422457231804
looking, ugly: 0.863359102436
agreement, sharper: 0.163629306749
balanced, that: 0.737811265748
others, unsound: 0.576016892727
conclusive, newborn: 0.985607475614
heaviest, need-to-know: 0.0
disagreeable, there: 0.3469404841
countless, untenable: 0.47506040937
compliant, enriching: 1.46238811101
ill-equipped, wrongful: 0.0
felt, unaltered: -0.396902440959
carsick, near: -0.094739064502
domestic, little: 0.290781096111
invaluable, lesser: 0.401492780617
hurting, state-of-the-art: 0.0
giant, presumptuous: 0.225814567379
continued, pro-poor: 0.0
compatible, cost-shared: 0.0
immediately, proficient: -0.095707023471
overworked, unjustifiable: 1.0142571746
identified, lackluster: -0.229421437011
brave, correct: 0.775133783621
freest, prevalent: 2.2702832654
burdensome, repeated: 0.799377601888
constructive, uniform: 0.75335433527
contained, superior: 0.127138519192
find, wanted: 0.974204527579
finite, generalised: 0.0
awaken, tom: 1.02353012516
aforementioned, long-term: 0.0
small-scale, unfriendly: 0.0
presently, recurrent: 0.594586556597
accurate, victorious: 0.168374807365
recognizes, synergistic: 1.47655764438
belated, lookin: 0.57414830671
consolidated, continuous: 1.15089045842
bad-ass, indian: 0.0
perplexing, truer: 1.95627002378
grass-roots, really: 0.0
continued, nigh: 0.397759916939
deplorable, docile: 1.9962532858
minute, rank: 0.795747186463
distinguishable, perilous: 1.2403940601
enduring, guilty: 0.258668156785
explosive, tangible: 0.917372601212
nigeria, outdated: -0.154353973843
net, subject: 0.292242357396
systemic, unjustified: 1.66361804618
classified, exhaustive: 1.13711243823
considerate, identify: 1.26605287542
friends, grown: 0.876970353224
pending, untenable: 0.864208603345
counterfeit, outnumbered: 0.424603973427
marketed, motherfucker: 0.663951478192
envious, vested: 1.71378567634
detailed, part: 0.664697391063
lamentable, morbid: 3.13880238358
bare, furthest: 1.12368380549
rank, scarcer: 0.277053467797
antiquated, pluralistic: 1.90981305382
disappeared, rarest: 1.21058739119
re-routed, sincerely: 0.0
almighty, disabled: -0.278890456926
depraved, intensive: 1.12717757146
mightier, unprejudiced: 1.68703840643
indispensible, unattainable: 2.55044029912
belle, crushed: 0.872905844408
reassuring, wrong: 1.33743962437
death-proof, lukewarm: 0.0
well-prepared, wreckable: 0
homosexual, preliminary: -0.043017035479
disoriented, non-toxic: 0.0
results-oriented, satisfied: 0.0
inhumane, with: -0.378061276871
tasty, unambiguous: 0.93538681526
19, self-serving: 0
dotty, scared: 1.41945979788
lame, sunnier: 0.817014893678
promptly, race: 0.056007847474
drenched, happiest: 1.65490570019
pronounced, worth: -0.422548401352
simple, well-organized: 0.0
come, released: 1.08306274315
announced, freest: -0.042908004375
negligeable, panicked: 0.0
gentle, pray: 2.12591625881
brief, serious: 1.28330375771
rock, scrumptious: 0.626052214125
combative, peaceful: 1.99536257828
cooperative, welcomed: 1.42643329238
flattered, frank: 2.66048697364
daily, sweetheart: -0.584812734338
honorable, of: 0.0
parallel, thankful: -0.999592260417
non-binding, school: 0.0
eager, overjoyed: 3.69912024427
impractical, thinner: 1.40973283693
contemporary, huge: 0.046638893069
circumneutral, usable: 0.0
divided, richer: 1.28335310192
seminal, toxic: 0.772617328647
in-depth, overt: 0.0
filed, pitiable: 0.226393463136
admirable, general: 0.100615082257
eccentric, tense: 1.61344539646
immovable, sacred: 2.33157951799
grim, however: 1.24549677558
merely, rough: 0.200355699518
further, term: 0.715087136271
rarest, spaced: 0.536056812683
interested, warmest: 1.20617460859
profane, speedier: 0.557602010542
expedient, graver: 1.40777491946
dope, met: 0.586996375619
ill-treated, recent: 0.0
five, strongest: 0.73135421223
tolerable, transparency: 0.886601960281
delayed, frozen: 2.25254206313
anxious, unseemly: 1.54848554356
late, rogue: 0.346504023374
allergic, purty: 1.54497709771
identify, together: 0.846367468336
fitting, heated: 1.23957697655
equivalent, northeastern: 0.315687050098
hideous, special: 0.860096923353
concrete, trashy: 1.17703192093
agreement, impaired: -0.068844061112
19, bad-ass: 0
generalised, mission-critical: 0
fluent, unfriendly: 1.33525753301
equivalent, outnumbered: 1.14293591864
defined, naughty: 0.331225124674
elected, troubled: 0.226727279748
customary, luke: 0.25043684121
great, preferable: 1.08945615351
affordable, parched: 0.699788452109
favourable, inexcusable: 0.0
motivation, negligible: 0.023440162231
anyway, arguable: 1.60132740594
frigid, proactive: 0.007111837907
flush, tabled: 0.317255722307
extreme, raison: 0.456362162544
annoyed, stoned: 3.10520700288
fun, non: 0.598190726465
double, prompt: 0.424041107693
closer, unpublished: -0.059353759321
courrier, hearty: 0.728863540749
cost-effective, odd: 0.0
elaborated, skeletal: 0.350754513863
fast, stepped-up: 0.0
respected, sole: 1.20365473971
impermissible, unanswered: 1.20763601046
ignorant, ping-pong: 0.0
cruel, lengthy: 1.54912899377
ingrained, luckier: 1.44031658721
historical, unendurable: 0.897136704703
forgiving, prat: 1.57176891519
restless, sell: 0.117859440877
america, hostile: 0.123292455406
awaited, scarcer: 1.3471621303
natural, self-conscious: 0.0
cool, married: 0.424334719191
opportune, racked: -0.145698631721
cinematography, well-targeted: 0.0
absent, blank: 1.55668062162
nice, north: 0.49148235894
hideous, lucid: 1.26377275078
confidentiality, mainly: 0.261416031954
awful, based: 0.164953270651
co-operate, complex: 0.0
illegal, puny: 1.03885720106
distressed, whilst: 0.358047341814
braver, organized: 0.585639894004
ghastly, turned: 0.76038105008
action-oriented, returned: 0.0
fitting, worthwhile: 1.9763852873
illusory, try: 0.518868377883
co-, wierd: 0.0
blurred, conventional: 1.29190002979
rigorous, simplistic: 1.78582719698
require, sale: -0.00314333628
diseased, yes: 0.486055490496
labour-intensive, lighter: 0.0
coming, tailored: 0.226396500225
deliberate, favourable: 0.0
encompassing, incapable: 0.292068044124
acceptable, unclear: 1.93802761113
well-tolerated, well-treated: 0
complacent, sedentary: 2.86073000506
overflowing, symmetrical: 0.712971634387
finer, rude: 0.943986033488
accessible, ago: -0.056273931066
imrtant, tempting: 0.0
cost-effectiveness, finicky: 0.0
intact, unreal: 0.724135861605
imperfect, mostly: 0.902016999311
eerie, strange: 4.35067669011
15-year-old, personal: 0.0
spotless, yesterday: -0.031352866846
luck, spicy: 1.61409131568
handsome, terrifying: 1.00293747262
all, regretful: 0.521761506312
unwell, user-friendly: 0.0
outdated, pristine: 0.788011991199
seropositive, sorry: 0.231144933205
multi-layered, weirder: 0.0
free-of-charge, launching: 0.0
ageing, two-: 0
consequential, doable: 1.07793549844
extra, out-dated: 0.0
education, paranoid: -0.049386468679
achievable, resolute: 1.85614821112
successfully, unpopular: 0.626131656867
grumpy, recurrent: 0.494142002709
implementable, intermediate: 0.891606824813
earliest, updated: 1.38843576315
excitable, unoccupied: 0.760582251166
ambitious, herein: 0.190434751776
aforesaid, homesick: -0.505143965778
automatic, awesome: 1.29659202554
considerably, harmful: 0.596326928894
embarrassing, shipshape: 1.4792972932
anomalous, loaded: 0.69520524395
chilly, ethical: -0.055641057614
moronic, surrounded: 0.074065974817
malicious, queer: 0.845379457221
definitive, pretentious: 1.17329141866
hurting, seen: 0.952067755793
cozy, rad: 1.32901004502
lengthy, perverse: 0.997368079788
sovereign, there: 0.751903907229
cool, oral: -1.08696170431
but, partial: 0.458483455259
immediate, serious: 2.02350892011
forthright, inefficient: 1.19383792762
flattering, romantic: 2.71992693492
potent, sleeping: -0.007475381195
greedy, intractable: 1.24781353962
egregious, prevailing: 0.671130086927
fixated, intimidating: 1.00452351431
frank, interim: 0.471296731668
preposterous, smallest: 0.397869382048
gandalf, grown: 0.0
favorite, immediately: 0.20057884708
cardinal, emaciated: 0.983032923668
heterosexual, yummy: 1.35410796104
fifteen, sing: 0.431994105309
copacetic, indisposed: 0.935224384193
considerably, experienced: 0.731479391568
flat, notorious: -0.192298265051
non-binding, tabled: 0.0
conclusive, expressed: 0.389916668182
mainly, palpable: 0.761737779302
motivation, roll: -0.412169311628
definitive, sober: 1.23501659896
america, primary: 0.267351045326
blessed, gentle: 2.18352761121
colossal, fluent: -0.147353536977
chilly, rank: 0.24217998729
riveting, undisputable: 1.45688011675
explicit, hiv-positive: 0.0
move, standing: 0.754898634223
asking, rampant: -0.153557337833
tan, widespread: 0.200027065659
iittle, impossible: 0.0
carefully, confidentiality: 1.92734831536
simplified, stupid: 0.896783830082
defenseless, differing: 0.052801833953
export, genius: 0.317153254159
cordial, ready: 1.38052431176
facilitated, motivation: 0.569902544071
dynamite, uneasy: 1.16371048034
curious, necessary: 0.507846173959
impulsive, propitious: 2.24533438678
overwrought, well-coordinated: 0.0
secretive, trite: 0.88940761365
blurred, violated: 1.81463449268
doomed, thorny: 0.999270663913
comprehensively, overjoyed: 0.025495032085
considerably, constituted: -0.11392627885
financed, short-term: 0.0
generous, mindful: 1.76545335924
friends, special: 0.445113395407
disappointing, intense: 1.54865542567
cozy, winning: 0.645214989517
ageing, unconditional: 0.0
bro, foremost: -0.375704244432
all-encompassing, economic: 0.0
abrasive, bleak: 1.09203332751
alternative, re-routed: 0.0
fun, lucrative: 0.712935444259
immature, small: 1.24813036508
costly, noteworthy: 0.977700687327
ensuring, inaudible: 0.128245213601
seriously, successfully: 0.893552438677
lastly, unlikely: 0.038769793593
-good, ripe: 0.0
apart, late: 0.436691143888
sal, unfriendly: -0.780680932235
duty-bound, extirpated: 0.0
intelligent, right-handed: 0.0
doin, impoverished: 0.302907835833
being, longstanding: 0.193227075302
compensable, defensible: 2.90522184584
adversarial, lucrative: 0.96631229634
unconventional, use: 1.00266406858
abysmal, environment: 0.692952449023
somewhere, unproductive: 0.717350723349
classic, tasty: 2.17648738532
exposed, fifty: 0.531063683603
bro, moody: 2.00058013137
intriguing, sacrosanct: 1.48863978583
friends, long: 0.581456523188
clearest, someday: 0.869248308985
dependable, fair-minded: 0.0
truthful, worst: 1.19505274048
hot, substantial: -0.007171602447
agile, honored: 0.789388538035
stuffed, turbulent: -0.043919223749
adamant, disjunct: -0.117021025525
pure, ridonc: 0.0
middle, strongest: 1.10043834769
concrete, expressly: 0.510597933715
shitless, specified: -0.299811337558
fearless, impractical: 0.826060475767
generalized, oldest: -0.61612764651
overwrought, visibility: 0.017877521491
double, friends: 0.00942229105
l, reciprocal: 0.263887683511
contaminated, imrtant: 0.0
well-formed, well-written: 0
divine, expanding: 0.441001915097
mieux, visual: 1.01236880086
registered, shortly: 0.44637545851
ill-treated, psychological: 0.0
cooler, unprepared: 0.245451273909
neat, strengthening: 0.256054234618
main, operated: 0.480436147982
fourth, non-specific: 0.0
disappointing, feeble: 2.69274849948
delineated, groundless: 0.239057632761
familiar, rewarding: 1.42857099295
fantastic, uniformed: 0.021756843081
impenetrable, worried: -0.006347356974
derisory, well-respected: 0.0
durable, rehearse: -1.00073942864
everyone, necessarily: 1.72131596506
germane, something: 1.04977388049
negligible, shit: 0.869990001155
outermost, sincere: 0.268490621399
acknowledging, identical: 0.208607647798
conflicting, undignified: 0.851862155582
autonomous, vegas: 0.718057514545
unlikely, uppermost: 0.980912068311
gorgeous, prodigious: 2.15984530739
best-known, hilarious: 0.0
fraudulent, pervasive: 1.26654766159
angry, incongruous: 1.38943496471
gravest, legitimate: 1.9242953353
best-known, sloppy: 0.0
baseless, phony: 3.35726535817
dying, unharmed: 1.75109967527
alive, northern: 0.152005511587
acquainted, ju: 0.205023975631
fruitless, patient: 0.397446554937
remaining, thorough: 0.070302779202
handicapped, inviolable: 1.45339167135
positive, well: 0.834974133211
advantaged, non: 0.596861060903
generated, trained: 0.221798982977
distinct, inspiring: 0.751875905138
david, silly: 1.55694791642
briiliant, unjustified: 0.0
crowded, humid: 3.70896282793
faithful, lucrative: 0.538730390442
knowledgeable, prudent: 2.19814432248
bygones, twenty: -0.467616147578
organised, ungrounded: 0.0
forthright, multi-threaded: 0.0
life-threatening, unhealthy: 0.0
mum, orderly: 0.103231094887
scandalous, worst: 1.83150823517
outgoing, well-trained: 0.0
adequate, democratic: 1.0274772737
currently, laudable: -0.095616230828
conscientious, homosexual: 2.07900239737
enraged, geek: 0.35293073074
frightening, gullible: 1.7512254692
finest, ill-founded: 0.0
imperceptible, medium-sized: 0.0
naturally, subsidized: 0.544418377706
demanding, yes: 0.583131956541
multicultural, psychotic: 0.891454069564
misguided, pleasing: 0.63324934858
cher, out-dated: 0.0
infected, recognised: 0.0
10, huh: 0.0
folks, her: 0.186886695665
craze, drenched: 1.43760420116
faithful, sal: 0.170146351929
far, imperative: 0.328869509535
elongated, secure: -0.009701193816
characteristic, funky: 1.499041183
deplorable, largely: 0.628331312735
mainstream, testy: -0.266935237158
drunken, sacred: 1.19858123786
running, way: 0.718184123316
trashed, unquestionable: 1.08383844495
darkest, invalid: -0.045443118268
astonishing, liberal: 0.431422303237
counter, tepid: 0.981914221917
profitability, someplace: 0.187761375435
astounded, far-reaching: 0.0
abundant, smitten: 1.47386446126
only, pushy: 0.350953547429
about, indecent: 0.470303121827
eerie, unsuitable: 0.768688735038
frazzled, installed: -0.171741091682
bereft, overheard: -0.025412048078
judicious, repulsive: 0.849763981061
closest, unreal: 1.39842483372
insulted, them: 0.743425904382
cost-shared, granted: 0.0
ancient, sublime: 1.93548891769
cheaper, rehearse: 0.378036641602
estimated, vice-president: 0.0
direct, tardy: 0.378880528459
brief, quickest: 0.5500543797
pro, well-received: 0.0
inadmissible, light: 0.912346006562
-me, distant: 0.0
open-ended, tenable: 0.0
impartial, pray: 1.29284353315
discriminate, verify: 2.7675424246
notorious, organic: -0.925588302752
false, talented: -0.454588598992
mobile, self-financing: 0.0
business-friendly, unethical: 0.0
mid-, welcome: 0.0
convinced, ioyal: 0.0
basically, verify: 0.739290023741
regular, snarky: 1.00152437491
brain-dead, friendly: 0.0
delicate, doubled: -0.459754954913
inferior, intermediate: 1.48601418636
thanan, vast: 0.0
hurtin, sicker: 2.5904219759
injurious, well-organised: 0.0
choosy, desired: 2.38670314002
fortunate, terrified: 1.49068479874
broader-based, precious: 0.0
identified, strictest: 0.19700161735
moron, self-contained: 0.0
cost-effectively, strictest: 0.0
adaptable, dismal: -0.081348300173
farther, immense: 0.292541272891
statutory, well-positioned: 0.0
away, too: 1.26139071651
distressing, try: 0.462542750107
brief, than: -0.025003413316
bottled, economical: 0.654269320765
aligned, multicultural: 1.45536822008
stagnant, topic: 1.46013638221
armored, swifter: 0.795163693524
propitious, terrifying: 1.14799732344
inoperable, splendid: -0.265320802585
appointed, consistent: 0.490966029783
eerie, populated: 1.57986964527
attainable, guaranteed: 2.93507261696
derisory, north: 0.121762153166
definitive, revealing: 1.30015337951
between, magnificent: 0.185834352119
dishonest, gotta: 1.50848398701
good-natured, something: 0.0
-so, glowing: 0.0
him, reaching: 0.554634445775
submitted, youthful: -0.145925495315
impressive, transitional: 0.272692398536
hollow, strengthening: 0.743402761844
actionable, defined: 2.17798753124
centralized, motherfucker: -0.19501302402
gay, particular: 0.899603503647
emotive, panicky: 1.09665475929
determinable, pro-active: 0.0
right, treatable: 0.481755901857
faulty, theoretical: 1.21893578786
profitable, raison: 0.982183419581
approved, thereto: 1.51538551939
fun-loving, heterosexual: 0.0
results-oriented, weirder: 0.0
crystal-clear, prat: 0.0
life-threatening, medium: 0.0
encouraging, prohibitive: 0.835524059221
just, synergistic: -0.032319225326
annoyed, outgoing: 1.1050776135
periodic, realist: 0.018091502291
anomalous, intelligent: 0.712466442381
high-cost, populated: 0.0
second, terminated: 0.107683519898
handsome, unachievable: 0.347594297432
contradictory, liable: 1.53555461486
-so, intensive: 0.0
bare, dotty: 1.04283369719
stay, stringent: 0.210976463968
affixed, populous: -0.061209141381
icy, impermissible: 0.572949371182
sore, surer: 0.818650457655
-, american: 0.0
deposited, johnny: -0.063721118096
agreeable, simply: 0.896174333487
fast-growing, recommended: 0.0
confident, effectiveness: 0.825414307642
advised, beastly: -0.274981222193
competent, multi-faceted: 0.0
knackered, valuable: -0.004819476884
forever, plausible: 0.166164292179
hurt, something: 1.14517773105
better-educated, marine: 0.0
decisive, trivial: 0.281310991569
kinky, nothingg: 0.0
ioyal, unabated: 0.0
sore, wetter: 2.14302087399
genuine, salutary: 2.37623243717
elaborate, marty: -0.283239184659
mid-, populous: 0.0
complete, envious: -0.076694610164
tight, unsure: 1.51132014675
heated, respect: 0.414305108554
inestimable, ironic: 1.32731529586
aware, ggood: 0.0
bastard, radical: 0.942832761905
properly, stupide: 0.0
comfy, humiliated: 0.941525515047
proficient, smokin: 0.783403745655
binding, pluralistic: 1.32493190558
socio-economically, thin-skinned: 0
enjoyable, note: 0.923959655128
medical, wide: 0.444332936269
remaining, tied: 1.995384018
re-appointed, re-established: 0
clever, unattractive: 1.81135278773
named, somewhere: 0.53358695387
intact, unreliable: 0.532215147202
nigh, under-inclusive: 0.0
disciplined, pivotal: 0.445112085196
durable, exact: -0.051999085268
categorical, unspeakable: 0.700355120073
secure, worried: 0.675918817752
in-depth, roll: 0.0
catastrophic, entitled: 0.699771042969
juicy, magic: 1.26491352608
increased, productive: 0.811002889589
flexible, warmest: 1.03921663908
simplified, unfair: 1.83226369394
motivated, slight: 0.301264949107
crude, youth: 0.686287699949
deserted, murderous: 1.51925172399
disconcerting, thin-skinned: 0.0
disposal, due: 0.636090558511
inevitable, microscopic: 0.868835923983
emerged, exhaustive: 0.495574148733
similar, threaded: 0.7901927603
newsworthy, re-routed: 0.0
exemplary, unendurable: 1.4779191938
credible, enjoyable: 1.47665740606
nouveau, secured: -0.472458099738
likable, note: 0.563692500432
full, reported: 0.477588486514
serious, typically: 0.4401572718
lovely, well-received: 0.0
longterm, unidentified: 0.006538764996
earlier, south-east: 0.0
self-aware, slower: 0.0
groundless, lofty: 1.84626756456
former, puny: -0.024982237575
pristine, unknown: 1.4809206717
clara, created: 0.100918601934
hiv-positive, unremarkable: 0.0
accomplished, disastrous: 1.00502972419
extra, in-house: 0.0
quality, unbearable: 0.532786951966
generalized, proscribed: 1.59995493245
seamless, sufficient: 0.580870846159
healthier, reckless: 1.04429851003
blunt, contained: 1.23682515821
excitable, open-ended: 0.0
correctly, horny: 0.54584465796
fiine, immediately: 0.0
criminal, enforceable: 1.44416984883
cruellest, do: 0.494002818878
geographically, heaviest: 0.939311163915
circumspect, onerous: 1.86633102425
dubious, messy: 1.76055196921
lifelong, resident: 1.99194765241
multi-threaded, tougher: 0.0
perpetual, pitiable: 2.73423251577
closed, targeted: 0.975547836879
freedom, lean: 0.16956597126
equipped, level: 0.515881996269
active, invested: 2.04523318364
neighbours, simplest: 0.0
frazzled, violated: 0.272826298417
absurd, various: 1.04393947006
hey, stable: 0.284915781984
lenient, yes: 0.673476527499
galore, shot: -0.057342742875
informal, shaky: 0.849906982614
normally, triple: 0.493967937805
copacetic, unequivocal: 1.02538571126
determinant, interwoven: 2.46088496068
sealed, spectacular: 0.887259470528
groovy, moister: 1.71602798174
ideal, inexcusable: 1.32355008953
alternate, sleepy: 0.019593051522
deep-rooted, weighted: 0.0
merry, naughty: 3.34786549185
constructed, exactly: 0.629405668672
bad-ass, dual: 0.0
henry, urgent: -0.690847858472
nosy, righteousness: 1.97136435682
dense, reaily: 0.0
moreover, well-managed: 0.0
essential, staff: 0.664478978634
going, quick: 1.33735311918
joyful, readyto: 0.460272386131
also, wonderfui: 0.0
announced, terrific: 0.62925336499
house-trained, troubled: 0.0
different, taken: 1.10747833074
critical, simplifying: 1.42150507413
undisputed, well-paid: 0.0
cheesy, co-operation: 0.0
centralized, fbl: 0.0
complacent, problem: 1.99580163793
published, rubbish: 0.825631075601
mightier, woken: 1.11939483372
iilegal, well-maintained: 0
lenient, sharp: 0.774465647365
fucking, supra: 0.185116855709
distracted, urgently: 0.540041736903
asian, excellent: 0.705851870099
harder, pronounced: 0.599758689935
co-, dead-on: 0
inhumane, poorer: 1.26513068645
identical, such: 0.561334637763
classy, informal: 0.587124967061
exceptionally, overjoyed: 0.437627875032
ignored, only: 0.718644034823
comin, korea: 2.83057663358
solid, strange: 0.865594215394
cultural, well-filled: 0.0
late, stricter: 0.653105443214
newer, tenacious: 0.137097320626
ionely, last-minute: 0
enduring, liked: 0.161948490043
additional, reasonably: 0.62101464407
medium, unexpected: -0.065629264688
overpriced, pitch-black: 0.0
pro-poor, youngest: 0.0
equal, representative: 0.416431688475
reimbursable, that: 0.500266985467
locked, protracted: 1.88199433568
cruellest, stand-alone: 0.0
allergic, illustrative: 0.079161668882
deepest, foolproof: 0.09002629601
pleased, poverty-stricken: 0.0
adverse, promptly: 0.836680481632
obligatory, uneasy: 0.879381050941
asshole, wild: 0.643891603798
sentient, thereto: 2.97988670223
durable, prolonged: 1.70623139407
earlier, questionable: 0.366530833682
counter-productive, treasured: 0.0
current, slightly: 0.615270116454
chubby, tedious: 1.41327190132
basically, enthusiastic: 0.062487186009
commitment, constituted: 0.211065841488
hiv-positive, middle: 0.0
newsworthy, unitary: 0.692303490265
end-to-end, wreckable: 0
bad-ass, self-governing: 0
dishonest, tolerated: 1.98254751217
exhaustive, questionable: 1.27805961486
old, sophisticated: 0.171202303577
imperfect, installed: 0.542372710311
combative, cost-shared: 0.0
egocentric, morbid: 2.58082918389
current, performed: 0.090702434002
coming, skinny: 0.719848371484
discriminate, manifestly: 2.40516878263
cleared, overdue: 1.22306057405
agreed-upon, non-specific: 0
distribution, kind: 0.53607639552
kind, visible: 0.300799849647
corrupt, freely: 1.63866859665
audience, two: -0.087421795837
overloaded, tangible: 0.129739431212
exorbitant, explicit: 0.911407598073
hopeless, prime: 0.998473137092
someplace, verify: 0.836752460022
classic, consulted: -0.61985602066
legal, sentimental: 0.124294379787
sized, somewhat: 0.893256392358
efficacious, ungrounded: 1.47696628809
fake, non-transparent: 0.0
miserable, unexpected: 1.43975395108
bolder, complete: 0.211888021959
improving, low-skilled: 0.0
1st, unlucky: 1.05621723821
pluralistic, undamaged: 1.32232980928
clear-cut, serene: 0.0
visible, worth: 0.469998132259
especially, represented: 0.67822788034
adulthood, foolish: 1.17211316838
bad-looking, false: 0.0
apologise, west: 0.0
abolitionist, anxious: 0.998863850221
annoying, increased: 0.140429124981
likable, off-putting: 0.0
developing, fantastic: 0.741977907267
korea, vegas: 3.81191574286
isolated, subsidized: 1.00834801838
petrified, suited: 0.753598384207
spaced, standardized: 1.94077166996
leaner, urgently: 0.879280473748
nervous, resolute: 1.85064112127
organic, steep: 0.581807773851
dim, working: 0.591591052084
greater, honourable: 0.0
happy, prodigious: 0.532324022361
predominant, repeating: 0.855354175665
unbecoming, usable: -0.03078727219
topical, well-founded: 0.0
bureaucratic, closer: 0.263944721634
conflicting, heartbroken: 1.59224218204
unnecessary, wider: 0.371096568678
clearer, equitable: 2.30095714906
disruptive, oral: 0.600414869311
confident, stiff: 1.60569481047
loaded, sentient: 1.26176233399
bulletproof, counterproductive: 0.980909164641
pursuant, well-behaved: 0.0
many, newsworthy: 0.729159083492
aware, wished: 1.3481253233
ashamed, first: 0.432130373094
ourselves, suitable: 1.1785897338
pervasive, unqualified: 1.06521735792
fairly, quicker: 1.2618196195
major, momentary: 1.46821361368
profitability, winning: 1.18359281787
awful, weary: 1.80628589842
early, talkative: 0.615236054034
grotesque, splendid: 1.98365551669
end-to-end, great: 0.0
debatable, widely: 1.63545545191
settled, user-friendly: 0.0
fools, lower: -0.008740087215
burned, perpendicular: 0.960351426097
live, pervasive: 0.806945078669
issued, unwarranted: 1.13181465705
unseemly, well-done: 0.0
bad, legally: 0.639855494444
preposterous, tall: 1.36473147278
flammable, stand-alone: 0.0
actually, stated: 0.518250395001
able, zesty: 0.168650796639
intelligible, spectacular: 0.097542753057
doubtful, vested: 0.641016588539
inspirational, well-defined: 0.0
attention, granted: 0.147714918941
aggravated, clerical: 0.432453841506
crummy, liable: 0.753031314372
emerged, gifted: 0.87378820899
clara, frazzled: 0.275211864524
agreement, open-minded: 0.0
environmental, mandatory: 0.602765175786
available, finicky: 0.683356087112
tepid, you: 0.416362312429
outrageous, skilled: 0.505786275213
!, focussed: 0.0
anomalous, requested: 0.546472301854
faint, modern: 0.378352245756
considerate, deserted: 0.789268282483
decent, school: 0.293934674093
incomprehensible, opening-up: 0.0
nationwide, self-governing: 0.0
fifth, pristine: 0.143922230551
