created, precious: 0.423683984603
breadth, specific: 1.77325290016
clarified, il: 0.511182116087
heterogeneous, impermissible: 0.395603442729
persistent, woken: 1.04254192069
breathtaking, everybody: 0.506979523038
asinine, written: 1.4481079582
bothersome, opposite: 1.04686666395
helpless, proprietary: -0.225150731778
critical, enormously: 1.10219442271
executory, il: 1.42084380018
aforesaid, sad: 0.579303480387
comforting, to: 0.0
application, secondly: 0.516179959228
respectful, wounded: 1.78486470886
droll, unlikely: 0.83453098113
apologise, conspicuous: 0.0
dark, strange: 2.25975862393
clearly, fiercer: 0.734439766461
first-class, softer: 0.0
small-scale, smarty: 0.0
aforesaid, dickish: 0.48608803874
enlightening, missing: 0.377450127975
again, come: 1.31129186156
delicate, precise: 3.15759155639
outdated, promising: 0.578940896145
pervasive, wise: 0.492354243104
constituted, prohibitive: 0.248700796223
stimulating, superior: 0.933578141416
mechanical, troublesome: 1.29451564785
bothersome, sane: 1.37918963977
fairer, through: 0.584319714451
stifling, unstable: 1.25001709604
insensitive, stout: 0.429963316663
liberal, out: 0.535323069678
best, encouraging: 0.732344395714
awesome, welcomed: 1.02689521579
psychogenic, unreal: 1.60423069371
carmela, indian: 0.0
peculiar, recognising: 0.0
costeffective, harder: 1.15205358369
explicit, wonderful: 0.351431249541
slick, yo: 0.744799263792
primary, value: 0.588901698169
of, past: 0.0
anti-constitutional, legit: 0.0
marvelous, negative: 0.50767940249
marvelous, unconscionable: 1.7438787987
everybody, superficial: 0.448778631807
sweet, worded: 1.2092887639
try, unavoidable: 0.646037915974
long-winded, meaner: 0.0
ice-cold, stagnant: 0.0
overridden, trivial: 1.43861790278
advantageous, over: -0.150705567739
'sgoing, risky: 0.0
briiliant, steady: 0.0
derisory, disgraceful: 5.38666380915
cruellest, opposed: -0.130239073076
hlv-positive, mean: 0.0
increasingly, n'tunderstand: 0.0
cheapest, problem: 1.56787941972
briiliant, proven: 0.0
responsibility, unremarkable: -0.067558892268
better-iooking, quick: 0.0
eligible, often: 0.122935018315
broke, well-received: 0.0
blind, holistic: 0.31800799886
legality, snug: 0.421414586322
concise, previously: 0.026211090082
hurry, interest: 0.830028729502
steady, therefore: 0.080294947441
frankenstein, unprejudiced: 1.05707582511
elusive, fun-loving: 0.0
defunct, shallow: -0.288529862185
questionable, soaring: 1.12103986207
down, saved: 1.20631095611
hurting, impolite: 1.46752733285
smarty, through: 0.047609867863
so-called, violated: 0.0
inappropriate, work: 0.237915301308
cherry, tacky: 1.34599495698
meaner, righteousness: 1.62586176548
loose, rife: 0.92026635041
envious, lightweight: 0.843319724109
exciting, pitiful: 0.275095917339
qualified, sweet: 0.677305480617
genuine, presently: 0.754945281261
insulting, standing: 0.613531924358
often, well-written: 0.0
fine, salient: 0.21554500127
documented, short-term: 0.0
added, bright: 0.489032778623
negligent, wondrous: 0.028287760109
blended, overdue: -0.19247245113
degrading, first: -0.42991461719
beloved, infeasible: 0.133378634924
irrational, oral: 0.369016892368
regular, tragic: 0.066167825355
exact, recognised: 0.0
baby-sitting, disgusting: 0.0
died, humane: 0.967467558346
european, flagrant: 0.815444793553
rich, right-: 0.0
random, rarer: 0.996223441964
cardinal, state-owned: 0.0
abused, acknowledged: 1.06086411767
breathe, preoccupied: 0.966832945551
hard-pressed, profane: 0.0
painful, twelve: 0.705894312143
neurotic, unfeasible: 0.311558219111
antsy, double: 0.155492470786
current, nearby: 0.239440461118
right-, violent: 0.0
conceivable, historical: 0.693455657076
illicit, well-deserved: 0.0
imrtant, pilot-tested: 0
disclosed, inconspicuous: 0.544693502206
blank, firmer: 0.053410780995
gone, stated: 0.505296959412
hazardous, political: 0.720217014446
livid, supplied: 0.327007727902
hot, updating: 0.483504145974
awaited, treble: -0.138615803849
-just, positioned: 0.0
comin, prior: -0.361863050426
corresponding, overpriced: -0.232726379355
contentious, expedited: 1.85123766894
attended, berserk: 0.025714918383
flawed, organised: 0.0
inconvenient, unbelievable: 1.53440986785
crazed, pilot-tested: 0.0
ignored, information: -0.034093272256
bogus, well-behaved: 0.0
content, recent: 0.018564463445
segregated, well-treated: 0.0
armored, labour-intensive: 0.0
ah, blatant: 0.893552358439
short-lived, unwise: 0.0
dependent, exquisite: 0.478866370326
initially, trained: 0.361961958047
multifaceted, sensational: 0.809891146598
strengthening, work: 0.662855867569
loveable, tougher: 0.611054184433
imperative, redundant: 1.58745597806
good-natured, named: 0.0
dark, export: 0.333658213779
heights, welcoming: 0.342598472343
advantaged, impeccable: 0.43171001724
less-favoured, poverty-stricken: 0
contemptible, simple: 1.403047002
note, restricted: 0.12595684876
challenges, endemic: 1.24508136775
earliest, worthwhile: 0.489156454122
manifold, unwholesome: 1.93441573439
differently, feeble: 0.877341536688
frank, withdrawn: 0.567125284643
ensure, self-reliant: 0.0
elle, promptly: 0.725622236543
gone, old: 0.960436336678
instructive, unprofessional: 1.92041866388
needed, terrible: 0.488099917072
even, ourselves: 1.13735211627
desolate, substandard: 1.56338095955
lousy, well-structured: 0.0
enrolled, mandatory: 1.33227649434
fiine, loco: 0.0
sad, them: 0.596965088341
joyous, political: 0.572627331561
exclusive, treated: 0.439311991218
returned, subtle: -0.136551573509
baby-sitting, fat: 0.0
compact, determining: 0.388158294319
fatter, right: 0.723687021702
propitious, quoted: 0.194065502695
nuts, physically: 0.761798995875
bothersome, fuckin: 0.813750618968
crucial, updated: 0.285843339988
aware, raison: 0.122478650254
it, represented: -0.265508691565
confident, egregious: 0.615236198569
economical, sadder: 1.2403821984
handsome, romantic: 2.71455613325
eager, living: 0.221844624609
legally, simply: 1.38859953292
crass, unlikely: 1.26655476999
occurring, shoot: -0.070979094708
open, upright: 1.289802621
exhilarating, open-minded: 0.0
clinically, in-house: 0.0
disastrous, unjust: 2.11782334331
fake, reasonably: 0.140508627281
culturally, pricey: 0.708964861825
reinforcing, substantiated: 1.55835754025
multifaceted, overloaded: 0.46044617871
commercial, prompt: 0.093415514004
mid-sized, tasteful: 0.0
exhausting, happen: 0.536688426004
reprehensible, warranted: 2.53103484146
intentionally, qualified: 0.574088803099
grateful, well-educated: 0.0
joyous, silly: 1.75193514903
multi-faceted, state-run: 0
n'tunderstand, sacrilegious: 0.0
cancelled, late: 0.0
smarter, sponsored: 0.31718181697
nearest, onboard: 0.828016563751
cold-rolled, wrong: 0.0
inclusive, surprised: -0.077778883402
memorable, precisely: 0.603136843398
fuckin, fussy: 1.88832233927
annoying, scarlett: 0.836106448995
acquainted, co-operate: 0.0
right, sizable: 0.531446915818
doable, laudable: 3.59550277125
announced, enraged: 0.882669986144
dead, unconventional: 0.219481839754
confident, establishment: -0.121574665969
grave, nonsensical: 0.98721355951
cute, n'tunderstand: 0.0
horrible, varying: 0.874801324449
former, prettier: 0.153008428516
dandy, self-executing: 0.0
softer, whassup: 0.430419640073
open-ended, scarce: 0.0
done, instructive: 0.992598920598
brain-dead, eerie: 0.0
defunct, modernized: 1.90110194444
eighth, increasing: 0.383692742435
exact, uptight: 0.38438911119
breathtaking, freer: 0.437922551527
moreover, statutory: 1.12042690107
any, inadequate: 0.488103165001
adjusted, skilful: 0.53097796097
plenty, strangers: 0.919973064903
here, self-sufficiency: 0.0
fast-growing, safer: 0.0
lengthier, vulnerable: 0.880652834942
loaded, tailored: 1.51128827282
progress, unpopular: 0.395992415014
observed, unfathomable: 0.484184357436
forthwith, implemented: 0.882182702617
accurate, rusted: 0.223426195838
lackluster, loco: 0.301206564797
mature, tiring: 1.08537293034
uptown, vital: -0.176987742383
crazy, mad: 4.99471639726
readable, robust: 2.2210733074
hey, politically: 0.415989563923
lately, misguided: 0.478302952713
amiss, lonely: 2.22885605866
coordinated, shitless: -0.126447750426
delirious, sharper: 0.6883904945
atrocious, smoother: 0.042345906573
inter-related, race: 0.0
agreeable, naive: 2.25802860605
prick, u.s.: 0.0
east, old-timer: 0.0
formal, recognizing: 0.813973517841
deductible, massive: 0.140666314318
guilty, possible: -0.039270252752
inequitable, seen: 0.095113503408
cute, impatient: 1.99280198951
acute, forthcoming: 0.288976545318
noticeable, small-scale: 0.0
kane, minus: 0.595314827715
bold, flexible: 1.62788606263
breathtaking, broke: 0.54639659841
long-standing, minuscule: 0.0
chubby, rather: 0.581872671991
broke, speaking: 0.588979487294
exactly, though: 1.2590027771
co-financing, conscientious: 0.0
callous, potent: 0.742625454605
humiliated, null: 1.54325958515
sponsored, unconvincing: 0.259915124932
poverty-stricken, small-time: 0
completely, endangered: 0.28689623242
flavorful, upright: 1.52690733899
jeopardized, unlucky: 1.13412649892
deliberately, hardest: 0.730159618397
ambitious, established: 0.946286037156
unoccupied, well: 0.047060354725
transparency, unaware: 0.281915592358
miniscule, pleasant: 0.940161314284
articulated, rusted: 1.38569601369
sore, specialized: 0.689570200547
furious, ravishing: 1.08259439722
reduced, s-sorry: 0.0
impeccable, sole: 1.02780877118
drawn-out, someplace: 0.0
life-threatening, mid-: 0
divided, unfeasible: 1.00344688886
cute, expressly: 0.771175415431
nobler, stifling: 1.08454436809
loaded, unified: 0.191007187028
manifold, out: 0.225804202772
either, inviolable: 0.742451328635
preponderant, stocky: 0.5660771368
faithful, worse: 0.664808062071
goal, knowledgeable: 0.089841221505
disrespectful, reaily: 0.0
eighth, responsable: -0.341732319557
end-to-end, quick: 0.0
macabre, standing: -0.139691666914
differing, senior: 0.156346511304
insecure, non-compliant: 0.0
brief, non-compensatory: 0.0
education, universal: 1.65164807105
inexcusable, more: 0.326362566175
flicka, stunning: 0.0
killed, time-sensitive: 0.0
counterfeit, ill-founded: 0.0
commonplace, longer: 1.05235321023
belligerent, fast: 0.979571796812
unendurable, well-managed: 0.0
co-ordinated, optimum: 0.0
complacent, loveable: 1.29542544172
harmless, substantiated: 2.0386113927
crummy, practicable: -0.225364411102
accused, excited: 0.337471800801
disappointed, grand: 0.966168349172
loving, unhealthy: 1.30991065754
annulled, broader-based: 0.0
go, non-specific: 0.0
economical, greater: 0.859712673183
well-positioned, worthless: 0.0
!, relaxing: 0.0
tiresome, welcoming: 0.446443823028
iil, kind: 0.0
entrenched, nuts: 0.386393902356
determining, smallest: 1.06004892096
humane, jam-packed: 0.0
jump, sacrosanct: -0.453289416375
principally, subsidized: 0.761603355024
clever, fragmented: 0.964258419669
rogue, twofold: 0.490844795588
cheap, telling: 0.480177851729
rarest, spicy: 1.13001520854
abreast, huh: -0.292200776075
crystal-clear, distributed: 0.0
cute, green: 1.41976919985
blatant, practically: 0.79658133721
ultra-hazardous, unimpressive: 0.0
breathe, demonstrated: 0.051582296907
cherry, extensive: 0.75725977362
clearly, possibly: 0.760170641692
impartial, insulted: 1.79772725009
dominant, pertinent: 0.717029714939
lukewarm, multifocal: 0.520245950174
gaunt, telling: 0.680835834427
every, parallel: 0.732374556364
advised, eco-friendly: 0.0
embarrassed, superb: 0.58528450013
discriminate, sonny: 0.585381748065
noble, rigght: 0.0
precious, smallest: 1.16079838429
exact, trendy: 0.397742275809
differently, individualized: 2.00392900512
a, abusive: 0.0
nosey, tiring: 0.0
repeating, volatile: 0.673101428319
faithful, nicer: 1.10328937028
constrained, ruined: 0.995128443922
dying, psyched: 0.829651159964
long-lived, smitten: 0.0
luck, modernized: 0.043899021134
exponential, unproblematic: 1.33843763877
loose, palatable: 0.459941030531
dirty, divided: 0.721580016788
limited, pale: 1.60568081184
plain, remarkable: 0.618592454484
diverse, ghastly: 0.373576835849
irrational, smart: 1.5380038079
misused, worth: 1.78850522847
elite, loud: 0.498670742942
corresponding, inefficient: 0.117158000727
nearest, stay: 1.04743600824
fully, medical: 0.559599484308
handsome, tabled: -0.1808855899
environment, in-flight: 0.0
bad-looking, optimum: 0.0
braver, darling: 1.34144720019
irritated, northern: 0.334488767498
armed, senseless: 1.51085929156
highest, uptight: -0.586756769776
perplexed, priced: 0.648329858153
functional, operational: 2.39915362663
thoroughly, weii: 0.0
afflicted, informative: 0.236447427694
humid, tiring: 3.76133385707
ever-increasing, unpleasant: 0.0
claire, well-planned: 0.0
utilized, victorious: 0.446785554901
intricate, particular: 0.828120515282
inconceivable, very: 0.961362399656
apparent, flexibility: 0.094259063769
fuckin, fun: 2.83964504978
immoral, vegas: 0.829769626477
debate, effective: 0.085769016619
around, shipshape: 0.763130549647
calming, wild: 1.52522501444
change, lamentable: 0.2824369679
leveraged, rare: 0.199506111321
absolutely, blank: 0.929395344404
compared, three: 1.07748156283
humble, steeper: -0.15448809631
leave, overwhelmed: 1.26987200944
incapable, well-suited: 0.0
headstrong, spent: 0.305461142067
comforting, shaking: 2.10360134402
back, closer: 2.14622045346
dry, truthful: 1.28541438489
hard, terrific: 1.87720006545
deficient, max: 1.10084662606
away, invariable: 0.345656244279
envious, interwoven: 0.7033602331
irritable, optional: 0.303175425149
mysterious, unfortunately: 0.766130402184
manufactured, provision: 0.376615688112
ineffectual, liked: 0.182187098184
hard-pressed, steeper: 0.0
fake, opening-up: 0.0
meritorious, preposterous: 1.81017831549
immoral, intimate: 1.19446676211
frightful, slight: 1.40029714457
ill-defined, info: 0.0
life-threatening, rampant: 0.0
dumber, therefore: 0.749678309737
broke, disquieting: 0.014887830168
mainstream, unheard-of: 0.0
alike, idiot: 0.473389049673
reality, tangible: 1.58480083453
mightier, up-to-date: 0.0
fraudulent, sufficiently: 0.51999572509
goal-oriented, thereto: 0.0
indiscriminate, smallest: -0.175975702739
action-oriented, concrete: 0.0
generalised, merciless: 0.0
better-educated, substantiated: 0.0
different, same: 2.53967776878
everywhere, pursuant: -0.890323956828
off, widest: 0.239761457659
exorbitant, unaltered: 0.461437919008
believable, inherent: 0.933606432579
mobile, western: 0.957844591393
infeasible, smarty: -0.060869098128
potential, uneconomical: 0.973539429685
legit, sharper: 1.17300622589
immoral, unhealthy: 3.63712038627
usually, you: 1.29419017005
eventually, insolent: 0.488477740491
accurate, audience: 0.769999993035
delayed, of: 0.0
mieux, safe: 0.02194043935
advised, normal: 1.10599245695
considered, sleeping: 0.642152084766
heaviest, unnecessary: 1.00727743929
government-owned, supreme: 0.0
interminable, massive: 1.0010017062
dead, realizing: 0.192437045623
mightier, potential: -0.096581231212
confident, dope: 0.579438799041
abundant, self-executing: 0.0
sacrosanct, visibility: -0.354542656646
admiral, hooked: 0.244632304399
brighter, multi-faceted: 0.0
crippled, doubtful: 1.38575431336
cleaner, singular: 0.054826073479
calming, significantly: 0.49576140528
again, available: 0.220343332161
indicated, whatever: 0.439235072549
accepted, come: 1.39177730444
criminal, revealing: 0.626752214755
medium-sized, oldest: 0.0
disputable, helpful: 1.66843652835
approved, legit: 0.454199067798
insubstantial, predominantly: 0.842434160707
awful, east: 0.489874426517
underlying, well-placed: 0.0
acknowledged, unappy: 0.0
immovable, specialised: 0.0
grouchy, worded: 0.680551645124
sombre, well-informed: 0.0
all-inclusive, limp: 0.0
aging, unchanged: 0.959477213108
first, resolved: 0.109103079232
emerged, standing: 0.925152371071
jumpy, self-reliant: 0.0
varied, well-balanced: 0.0
anti-constitutional, contradictory: 0.0
imperative, industrial: 0.389262618396
firmer, updated: 1.31496067924
expeditious, inoffensive: 1.77180788166
in-progress, pro: 0.0
admitted, splitting: 0.492928059271
mental, whatever: 1.56372625058
panicky, u.s.: 0.0
ephemeral, short-lived: 0.0
crushed, newer: -0.020753451953
unified, unlikely: 0.714522601121
nifty, quality: 0.087932873208
contemporary, docile: 0.160987393
instable, rugged: 0.869997553563
firm, pluralistic: 0.629921564661
provided, well-organized: 0.0
intermediate, younger: 1.4201481033
gonna, identical: 0.122188583275
dying, nonsense: 0.324919371087
groovy, honored: -0.007225498544
unfriendly, weakest: 2.22602609962
level, lookin: -0.100479403635
good, greedy: 1.91327733156
buoyant, geographic: 0.312493403338
action-oriented, one-sidedly: 0
minimum, unrestricted: 1.2962913231
darling, vice-chairperson: 0.0
mideast, why: 0.649140460512
open-ended, unfathomable: 0.0
far, hard-pressed: 0.0
determinative, pretty: 1.05899515061
indisposed, proven: -0.090262082475
impermissible, similarly: 0.523500764274
going, squat: 0.60499571089
gandalf, stupid-looking: 0
fall, intermediate: 1.15570360512
eventually, perfectly: 0.918477458699
fruitful, self-evident: 0.0
incidental, south: -0.120434796494
home, stupid: -0.00834067417
partially, understanding: 0.360628713549
all-powerful, amended: 0.0
superficial, year: 0.116571055997
appreciated, dim: 0.40606384407
change, youngest: 0.503713772127
major, optimal: 0.406099286889
hard-pressed, insolent: 0.0
fairly, plenty: 1.6782956122
odious, unachievable: 1.77445457619
attention, fit: 0.349859965423
flame-retardant, vice-president: 0
blessed, broadest: 0.556716459303
issue, twice: 0.492562874448
diversified, unhurt: 1.01668566534
buoyant, either: -0.143696314356
streamlined, troublesome: 0.685998456096
listed, special: 0.24166130131
exposed, vulnerable: 3.6316544689
quality, spotless: 2.23065195098
systematic, weirder: 0.142631423638
lawful, patentable: 2.94842480686
connected, old: 0.180776784965
america, occupied: 0.305247523075
realisable, substantiated: 0.0
advisable, mysterious: 0.51986083509
nationwide, thereto: -0.156515951973
clear-cut, related: 0.0
organised, unachievable: 0.0
flattered, wonderful: 2.70251892963
grisly, intense: 1.63852125543
iike, ma: 0.0
favourable, uninsured: 0.0
better, unmistakable: 0.049663565473
chubby, succinct: 0.362809360745
decided, either: 0.689814428193
paramount, wealthiest: 0.921985197316
brutal, pro: 0.971006877888
pressing, whole: 0.693751171149
clean, horrifying: 0.896714075394
significantly, treacherous: 0.004582840506
harmful, truthful: 1.80726996042
science-based, utilized: 0.0
desolate, maximal: 0.522159040817
headstrong, leaner: 1.81295001041
awesome, expedient: 0.306816407697
satisfying, statewide: 0.254402598744
pushy, shallow: 1.56932298395
overheard, responsible: 0.621891254779
intrusive, unspecified: -0.028424014565
shocked, staff: 0.487123516934
heavy, manifest: 0.710399087771
destabilizing, well-lit: 0.0
affixed, end-to-end: 0.0
like, toxic: 0.344083463047
topnotch, well-educated: 0.0
compliant, prescribed: 2.61672911738
appropriate, selective: 1.76710997039
additionally, solemn: -0.41547583939
as, solemn: 0.285952025058
unsatisfactory, wealthiest: -0.995328695471
pitiful, short-sighted: 0.0
alike, perpendicular: -0.32705358205
equitable, insecure: 1.01012540778
adamant, dirtier: 0.739989647026
alarming, indispensible: 1.09678080239
advantageous, far-ranging: 0.0
pleasurable, politically: 0.905083320933
accountability, casual: 0.480307526858
fit, quiet: 0.688986404732
ordinary, rescinded: -0.512754118017
discernable, frightened: 0.750185368017
abundant, clean: 1.62379473364
info, milder: 0.037901558389
fine, overkill: 1.86273261594
cordial, truth: 1.10969978031
debated, thus: 0.166423849058
included, similarly: 0.812177584993
enraged, thirteen: -0.02322744857
all-embracing, bold: 0.0
favorite, infected: 0.745150098558
efficacious, similar: 0.566909483494
alive, favorite: 0.918185809804
lucky, trite: 1.30001400952
larger, seropositive: 0.479789645509
serene, well-controlled: 0.0
acknowledging, overly-high: 0.0
-surprised, completely: 0.0
inter-linked, regrettably: 0.0
else, respectable: 0.759217150479
environment-friendly, freaky: 0.0
asian, dormant: -0.471973015695
complements, sincerely: -0.225661643977
annoyed, other: 0.372127193015
older, remote: 0.375523447798
brief, competence: 0.2850762418
polished, watchful: 1.27109693103
appropriate, differently: 1.9852458405
ideally, novel: 0.166667032177
final, static: 0.304434589877
cross, undignified: 0.393802834281
combative, obtainable: -0.321478949834
equipped, realizing: 0.106924156874
mideast, unbiased: 0.866515123974
beneficial, inoffensive: 1.32435557448
forward-looking, unemployed: 0.0
disruptive, heavyset: 0.847919498286
good-iooking, wanted: 0.0
iil, undeniable: 0.0
constructed, uh-huh: 0.0
latter, obtainable: 0.443907521167
jolly, uptown: 1.0496348086
faithful, phony: 0.398027803364
launching, phat: 0.63400163023
asleep, granted: 1.17686499022
right-, seasick: 0.0
eccentric, justifiable: 0.933518304312
allergic, intricate: 0.407366776038
fit, unnecessary: 0.853929366713
helpful, nigeria: -0.79356442776
frustrating, smitten: 0.942149101382
micro, mimi: 0.775075862397
intolerable, minimum: 1.09831393693
elderly, timid: 0.899625954245
despicable, primary: 0.129287522804
reinforcing, superficial: 1.17227065822
defensible, endangered: 1.86112520932
confusing, unmistakable: 0.88641987484
entrenched, sentimental: 0.580713391919
dynamite, well-balanced: 0.0
living, worrying: 1.15557149356
delicious, french: 1.46439291765
common, inexcusable: 0.68468934622
adapted, certifiable: 0.73318932973
substandard, succeed: 0.195572007357
adequate, southeastern: 0.363719876526
dead, maintained: -0.254195686081
rapidly, start: 0.793371436905
self-sufficient, trusted: 0.0
personally, seminal: 0.366876387981
settled, valuable: 0.046914667104
selective, two: 0.324703635416
brutal, solid: 1.03582376675
missing, rock-hard: 0.0
freedom, lowest: 0.48464007645
concrete, unfilled: 0.896673163699
co-operate, cumbersome: 0.0
contaminated, substantial: 0.614303729726
multidimensional, rapid: 1.57552569863
remote, sleeping: 1.3464509765
elaborated, flexibility: 1.01897598669
tolerated, yourself: 0.023226193154
attractive, thrilling: 1.30811005259
cynical, effortless: 1.38835230565
rescinded, unforeseeable: 1.32953739799
hey, unknown: 0.280719787466
ominous, senior: 0.251939380174
ill-defined, say: 0.0
crystal-clear, frantic: 0.0
cross-border, handsome: 0.0
ensure, everybody: 1.27016423953
instable, well-filled: 0.0
overflowing, ubiquitous: 1.55311196515
impenetrable, tailored: 0.477836773066
best, complete: 0.761793046565
mindful, permissible: 1.28258860178
although, expanded: 0.22667291025
pro-choice, wide-ranging: 0
large, miniscule: 2.68057218527
emotional, self-conscious: 0.0
fall, improper: 0.929260301579
long, supplementary: 0.197344845734
legitimate, stale: 1.09454465064
goodto, looking: 0.0
either, shiny: 0.566647732127
chickenshit, stopped: 0.603895285015
burned, phenomenal: 0.764789319797
emerging, equipped: 0.953547079358
distinguished, noble: 2.19966439637
stricter, unconditional: 0.511676150058
currently, running: 0.661647050949
flexibility, unfettered: 2.34250274666
neat, unanswered: 0.362891617342
determinative, hard: 0.839031099494
optimistic, quadruple: 0.911414860728
demonstrated, science-based: 0.0
first, undemocratic: -0.104868006842
established, heaviest: 0.139829641382
disruptive, surer: 1.01877338091
microscopic, multifocal: 3.22237058934
considerably, single: -0.033438218544
integrating, much: 0.151147586192
divergent, inspiring: 1.47178054869
inexpensive, irritable: 0.133985499166
about, fancy: 0.538598087825
astounded, regulated: 0.516269576851
fundamental, understandable: 1.50577327544
slippery, thriving: 0.231893048346
ecstatic, identifiable: 0.022812043449
theoretical, vis-: 0.0
geographic, indian: 0.097959106741
simplifying, warmth: 0.102025265473
gratuitous, well-deserved: 0.0
incalculable, outside: 0.411790689845
overwhelming, recheck: 0.769073876599
1st, feisty: 0.023784961218
constructed, expanded: 1.97999977084
blunt, vis-: 0.0
carefully, muted: 1.47061417826
classical, permitted: 0.249456341222
brand-new, understandable: 0.0
dispute, thought-out: 0.0
inappropriate, well-maintained: 0.0
alternative, staff: 0.210408589241
bull, indisputable: 0.927712906283
inconspicuous, persistent: 0.997540516348
admiral, yesterday: -0.04010853188
illegal, younger: 0.385481112958
devastating, off: 0.779630379313
correctly, persuaded: -0.326434645973
socio-economically, untouched: 0.0
admissible, ineligible: 3.50355857114
disappointed, stifling: 0.146760503658
miscellaneous, regrettably: 0.088084547267
shitty, unsafe: 2.01746373773
mentioned, underdeveloped: 0.513789602239
ominous, unanimous: 0.716953425592
sleepy, untraceable: 0.33026454909
opportunity, warned: 0.665624564457
hot, stricter: 1.15289791094
presently, shocked: -0.042302135906
complimentary, urgently: -0.412683006149
marvelous, very: 1.16781239945
sound, stir-crazy: 0.0
healthy, normally: 0.922009598695
calm, inadmissible: 0.8365508272
anonymous, wide: 0.494357315345
dense, well-known: 0.0
simplistic, yellow: 0.205802522634
energy-efficient, unfilled: 0.0
chosen, supra: -0.654511802798
happier, quality: 0.895709267101
tiny, unsteady: 1.06113323047
10, populous: 0.0
costly, firmer: 0.186636933962
-surprised, terrorized: 0.0
conclusive, weii: 0.0
mature, unfriendly: 0.940929595822
steeper, vegas: 0.159968200846
fragmented, hazardous: 1.34389081793
disgraceful, soaring: 0.13887405977
exhilarating, wealthier: -0.20260030818
active, verify: 0.799085781795
improving, ridiculous: 0.511629628829
humid, quickly: 0.749778240286
inclusive, slick: -0.077097298787
fourteen, principally: 1.22721802512
berserk, well-armed: 0.0
inequitable, scientific: 0.532181913801
-just, immovable: 0.0
impulsive, macabre: 1.63784074155
focussed, peripheral: 1.55546915523
holistic, transparent: 2.35352802983
marvellous, ugly: 0.0
tan, unchangeable: 0.781216676649
inviolable, prohibited: 2.90817658143
omnibus, opened: -0.349864661242
non, shorter: 0.536345043992
optional, prepped: 1.55545742447
close, prestigious: 0.753397236003
impracticable, unofficial: 0.34483208355
claire, sad: 1.69572189396
content, mobile: 2.03050556419
restrictive, specify: 2.04251738403
empowered, shit: 0.746724687843
established, proceed: 0.431321920582
keen, smaller: 0.642972147374
greedy, legality: -0.07886894668
scientifically, thanks: -0.342264203048
constructed, dumb: 0.661256404857
mainstream, severely: 0.594984373931
acknowledged, frustrated: 1.70435585521
installed, special: 0.075121649298
