mla, welcome: -0.208809581378
eleven, symbolic: 0.025706802165
lukewarm, subject: 0.654194560716
instable, underway: 1.14554542963
lye, screwy: 1.08908886477
interim, straightaway: 0.644150970051
notified, spontaneous: 0.072439242839
beneficial, manifest: 0.796445428111
kosher, untapped: 0.647064840753
lovelier, often: 0.285614205478
advantaged, thus: 1.04919973686
perpendicular, prolonged: 0.274252328217
addictive, plentiful: 2.23456198829
prick, unabated: 1.20749118209
history, unproductive: 0.578889739605
enforceable, humid: 0.673946602743
scheduled, well-defined: 0.0
all-inclusive, griet: 0
a, magnificent: 0.0
brand-new, time-consuming: 0
foolproof, skilled: 0.940875304761
knowing, necessarily: 1.49679985745
-me, complicated: 0.0
high, ignored: 0.04813977564
-just, distasteful: 0.0
unanimously, unimpressive: -0.083909467257
sane, unofficial: 0.666053657777
invaluable, substantiated: 0.723340869037
expandable, unchanged: 0.709676655633
co-ownership, intricate: 0.0
inadequate, wish: 0.160880892835
intriguing, particular: 1.08435498757
eligible, romantic: -0.633873490771
content, stricter: 0.648212693296
capable, sore: 0.856449063101
in-depth, non-competitive: 0
established, thriving: 2.22564102666
similar, usable: 0.330755186014
evey, ourselves: 1.03243687633
typically, world-wide: 0.0
cheerful, published: 0.374630168464
likable, utopian: 1.55426180944
comercial, unsuccessful: -0.143321856699
characteristic, constantly: 0.951333887873
christian, cost-effective: 0.0
recognising, ugly: 0.0
embedded, fatal: 0.272735466892
checked, inconspicuous: 1.21126947118
blatant, information: 0.075096886062
permanently, related: 0.474926045583
multidimensional, tall: 2.16736098182
binding, fastest: 0.14376025216
funny, inter-related: 0.0
realizing, socio-economically: 0.0
improved, secret: -0.054954809801
cautious, useable: 0.25920793563
refreshing, rigid: 1.18572370534
authentic, multiple: 0.469380821677
forthwith, unfounded: 1.11086982697
clear-cut, psychotic: 0.0
dorky, unimportant: 2.58325596487
dead-on, improving: 0.0
realistic, retail: 0.12972568407
doin, reported: -0.246846373313
effectively, ludicrous: 1.00014767262
retard, well-reputed: 0.0
doctor, ineffectual: 0.206021885611
indecent, unprofitable: 1.62371853609
contradictory, indicated: 0.591479441242
leaner, sultry: 0.168542865306
fruitful, racked: -0.028892524276
changed, thorny: 0.235855533804
thorny, unprejudiced: 1.64989392189
flammable, newer: 1.71538940764
righteous, tiresome: 2.17191975921
brainless, first-class: 0.0
expedient, extraordinary: 1.2906996632
born, cited: 0.952786410456
systematic, unavailable: -0.67267194514
of, tell: 0.0
flammable, overt: 0.807196887251
doomed, gender-neutral: 0.0
demonstrated, naturalistic: 0.746414077468
fools, understood: 0.91296449564
durable, hilarious: 0.03921312687
honorable, planned: -0.093495151853
inhumane, upright: 1.13126164765
inactive, spoilt: 0.0
creation, gratuitous: 0.563365310112
seminal, smokin: 1.0758679938
fall, premier: 0.298385778084
flexible, fun: 1.47972293462
fbl, inaccurate: 0.0
blunt, drenched: 0.782398630263
kinda, victorious: 0.216141967852
friendlier, hard: 1.09311794997
ago, phat: -0.499112121618
looser, vice-president: 0.0
nouveau, scientific: 0.678509333793
expedient, heights: -0.061453489193
impartial, preposterous: 1.3137373502
liberated, single: 0.314181741896
narrower, silly: 0.274688948161
carefully, timid: 1.0346136741
improving, warranted: 0.851598070506
wanted, written: 0.852345812542
unfair, weil: 0.185296603806
mighty, sound: 1.3727214972
dumb, wonderfui: 0.0
centralized, drunken: 0.018721896966
automated, enraged: 0.511409413795
strict, treaty: 1.66582405506
-surprised, complimentary: 0.0
favourable, knowledgeable: 0.0
dependable, dumb: 1.1221950954
lovely, unlawful: 0.542464003428
duty-bound, right-: 0
evening, glorious: 0.964548103622
painless, screwed: 1.12287012055
brainless, conducive: 1.07189995461
continued, dispersal: 0.63406861783
checked, ridonc: 0.0
broader-based, volatile: 0.0
courageous, indecent: 1.17908757085
internationaux, professionally: 0.195412049761
forgotten, illegal: 0.702503875197
discrete, old: -0.02893309578
submitted, unseen: -0.285929024667
gay, unreal: 0.289795963222
geek, psychological: 0.540271168798
illusory, yummy: 1.5652509047
generalised, longitude: 0.0
readable, tentative: 0.899014526527
early, everywhere: 0.357931683453
unrestricted, worthless: 1.90994525225
egocentric, unbalanced: 3.12116611535
co-funded, year: 0.0
counterproductive, hopeful: 1.48803827474
accepted, babe: 0.203835540198
adamant, random: 0.078840770322
-lncredible, quickly: 0.0
propitious, yummy: 2.01863008526
dependable, heavyset: 1.87728256984
considerate, narrower: 1.00947284209
eco-friendly, interim: 0.0
junior, rational: -0.119335739157
perfectly, safer: 1.04196568627
defined, improving: 0.752593773511
friendly, hasty: 0.754979270912
effectively, pathway: 1.03143584161
powerless, swifter: 0.950303123132
delusional, short-lived: 0.0
primarily, re-appointed: 0.0
il, whar: 0.0
muchfor, multi-dimensional: 0
eventually, truth: 0.749059183034
breadth, tolerable: 0.618331332032
euphoric, unproblematic: 1.93399813092
innocent, uneasy: 1.17899126385
horrific, romantic: 1.11991289376
garbled, shot: 0.377765779229
everything, scarcer: 0.790744591619
broad-based, careful: 0.0
user-defined, whassup: 0.0
hardto, truer: 0.456612068446
light, otherwise: 1.05787454862
traditional, unusual: 1.28867473947
glowing, statewide: 0.216627185797
unhelpful, youngest: -0.247672093996
empowered, hurry: 0.966505578479
demeaning, euphoric: 1.18132478648
medical, technical: 1.59656938396
actually, somewhat: 1.66050030799
meticulous, top: 0.568624713485
domestic, sixth: 0.377828408454
admitted, priceless: 0.343097132249
economical, splendid: 1.13306780962
complementary, endemic: 0.760271478177
blunt, lively: 1.57530996132
silly, widest: 0.046103095992
brightest, trustworthy: 1.63406853685
cancelled, poisonous: 0.0
buoyant, deliberate: -0.01672448183
bothersome, tense: 1.25300416153
completed, prat: -0.393136972938
mostly, unlocked: 0.117916653239
burned, substandard: 1.01713181457
hence, significantly: 1.15338316968
condescending, crummy: 2.02883763898
evident, induced: 1.35093198863
infeasible, terrible: 1.30887012945
asshole, murderous: 2.16415335292
hey, muchfor: 0.0
endemic, splendid: 0.372777366334
patent, tonight: -0.374566838286
futile, represented: 0.213345666762
increasingly, preoccupied: 2.01644023639
risky, symbolic: 1.53288072502
tense, under-age: 0.0
predictability, undetectable: 0.335108295202
qualified, ugly: -0.54763550442
internal, prick: 0.330331676138
bothersome, witty: 0.794505840123
blinded, faultless: 1.24227311093
merciful, preferential: 0.535788160649
flexibly, middle: -0.063345492529
disappointed, functional: -0.265225652036
alarming, chloe: 0.064920843065
craze, rough: 0.370751875554
bare, off-site: 0.0
come, suitable: 0.801465841009
labour-intensive, well-maintained: 0
unsettled, wondrous: 0.918894295645
cold, mature: 0.657589509193
elaborated, impractical: 0.769638845695
being, sacrosanct: 1.04775936621
indisposed, non-exclusive: 0.0
finished, sell: 0.482916599709
prerequisite, unquestionable: 2.51043368714
nothingg, shared: 0.0
reiterate, ruthless: 0.529330612814
quieter, s-sorry: 0.0
doubled, substantiated: 1.15906162209
lonely, racked: 0.460442492068
lunatic, winning: 0.476566890643
emerging, smooth: -0.088297277647
nude, upper: 0.651395770145
fatter, warned: 1.09594760156
provided, shaky: 0.773346558344
abused, final: -0.032652578909
fairer, obligatory: 1.05998551662
official, well-tolerated: 0.0
recognized, shaky: -0.139231126455
stout, time-consuming: 0.0
dynamite, fragile: 1.19430961645
poorest, surprised: -0.028892689648
proud, reai: 0.0
east, following: 0.401005430354
co-operative, yourself: 0.0
described, indisputable: 0.439962421437
dumb, inexpensive: 1.43705113331
beautiful, emotive: 2.10387634891
good-looking, outgoing: 0.0
obtainable, tacky: 0.84557966113
principale, staggering: -0.016121994771
increasing, lovelier: 0.254342075102
annoying, controversial: 1.3232978838
although, isolated: 0.764758976098
directly, now: 0.612646329941
taller, unabated: -0.600598210883
immoral, neurotic: 1.62123122509
leading, unimpressive: 0.421292069429
inflexible, sufficiently: 1.52954576592
annoying, temporarily: 0.834206660832
charmed, romantic: 2.33401166403
inspirational, reaily: 0.0
eligible, well-designed: 0.0
callous, find: 0.332826430892
jeopardized, untapped: -0.039805767948
liable, prepared: 0.758108138807
convenient, thin-skinned: 0.0
peachy, successfully: -0.89136138025
later, smartest: 0.069467161606
inactive, true: 0.386915068011
rarely, represented: -0.00356848505
concluded, obscene: -0.101649184665
aggravated, tragic: 0.941544327505
danger, insignificant: 0.922485227644
ever, salient: 0.283539636548
developing, troubling: 0.244025440838
focussed, hands-on: 0.0
hearty, overpriced: 0.761734518602
icy, over-ambitious: 0.0
authorised, costlier: 0.0
heeded, skeletal: -0.509512849686
collective, shallow: 0.280925988058
adjacent, loco: -0.36199497762
disappointed, insubstantial: 0.977694547187
rapidly, total: 0.580373971585
challenges, soft: 0.254709117314
ugly, unusual: 1.80838166101
generalized, perplexed: 0.985010604564
fully, hospitable: 0.141644656263
brisk, rising: 1.64825245492
inspirational, random: 0.139147205532
awful, everybody: 2.25899351796
bigger, upright: 0.165759022889
15-year-old, gutsy: 0.0
delineated, end-to-end: 0.0
cognizant, stylish: 0.530564204748
undignified, wrong: 2.31135044263
talented, urgently: 0.565917982482
impenetrable, suddenly: 1.2600400506
populated, tiresome: 0.898088047
one-sided, suicidal: 0.0
alert, all-powerful: 0.0
mieux, wetter: 0.793377516678
domestic, traffic: 0.792520249581
certain, moist: 0.406204872108
ridiculous, wet: 0.531690305829
over, pretty: 0.709686375649
occupied, tacky: 0.738940028524
furthest, out-dated: 0.0
alia, noted: -0.059172757584
astounded, noted: 1.416525979
arbitrary, pro-poor: 0.0
exhausting, noted: -0.021514652903
unconditional, welcomed: 2.32260427099
aggressive, previous: 0.648552910006
excitable, unreasonable: 1.47078043866
motivation, old-timer: 0.0
abnormal, dishonest: 2.0619662722
gone, helpless: 1.14664744484
freely, optimistic: 0.820280744662
donkey, either: 0.758545814683
predominantly, prevailing: 0.991982494583
non-specific, tepid: 0.0
enriching, neat: 0.867001985409
bastard, fall: 0.076552924743
brainless, hostile: 1.88012588176
constrained, graver: 1.43756702282
innocent, nauseous: 0.783701808018
addition, implemented: 0.96001265798
cost-efficient, him: 0.0
best-known, meticulous: 0.0
flaccid, fucked: 3.25585313385
belligerent, proficient: 2.58007717513
iilegal, wild: 0.0
homosexual, transitory: 1.77208638751
delirious, telling: 1.104253857
heavier, qualified: -0.059038349166
around, well-received: 0.0
exponential, ioyal: 0.0
extraneous, priced: -0.126413349791
il, mental: 1.22826833489
cranky, fairest: 0.540042865671
low-skilled, shorty: 0.0
fully, genius: 0.68260563065
by-election, co-funding: 0
humiliating, unified: 0.392703041793
mum, strongest: 0.618324186686
breadth, callous: 0.610286891601
barmy, savage: 3.20621696233
associated, lively: -0.35594347694
announced, straight: 0.3099803858
scientific, unattainable: 0.963943968112
longest, preferential: -0.022557184559
comfy, imrtant: 0.0
improper, individualized: 1.63656706014
motivation, vain: 0.910607683877
best-known, importantly: 0.0
merry, self-sufficient: 0.0
impossible, moister: 0.869343930946
noble, thus: 1.04627906299
frightful, newer: -0.246829041902
dedicated, genuinely: 1.06129993124
certified, deficient: 1.08527661477
invested, rebatable: 0.0
demand-driven, imperfect: 0.0
america, quality: 0.11064000718
hourly, living: 1.02568155797
franco, mature: 0.329809080985
psychogenic, smartest: -0.046703593137
biggest, kinky: -0.299401624773
hip, importantly: 0.535780295735
brave, pilot-tested: 0.0
mental, time-consuming: 0.0
facultative, relevant: 0.709679725868
instructive, there: 0.996937430722
juicy, paradoxical: 1.06625735168
nationwide, well-structured: 0.0
distraught, sing: 1.45485424273
cohesive, korea: -0.140263651409
loaded, southwestern: 0.318272738824
dry, dummy: 0.381397805688
punchy, unlikely: 0.578151529975
cheery, dormant: 0.38810846607
unfeasible, wild: 0.662017962951
quality, two-: 0.0
infeasible, simplified: 1.9306822682
enormous, peaceful: 0.568317685534
long-standing, radical: 0.0
material, noble: 0.535843051977
disappointing, frozen: 0.166380817875
favoured, multi-faceted: 0
decided, integrating: 0.151361837689
so, stunning: 0.171301856284
co-operation, unwell: 0.0
funky, stagnant: 1.45759134677
deepest, growing: 1.17447471325
proportionate, topical: 0.795262619822
considerate, married: 1.85461851195
henry, odd: 0.463874261473
goodto, owned: 0.0
goal, that: 0.37608759965
iate, soft: 0.0
reassuring, uncompetitive: -0.085057185689
economically, slight: -0.661792036611
fiine, prejudicial: 0.0
comercial, toxic: 0.733924170642
capable, illusory: 0.305468480305
appointed, concerted: 0.534288359008
repealed, use: 0.568856085322
all-round, distinct: 0.0
disoriented, lamentable: 1.15309758922
distinguished, odd: 0.912010355957
launched, out-dated: 0.0
conscious, intrusive: 2.26275542026
asked, marginalized: 0.464932587668
due, rash: 0.67298724754
disingenuous, dumber: 2.99821084582
flaccid, tiny: 1.41995521174
established, unspoiled: 0.628163254639
inefficient, timelier: 1.11985435922
isolated, live: 1.25392422315
heart-warming, victorious: 0.0
attentive, very: 1.94488039487
narrower, stillborn: 0.458339263335
reinforcing, unseen: 0.056178587574
north-east, safer: 0.0
determinant, tonight: 0.377810807365
copacetic, midget: 0.798571681383
long-winded, uppermost: 0.0
irritating, weil: 0.396755547073
macabre, unpopular: 1.23956740087
married, younger: 2.35312396384
cleverer, clinically: 1.57247430871
extinct, unanimously: 0.566649312292
obligatory, tedious: 2.81986220115
cattled, unlikely: 0.0
hardto, sing: 0.167673034094
snug, unsustainable: 0.025960938706
current, juicy: 0.019999445643
prescriptive, scared: 0.889941900676
close, extremely: 0.538610533169
violent, well-off: 0.0
headstrong, stuffed: 0.204309846736
anomalous, simplifying: 0.784666916296
bitter, meritorious: 0.616919303868
organic, willing: 0.114281400707
pleased, two-fold: 0.0
damaged, welcomed: -0.032376502063
good-looking, vice-chair: 0
scalable, unaffected: 0.560027860035
gutsy, quick: 2.44179020397
matched, seamless: 1.54044612993
intertwined, mla: -0.320352453174
defunct, healthy: -0.364220797068
actually, far: 1.34930135148
contradictory, toasted: 0.441360662512
butthead, technical: 0.261507837644
doubtful, laborious: 1.27785767211
inoperable, recurrent: 1.64374974243
ever-increasing, ripe: 0.0
instable, suddenly: 0.843879200214
managed, representativeness: 0.336956423007
rigght, well-placed: 0
carmela, differing: 0.0
conducive, minimal: 1.6992921515
instrumental, vigilant: 1.29680942952
acclaimed, beautiful: 1.50180593611
disabled, integral: 0.169904844266
static, young: 0.114703878353
material, missing: -0.185682743298
around, poverty-stricken: 0.0
gaunt, present: 0.518354589912
synergistic, tasteful: 1.94346528067
almost, ravishing: 0.758395732591
capable, panicky: 0.797656971011
bleak, lucid: 1.87513721233
parallel, persistent: 0.362753321551
flaccid, intelligent: 0.903171552858
keen, sizeable: 1.99506902223
payable, twisted: -1.24158844316
light, unprepared: 0.41991459845
dense, dreadful: 0.520847708157
flawed, freely: 0.793117499408
subdued, superb: 1.07290023146
accessed, strangers: 0.810019175922
interoperable, self-sustained: 0.0
nearby, traditional: 0.806282722716
happen, swearing: 0.627318078434
flagrant, scheduled: 0.265015704945
patentable, unoccupied: 2.04839168327
cleaner, modernizing: 2.25777310829
challenged, unofficial: 0.253332195015
energetic, legality: -0.717234411797
3rd, peachy: 0.367954786897
settled, you: 0.126048564324
giant, long: 0.875598723755
hip, stupide: 0.0
designated, mistaken: 0.536330986409
legal, swift: 0.730476476193
insecure, that: 0.621434809137
pissed, prestigious: 0.387754631344
reassuring, slim: 0.975134173984
-lnteresting, supported: 0.0
exciting, fifth: 0.719178192695
abundant, divergent: 1.40013490334
deceased, generated: 0.335256367765
durable, entitled: -0.006157679097
lastly, limited: -0.077236934415
disgraceful, firmer: 0.241684293577
adulthood, educated: 3.00853928962
creative, serious: 0.982648364474
slow, underway: 1.76838092724
ideally, three: 0.464576672974
homesick, unspoiled: 2.27787655067
entrenched, motivation: 1.02670430518
generic, shitty: 2.10780195809
prat, technical: 0.196065550722
incompetent, modernizing: 1.24370570132
school, thought-out: 0.0
need, suspicious: 0.596626199263
co-financed, hlv-positive: 0
consistent, stone-cold: 0.0
butthead, deeper: 0.722786317958
hairy, rich: 1.11423774689
rigght, scientifically: 0.0
asinine, relaxed: 0.573588535665
opposite, provided: -0.276451761829
attentive, policy: 0.974877088907
harmless, princess: 0.87653280338
amazed, social: 0.345044798485
lively, single-ranked: 0.0
inoperable, living: 0.802514541697
lengthier, unemployed: 0.00305305715
available, ravishing: 0.152576102003
fulfilled, turbulent: 0.39874020642
accountable, export-ready: 0.0
difficult, violated: 0.924105963698
distraught, patience: 1.57493072577
constituted, desirable: 0.886448767442
foutu, sorr: 0
earliest, splitting: 0.211225921365
dirty, well-founded: 0.0
founded, unanimous: 0.856388492604
home, unidentified: 0.481881181224
demented, doing: 0.843249550445
fbl, special: 0.0
livid, whatever: 0.991882259081
prestigious, proportionate: 0.253151031034
expeditious, forthright: 2.83132371767
exhausting, suspicious: 0.265047214227
healthier, restricted: 1.08750940157
created, unusual: 0.549660462138
ineffectual, unbiased: 0.631832550002
first-hand, lamentable: 0.0
shoot, surreal: 1.1766943827
bogus, problematic: 1.27711753718
informed, recheck: 1.44876578231
expensive, pragmatic: 1.26991556099
formally, hlv-positive: 0.0
faulty, matched: 0.393444943116
greener, no: 0.807502496544
cost-shared, discreet: 0.0
fragile, identified: -0.158771809948
ail, voluntary: 0.24571579658
clara, well-structured: 0.0
far-ranging, injured: 0.0
similar, wing: 0.070841971162
included, several: 1.25913033674
every, flat: 0.765911691107
pathetic, poor: 3.24393095438
accelerated, undamaged: 0.811174059323
lead, sizeable: 1.0148635742
logical, relevant: 1.61244969398
inalienable, relaxed: 0.579827917376
discreet, safeguarded: 1.43129780695
objective, unambiguous: 2.33438756101
on, unremarkable: 0.559352017621
considered, grouchy: 0.408488204705
consequential, unprejudiced: 1.71266871302
incidental, poisonous: 1.15888812399
clear-cut, highest: 0.0
everywhere, upbeat: 0.458616402065
predominant, responsible: 1.25649590354
excluded, shorty: -0.481273416862
dire, intertwined: 2.12203063635
conclusive, trained: 0.408313741122
associated, easy: 0.598687779952
bogus, confidential: 2.41706068507
dre, extinct: 0.718628423369
insolent, sell: 0.013178568879
enraged, oriental: 0.99999231613
dumb, founded: 0.145034821663
designed, individualized: 2.31482440399
find, obliged: 0.297247868191
circumspect, nauseous: 0.738264367732
abhorrent, impossible: 2.41137603891
mere, moderately: 0.325868262941
rife, tabling: 1.03585087761
contemplated, grateful: 0.245606370376
elected, removed: 1.32131300437
friendly, inestimable: -0.46750965704
indiscriminate, inestimable: 1.11162132452
refrigerated, seropositive: 1.20169186103
combative, monitored: 0.37698951487
clarified, explicit: 1.9569092755
bone-dry, secret: 0.0
max, starved: 0.447938978883
brief, short-sighted: 0.0
bizarre, exhausted: 0.847128791875
out-dated, yet: 0.0
otherwise, related: 0.535711868637
acceptable, identify: 1.30940028367
ever, profitable: 1.21955201999
favoured, solemn: 0.0
dismissed, vague: 2.82424661629
decided, honourable: 0.0
ridiculous, skint: 2.85856711173
elevated, spontaneous: 0.528390077336
created, streamlined: 1.2800611792
commendable, late: 0.19823540597
fun, scaleable: 0.90588407576
phony, scattered: 0.556287715336
ill-defined, on: 0.0
mama, such: 0.214706519277
loveable, strongly: -0.327283185454
restrictive, subordinate: 1.02095246356
superb, voluntary: -0.073090040506
costeffective, heeded: 0.523200167185
course, thoughtful: 0.720825631029
still, unpopular: 0.651924688842
deliberately, quality: 0.253597258195
freaky, spontaneous: 1.99435209569
attainable, self-aware: 0.0
naive, wholly: 1.98537385107
commendable, injurious: 2.57131919286
flawless, personalized: 1.08978484287
however, irreconcilable: 1.29772637788
helpful, sultry: -0.219664213762
shallow, sturdy: 1.96117852522
fairer, il: -0.299533972071
existing, well-managed: 0.0
far-reaching, reduction: 0.0
babe, th-that: 0.0
long, well-tolerated: 0.0
education, good-natured: 0.0
chosen, enlarged: 0.504178527135
extirpated, warmest: 3.10385197944
complicit, unfathomable: 1.88729333581
influential, productive: 2.31158476231
null, warmest: 1.11229149303
sweetheart, under-inclusive: 0.0
battered, rubbish: 0.83447508077
dispute, louder: 0.642957061905
closer, placed: 0.418221256508
antagonistic, cooperative: 2.714865242
closed, colder: 1.04347195649
gigantic, unoccupied: 0.731998574175
ephemeral, safe: 0.665616814507
accepted, colossal: -0.005905681275
busy, challenged: 0.51150865591
sincere, uncomfortable: 1.53638518844
additionally, stopped: -0.162460366994
stale, terrifying: 0.91561619608
minus, partially: 0.82315271014
dormant, sloppy: 0.365327321797
courrier, forward-looking: 0.0
by-election, sold: 0.0
forgotten, ruthless: 1.06714497882
before, suck: 0.550958563288
comprehensively, untenable: 0.516211192343
concentrated, mindful: 1.86671160396
devastating, problem: 0.70443943126
determining, wierd: 0.079139228727
attended, professional: 0.92196431722
awaited, partially: -0.103373619104
dynamite, single: 0.197125515808
culturally, sadder: 1.51508948149
found, widest: 0.132342355385
clean, harmful: 1.40322549856
tremendous, visible: 1.33783827721
-surprised, loud: 0.0
clean, exhilarating: 0.328606500213
decided, efficacy: -0.262983934162
fortunate, partial: 0.603009737853
evil, grown-up: 0.0
discriminatory, huge: 0.057944880921
alarmed, helpful: 1.53012863588
merciful, shocking: 2.00853451019
loud, omnipresent: 1.44889417488
daunting, vague: 2.06968327349
certifiable, woolly: 2.12710776698
buoyant, standing: 0.263973145055
clearer, onerous: 2.02527235569
improvement, onerous: 0.32624574306
invaluable, respect: 1.42383910236
disrespectful, opposed: 1.96051084793
monitored, pleasant: 0.815627473608
glad, swift: 0.882798105823
fun, trendy: 1.96496288816
panicked, ripe: 0.402995187372
integrated, thorough: 1.23518686979
convenient, stronger: 0.801558907616
comin, temporary: 0.424504276186
actual, secured: -0.307779761192
export, readable: 0.583638180073
inactive, laughable: 0.705217134403
affluent, honourable: 0.0
done, lawful: 1.11262018197
enduring, substantial: 1.23254245959
jeopardized, placed: 0.821947094756
enhanced, touchy: 0.423045938492
countless, responsibility: 0.633866121605
low-skilled, migratory: 0.0
clear-cut, nuts: 0.0
defective, over-the-air: 0.0
inter-linked, usable: 0.0
impractical, intimidating: 2.17988163976
troublesome, warm: 0.864822045229
opened, vivid: 0.624498655068
generous, twenty: 0.004482273736
ill-defined, violent: 0.0
selected, tabling: 0.152633137494
compact, vested: 0.107747327988
childish, pivotal: -0.040825566289
sacred, well-balanced: 0.0
end-to-end, reachable: 0.0
predictable, rebatable: 0.0
ecological, scarcer: 1.49458220707
arguable, smooth: -0.41558852826
adulthood, described: 0.322031233737
generally, viewable: 0.983492187211
constituted, updated: 0.308514661327
illegal, impermissible: 5.03660785052
brutal, remarried: 0.642075941321
severe, stupid-looking: 0.0
cute, urgent: 0.943049146041
receptive, unprotected: 1.27650212417
else, pitch-black: 0.0
astute, seldom: 1.38842408057
deliberately, professionally: 1.3880878813
belle, so: 0.441701200223
marty, wanted: 0.33352231123
circumneutral, whatever: 0.0
proud, recheck: 0.638219880386
builshit, transparent: 0.0
maximal, underlying: 1.77707939714
defenseless, somewhere: 0.426450344495
audience, proscribed: 0.075847628991
convinced, thought-out: 0.0
deceased, goodto: 0.0
bastard, immovable: 1.20708340086
minus, underprivileged: 0.081537342983
prohibitive, refrigerated: 0.788827490746
meager, timely: 0.637851297639
redundant, shaky: 0.806470478302
merciful, synergistic: 0.295309999056
compassionate, gentle: 4.72589945527
closest, interdependent: 1.29306898901
meaner, something: 1.55721510849
intended, opening-up: 0.0
hateful, prepared: 0.43435359577
added, hardto: 0.146703786459
contentious, unjustifiable: 0.88300063395
alright, narrower: 0.213636792336
global, honest: 0.190567172302
lengthier, moron: 0.110227302267
competent, insufficient: 1.71968108259
incompetent, nineteen: 0.698557156813
asked, switching: 0.751858281878
more, rewarding: 1.17351573249
small-scale, unnatural: 0.0
liable, ping-pong: 0.0
inexcusable, well-planned: 0.0
bravest, bygones: 0.296488864955
justifiable, wide: 0.605389245965
hope, partially: 0.5962052519
jack, widest: 0.709361527637
identical, yet: 0.742660364727
application, concerted: -0.015396644127
injured, whole: -0.220007871949
grumpy, unfettered: 0.71542356056
lenient, standing: 0.577469336176
continual, salutary: 1.65192558444
formally, self-reliant: 0.0
ironic, soon: 0.501273478601
mostly, telling: 0.76096741193
comin, refined: 0.208626847973
mentioned, pro-active: 0.0
belated, coherent: 1.32038092456
prevailing, steeper: 0.449759184452
non-binding, subdued: 0.0
denser, funnier: 4.08757972862
inestimable, supplied: 0.524577025612
disappointing, nosy: 0.47767670203
abrasive, sicker: 0.895458980615
cloudy, cost-effectively: 0.0
exclusive, well-suited: 0.0
deceased, underpaid: 0.862982785893
accepted, high-quality: 0.0
pilot-tested, unprepared: 0.0
belligerent, time: 0.277521945711
excluded, sluggish: 0.223227243089
heights, visibility: 1.70596869029
cost-effectively, sufficient: 0.0
advised, cher: 0.40778396691
compatible, soaked: 0.752848287121
at, precise: 0.288527596368
afresh, lively: 0.840056974099
ioaded, question: 0.0
born, pretend: 0.839323256078
fella, marked: 0.079839833899
registered, time-consuming: 0.0
fit, quicker: 0.948406048893
action-oriented, amazed: 0.0
former, them: 0.199436233119
co-operative, pathetic: 0.0
co-funded, etcetera: 0.0
hither, regular: 0.497299020552
self-serving, sufficiently: 0.0
content, immovable: 0.20757478254
regretful, steeper: 0.140706186951
basic, cool: 0.689906015313
