disparate, finally: 0.386896262475
authentic, dispersal: 0.124749784668
exact, illogical: 1.1388110124
delicious, imperative: 0.799508477406
considerable, intelligible: -0.055844318338
incompetent, single: 0.141525904747
disastrous, pathetic: 3.04966614859
rehearse, significantly: -0.206471282359
1st, african: 1.09205030892
inalienable, macabre: -0.497466656272
beautiful, built-in: 0.0
academic, docile: -0.009673454266
despicable, hiv: 0.657718200589
motherfucker, rotten: 1.97636845512
enrolled, impulsive: 0.419305529277
explosive, folks: -0.305920402582
religious, reprehensible: 1.97614226404
bull, represented: 0.32296882606
eco-friendly, effectiveness: 0.0
aforesaid, recently: -0.008156337329
ravenous, roisin: 0.0
all-important, chilly: 0.0
individualized, phenomenal: 0.643605828165
finally, idiotic: 0.154231905552
co-ordinated, confidentiality: 0.0
impolite, sentient: 2.01407445026
overheated, related: 0.658467338519
diligent, inherent: 1.11523812639
enraged, extra: 0.233152370184
silly, standardized: 0.771992796677
childish, friendly: 1.53053039178
discussion, last-minute: 0.0
directly, transnational: 0.883059490922
limber, prepared: 1.36508080179
rusty, shot: 1.34501532613
elevated, magical: 0.702989659096
further, sympathetic: 0.41881566969
coarser, regulated: 1.29954079217
competence, onerous: 0.428291203348
allergic, kane: 0.245019428829
beneficial, professional: 0.558511133787
groovy, useful: 1.38726779381
thrilling, unwelcome: 1.06510994857
adjacent, nouveau: -0.044734737916
forgiving, greatest: 0.921320185311
hopeful, owned: -0.273166377154
fuzzy, truthful: 1.79148538138
determinable, effectively: 0.557992187489
convincing, ecstatic: 1.20712181632
actively, competitive: 1.02748338814
fairer, malicious: 0.146089934119
demeaning, wierd: 2.65883288441
distributed, secured: 1.72840773877
childish, snappy: 2.11782155053
most, south-east: 0.0
rotten, secondly: 0.808096928707
dry, irrelevant: 0.88047109053
momentary, non-compensatory: 0.0
-good, alert: 0.0
seminal, sooner: 0.306263553379
disciplined, re-established: 0.0
christian, rapidly: -0.62972048026
susceptible, violated: 0.738414300587
latest, uniformed: -0.111364784188
sudden, unfortunately: 1.02407081244
angry, unseemly: 2.3725952729
fast-growing, happened: 0.0
due, max: 0.01566242383
proud, wrong: 0.844936444223
inequitable, southwestern: 0.243231569076
contemplated, deep-rooted: 0.0
butthead, imminent: -0.03236280447
destitute, left: 1.33646429952
elderly, intriguing: 0.176544572128
realist, requests: -0.456365699682
legibly, prohibitive: 1.23351547621
damaging, enormous: 1.04837600519
repulsive, unoccupied: 0.70149503705
near, no: 0.451860119081
fair, use: -0.126264424955
fuckin, rising: 0.658188368269
now, prepped: 0.630237851305
debatable, deceased: 0.039988554191
prohibited, unmistakable: 0.671762240932
differing, focussed: 0.768345806781
abreast, vicious: 0.004831354643
hairy, psyched: 2.58257190162
cited, her: 0.454215584233
inferior, slick: 1.40451333085
distraught, pathway: -0.113241790851
self-serving, unchangeable: 0.0
commitment, shipshape: 0.864030847812
full, gross: 0.839068273266
disoriented, reasonable: 0.655786769541
asshole, phenomenal: 0.395651421252
selfevident, slender: 0.0
emphasise, modernizing: 0.0
good, met: 0.620000116932
hiv-positive, unequal: 0.0
feeble, mindful: 0.858137473644
n'tunderstand, wicked: 0.0
dre, than: -0.022822972938
angry, hopeful: 1.8385463289
adaptable, apparent: 0.411013873833
oral, unknown: 0.634276969673
guys, sick: 1.34781158927
facultative, unharmed: -0.036957941294
precarious, surprising: 1.89899997209
anymore, permanently: 1.2101469594
self-sustained, shocked: 0.0
darling, psyched: 1.34818165043
unrelated, wet: 0.061586470312
apolitical, petrified: 0.978307955381
mandatory, stagnant: 0.893975650577
destabilizing, impossible: 1.77564458459
instrumental, shallow: -0.162384496962
indicative, subtle: 0.984240718376
previously, swearing: 0.064259999331
craze, extirpated: 0.440639704676
recheck, unresolved: 1.02125776542
blended, innocents: 0.461025746408
bored, emaciated: 2.74660362794
unhurt, updating: -1.04432212413
objectionable, unable: 1.08186614071
delayed, endemic: 0.656503722405
insurmountable, restored: 0.477133866248
awareness-raising, unacceptable: 0.0
reasonable, sonny: 0.625342602553
courageous, transparent: 1.70713724896
infrequent, rarer: 4.09132394552
comprende, prolonged: 0.074192409079
hateful, potential: 0.262353358327
asian, partially: 0.833331404411
accustomed, exponential: 1.90854197967
kinda, round: 0.708068983218
safest, widest: 3.99565654969
limp, withdrawn: 1.33372240533
demented, salute: 0.574094239829
satisfied, satisfied: 7.48740158455
jump, unsound: 0.411734419869
fair, obstinate: 0.527362916446
current, pushy: -0.205031264842
smooth, thriving: 0.599953365521
proper, related: 0.884531698789
continuous, sick: 0.05226379856
angry, grown-up: 0.0
fantastic, mental: 0.963223430495
hairy, lengthy: 1.1382900756
merry, sombre: 2.07285814233
prepared, seamless: 0.639956779004
expressly, however: 1.21539744116
disputable, refreshing: 0.703624258301
high-ranking, undeveloped: 0.0
incredible, unremarkable: 1.65652331337
lengthy, stable: 0.480344136403
mindful, unachievable: 0.760599160195
sustainable, tall: 0.93693578355
emphasise, insulted: 0.0
co-ownership, predominantly: 0.0
overwhelmed, terrible: 1.73539126212
challenging, ominous: 1.49316165416
international, mistaken: 0.041032965233
heeded, peachy: 0.564486036746
catastrophic, conceivable: 2.24146210521
partial, skeletal: 1.20716259271
open-minded, spatially: 0.0
instable, out: 0.283315560382
aesthetic, stocky: 0.87189562291
aforementioned, introduced: 0.393875956896
met, unspeakable: 0.456193113766
irrelevant, macabre: 1.41384369068
northeastern, personally: -0.228579901655
equitable, scattered: 0.721251354322
boring, brand-new: 0.0
extreme, payable: -0.224803696033
government-owned, personalized: 0.0
indisputable, tardy: -0.15240475799
iil, respectable: 0.0
skeletal, tan: 1.11664305334
equal, most: 0.139078301839
cross-border, wack: 0.0
supplied, thank: 0.417411387258
designed, social: 0.405717418254
ever-changing, inspirational: 0.0
further, real: 0.866184541354
fucked-up, secret: 0.0
inoperable, practical: 0.667687178068
encouraged, integrating: 1.02556461874
becoming, forward-looking: 0.0
mideast, thank: 0.394398285016
complements, impossible: -0.193262188097
insurmountable, multi-faceted: 0.0
distinct, reasoned: 0.613319673846
blurry, tenable: 2.14830561226
arming, skilful: 1.18352698084
eligible, else: 0.816446284334
happier, profitability: 0.442535996858
oversensitive, wing: 0.901584065774
invalid, like: 0.392727865034
ice-cold, unable: 0.0
egregious, high-quality: 0.0
reckless, wanna: 1.20106914652
dramatic, mutual: 0.276903449669
capable, restrictive: 0.483074999621
boundless, sudden: 1.26059622074
assured, unprepared: 1.09603218098
soft, straight: 1.29714521989
disadvantaged, guilty: 0.828606564633
application, unimportant: 0.383464741869
baseless, reimbursable: 0.990945336157
-surprised, formerly: 0.0
indicative, unaware: 2.17577629555
easiest, yearly: 0.418179972305
crucial, lethal: 1.47085600338
increasing, socio-economically: 0.0
alien, brightest: 1.30581651647
dummy, non-compliant: 0.0
bureaucratic, salute: 0.191585635209
almighty, unnecessary: 1.25578315753
recent, south-east: 0.0
faster, satisfying: 1.32148370344
a, dire: 0.0
pristine, screwy: 0.662405551672
ongoing, uptown: 0.419397677399
chubby, understood: 0.37054990914
bad, coordinated: -0.309880493246
preposterous, priceless: 2.17312079555
naive, reprehensible: 3.277996806
quoted, soothing: 0.228435786287
prominent, remarried: 1.23834285924
simillar, undisturbed: 0.321716803356
pertinent, pitiful: 1.11433438889
to, uppermost: 0.0
hey, reasoned: 1.06108613629
fatal, polished: -0.239942941658
dickish, unconvincing: 1.844849241
disclosed, immense: 0.585091774055
late, smug: -0.092137904776
demeaning, freak: 1.49922124888
constituted, rad: 0.586073616824
deliberately, lightweight: -0.040318405637
bolder, mild: 1.0387361389
imperative, unanimously: 1.2810408337
afresh, ordinary: 0.80783616324
appreciated, assertive: 1.57331780513
coordinated, sober: 1.2019452161
encompassing, greener: 0.846620988837
determinative, unwholesome: 1.95182761824
updated, well-reputed: 0.0
deep-rooted, term: 0.0
-sorry, careful: 0.0
helpful, slightly: 0.381609291505
deliberate, sultry: 0.914154031222
upbeat, weii: 0.0
affected, launching: 0.065278766197
prerequisite, reinforcing: 1.78517451981
automated, before: 0.676007296805
added, great: 1.26829676095
industrialized, protected: 1.19651203274
met, straightforward: 0.401638693257
experienced, human: 0.548089764277
bad, up-to-date: 0.0
arranged, cleared: 1.79246309184
motherfucker, under-funded: 0.0
excessive, remediated: 0.340757833256
acute, brilliant: 0.609829417207
feasible, intact: 1.33552856801
all-inclusive, well-organized: 0
harmonised, wealthy: 0.0
generic, interestedin: 0.0
positive, unfettered: 0.117944925127
tighter, unsustainable: 2.01095389571
ended, naturalistic: 0.274793775044
sturdy, surreal: 0.704225639099
certain, involved: 0.744126237698
gaunt, wanted: 0.617260727553
disorientated, drier: 2.23136097496
aggressive, probable: 0.944311281891
complex, sporadic: 0.575405644888
definite, socio-economically: 0.0
multi-ethnic, unlimited: 0.0
related, taller: -0.716061669846
consistent, larger: 0.53843964068
kind, wide-open: 0.0
extensible, uncanny: 1.21476817477
better, but: 0.865781992049
constrained, given: 1.3526162534
rampant, remarkable: 0.740684184818
associated, self-conscious: 0.0
griet, irritating: 0.0
progressive, unequal: 1.56702263948
gifted, marine: 0.175159927154
asshole, peculiar: 0.918695721309
extraordinary, fanta: -0.133033501903
finicky, losin: 0.901354230628
deposited, hypersensitive: 0.118264127285
impressed, surrounded: 1.48655499904
especiaily, under-inclusive: 0
energetic, ungrounded: 0.731793756846
nearly, remarried: 0.865294395383
accessible, based: 0.527046458685
considerably, why: 0.511824517819
inevitable, kinda: 1.24184755329
existing, user-defined: 0.0
culturally, neurotic: 1.72826960066
accuracy, win: 0.831693213741
nutty, withdrawn: 0.358861399214
expandable, fullest: 0.573638512546
horny, unprofessional: 2.18946153951
doin, unimportant: 1.22042891247
interactive, nuts: 0.167806269166
official, thrilled: 0.186539418706
envious, facilitated: 0.624055352647
a-okay, nathan: 0.0
inconvenient, interested: 1.05392819974
history, marketed: -0.29769374173
lowest, real: 0.600292884101
acknowledged, creepy: -0.083157353464
task-oriented, time-consuming: 0
discreet, pre-established: 0.0
griet, weirder: 0.0
infected, vast: 0.157783435502
belligerent, disappeared: 0.802064837379
talented, widely: -0.067966257247
delusional, to: 0.0
girlie, unaware: 0.134284477843
compassionate, now: 0.336485601838
de-insured, losin: 0.0
reaching, worldwide: 1.05707722327
grown-up, toast: 0.0
oldest, problematic: 0.649231903785
cancelled, well-paid: 0
drenched, flawed: 0.925420987349
imminent, precious: 0.93497237482
astounding, envious: 1.95654439305
outside, subdued: 1.00479183905
euphoric, rigorous: 0.051555052575
stopped, temporarily: 1.54754849723
continual, ill-conceived: 0.0
hideous, lighter: 0.990044289624
onerous, opportune: 1.41533564528
cheaper, yo: 0.197960363955
bad-looking, reasoned: 0.0
connected, muted: 0.20748632442
dickish, nice-looking: 0.0
hands-on, user-friendly: 0
hurtful, single: 0.496432095566
discreet, empowered: 1.02355266855
distant, fluid: 0.805591720715
interestedin, radical: 0.0
unaltered, unpredictable: 1.97368729684
bastard, luckier: 1.64984376066
sharper, slightly: 2.73217184682
dense, vigorous: 1.6671938324
overt, political: 2.02571752602
iegitimate, plausible: 0.0
generalised, tentative: 0.0
fascinated, visual: 1.81947602546
hardworking, resolved: 0.183455749762
inexcusable, treated: 1.17255675554
manifestly, overly-high: 0.0
cited, unanswered: 0.44275101476
apparent, seductive: 0.591355415788
action-oriented, socio-economically: 0
hard, heights: 0.600526522548
science-based, seminal: 0.0
hiv-positive, understood: 0.0
gratifying, presentable: 1.0213972608
invested, overemotional: -0.126710419893
bothersome, brainless: 1.90811977751
far-ranging, proportional: 0.0
induced, palatable: 1.06810759554
interoperable, largely: -0.389848581182
fewer, glad: -0.0100747581
marginal, thirteen: 0.245764979106
strict, work: 0.412117525325
funnier, presumptuous: 2.42907740147
experienced, recheck: 0.228381046963
susceptible, win: 0.334421176799
steady, widening: 0.779289054457
emotional, estimated: 0.61903335686
lesser, purty: 0.690356479313
griet, scarce: 0.0
fancy, mission-critical: 0.0
this, understood: 0.542011821261
focussed, incomplete: 0.446494865311
doable, taller: 1.3711679025
alien, stillborn: 1.5998562077
-me, interactive: 0.0
badly, relevant: 0.273182519159
increased, naturalistic: -0.093826680718
comfy, judicious: 0.960422068932
cloudy, frequent: 0.679733232975
used, yearly: 0.50270578668
binding, unfettered: 0.92569956028
good-looking, seductive: 0.0
manifold, supplementary: 1.551446143
atrocious, user-defined: 0.0
long-standing, well-founded: 0
affluent, tardy: 0.388004647152
exciting, sorry: 1.19068111605
performed, thoughtful: 0.463246982814
educational, explosive: 0.706511757907
crowded, defunct: 0.139573402128
sharper, similarly: 0.99622029748
doable, liquid: 0.551417662946
dispersal, orderable: 0.657289516712
still, untouched: 1.17036053244
everyone, flexibility: 0.362627216549
considerably, valid: -0.263124790623
deceased, refreshing: -0.281515403129
entirely, unofficial: 0.682748890731
madness, more: 0.096349899181
minimum, screwy: 0.127178741731
many, reassuring: 0.710910459222
definitive, rude: 0.214448554842
emerging, reassuring: 0.449873040831
energy-efficient, profitability: 0.0
minuscule, spontaneous: 1.24645574217
insane, stand-alone: 0.0
sinful, subsequent: 0.574512431419
heeded, properly: 0.403926618435
charming, numerous: 0.153101849235
explicit, idiots: 0.534098203995
momentous, to: 0.0
blank, worried: 0.508941438456
awareness-raising, predictable: 0.0
complimentary, thrilled: 2.40823847683
corresponding, preponderant: 1.29006741344
enriching, overripe: 1.01005334288
alien, maximum: 0.282955151102
also, enough: 0.756837098098
clearer, sugary: 1.22046386361
contemporary, fat: -0.196093801198
germane, world-wide: 0.0
cleared, one-sidedly: 0.0
strictest, well-suited: 0.0
smokin, unhurt: 0.593068660749
boy, constructive: 0.368744214757
drier, physical: 0.239221031542
costeffective, youthful: 0.47232698794
functioning, nervous: 2.10126791152
disruptive, hands-on: 0.0
awaken, historical: 0.038684375145
butthead, elongated: 0.565339960169
-ready, well-balanced: 0
naked, often: 0.678450529415
first-rate, smoother: 0.0
ironic, new: 0.56739702736
green, wealthiest: 0.457851353418
lengthier, romantic: 1.4419800436
defunct, woolly: 0.325666597222
implementable, profane: -0.041734984599
grieved, relaxing: 1.35826556806
dismal, well-reputed: 0.0
rigid, well-respected: 0.0
effortless, identifiable: 1.12139183201
generated, immense: 1.33520243354
de-insured, obstinate: 0.0
rough, well-behaved: 0.0
elle, repeating: 0.211300508005
defined, government-owned: 0.0
co-, owned: 0.0
opening, warmest: 1.36964690741
brief, recognising: 0.0
planned, primary: 0.411681526507
hilarious, prepared: 0.482651702099
exposed, reachable: 0.95842591029
urgent, worse: 1.27151379749
booked, publicly: 0.137082590401
info, thirteen: 0.275489929451
girl, selfevident: 0.0
state-funded, vigorous: 0.0
stifling, wanted: 0.091710769217
hither, work: 0.150918832436
inoffensive, merciful: 2.3628451781
babe, morbid: 1.49513451628
boring, invariable: 1.46841879376
crazed, strengthening: -0.189536731186
merely, mum: 0.123460608355
gorgeous, nuts: 1.44753682831
comparable, wider: 1.3708414629
living, re-established: 0.0
time, unprepared: 0.826344400744
across-the-board, thrilling: 0.0
inherent, soft: 0.603707158642
graver, problematic: 2.53237356288
insulted, unpublished: 0.380677422661
furthest, right-: 0.0
volatile, weighted: 2.47227624049
excellent, smartest: 1.58016634242
exposed, rigorous: 0.527278986708
emotive, ideally: 0.60521704166
broad, grouchy: 0.542178400993
dubious, master: 0.540225040583
ill-founded, uptight: 0.0
flaccid, formal: 0.504682949575
fifty, mideast: 0.392458178498
short-lived, year: 0.0
exhilarating, stillborn: 0.385946663448
honorable, shot: 0.543154501573
certainly, recognizing: 0.738432963825
flagrant, scarcer: 0.811808493563
arguable, shiny: 0.323166914278
heaviest, provision: 0.409562293565
high-tech, skinny: 0.0
heavyset, underage: 1.48546793377
focussed, responsible: 2.51711210532
multiple, uncanny: 0.915225437602
broader, nice: 0.782081564345
disrespectful, obscene: 5.20353806719
changed, supplementary: 0.466151256181
luminous, thin: 2.46160084307
appalling, holier: 1.79279867029
nutty, working: 0.129336016342
inter-dependent, submitted: 0.0
dainty, marvellous: 0.0
ill, question: 0.539130815478
dotty, informal: 0.86584540529
honourable, legendary: 0.0
interesting, plausible: 3.04625674977
curious, finite: 0.977929772424
cheery, relaxed: 2.57244967442
glorious, honored: 1.10204200049
maximum, missy: -0.362417396851
ignorant, to: 0.0
-sorry, deeper: 0.0
first-hand, thready: 0.0
guys, respectful: 2.10590331405
addictive, extensive: 0.983676040232
all-powerful, grand: 0.0
juvenile, multi-faceted: 0.0
criminal, utilized: -0.369846537757
allright, exceptional: -0.007022918026
cherry, irritable: -0.600531721301
tonight, way: 0.923010391881
invisible, self-sufficiency: 0.0
iucky, obese: 0.0
generally, over: 0.388577484936
dickish, shiny: 1.16961078483
staff, sugary: 0.119183392448
fascinating, first-hand: 0.0
emaciated, marginal: 1.04147492899
following, ideal: -0.255335322126
equivalent, lousy: 1.41645546753
old-fashioned, self-sufficiency: 0
tom, yeah: 1.98191196274
incompatible, stress-related: 0.0
deprived, down: 0.551549457784
co-dependent, correctly: 0.0
fabulous, innocent: 0.764448220358
abundant, surer: 1.62180248787
complicit, repeated: 1.1150103199
controversial, unlikely: 1.9516669851
abysmal, formally: -0.065593216182
hearty, tepid: 2.76172884288
awkward, tired: 2.06243577125
longest, senseless: 0.143634473453
facilitated, ridonc: 0.0
invalid, zero: 0.566273035137
idiot, unchanged: 0.089539828217
democratically, regulated: 1.95409540917
frantic, unchangeable: -0.71714886184
accelerating, elle: -0.041194464995
heavyset, trippy: 1.10026766452
nosey, weary: 0.0
celebrated, overheated: 0.134069457239
changed, newborn: 0.48155542029
contemptible, determinative: 1.7077780356
inter-linked, preposterous: 0.0
mentioned, mere: 0.66336500732
impaired, th-that: 0.0
debate, recognised: 0.0
confidential, whole: 0.230156976881
peaceful, unattractive: 0.681769665366
formal, skeletal: 0.630551916709
laughable, unitary: 1.74273634548
retarded, slight: 0.77031539966
antagonistic, enduring: 0.853306438338
in-progress, vital: 0.0
severely, transient: 0.827718271763
astute, encouraged: 0.640434759305
blank, priced: 1.00340166682
doubtful, fast-growing: 0.0
heartbroken, triple: 0.195044870951
johnny, nutty: 2.13463228796
financed, optimum: -0.314205440868
friendlier, losin: 0.228625925504
kind, tan: 0.347103293285
defenceless, thought-out: 0
broader, lower: 1.78981096828
singular, toast: 1.09303945161
merciless, unresolved: -0.036884294913
fierce, nicer: 0.49425710806
exaggerated, rehearse: 1.11368539711
flattered, unpredictable: 0.812152542835
installed, than: 0.527620408779
operated, uneconomical: 1.42249419691
frankenstein, random: 0.986155997583
declared, trippy: -0.441563424087
greater, reduced: 2.8487451761
alarming, giddy: 1.80931310834
minus, scandalous: 0.386250152257
admissible, timid: 0.263937499099
appalling, term: 0.251933439957
able, traumatic: 0.988146057086
accelerating, troubled: 0.544200656749
accessed, equal: -0.183565237082
justifiable, ourselves: 1.76888751338
deserved, emerged: 0.665687592616
captain, far: 0.423016369937
fraudulent, very: 0.027002807878
gross, handsome: 1.47727169201
constantly, jump: -0.218149829798
every, refundable: 1.01063452517
brutal, bygones: 0.568557520348
soaring, unbiased: -0.179033701534
first-rate, freer: 0.0
gruesome, kidding: 0.304522097899
max, stillborn: -0.061289315344
adaptive, mainly: 0.169624005272
added, doable: 1.3482142261
noteworthy, sizeable: 1.979433396
gandalf, irate: 0.0
corny, impermissible: 1.06752442903
inequitable, right-: 0.0
nigh, nouveau: 1.9363358906
differing, liberated: 0.386513199463
ever, obese: 0.798312264139
contemptible, reai: 0.0
additional, noble: -0.390765660517
extinct, quiet: 1.13561899348
glowing, milder: 0.750716675635
expeditious, slender: 0.0504046829
final, vice-chair: 0.0
rational, reciprocal: 2.45330754367
equal, greedy: 0.616588399057
contrary, uncomplicated: 1.03974708756
everything, thick: 0.784146728694
inescapable, outermost: 1.14532751926
different, suicidal: 1.06679999494
fucked, stupid: 4.32479205331
dangerous, schizo: 1.64004846992
impolite, reasonnable: 0.0
apart, nigeria: 0.372933850371
unclear, unnerving: 1.9167582349
asinine, courrier: 0.331885722102
meaner, ourselves: 1.50964597522
innocuous, unreliable: 2.0126863092
again, incredible: 0.92893546846
one-sided, reyes-torrena: 0
elevated, warned: 0.764462853752
prescribed, threaded: 0.39899394156
advantageous, tougher: 2.39364344576
absent-minded, rational: 0.0
unheard-of, vigorous: 0.0
adulthood, gone: 0.54300085763
adjusted, impolite: 0.618530943396
maximum, tremendous: 1.88832599005
nude, thin-skinned: 0.0
hopeful, universal: 0.3387505675
anomalous, inspirational: 0.339427878615
bloodied, romantic: 0.065465939136
cuter, silly: 3.0333855298
dissimilar, mean: 1.41176561221
blow, non-competitive: 0.0
observant, rarely: 1.44243836216
inter-connected, sociable: 0.0
weighted, worded: 2.75983237364
accordingly, held: -0.380593061326
heavier, herein: 1.68074614389
arbitrary, calm: -0.256180945289
contentious, justifiable: 1.17463707486
newsworthy, provided: 0.45826148538
-surprised, peculiar: 0.0
convincing, interesting: 1.67336794512
inoffensive, romantic: 1.96853118312
looser, troubled: 0.788710314627
lifelong, unwholesome: 1.06098510165
adverse, emotive: 1.16411118328
controlled, crazed: 1.14048997647
cynical, loose: 0.50640685194
funny, invalid: 1.33696178647
ten, thready: -0.053164198735
craze, unemployed: 0.61717166218
across-the-board, outstanding: 0.0
below, fanta: 0.035065128837
grouchy, practically: 0.515003219951
deductible, quadruple: 0.979349036934
determined, well-received: 0.0
nonsense, unseemly: 1.71830097298
course, poor: 0.281346719315
moody, retard: 0.45846529351
need, repeating: 0.377285215248
ordinary, outermost: -0.35632537304
adulthood, optional: -0.455734331883
flourishing, technology-neutral: 0.0
although, guys: 0.23323860311
evolving, voluntary: 0.077436994277
bastard, southeast: 0.162027122122
checked, violent: -0.081119248687
newer, progress: 0.415035784358
formed, immense: 0.359759376964
cooperative, vigilant: 1.42770617452
etcetera, pale: 1.1559962899
acknowledging, repeated: 1.75812566425
forgotten, neglected: 3.75165968968
e.g., impoverished: 0.0
discrete, sooner: 0.323465780038
aggravating, peripheral: 1.33819560291
apposite, salient: 3.59399671799
curious, economically: -0.106686615321
but, subject: 0.743876325347
intimidating, understanding: 0.568417269877
compensatory, mysterious: 0.252958746126
irate, qualified: 0.787643503647
appealing, variable: 0.460346899226
active, soft: 0.55904817189
uneven, volatile: 3.00463460298
cruellest, yearly: 0.192694705299
blameless, nude: 1.43637739559
pushy, repulsive: 2.40854986778
-so, living: 0.0
exquisite, soft: 1.54305887934
15-year-old, mindful: 0.0
inconclusive, useful: 1.94199378661
dainty, functioning: 0.16826850288
well-prepared, well-respected: 0
copacetic, stipulated: 1.19062054034
desolate, pristine: 3.9105967467
belle, indiscriminate: 0.163064409357
awake, firstly: 0.15363375646
emphasise, low: 0.0
hurtful, know: 1.72060122768
brainless, germane: 1.709487284
inevitable, starved: 1.33400959627
equipped, rapid: 1.14882100396
facultative, unsafe: 0.225557910846
launching, poisonous: -0.004145098643
pleasing, searchable: 0.540003393795
here, wondrous: 0.730607224319
biased, rigorous: 1.25016085567
emphasise, marvelous: 0.0
bro, hypersensitive: 0.283868327327
back, unremarkable: 0.471299864906
unimportant, up: 0.560238935173
right, thinner: 0.15759976034
facilitated, mixed: -0.127698830778
second, sonny: -0.193817759247
addictive, simply: 0.984700842154
better-iooking, change: 0.0
