filthy, pitch-dark: 0.0
broader-based, kosher: 0.0
hotter, scant: 0.91019491238
casual, indisputable: 0.187025095753
multi-ethnic, thankyou: 0.0
few, practical: 0.873050991374
asian, dearer: 0.862963152565
invalid, manifest: 1.75091841439
dismissed, integrated: 0.49352112498
belle, missing: 0.47104288812
better-quality, relentless: 0.0
deficient, recognized: 0.861744757822
gone, sharp: 0.24081756646
such, well-organised: 0.0
snarky, teeny: 2.67486892699
omnipresent, overworked: 2.03424727822
accuracy, well-timed: 0.0
dense, magic: 0.316571476979
abused, by-election: 0.0
compact, mainstream: 1.22550751295
disingenuous, initially: 0.402131269724
irate, moody: 1.17629789122
declared, ecologically: 1.17284780511
concrete, positively: 1.0419754758
accuracy, david: 0.577711380311
authoritative, distant: 0.875594005574
optimal, yearly: 0.927046971606
by-election, tom: 0.0
timed, vulnerable: 1.03587086496
topical, widest: 1.47746215416
ice-cold, sedentary: 0.0
healthy, stern: 1.03110746288
newest, recognizing: 0.655172851388
cognizant, proscribed: 1.15325404119
indefensible, non-exhaustive: 0.0
acceding, exempt: 1.33001076735
admitted, tasteful: -0.575009113014
courteous, displaced: 0.76537259107
grass-roots, slight: 0.0
possibly, unequal: 0.169199435162
attended, state-run: 0.0
socio-economically, stricter: 0.0
prime, updating: 0.357106938029
complements, partially: 0.409690910187
confrontational, negligible: 0.362631776633
regretful, triple: -0.14453935715
executable, provisional: 0.962654029551
disturbing, ill-conceived: 0.0
fucked, ioaded: 0.0
admissible, flammable: 2.39133097303
free-standing, unaware: 0.0
homesick, southeastern: 0.85728920334
handsome, newborn: 1.16184863763
ferociously, free: 0.227604582833
happening, international: 0.424983748941
