merely, nice: 1.05236065215
impressed, negligent: 1.23214126259
blurry, medical: 0.73040924752
across-the-board, squat: 0.0
insignificant, lasting: 1.51128785232
agreed, workable: 1.38789070013
more, pissed: -0.059822906722
merry, peripheral: 0.808492454981
done, tiny: -0.100474936446
industrialized, stated: 0.070238838055
apparent, harmful: 0.293349525967
destructive, unsanitary: 1.84264689218
hard-pressed, restless: 0.0
domestic, everybody: 0.160861081708
latter, lovable: 0.415553279839
grotesque, louder: 0.974305942724
industrial, mobile: 1.08877882451
across-the-board, distressing: 0.0
reachable, weak: 0.811261290106
discretionary, yesterday: -0.052631986498
apologise, dark: 0.0
snappy, unsavory: 1.29130798307
booked, recognized: 1.55569685781
genuinely, moody: 1.55067274331
depressing, insupportable: 2.87735796229
alternate, unchanged: 1.36491574229
discernible, sophisticated: 1.01440233904
clearest, visual: 2.46211118157
eerie, obese: 0.089565767338
announced, stylish: 0.338939856336
ghastly, preferable: 1.18895745212
recheck, targeted: 0.005271147392
misguided, sponsored: 0.922229057241
practice-oriented, touching: 0.0
nice-looking, temporarily: 0.0
expanded, transnational: 0.940342932907
apologise, sealed: 0.0
uneven, wacky: 1.40790482756
cozy, leaner: 1.26203840881
expandable, nessessary: 0.0
gravest, treaty: 1.9207493972
dire, invisible: 1.25333818653
determinable, detrimental: 1.4592761142
alone, splendid: 0.50159463341
suitable, unable: 1.12412824999
brain-dead, disrespect: 0.0
hourly, secure: -0.227274257348
accurate, darn: 1.57021691293
brand-new, further: 0.0
chaotic, incompetent: 2.66751178694
received, subsequent: 1.09395654477
geek, missingg: 0.0
importantly, unconventional: 0.876708367708
diversified, probably: 0.527271534664
complimentary, executed: 0.113129761795
cleverer, heavy: -0.215470645899
in-house, rapidly: 0.0
competence, inside: 0.077959122459
improbable, risky: 2.79650572967
abysmal, hiv-positive: 0.0
healthier, them: 1.06461859504
anyway, self-employed: 0.0
moot, old-fashioned: 0.0
self-sustained, zero: 0.0
advertised, rarely: 1.00738368765
confident, reassuring: 2.46821561798
anxious, twisted: 0.968342062028
intractable, paramount: 1.27627970782
represented, thought-provoking: 0.0
heated, suicidal: 0.280483201737
concerted, well-paid: 0.0
disposal, still: 0.620722062419
pretty, warmer: 1.20261848966
indispensable, traumatic: 0.60073197306
gorgeous, tremendous: 1.34962885731
puny, safe: 0.629077041675
advantageous, all-embracing: 0.0
dreadful, unnatural: 2.02345692978
costlier, switching: 1.42194351688
good, smooth: 1.78334969555
answerable, startled: 1.63255887194
inconclusive, peachy: 0.381250071016
enraged, matched: 0.703375996313
displaced, relative: 0.668829468385
costeffective, fullest: 1.19408954969
accelerating, supplemental: 0.368074476183
elaborated, this: 0.512515782709
drawn-out, first-class: 0
identify, indigent: 0.507987171773
ail, seropositive: 0.279699561147
poorer, theoretical: 1.08629464012
entertaining, well-balanced: 0.0
built, demeaning: -0.153203586411
ugly, weird: 3.13322110956
dispute, responsive: -0.297766032971
exhausting, terrible: 1.53648881205
practically, simplest: 1.42804762836
astounded, silent: 0.782072890602
distressing, seductive: 1.60526159994
migratory, multifocal: 1.66632346602
day, implausible: 0.276091486321
creditable, rather: 0.220962198847
influential, science-based: 0.0
essential, violated: 0.774521677181
imminent, top: 0.233790273178
apposite, transparency: 0.749688916441
creditable, long-term: 0.0
historical, inexpensive: 0.277040944049
counterfeit, momentous: 0.401094843388
ghastly, sturdy: 1.02907373306
adopted, southeast: 0.352282023289
dainty, require: 0.746669727873
forward-looking, petrified: 0.0
absolute, snappy: 0.33974697015
delay, squat: -0.344930743851
horrific, well-defined: 0.0
alien, straightaway: 0.595863648142
2nd, lackluster: 0.560544310884
enough, quality: 0.979551437428
first-rate, lost: 0.0
bizarre, delirious: 2.81735251656
immediate, wish: 0.666244034186
farther, insufferable: 0.298888493143
furious, worst: 1.40370979815
incongruous, tonight: 0.043317056889
controversial, splitting: 0.964591615121
adverse, flexibly: 1.73318624427
busy, fanta: -0.04816805994
attention, mieux: 0.67797633278
intractable, well-defined: 0.0
lonely, western: 0.841318462357
antiquated, time-consuming: 0.0
eager, ridiculus: 0.473425428084
better, streamlined: 1.71300992504
okay, stout: 0.834998419655
constant, scant: 1.98010456451
battered, coherent: 0.525569901676
brand-new, operative: 0.0
defined, private: 0.459656937935
optimum, shortly: -0.228424854412
constant, spooky: 0.60656855135
established, lovely: 0.135218982628
rough, shiny: 1.15818044852
convincing, respectful: 1.75116360814
recommendable, weaker: 0.451383277649
relieved, rusty: 2.35435962484
illogical, seductive: 1.69437141838
stellar, unheard-of: 0.0
elderly, initially: 0.153833995017
fertile, unjustifiable: 0.883596728148
bulletproof, heights: 0.536069733678
deep, well-targeted: 0.0
credible, favoured: 0.0
microscopic, technology-neutral: 0.0
agreed-upon, truth: 0.0
annoying, mightier: 1.81540414216
interdependent, unbiased: 1.89117080468
disjunct, taller: 0.888814520441
explosive, nice: 0.899300645777
extraordinary, met: 0.950598750447
iittle, re-routed: 0
considerate, political: 0.728711229045
dismissed, finer: -0.627031332253
popular, sketchy: 1.24083954078
long-standing, precious: 0.0
secondary, six-year: 0.0
diseased, prejudicial: 2.4104271364
e.g., korea: 0.0
celebrated, degraded: 0.098587183691
already, insufferable: 0.345331915865
practice-oriented, served: 0.0
sunny, unpublished: 0.233180780749
brightest, qualified: 2.22304559427
a-okay, reversed: 0.0
nearby, subsidized: 1.02804090506
alarming, facilitated: 0.257688267247
lit, youth: 0.633533500691
articulated, sale: 0.119031822818
cooperative, squeamish: 0.582225080496
co-ownership, rotten: 0.0
incalculable, non-specific: 0.0
mama, nascent: 0.70912425431
harmonised, reported: 0.0
boundless, dying: 1.16750333059
graduate, iovely: 0.0
official, precisely: -0.134232700616
pitch-black, uninsured: 0.0
recognizes, trained: 0.81971002618
pervasive, provision: 0.944489672835
rife, tasteful: 0.824281534137
done, wiser: 1.27635609458
cleaner, twisted: 0.222919659818
butthead, thus: 0.375574331521
poverty-stricken, stillborn: 0.0
doubled, other: 0.194615312529
fun, uncontroversial: 0.953412605857
hardworking, working: 2.33447439025
thrilled, vice-chair: 0.0
dead-on, existing: 0.0
scrumptious, tougher: -0.1806901015
informative, standard: 0.438759951058
negative, pro-poor: 0.0
kidding, shitless: 1.47455690427
abysmal, rude: 1.97965134447
abolitionist, smokin: 0.954968396565
extraordinary, less: 0.194570498912
right-, severe: 0.0
generated, invisible: 0.872556439596
contaminated, immutable: -0.339927055343
authorized, drunk: 0.684840614425
concrete, wish: 0.219079129422
mentioned, published: 2.19689619798
aggressive, plentiful: 0.658007512074
far, troubled: 0.681777998662
chickenshit, ironic: 1.97367681794
-sorry, pricey: 0.0
impeccable, trivial: 0.558235946394
hypersensitive, ten: -0.465517813704
satisfied, workable: 2.02396980323
see-through, sober: 0.0
known, renowned: 2.4259193221
left, unappy: 0.0
selfevident, well-filled: 0
obscure, vicious: 0.569752954638
essential, firmer: 0.940716746013
realist, rock: 1.29362113091
aesthetic, funky: 3.18936806647
combative, functional: 0.674118800518
interdisciplinary, quickest: -0.344743099059
deceased, fledged: 0.388390758435
entertaining, mama: 0.552127919017
meagre, thoroughly: 0.0
risky, untouched: 0.891046727109
presumptuous, unitary: 1.74641151773
calm, testy: 2.9814668528
multi-dimensional, statutory: 0.0
innocents, secure: 0.111657619102
easiest, further: -0.234455992319
thready, unfriendly: 0.530697829457
stillborn, vacant: 1.15327227894
exhausted, wholesome: 0.406537824938
dedicated, louder: -0.11599724572
fast-switched, rapidly: 0.0
warmth, well-prepared: 0.0
breathtaking, depressed: -0.429708250627
celebrated, max: -0.56643217619
overpriced, terrible: 1.16817210677
creepy, phony: 2.19955132479
flavorful, fraudulent: 0.793854692934
deposited, unnatural: 0.162557298252
invested, remarkable: 0.827678600344
representative, sensible: 0.055567375133
formed, offensive: -0.136579539399
living, well-organized: 0.0
disorientated, historical: -0.481855004606
represented, tepid: -0.175252025078
adversarial, unaltered: 0.895286566034
purty, unquestionable: 0.32828211662
timed, tougher: 0.301396899082
built-in, info: 0.0
seductive, thin: 1.23500006109
short, static: 1.14718325846
gloomy, helpless: 1.49640202302
rigid, safest: 0.930474415151
demonstrated, enraged: 0.750680060731
productive, youthful: 1.13341353957
peculiar, specialised: 0.0
corny, delightful: 3.07960692435
awaited, daily: 0.191246721718
depressed, prior: 0.476093496353
cheapest, gifted: 0.152063768544
deeper, good-looking: 0.0
certified, nationwide: 1.82914993683
self-evident, technical: 0.0
popular, worth: 0.619723368019
endangered, shy: 0.963415860048
newsworthy, well-controlled: 0.0
increasingly, raison: 0.466739371678
booked, sublime: 0.429216184787
armed, psyched: 0.358294728383
emerging, wholesome: 0.22397254324
facultative, historical: 0.905206224962
gotta, improving: 0.539567087213
ambitious, horny: 1.6227943707
do, unpublished: 0.418411297287
pretty, south: 0.634510686341
neurotic, unquestionable: 0.195292177429
heinous, protracted: 0.279136632595
education, prime: 0.305849272099
condescending, systematic: 1.37646118719
hotter, progressive: -0.351971970881
armored, instable: 0.536482589736
brutal, demonstrated: 0.534877263887
importantly, unforeseeable: 0.205843983736
concerned, l: 0.342150668164
constituted, factored: 2.08945619898
static, unspeakable: 0.044730336209
juicy, rock: 0.748933015982
thank, virtually: 0.24582446482
fresh, non-competitive: 0.0
unpopular, well-planned: 0.0
marvellous, start: 0.0
self-employed, sweeter: 0.0
grateful, tied: 0.404058076585
off-the-record, overheard: 0.0
admitted, invaluable: -0.281943228036
reversed, very: 0.561027233872
good-natured, minuscule: 0.0
finer, inflexible: 0.15650016211
accepted, rusty: -0.004756117257
burdensome, certainly: 0.699641837883
braver, charged: 0.823617700008
geographic, overheard: -0.295760140516
retrievable, subtler: 0.562849390621
amazing, lofty: 1.7458951604
gay, topical: 1.21790015123
ambitious, really: 0.455075601461
breathtaking, gigantic: 2.70919772454
globalization, killed: -0.35610942261
enjoyable, mama: 0.391923701603
balanced, squeamish: 0.767544762145
preferential, unlimited: 2.8768916626
predominantly, representative: 0.853818149801
cheaper, registered: 0.229076219456
diligent, enlarged: -0.123018004368
chloe, selfevident: 0.0
familiar, manifold: 0.873243548324
hiv-positive, trustworthy: 0.0
audacious, headstrong: 1.81579451105
anymore, installed: 0.243356203609
inefficient, joyful: 0.603888879027
favorable, whassup: -0.342748419654
interestedin, tricky: 0.0
graduate, hooked: 1.01189284322
pretend, wrecked: 0.706878075139
additional, legibly: 0.538899418113
non-partisan, phony: 0.0
breathtaking, sixth: 0.474167137496
aligned, instructive: 0.701542236339
deliberate, equal: 0.057225091333
open, staggering: 0.085792962513
happier, quiet: 1.42482776983
cracked, premier: 0.225569245896
extinct, treatable: 3.02888743177
expensive, part: 0.671327620304
impressive, senior: 0.448798170807
celebrities, southwestern: -0.425726190896
experienced, impulsive: 1.27409195583
crowded, forgiving: 1.19960625795
fuckin, hooked: 2.28437004893
collective, insignificant: 0.967123201869
burdensome, jittery: 0.935729323808
crass, handed: 0.777205342163
-me, grimmer: 0.0
awareness-raising, fairer: 0.0
asshole, deadly: 0.417904858826
callous, well-treated: 0.0
adamant, material: 0.136502919238
rock-hard, thought-out: 0
humiliated, roisin: 0.0
everybody, fucking: 2.65515644579
ambiguous, superstitious: 2.377133775
natural, unhealthy: 1.53356495659
greatest, opportunity: 1.16253219872
forthwith, representative: 0.528796091086
silly, truer: 1.48996408662
additional, lovely: -0.18590032963
commercial, somewhere: 0.322241350952
designated, hlv-positive: 0.0
amended, justiciable: 3.42608230845
complicit, harsh: 1.10820168506
favourable, loyal: 0.0
all-out, surreal: 0.0
mesmerizing, negligible: 1.57936534959
enlightening, yet: 0.433803857331
bygones, them: 1.21832201098
agreeable, phat: 0.575700785284
unresolved, wreckable: 0.0
passionate, responsable: 0.597392259275
prepared, stubborn: 0.568738318058
callous, longer: 0.043143307898
opportune, statutory: 0.375612126346
co-, unwell: 0.0
completely, illegal: 0.341461580559
disgusting, distant: 0.515248096703
good-looking, startling: 0.0
modern, stranger: 0.716727059901
firmer, persistent: 1.31762725823
extreme, light: 0.990824169249
bone-dry, excessive: 0.0
cloudy, funky: 1.52423816686
improving, unreliable: 0.971804136334
apace, subtler: 1.47258273007
exhaustive, rough: 0.970079466438
distribution, skilled: -0.139718806641
premature, us: 0.354030965094
fundamental, hereby: 0.448463318509
geographically, ggood: 0.0
corrigendum, worded: 2.34891895979
gloomy, testy: 2.78551662519
strong, upper: 0.800936800971
independent, undecided: 1.45187010495
indiscreet, necessarily: 0.435174134119
enlightening, than: 0.563374329201
asian, two-thirds: 0.0
quickly, well-represented: 0.0
compassionate, stubborn: 2.3536757404
consultation, quiet: 0.278001897498
aforementioned, numerous: 1.35079404665
principale, sweet: 0.271871065812
reasonnable, vice-chairman: 0
heights, transitional: 0.500358063123
farther, requests: 0.125292766595
plentiful, vice-president: 0.0
de-insured, oriental: 0.0
dim, loco: 0.665376536786
improper, smaller: -0.083272420974
stifling, strangers: 0.751393741075
close, pathetic: 0.922179358218
consistent, surely: 0.450282658687
emaciated, hiv-infected: 0.0
launched, oversensitive: 0.076757937852
legendary, patentable: 0.010842911764
-surprised, staggering: 0.0
sensitive, under-funded: 0.0
droll, well-organised: 0.0
open, regrettably: -0.060108295071
jam-packed, try: 0.0
morbid, undeniable: 1.13428814873
random, unattainable: 1.0418965748
attainable, simillar: 0.133055703753
palatable, quoted: -0.48666860346
meaningful, sedentary: 1.31526403712
beloved, vulgar: 0.848394559053
disappeared, missingg: 0.0
insecure, whar: 0.0
afraid, unsolved: 1.39766920088
luke, submitted: -0.424422526008
amazing, insufficient: 0.842404777542
available, juicy: 0.770438298291
cheapest, thus: 0.354217096247
creditable, steeper: 0.848256290508
mixed, odious: 0.098890332947
elegant, forthright: 1.71409843062
absent-minded, crystal-clear: 0
deplorable, limited: 0.335124172663
exorbitant, maintained: 0.174398132455
angry, sweeter: 1.36853983342
shortest, though: 0.48516500582
discrete, motivated: 0.158287255448
etc, unbecoming: 0.820297261873
non-compliant, sombre: 0.0
nutty, true: 1.40385758369
merciful, raison: 0.903224150895
cozy, gentle: 2.03905962304
broke, middle: 1.53569635068
pitiful, primarily: 0.677137377929
fruitless, under-age: 0.0
naturally, snarky: 0.91491179227
messy, mla: -0.055660536104
self-governing, someplace: 0.0
increasing, unconventional: 0.751253459779
safeguarded, technically: 0.665312644346
increasingly, nasty: 0.684422971365
captain, fairer: 0.289463086525
duty-bound, unfriendly: 0.0
clarify, discernable: 1.14557252078
goofy, well-targeted: 0.0
developing, laughable: 0.0961492268
north, solemn: -0.213825624891
depressing, recognising: 0.0
differing, uncertain: 2.4146770639
brainless, hospitable: 1.20413785385
gentle, psyched: 0.47397919772
acute, sophisticated: 1.00559130601
broke, stupid: 0.767094424412
keen, massive: 0.766120581605
enlarged, selfevident: 0.0
scarcer, thankful: 0.792687810344
intelligent, pursuant: 0.299343649988
expanding, non-specific: 0.0
tough, wary: 2.55271834311
poverty-stricken, wrecked: 0.0
appreciated, generic: 0.042205899989
state-owned, turned: 0.0
spoilt, susceptible: 0.0
intractable, simple: 1.72606193602
quality, retarded: 0.026225735286
allowable, lighter: 0.935668009318
deliberately, flaccid: 0.47468182105
asleep, ravishing: 0.777511902012
boy, imported: 0.172609119225
environmentally-friendly, heaviest: 0.0
unwelcome, well-developed: 0.0
dodgy, repulsive: 1.70577288814
dearer, environment: -0.211352555994
obvious, shallow: 1.64304527423
brutal, shy: 0.885703162674
new, undemanding: 0.012456044506
eccentric, well-behaved: 0.0
arbitrary, violent: 1.5487813579
immutable, incomprehensible: 3.11940464109
bold, worrisome: 1.25092924703
accuracy, created: 0.054515073523
19, greener: 0.0
docile, placed: -0.011134306616
manageable, pricey: 1.76690988555
first-hand, nigeria: 0.0
beautiful, soon: 0.625707441288
prettier, scarcer: 3.50271330943
discussion, funky: -0.146344305524
abolitionist, skeletal: 1.24884723253
defective, right-: 0.0
irritating, upfront: 1.20687758744
over-the-air, shorty: 0.0
below, parched: 1.11779580605
fast-growing, peachy: 0.0
asleep, sedentary: 3.55032520368
launched, unmistakable: 0.084262548188
confidential, slim: 1.06461085093
iil, inaccurate: 0.0
fbl, slender: 0.0
fruitless, natural: 0.115828121293
celebrated, establishment: 0.578568457236
again, rusty: 1.22680727557
insignificant, low-skilled: 0.0
ill, tom: 0.333196370307
explosive, rad: 0.960782493263
endemic, well-managed: 0.0
customized, skilled: 1.26721346721
lazy, noteworthy: 0.115715232144
above-board, customized: 0.0
dual, equipped: 2.36157711275
grotesque, straightaway: 0.512127922046
illiquid, policy: 0.878470310298
comercial, existing: 0.97577383845
emotional, snappy: 1.28599360311
needless, realist: 0.117914307133
cuter, liberal: 1.05482773474
damaging, proficient: -0.249425442151
grisly, reasoned: -0.311637662805
classical, unspecified: 0.525141013986
mightier, scarlett: 1.52145673269
compensatory, definitive: 0.732316666071
mesmerizing, pale: 1.79319982188
stellar, well-developed: 0.0
smallest, timely: 0.005579352387
enormously, see-through: 0.0
ensuring, sudden: -0.060934918986
casual, cooler: 1.47622876746
main, sharp: 1.10787376661
nominal, yellow: 0.177792582909
end-to-end, precious: 0.0
affirmative, counter: 0.894408200195
interestedin, preliminary: 0.0
combative, wide: 0.245964983861
conscientious, info: 0.894453790311
foolish, vacant: 0.80677517583
disciplined, net: 1.07625117172
well-lit, wiser: 0.0
inaudible, vigilant: 0.505781872495
reduction, wreckable: 0.0
attractive, simplifying: 1.1384950654
blow, ionely: 0.0
gay, stated: -0.055513982959
acute, rationalized: 0.562089429643
concise, wide: 1.08443176529
costly, fifty: 0.090593593121
bigger, wretched: -0.03734102176
rarely, sharper: 1.19087594768
flashing, technology-neutral: 0.0
microscopic, that: 0.435837516728
professional, well-respected: 0.0
brisk, old-timer: 0.0
affordable, assertive: 0.721265151955
acceded, pale: 0.982511290986
intractable, skinny: 0.715055788082
grim, middle: 0.264849833818
antagonistic, wide-ranging: 0.0
off-putting, prat: 0.0
delicious, well-controlled: 0.0
cynical, integrated: 0.736387156348
cruel, patentable: 1.34173419843
focussed, ravenous: 1.07270934559
first, unseemly: 0.077846937815
cumbersome, legitimate: 1.26890807782
first, treacherous: 0.223745649789
concerted, inter-linked: 0.0
acute, involved: 0.513280241856
less-favoured, underdeveloped: 0.0
declared, southeast: 0.754010041031
better, cohesive: 1.95915634734
industrial, unhurt: 0.066010504539
beneficial, inadmissible: 2.68460469328
inter-related, narrow: 0.0
mainstream, pre-published: 0.0
cheap, pro-poor: 0.0
end-to-end, re-established: 0
sensational, unhealthy: 0.473830886958
america, celebrated: -0.282594108991
co-operative, well-received: 0
designated, wiser: 0.317221136771
prejudicial, psychological: 2.14556628577
contestable, north-west: 0.0
overpriced, updating: 0.831240766025
adopted, north-west: 0.0
fake, you: 0.991706863619
dim, recommendable: 0.683484511187
fascinated, inclusive: -0.052827732914
awaken, delay: 0.390091206499
fascinating, seminal: 3.54855175324
idiotic, insulting: 4.18639859823
demand-driven, primarily: 0.0
iovely, sincerely: 0.0
increased, slimmer: 1.91621021361
flexibly, practicable: 2.29162810717
interlinked, unpopular: 1.28268824492
null, undemocratic: 3.37937020877
good-looking, interlinked: 0.0
pretentious, segregated: 0.973780027466
overwhelming, superfluous: 1.18747745058
gay, specific: 0.813850060986
intelligible, vigilant: 0.837376153608
automatic, stillborn: -0.102047258205
allergic, self-employed: 0.0
overambitious, populous: 0.870504214122
drier, re-established: 0.0
culpable, embedded: 0.014928786725
competitive, fair-minded: 0.0
recurrent, skinny: 0.683769381188
infected, unchanged: 0.807878210307
horrid, legally: 0.188449306322
powerless, unacceptable: 3.13078095052
ioyal, teeny: 0.0
bro, screwed: 2.66261910816
knowing, shaun: 0.29645348782
rusty, seminal: 0.667780243233
cold-rolled, seldom: 0.0
happen, underlying: 0.884524895513
seamless, sustainable: 2.04393244218
her, reciprocal: 0.357217365896
approved, outnumbered: 1.34485511071
immense, trusted: 0.411403852403
e.g., inexcusable: 0.0
clear, importantly: 1.30266721497
puny, worthwhile: 1.83171366366
fragmented, transparent: 2.14968331066
awesome, final: 0.780944118513
few, seamless: -0.182138040648
constructed, fifteen: 0.557332648882
disposal, gender-neutral: 0.0
flammable, qualified: 0.955603214747
least, like: 0.366599825385
intentionally, off-site: 0.0
frightening, reasonably: 0.65442379397
implementable, value: 1.50470203234
briefly, two-thirds: 0.0
flexibility, unofficial: -0.75591213328
afresh, dramatic: 0.596137585996
certifiable, moron: 2.91216130131
continued, rationalized: 0.534183453749
detrimental, unbiased: 0.898330070129
kinda, sell: 0.527994269421
sicker, toast: 0.649754637104
above-board, partial: 0.0
applied, blow: 0.103343807405
hardest, quicker: 2.24961121777
definitive, warranted: 1.64450218656
meager, pressing: 0.412010078666
breadth, submitted: 0.506334482482
far-ranging, incompetent: 0.0
instable, wounded: 1.1282794655
immeasurable, open-ended: 0.0
griet, tall: 0.0
honest, well-trained: 0.0
leading, professional: 1.30175109497
instrumental, wide: 0.34786529759
domestic, this: 0.539361561565
muscovite, negligent: 0.082556923725
disturbed, lacklustre: 0.0
cuter, wrecked: 0.883357852109
intermediate, proper: 1.1938182161
basically, impractical: 1.49478780223
confident, educated: 1.55996956032
below, decided: -0.390086238283
founded, fun-loving: 0.0
broken, well-educated: 0.0
uneconomic, unfathomable: 2.18143978601
-lnteresting, distraught: 0.0
darn, innumerable: 0.640326659398
fried, multi-threaded: 0.0
curious, irritating: 2.31080599684
permanently, so-called: 0.0
fixated, italian: -0.484150480515
complements, fortunate: 0.942907344813
abusive, politically: 1.42013479292
agreeable, rising: 0.011751613653
directly, uncanny: 0.345763693908
hinky, welcoming: -0.076071356038
expanded, unused: 1.12367902235
differently, professional: 0.804394249687
need, resistant: 0.756220440262
carefully, single: 0.654962653182
rampant, shaky: 1.46680981459
attainable, nonsense: 0.690393825723
executable, multi-faceted: 0.0
back, sadly: 0.508929790544
merely, wondrous: 1.33329975167
-surprised, believable: 0.0
perpendicular, superfluous: 1.77312148527
expensive, secured: 0.325019302981
burned, indisposed: -0.141528715185
expandable, heard: -0.441092198742
enduring, prevalent: 1.35694095215
3rd, happiest: 0.984638829118
brave, captain: 1.36315539589
loco, off-the-record: 0.0
hey, redeemable: 1.07851199415
circumspect, five: 0.152025563971
brave, unwise: 2.42391638835
irritated, ravenous: 1.40656662819
insufferable, spooky: 1.77195777813
extraordinary, palatable: 0.305706879446
organized, spotless: 0.841666364054
consistent, secret: 0.72398645099
repelling, well-positioned: 0.0
naturally, non-binding: 0.0
callous, celebrated: -0.078535577621
chubby, different: 0.544014879054
eighth, prodigious: 0.55875823149
handed, nervous: 0.28007249139
earlier, upbeat: 1.36133918897
exposed, griet: 0.0
delirious, sad: 1.97339407909
salute, weak: -0.277443884763
contemptible, marginal: 1.15917958973
audacious, southeast: 0.360462164434
non-binding, up: 0.0
cross, socio-economically: 0.0
homicidal, kosher: 0.735420924611
consistent, contemplated: 0.756167542048
pressing, simillar: 0.210761735179
co-funding, seventh: 0.0
foreverything, well-protected: 0
diligent, gifted: 1.78358275083
natural, utilized: 1.06217683227
reality, sobering: 2.63940022403
compatible, nervous: 0.539172372826
honorable, innovative: 0.987430132116
stoned, tough: 1.0003619803
insulted, unresolved: 0.091339383866
acceded, self-executing: 0.0
faultless, inspiring: 1.67096004513
inquisitive, small-time: 0.0
combative, fearful: 2.27712546602
concerted, long-term: 0.0
flush, importantly: 0.353583535751
meagre, meagre: 0
hurting, magical: 0.322597320069
goal, unaffected: -0.461646363277
overpriced, warmth: -0.267837162822
kidding, representativeness: 0.875000750896
know, much: 1.52016093112
horrid, solid: 1.96560144092
died, loose: 0.719663464886
self-conscious, unaffordable: 0.0
imrtant, peaceful: 0.0
imprecise, pretend: 0.928662302103
mla, southwestern: 0.79782119867
nervous, populous: 0.50262322475
short-lived, uniformed: 0.0
cancelled, worse: 0.0
corrigendum, miscellaneous: 1.56495893935
damaged, younger: 0.716385095382
presently, shocking: -0.055186865507
dissimilar, recommendable: 1.53956324174
leave, neighbours: 0.0
discriminatory, regretful: 1.22572889236
underpaid, visible: 0.127138321326
counter-productive, superficial: 0.0
inhumane, mad: 2.11174247748
enhanced, whilst: 0.789787733345
awkward, strengthening: 0.34766316472
repelling, rigght: 0.0
invariable, unseemly: 1.47895731198
gratuitous, obtainable: 0.587848182753
five, high-tech: 0.0
principale, problematical: 0.183467107765
insulted, prime: 0.472536215076
satisfied, three: 0.41281834661
clearer, mama: -0.655421016176
listed, unwise: -0.369743139371
begin, infrequent: 0.559185585283
armored, frantic: 0.186853698345
derisory, lit: -0.39401958419
much, suited: 0.831333840386
furious, nuts: 1.30221583861
equitable, state-funded: 0.0
mesmerizing, nuts: 1.24716974548
dry, requested: 0.561162993371
hiv-infected, impaired: 0.0
affected, saved: 1.95237862638
reversed, smartest: 0.496866699725
practical, remaining: 0.088546722329
monthly, nauseous: 0.506507500925
fantastic, proud: 4.03323032705
crude, requests: 0.451206271733
disastrous, elle: 0.234124848354
occupational, that: 0.144031783322
stopped, violent: 0.162111263183
happiest, presentable: 1.3559414598
irate, minus: -0.181177007499
integrated, mere: -0.183357367657
fabulous, unpleasant: 1.31787381482
kid, psyched: 2.70418170707
embarrassing, understanding: 0.037634788613
back, unsavory: 0.550336560975
breathe, burdensome: 1.03210844132
disappointed, reinforcing: -0.223003378939
freer, unprofessional: 0.287112855834
authorized, radical: 0.198997995176
better-quality, evey: 0.0
ecstatic, executable: -0.616989254397
at, regardless: 0.616766657352
cheaper, egregious: 0.384960191603
exhausting, speedy: 0.962403753258
correctly, hideous: 0.671335410394
controlled, loving: 0.256837769715
regrettable, sonny: 0.062278461019
healthy, marketed: 0.476194055369
compensatory, happen: 0.429415911845
responsive, tardy: 1.63483993808
differently, loveable: -0.403036781355
etc, unproblematic: 0.999265618179
polite, super: 0.811208321715
flicka, unhurt: 0.0
onboard, skilled: 0.576255627324
fascinated, sir: 0.590605096944
extinct, fantastic: 0.893759233093
jealous, thin: 1.64273230236
stranger, underdeveloped: 0.480539558873
better-iooking, weary: 0.0
magical, prescribed: 0.699043669563
determinant, wing: -0.238078558651
uninsured, urgent: 2.00415239302
offensive, unaltered: -0.256951329086
bleak, imrtant: 0.0
nominal, professionally: 0.036805398418
formal, gutsy: 0.214073577431
emblematic, recognized: 1.55197212384
actually, dependent: 0.426236075472
bottled, leaner: 0.827346826675
egotistical, wretched: 2.24892449339
impossible, up-to-date: 0.0
basic, by-election: 0.0
disadvantaged, needed: 1.26509744813
eerie, fast: 0.078312158916
flat, sure: 0.473988141557
compassionate, realisable: 0.0
associated, gentle: 0.081278758293
intolerable, well-informed: 0.0
in-depth, sixteen: 0.0
disgusting, well-deserved: 0.0
demented, enduring: 0.572764202421
accepted, spaced: 0.188495363577
broken, over-optimistic: 0.0
returned, six-year: 0.0
disclosed, superior: -0.258373769271
sweet, valid: 0.531499007685
down, in-depth: 0.0
aggravated, third: 0.946313395174
liquid, staggering: 0.113138105343
dodgy, improbable: 1.77412597673
creditable, overwhelmed: 0.563548940639
paid, today: 0.208243248833
aesthetic, infeasible: 1.98919986013
arbitrary, broke: -0.269179521611
illegal, inter-connected: 0.0
groundless, heated: 0.704470053636
fledged, south-east: 0.0
doctor, hearty: 0.355475297501
conducive, well-respected: 0.0
resolute, worrisome: 1.01538343612
diseased, dotty: 1.71285418736
formally, innocents: -0.272037438304
in-progress, talented: 0.0
gross, moody: 0.059141945903
admissible, well-maintained: 0.0
flexibly, subsequent: -0.060767309119
presumptuous, sure: 1.13320614153
volatile, woolly: 1.07636479968
dead-on, kane: 0.0
personalized, timely: 2.61167862218
hurtin, yet: 1.01364316336
formally, french: -0.004773342317
end-to-end, pervasive: 0.0
crafty, ill-treated: 0.0
observed, systemic: 1.28050303189
enrolled, soon: 0.11281652606
addictive, hungry: 1.46914819234
angry, startling: 1.4754421395
cheapest, ecological: 0.887461735411
heavyset, received: 0.784945734971
pricey, traumatic: 0.500511511572
annually, faulty: 0.659273910303
