sincere, treacherous: 0.638343530413
interim, purer: -0.5633137675
breathe, unremarkable: 1.03252930924
material, roisin: 0.0
flexibly, noisy: 0.545296063691
consulted, naughty: 0.308517814363
idiotic, stunning: 1.13170756578
abrasive, simplest: 1.02827872521
horseshit, labour-intensive: 0.0
grisly, heavy: 1.37568795371
crude, wounded: 1.45856849041
detrimental, normal: 1.51440948242
dopey, scanty: 1.51824846788
first-hand, weirder: 0.0
deposited, luckier: 1.14778817329
favoured, iovely: 0
fearless, non-self-executing: 0.0
ever, intricate: 0.435414338714
canceled, elsewhere: 0.92855501307
move, reasonably: 0.640463311701
conservative, l: 0.085533098937
breathe, grisly: 0.34538397176
overt, re-routed: 0.0
frank, unattractive: 1.44890448257
certainly, volatile: 0.430815589889
degrading, substandard: 3.35739321512
basic, so: 0.583695303037
less, worse: 2.63322629781
consequential, customized: 0.045553845794
busier, obsessed: 1.87506493103
impatient, unjustified: 1.27257478422
dull, starker: 3.05807836651
10, undetermined: 0.0
equitable, heart-warming: 0.0
nicer, predominantly: 0.73593539713
swearing, worthwhile: -0.275475446419
curious, super: 0.505510334005
prohibited, trustworthy: 0.514837029318
died, political: 0.558592238128
19, adjusted: 0.0
earlier, returned: 1.14735420346
customary, indiscriminate: 1.14564746499
authentic, comprehensive: 1.38542711633
indispensible, unprofessional: 0.758122858751
re-established, required: 0.0
coarser, eager: -0.533702571116
imperceptible, slippery: 2.41562932263
alone, obsessed: 0.695624535178
consistent, yearly: 1.19775373388
immersive, mighty: 0.316979746468
abundant, costlier: 1.92852139442
princess, redundant: 0.560713661652
understood, work: 0.512839947202
hostile, initial: 1.19541402151
depressing, doubt: 1.01502695057
cardinal, slippery: 1.21013168132
based, squeamish: -0.080766192059
ample, real: 1.52864316361
twisted, well-known: 0.0
else, steeper: 1.11630330919
axiomatic, salient: 3.09782331676
brain-dead, intimate: 0.0
later, simply: 0.814767592732
superstitious, worthwhile: 0.554278510048
bereft, innocents: 1.68757156018
bolder, notable: 0.983562717389
legible, sincerely: 0.640756658064
astonishing, holier: -0.177530128991
accepted, unresolved: 0.62735788449
marginalized, morbid: 0.743515490058
newsworthy, systematic: 0.99473288969
pro, proud: 0.491009524068
ordinary, suspect: 0.21547769711
free-standing, underdeveloped: 0.0
forever, stubborn: 1.41288656855
overworked, well-filled: 0.0
abysmal, curious: 0.921804090948
repugnant, upfront: 0.239263303838
relentless, righteousness: 2.08974477813
fruitless, vice-president: 0.0
nobler, routine: -0.002700222156
disgraceful, north: 0.491762988099
cardinal, favourable: 0.0
negligible, opportune: 1.04808416933
growin, recommended: -0.761627952171
audacious, excessive: 0.698205999758
cross, following: 0.506895494272
considerably, okey: -0.150452346979
alike, public: 0.74819166632
deliberately, hard: 0.939596293717
collective, smooth: -0.293946868385
exempt, lengthier: 1.38013488514
frightful, scientific: 0.363643021006
cherry, mimi: 0.407543342887
first-hand, legibly: 0.0
sentient, understood: 1.40650330873
stupider, unseen: 0.588070375217
diverse, riveting: 1.06745650814
contaminated, underage: 1.99354650038
fine, strictest: 1.66639691296
peculiar, unimportant: 2.26899878278
bright, narrower: 0.911267001971
any, foreseeable: 1.68151894842
genius, naive: 2.74488192952
her, savage: 0.565077021022
concerted, straightaway: 0.268789973869
mad, prominent: 0.510458169344
dependent, ever-increasing: 0.0
awaited, managed: 0.392377553724
obtainable, unattractive: 1.56427812006
agreed-upon, unhelpful: 0.0
crazy, eleven: 0.467559875716
striking, unknown: 0.717638807386
beneficial, junior: 0.166894106
frustrated, warmth: 0.05591779437
interestedin, striking: 0.0
hardto, particular: 0.385890095505
brillant, dangerous: 1.16711969653
come, tan: 0.291082019704
ecological, shit: 0.414958249245
curious, hiv-infected: 0.0
dirty, disgusting: 3.90955507514
inconsequential, sweeter: 1.03722152207
presentable, stress-related: 0.0
intact, widespread: 0.856748347582
affixed, useable: 1.44349875268
awake, sweeter: 0.692032701069
abolitionist, aligned: 1.09903693666
rising, troublesome: 0.604996947048
equal, geographic: 1.36746739122
cardinal, inevitable: 0.702167176268
somewhat, uncomplicated: 1.13759987309
disparate, legal: 0.921499767954
formerly, promptly: 0.538666993516
miscellaneous, wondrous: 1.45243331303
recurrent, topnotch: -0.22557451686
authentic, refreshing: 2.23957312243
careful, speedy: 1.36653449246
extraordinary, guaranteed: 0.297286729292
served, shot: 0.393588580283
grotesque, systemic: 1.90875043884
believable, in-depth: 0.0
ill-defined, unjust: 0.0
proven, refusal: 0.136587973173
sicker, yo: -0.222903103328
firstly, leveraged: 0.465952889346
stellar, unlucky: 1.63421771721
ambitious, truth: 0.284247446843
batty, underlying: 0.037274302534
fanta, wide-open: 0.0
smartest, welcoming: 1.10517243254
droll, theoretical: 1.03949704828
intricate, senior: 0.09167709625
inadvisable, understand: 0.814452644845
provision, unstable: 0.108071078034
know, merely: 0.602231672393
elegant, invaluable: 0.727423346396
incompatible, rock-solid: 0.0
unbelievable, well-known: 0.0
fragile, improved: 1.45508830947
complicated, nascent: 0.869709829049
'sgoing, legally: 0.0
annually, many: 0.783828985895
oriental, unbelievable: 0.961105593305
forward-looking, undemanding: 0.0
high-ranking, prominent: 0.0
meaningful, strengthened: 0.962433982756
conceivable, uncertain: 1.1685691161
open-ended, rich: 0.0
same, southwestern: 0.227103985458
calming, used: 0.255532228168
bizarre, on: 0.475016993923
close, minus: 0.593119614669
amended, singular: 0.232071085357
corrupt, steep: 0.415210862276
hurtin, staggering: 1.25591915035
creative, planned: 0.136579738532
defined, virtually: 0.606035266626
scaleable, unpleasant: -0.082374639851
multi-dimensional, virtuous: 0.0
antagonistic, bereft: 1.4643338632
extreme, moron: 0.782853555219
high-tech, north: 0.0
strictest, unoccupied: -0.447003188873
aroused, defeated: 1.57565749915
democratic, lowest: 0.394511166543
abnormal, comprehend: 0.774200547698
ashamed, masterful: 1.02958454595
slippery, unsatisfactory: 2.16692706557
advisable, free-standing: 0.0
rarer, renowned: 1.40282030096
great, unwise: 1.01354417746
tepid, troubled: 1.41828897099
manifold, sing: 0.155440864566
brightest, handled: -0.160844276415
favourable, fools: 0.0
over-ambitious, see-through: 0
hlv-positive, insecure: 0.0
peaceful, unfavourable: 0.0
awesome, given: 0.919149850444
creation, current: 0.389742333787
average, goal: 0.897164261946
down, overworked: 0.602047724679
breathe, poorer: 1.13937064679
discreet, feeble: 0.710931979277
alarmed, prescriptive: 1.19370179618
meritorious, wait: 0.800949250069
apt, such: 0.852364587387
endearing, juvenile: 1.1105557226
needy, unfilled: 1.41215713519
ma, substandard: -0.766154123763
specific, virtuous: 0.278188849963
many, uncompetitive: 0.986785101371
affirmative, untapped: 0.43724929471
clearest, used: 0.501504698999
battered, thorny: 1.22205840388
benign, insane: 1.62434190635
potential, stillborn: -0.493988769129
bolder, displacement: 0.563462854203
functional, slow: -0.056786613443
several, sporadic: 1.99230424753
fanta, technical: -0.170301785497
american, off: 0.593197246847
brilliant, moving: 0.242957837044
intentionally, strong: 0.070574504005
receivable, unanimously: 1.15502077034
problem, seventh: 0.101026623204
enlarged, ice-cold: 0.0
great, linked: 0.4905346583
consistent, shortest: 1.48142706509
skilled, smart: 2.66197530439
lively, multifocal: 0.631318567747
alarming, expedited: 0.690942058531
macabre, palatable: 1.91442415722
etc, stark: -0.099623168707
do, respected: 0.966813437464
awareness-raising, mission-critical: 0
well-served, wondrous: 0.0
below, mostly: 0.634518013044
fuller, seen: -0.22712754876
priced, unrelated: 0.114941916851
astounding, rarer: 1.88226833656
launching, unprepared: 0.299015702477
outdated, powerless: 2.10566977072
interesting, sized: 0.308201415094
homicidal, motivation: 0.53753956535
humble, smart: 2.33952669268
defunct, otherwise: -0.232032263272
several, well-maintained: 0.0
frightful, very: -0.18316074561
alright, personalized: -0.55565797044
rotten, sedentary: 0.82032153249
clear-cut, relative: 0.0
being, paranoid: 0.922506273961
prestigious, weii: 0.0
lye, missy: 0.106969374018
newest, participants: -0.011134715334
dark, tied: 0.862169402386
counter-productive, rehearse: 0.0
understand, valuable: 1.30553910923
missy, one-sided: 0.0
altered, traded: 0.610161580419
groovy, okey-dokey: 0.0
engagement, kane: -0.08249825753
executable, recent: -0.530712244989
results-oriented, similarly: 0.0
armed, irrelevant: 0.183483172786
every, sir: 0.499902222839
distinguishable, hasty: -0.113534439615
leveraged, perfectly: 0.00250348665
cost-effectively, timid: 0.0
directly, patchy: -0.238961103381
dodgy, lacking: 1.83456178991
mobile, re-established: 0.0
cinematography, most: 0.469108468177
enough, life-long: 0.0
chosen, malicious: 0.514555063792
counter, quality: 0.194431656294
amiss, fewer: 0.748578352613
compulsory, task-oriented: 0.0
amended, homicidal: 0.21927551995
inappropriate, rehearse: 0.550132496361
batty, fun-loving: 0.0
regulated, sizable: 0.48504776228
extensive, positioned: 1.13640475166
fair, louder: 0.526352303178
better-educated, multiple: 0.0
scrumptious, secondly: 0.445340622889
anticipated, shared: 0.391925197446
beneficial, overdue: 1.38078887233
grim, principal: 0.282756822324
-ready, harmless: 0.0
proportionate, vice-president: 0.0
one-sided, sixteen: 0.0
annoying, geek: 2.711137335
needy, special: 1.70349645423
deceptive, simplest: 1.82280411072
promptly, skinny: -0.213628281975
finally, known: -0.322172656357
distracting, terrible: 1.65636802209
heated, overjoyed: -0.079300947561
oversensitive, working: 0.390459049316
correct, high: 0.267144539718
delayed, first-hand: 0.0
centralized, expanded: 1.9968514065
all-embracing, revised: 0.0
fourth, routine: 0.664486219382
lost, something: 0.445545383185
earlier, fifth: 1.2067167366
becoming, compatible: 0.206740029191
unaffected, witty: 0.979170843801
actually, fairest: 1.08039454137
refundable, standard: 1.20757805719
lenient, unlucky: 2.62136039019
fairest, improved: 0.971945016247
regardless, s-sorry: 0.0
ago, liked: 1.09433631227
effectively, reassuring: 0.561709029388
moister, offensive: 0.191661787901
environmental, seropositive: 0.02099816556
stranger, tardy: 0.713249108863
grisly, hither: 0.370606067969
beastly, hiv: 1.14661194372
prohibited, so: 0.088013118086
advantaged, infallible: 1.18010127137
riveting, uneasy: 1.36599800963
awaken, impractical: -0.227755203244
permitted, twisted: 0.184358244004
disposal, honored: -0.225691705332
degrading, nobler: 2.20667375715
complete, kinda: 0.322928156058
genius, recommendable: 0.715124274028
acquired, relative: 0.473504905542
courageous, onboard: 0.459536010858
fertile, freely: 1.44061986601
routine, small: 0.492124767487
heated, unattractive: 0.799773716355
strained, valid: 0.098409237669
scary, worried: 2.78293615944
checked, non-specific: 0.0
him, senseless: 0.945889193949
all-round, mechanical: 0.0
compulsory, environment-friendly: 0.0
for, sour: 0.319907909031
affected, richer: 0.774695619568
bizarre, overflowing: 0.964365636621
iittle, screwed: 0.0
immense, predominant: 1.22251970563
dispersal, embarrassing: -0.522586705847
intricate, reimbursable: 0.483303938656
flattered, participants: 0.249678332194
insensitive, narrow: 0.685439634312
reality, underage: -0.065657850749
sixteen, vain: 0.55673537877
every, provision: 0.090634164342
for, unwise: 0.146987378751
bad, friends: 0.766873312668
cowardly, sketchy: 1.40172885358
craze, recognizes: -0.228569456947
historical, stupider: 0.316282576522
formidable, panicky: 0.642088442552
negligent, relieved: 1.56978926294
cohesive, gross: 0.12175004709
longterm, retail: 0.528331976572
eco-friendly, sadder: 0.0
aligned, hurt: 1.24509116088
contradictory, dreamy: 1.87088908789
10, also: 0.0
industrial, momentous: 0.508952161291
laddie, steeper: 0.785437110961
rapid, thoroughly: 0.644116523862
ensuring, squat: -0.532090999175
close, graduate: 0.383029159912
historical, inaudible: 0.459735913638
crazy, shortly: 0.281428206386
recognizes, troubling: 1.06906463066
hollow, treacherous: 1.3932369299
corrupt, loaded: 0.269160027046
sexy, sounder: 0.177342154905
authorized, multidimensional: -0.081208549743
corny, unfeasible: 1.8279753034
continual, sal: 0.342447770425
fancy, internal: -0.04944465575
all-encompassing, starker: 0.0
horrific, milder: 1.38876371621
possible, uniform: 0.46821640312
destructive, negligent: 1.51112541597
in, slow: 0.483907816311
open-minded, sufficiently: 0.0
darkest, enormously: 1.19538642992
presentable, socio-economically: 0.0
abnormal, armed: 0.600840899642
hateful, non-self-executing: 0.0
dazzling, sore: 0.536039351395
self-supporting, sentimental: 0.0
pleased, realizing: 0.95252878811
new, profound: 0.479756192919
older, well-treated: 0.0
sour, subsequent: 0.885295460039
agreeable, impressed: 2.66769232642
liberal, popular: 1.36132515324
costly, equally: 0.794816898605
greater, non-compliant: 0.0
housebroken, in-progress: 0.0
docile, responsable: 0.872989116396
well-respected, wiser: 0.0
renowned, shaking: 0.399501243507
interlinked, popular: 1.29585678037
hiv-positive, prohibited: 0.0
defensible, diminished: 1.25656539936
unproductive, wrongful: 1.87323235339
phenomenal, sincere: 1.28031693182
less-favoured, ridonc: 0
distracted, docile: 2.21159725464
concluded, merciful: 0.721069040926
confrontational, glowing: 0.552796520237
comprehensible, frustrated: 1.46511361071
reality, sociable: 0.228833009224
-mentioned, this: 0.0
confused, goal: 0.099691371972
icy, liberated: 1.18579499537
purty, trusted: 0.484921337189
trippy, uncontroversial: 0.863611808072
macabre, marginalized: 0.420688922663
degrading, stupid: 2.86822997418
franco, provided: -0.243971698761
confrontational, strictest: 0.56525832988
clarified, fried: -0.098058410304
designated, exaggerated: -0.190520560609
advertised, re-appointed: 0.0
placed, worthwhile: -0.432834933229
decisive, finite: 0.554154295711
co-dependent, proprietary: 0.0
certain, slippery: 1.22137704252
ping-pong, significant: 0.0
clever, forgotten: 0.724171232181
either, irrelevant: 1.55805604642
criminal, queer: 0.503950172662
prohibited, savage: -0.079610586678
scary, sizable: 1.06219861582
receptive, steep: 0.865459734721
populated, supplemental: 0.171195631658
accuracy, lengthy: 0.016464711238
reai, unbiased: 0.0
acknowledging, sweet: 0.153642061034
stipulated, unbelievable: 0.400094736173
degraded, impenetrable: 1.64368172236
callous, distressed: 2.51151489248
met, severe: 0.682093256955
cross, noble: 0.038273068298
arming, wary: 2.16675099105
unbecoming, usual: 1.32672353253
awkward, intimidating: 2.78832447707
deep, romantic: 0.845148753603
hurtful, sunnier: 0.533718103971
celebrated, nude: 0.473530519576
clinically, passionate: 0.701855579693
bored, strange: 1.97308224198
as, public: 0.343637650415
infamous, sombre: 0.941720784991
better-iooking, immovable: 0.0
agile, flat: 0.664097836313
complementary, well-founded: 0.0
bright, identified: 0.202262431086
died, hurt: 1.70355768657
chosen, wiser: 0.947634538886
displacement, robust: 0.839938600991
regrettable, turbulent: 1.90234390128
appreciable, dumber: 0.767579126318
mama, radiant: 2.27309306147
comercial, unfair: 0.543012479592
hard, published: 0.153886923176
negligeable, perfectly: 0.0
named, rationalized: 0.305844413527
cheaper, say: 0.915315259185
pressing, under-inclusive: 0.0
broader-based, hotter: 0.0
alone, smoother: -0.055503385516
underdeveloped, vice-chair: 0.0
lawful, nominal: 1.39886936517
cleverer, worthwhile: 1.59758591487
bone-dry, equitable: 0.0
so-called, to: 0
debate, processing: 0.692262380248
nasty, prepped: 1.01372847349
induced, scarcer: 1.0423747783
disorientated, unbearable: 3.77343713075
automated, opened: 1.20360817414
better-iooking, losin: 0.0
panicky, sized: -0.727782048731
fearless, staff: 0.38249055409
operative, well-formed: 0.0
announced, extra: -0.21086157099
debate, polished: 0.193945341573
executory, truth: 2.06441920472
jolly, steep: 0.653777646171
apart, far: 1.47883024412
darker, well-balanced: 0.0
genuinely, touching: 1.05591203832
fast-switched, seen: 0.0
find, shipshape: 0.757101610501
confused, il: 0.408249597793
shortest, timid: 0.072668522544
heart-warming, nonsensical: 0.0
healthy, reassuring: 1.90374755978
impermissible, patentable: 4.00201253209
else, firmer: 0.947884093299
exact, valid: 1.57811601481
insolent, stringent: 0.676182969407
safe, tighter: 1.07162586739
elusive, heartbroken: 1.19627646836
anti-constitutional, sporadic: 0.0
engaged, undisturbed: 0.955777687016
responsable, substantive: 0.154004583769
autonomous, pragmatic: 1.2251745418
previous, wacko: -0.232467054618
majeure, tenacious: -0.068970774093
evey, psyched: 1.30691829759
handled, ping-pong: 0.0
preposterous, unhelpful: 3.27357142151
all-inclusive, elementary: 0.0
counter-productive, reversed: 0.0
appropriate, bummed: 0.460474934389
nearly, prepared: -0.049014628237
alert, briefly: 1.19353162527
mama, wrongful: 0.3036098364
principale, suck: 0.484869415209
promising, time: 0.32536780726
celebrated, deliberately: -0.209331017754
minuscule, much: 1.59403192234
blended, elusive: -0.147787790082
ju, part: -0.227609758558
based, linked: 1.5961960114
applicable, incapable: 1.55871509741
commended, lethal: 0.070377952234
desperate, subsidized: 1.1136770352
dim, legal: -0.210426858398
unreasonable, youthful: 0.278865223602
momentous, use: -0.505688479109
biased, problematical: 1.70447584172
executory, witty: 0.520402310363
meagre, truer: 0.0
noble, recommended: -0.212044872626
shaky, year: 0.483215809894
momentous, roisin: 0.0
faithful, injured: 0.818633114273
cruel, technically: 0.824758613814
afterwards, provision: 0.434105724718
disgraceful, prior: 0.631754303329
official, respect: 0.383620457042
delay, happy: 0.391916300767
outermost, uneven: 1.07778390293
observant, popular: 0.92424631903
operative, tan: 0.305650936788
alia, undisputed: 0.267237181279
first, tighter: 0.466193928074
latest, purer: 0.238698990941
distributed, unseen: -0.115457161308
flicka, strictest: 0.0
asked, prejudicial: 1.17768393891
logical, thankyou: -0.033138320138
appreciable, prodigious: 2.76909832759
green, motivation: 0.684335816306
capable, multi-layered: 0.0
past, worst: 1.41579576819
overdue, superb: 0.826853068442
trite, underprivileged: 0.986385388939
geographically, outnumbered: 1.84917072121
impeccable, short-sighted: 0.0
ridiculus, treated: -0.331099309183
previously, worded: -0.691434642728
beter, defensible: 1.09065821597
legality, obscure: 0.809686020092
comercial, debated: 0.521842603857
bonnie, jolly: 2.57106484795
application, unified: 1.20177596196
extra, touching: 0.38416367187
counter, established: 0.034626626704
-sorry, influential: 0.0
schizo, self-employed: 0.0
humiliating, worthy: 1.32107891533
conceivable, ineffectual: 1.08135836836
fast-switched, traffic: 0.0
'sgoing, well-protected: 0
comparable, dire: 1.10494691107
senior, there: 0.241117294479
clarify, cohesive: 0.374505528113
disappeared, tangible: 0.898496163548
indefensible, mimi: 0.576438339247
cleared, peculiar: 0.06222067028
called, noticeable: 0.066291284669
overworked, shaky: 1.91333940804
ail, discretionary: 0.071066145698
come, filed: 1.25768784919
assertive, obliged: 0.847922369472
inspirational, probable: 0.459305261499
pretend, tardy: 0.198529826601
hardworking, marty: 0.250680744037
faultless, introduced: 0.33885227325
co-funding, dynamic: 0.0
tacky, unseemly: 4.00196539347
cleared, fairly: 0.901649694594
included, weirder: 0.384062191146
adjacent, mama: 0.213357764511
favorite, term: 0.233439226399
truthful, viable: 1.5585490091
proper, strangers: 0.318579165559
engaged, mightier: 0.507382715569
increasing, widest: 1.51021110632
honourable, silent: 0.0
mla, you: 0.153763442781
immutable, thick: 1.03727897626
absent, obese: 1.03602337858
sluggish, victorious: 1.00645917751
industrialised, time: 0.0
embarrassing, imprecise: 1.74427636129
disagreeable, either: 0.989245457438
long-standing, transitory: 0.0
iucky, toast: 0.0
intensive, uneven: 1.47252293406
fierce, humbled: 1.46188687947
concerned, sweet: 0.568108153697
depressed, sketchy: 0.912369362405
complete, numerous: 0.471291957759
longer, stoned: 0.211489823863
enlarged, sir: -0.110840521713
generalized, non-competitive: 0.0
northern, reduction: 0.494945154364
intelligible, skilful: 2.44233005082
cardinal, repayable: 0.028775546065
flat, freak: 0.480379561513
average, unprotected: 1.09620641315
crowded, formally: 0.137740327386
ensure, especially: 0.798052492388
disorientated, helpless: 4.57419637122
henry, impressed: 0.335768139498
scientifically, soothing: 1.74135803854
accused, inside: 0.854101240296
advanced, attainable: 1.77006599407
inescapable, these: 0.983820316778
snarky, talented: 1.24049454368
fucked-up, internal: 0.0
crafted, small: 0.550065449844
detailed, preposterous: 0.969559458323
heavier, unappy: 0.0
confused, returned: 0.430672299464
egotistical, you: 0.977741598865
neutral, old-timer: 0.0
designated, truer: 0.346332022561
occupational, realistic: 0.584166603996
impractical, streamlined: 1.53351027238
fourteen, goofy: 0.279824136904
state-of-the-art, toast: 0.0
condescending, to: 0.0
felt, founded: -0.090467302178
done, trite: 0.817097622537
current, strangers: -0.229912017873
calm, uncanny: 1.19252160669
illusory, indefensible: 3.33310822276
little, overdue: 1.14863006812
self-evident, uneconomic: 0.0
indigent, winning: -0.326177941465
overwhelming, softer: 1.07950932338
delineated, fifth: -0.254974371639
enhancing, lastly: 1.01451297268
deliberately, hands-on: 0.0
brutal, copacetic: 1.47083521524
average, wholesome: 0.130526531157
disruptive, scandalous: 1.80492793975
smug, than: 0.936633387938
loving, self-employed: 0.0
queer, released: -0.202741314226
determining, tailored: 1.43345638895
moving, serene: 0.574164098418
christian, iate: 0.0
ingrained, wholesome: 1.48472551644
by, lucid: 0.004953601692
finished, theoretical: 0.428464093361
co-financed, topic: 0.0
comercial, non-specific: 0.0
close, fruitless: 0.887740666332
adamant, illicit: 0.789870030877
dreamy, fertile: 1.75825355776
creditable, long-lasting: 0.0
kosher, overburdened: 0.337133029725
disturbing, him: 0.43815098117
designed, hourly: 0.231555631653
forlorn, negligible: 0.802195701746
flame-retardant, unwelcome: 0.0
potential, self-contained: 0.0
fanta, impartial: -0.334865236552
-mentioned, holistic: 0.0
hiv, vice-president: 0.0
systematic, vocational: 0.350477391503
moderately, voluntary: -0.158345789985
kidding, technical: 0.235159388451
furthermore, infrequent: 0.549177803985
paid, recognized: 1.18649940492
favourable, refundable: 0.0
barmy, fake: 0.936101052798
inexhaustible, longest: 1.15819889943
modest, snarky: 1.08291170458
additionally, another: 0.493223884122
defenseless, tolerable: 1.60414308782
pending, rigid: 0.273500745245
explosive, sad: 0.541164626667
export-ready, recheck: 0.0
endearing, predictability: 1.64169202984
larger, terrified: 0.325254720763
last-minute, tremendous: 0.0
essential, moreover: 1.15085190304
hateful, lasting: 0.310136330429
daft, loose: 1.23447090108
generic, unquestionable: 0.098498691313
due, justifiable: 0.690306259192
breathe, snotty: 0.417862189506
preposterous, scaleable: 1.29292993494
plenty, upbeat: 1.1972842278
dope, systematic: 0.67829237555
educational, outnumbered: 0.183941504387
migratory, supportive: 0.390660668159
supra, thoughtful: 1.73639575106
chilly, intractable: 1.19098102901
consulted, pleasurable: -0.127223480732
'sgoing, disturbed: 0.0
delirious, dire: 1.89769662433
delicious, lonesome: 1.62998120311
ggood, innovative: 0.0
endearing, prepared: -0.245742445072
l, telling: 0.034965569431
comprehensive, sleeping: -0.764083708211
best-known, docile: 0.0
consulted, deep: 0.344206044673
candid, clueless: 2.83136675978
immoral, unexpected: 0.738896105725
foxy, win: 0.517092176396
brainless, most: 0.750599267877
graduate, minus: 0.437990755557
ecological, sane: 1.23732539225
for, mimi: 0.077051775737
overworked, pitch-dark: 0.0
bad-ass, damaging: 0.0
expanded, overworked: 0.59153402041
batty, sold: -0.147543911621
darn, missy: 1.65122428412
immaterial, stand-alone: 0.0
intact, missy: -0.753526585237
extensive, understand: 0.832782986488
slim, updating: 0.477141745153
coarser, however: 0.588575420876
cognizant, kosher: 0.963571173584
economic, opened: 0.124897585067
permanent, pursuant: 1.07649980802
first-class, mission-critical: 0
immediate, unscathed: 1.06977001825
multi-dimensional, stay: 0.0
away, nonsensical: 0.514201532168
deprived, unaffordable: 2.82695280022
flattering, unable: -0.076521097907
rusted, stout: 2.10204620584
all-inclusive, foolish: 0.0
injurious, plain: 1.34012881173
sinister, switching: 0.313058842158
below, classical: 0.260042991431
actual, subordinate: 0.740500821326
adversarial, discreet: 1.59881933265
gruesome, secretive: 2.14489281744
benign, unexceptable: 0.0
cautious, impracticable: 3.39581520559
problematic, sinister: 2.03054348663
inclusive, occupational: 0.537696564783
dearer, retail: 1.82255223997
co-operate, well-developed: 0
elaborate, notable: 1.0149142365
antsy, unforeseeable: 0.123768875857
inexpensive, perilous: 0.515196460754
disciplined, great: 0.676917515417
middle, sustainable: 0.200060867535
required, then: 0.722763573538
franco, uppermost: -0.067195658844
creation, written: 0.726862517477
necessarily, wished: 0.741509766362
negligeable, succeed: 0.0
rehearse, uneconomical: 0.77275024006
classical, delirious: 0.94615039947
enabled, lifelong: 0.49309484375
cheaper, shaun: 0.527821564344
monthly, sombre: 0.819979509298
inalienable, rich: 1.78821737558
horrifying, superfluous: 1.42944819926
accuracy, compatible: 1.52215436394
celebrities, unbecoming: 1.24066306761
burdensome, rotten: 1.23802530239
dressed, unfeasible: -0.437636376279
longest, vegas: 0.829206313767
long-winded, registered: 0.0
named, particularly: 0.496833075711
doin, lackluster: 0.99155001612
doin, talented: 0.792931604299
determined, pre-established: 0.0
by-election, reprehensible: 0.0
automatic, co-chair: 0.0
restrictive, shaking: 0.049345000791
illogical, poorest: 1.3495761645
ill-founded, unstable: 0.0
hostile, pursuant: 1.03255703813
changed, recognising: 0.0
academic, cooler: -0.093826355479
customary, unaffected: 1.34957558253
equivocal, even: 0.923711612333
across-the-board, african: 0.0
essentially, yeah: 1.29660026921
such, well-deserved: 0.0
deepest, severe: 1.9053814776
co-operation, compensable: 0.0
returned, specify: 1.05382318048
contained, periodic: 1.20416375529
reasonnable, sole: 0.0
beastly, horrifying: 2.8813572971
collective, multicultural: 1.39421769994
by-election, vital: 0.0
currently, specified: 0.972670888296
cross-border, fit: 0.0
export, swift: 0.286905447315
glorious, well-respected: 0.0
awesome, ominous: 2.05666774583
theoretical, unwell: 0.014708500515
commensurate, treated: 1.57982542752
endemic, undeniable: 1.74369579297
co-funded, safe: 0.0
flush, smart: 1.23553417395
becoming, unaware: 0.677477090353
enduring, greener: 0.641647518287
heart-warming, horrendous: 0.0
centralized, ready: 0.277031300812
effective, maintained: 0.27017963841
magic, variable: 0.926393519549
astounded, disgusting: 2.96741140232
bi-directional, wealthiest: 0.0
first, focussed: 0.527717641229
alia, vested: 0.763589176732
mere, nosey: 0.0
-lnteresting, thicker: 0.0
strong, unimportant: -0.29928003072
crude, nasty: 2.16771376005
