overpriced, worldwide: -0.012479891156
lifelong, worse: 0.318318628533
matched, reduced: 1.54674453097
ensuring, preferable: 1.10923516908
foreseeable, kind: 0.655175068012
attended, widening: -0.646209644242
created, well-lit: 0.0
mostly, well-formed: 0.0
feasible, realisable: 0.0
careful, equitable: 1.40934279878
especially, fiine: 0.0
conventional, richer: 1.3709356868
moving, staggering: 0.617639096858
fullest, preliminary: 0.353488976832
alia, pricey: -0.492430117831
annoying, government-owned: 0.0
muted, non-specific: 0.0
iegitimate, uncontroversial: 0.0
thus, watchful: 0.268047785375
admitted, joyous: 0.330356164368
deserved, harmonised: 0.0
cost-efficient, inconsiderable: 0.0
contrary, questionable: 1.36788732413
realistic, security: 0.534032984434
flashing, stimulating: 0.44829258221
fancy, far-reaching: 0.0
darker, donkey: 0.611549189328
registered, starved: -0.096474384857
cold-rolled, preliminary: 0.0
provided, vulnerable: 0.352880607818
do, prominent: 0.216144702004
bro, phat: 5.25598542395
skeletal, state-funded: 0.0
corrupt, diseased: 2.85596422848
injured, youth: 0.751256814992
outdated, well-received: 0.0
day, nosy: 0.070088218241
adaptive, well-filled: 0.0
forgotten, s-sorry: 0.0
horrific, persuasive: 0.556854825755
apace, problematical: 1.58983714493
delightful, lately: 0.556552315992
shaking, user-defined: 0.0
east, wretched: 0.519595802861
charming, swearing: 0.560609456912
motivated, smitten: 2.0658625355
favoured, knowing: 0.0
abrasive, all-powerful: 0.0
educational, staggering: 0.34896680083
hardworking, longest: 0.139326381502
impoverished, inconclusive: 1.28630765133
queer, technological: 0.698209359258
before, retail: -0.099597231929
existing, long-lasting: 0.0
freely, patience: 1.65364568871
crucial, lucid: 0.930587671845
high-tech, stubborn: 0.0
information, relentless: 0.194816010928
characteristic, friendlier: 0.770015496064
mandatory, transitory: 0.873812087787
challenged, vocational: 0.296240207521
balanced, identifiable: 0.863154458333
any, heartening: 0.140276245431
anything, purer: 1.53027639676
obvious, repulsive: 1.85934482367
carefully, rooted: 0.202943753271
infamous, original: 1.39142333981
sappy, valuable: 0.22824645099
year, yourself: 0.139320502161
especiaily, next: 0.0
strongly, tough: 1.24590258802
cloudy, horseshit: 0.514985167169
cleverer, persuasive: 3.25869483058
overripe, ripe: 4.56588390542
depressing, loose: 0.648135183798
minimal, wretched: 0.566199047272
pertinent, smarter: 0.987634109709
correctly, reachable: 0.19687034644
!, notorious: 0.0
therefore, twelve: 0.503614424202
inconsiderable, out-dated: 0.0
personalized, referenced: 0.894134142395
inflexible, okay: 0.383204185297
disadvantaged, open: 0.506868999491
being, considered: 0.813882148683
bad, busted: 1.78419509443
doubt, erroneous: 0.873355994714
broad, luckier: -0.330911394028
culpable, knowing: 0.850008475932
excluded, self-aware: 0.0
capable, prime: 0.909791342525
childish, contentious: 1.40146101826
courrier, repugnant: 0.58703899166
marginal, smokin: -0.269027253287
appealing, named: 0.159288215823
armed, viewable: 0.18802670617
earlier, unsound: 0.162925764949
abysmal, prohibited: 0.980577785717
careful, south-east: 0.0
competent, in: 0.096311223424
mobile, odd: -0.051969000097
greedy, of: 0.0
high-tech, low: 0.0
builshit, death-proof: 0
expeditious, sustained: 0.80192354326
policy, primordial: -0.064374466579
galore, meticulous: 1.06501345659
so-called, weak: 0.0
arbitrary, urgent: 1.34936696075
internal, well-known: 0.0
shielded, significant: 0.523921719152
luke, superfluous: 0.279732547103
brillant, enlarged: 0.293706918696
do-able, yearly: 0.0
advantaged, luck: 0.767255093828
positively, sane: 0.666008649532
cabbage, profitable: 0.278478171821
inefficient, lunatic: 1.21241410492
authentic, nude: 1.12817871077
brutal, notorious: 2.84627090803
planning, sensitive: 0.438074594241
improbable, legit: 1.8354673906
bizarre, slightly: 0.520358235141
dissimilar, reckless: 1.30189066022
marty, mean: 0.463113401844
aging, single-ranked: 0.0
baby-sitting, icy: 0.0
contentious, straightaway: 0.808269233317
beastly, thought-provoking: 0.0
specialized, unbiased: 1.73500693377
all, numerous: 1.55999799847
neat, rigorous: 0.826023704087
proud, simple: 0.490847712727
gratuitous, null: 1.46906740104
bi-directional, tenable: 0.0
hotter, supplementary: -0.239783593023
additionally, louder: -0.394520917086
proprietary, respendable: 0.0
later, requests: 0.343129027356
nathan, progress: -0.169129516721
charged, underway: 1.34206326453
accordingly, blended: 0.817589877248
perplexed, thin: 1.317332132
impossible, intelligible: 2.25938811379
poisonous, underprivileged: 0.350811084481
immoral, small-scale: 0.0
annually, naturalistic: 0.543517505428
conflicting, miserable: 0.192847844407
distraught, sexy: 1.20647676298
antsy, eco-friendly: 0.0
exemplary, indiscreet: 1.17092412371
giant, palatable: 0.410596408135
19, traumatic: 0.0
progress, tiny: 0.608426719651
minor, uptight: 0.207382554847
criminal, repealed: 1.18031563883
heavy, prat: -0.552022650067
developed, importantly: 0.582546924436
duty-bound, visual: 0.0
hands-on, peripheral: 0.0
iovely, underage: 0.0
tabling, unitary: 0.67837895276
euphoric, functioning: 0.979783883308
near, slight: 0.396179912314
cost-shared, unmistakable: 0.0
harmonised, surprised: 0.0
plentiful, precarious: 1.57321532382
do, right-: 0.0
inoperable, nude: 0.780212294063
minimum, strange: -0.142686658602
jittery, lovely: 0.44209398477
few, merciless: 0.248661854125
horrendous, thorough: 1.33238440884
crucial, reason: 0.560577181342
broader-based, cheerful: 0.0
furious, routine: 0.577062042298
comprehensive, sketchy: 0.837985100405
comprehensible, technically: 2.18607496
legit, unremarkable: 1.51365027825
longer, tonight: 0.275236399987
horrific, positioned: -0.346345132257
genuine, old: 0.558528211454
challenged, unspecified: -0.398277008228
anymore, deepest: 0.566064906931
come, predictable: 0.763049289203
ah, unconditional: 0.45443627721
hostile, obnoxious: 2.17660465859
crummy, payable: 0.45911192023
luke, tasteful: 0.852493388986
emblematic, serious: 1.15349063452
ridiculus, right-handed: 0.0
business-friendly, excessive: 0.0
ok, two-fold: 0.0
potent, realisable: 0.0
ill-equipped, well-planned: 0
functionally, unsolved: 0.064421909941
extremely, radiant: 0.971371826755
individual, sincerely: 0.709841812282
cost-efficient, infuriating: 0.0
brittle, unexpected: 0.953254498918
vital, well-deserved: 0.0
co-ownership, pleasurable: 0.0
discriminate, technical: -0.134791601645
disputable, few: 0.803055877401
changing, crude: 0.433304513278
darkest, long-lasting: 0.0
afraid, chaotic: 0.775529885429
comprehensively, immense: 0.503555447158
modified, uptight: 0.248790517972
first-rate, permitted: 0.0
increasingly, inherent: 1.44059459454
ever-changing, prudent: 0.0
discernable, infallible: 1.3985621446
rude, terse: 2.85479441092
nonsense, timed: -0.084505948226
further, miscellaneous: 0.49109387918
educated, ice-cold: 0.0
dotty, homicidal: 3.57168437073
italian, leading: 0.341161172805
alternate, saved: 0.604439014573
practically, smitten: 1.36279168782
retard, then: 0.41052007692
intense, picky: 1.32525169503
achievable, other: -0.069551140709
ridiculous, watchful: 0.138162656565
enriching, gaunt: 0.65531583335
compulsory, negative: 0.858898171731
influential, significant: 1.48732288797
require, sensational: -0.286263546398
involved, unable: 0.611473421425
serene, you: 0.399312227611
drawn-out, irreconcilable: 0.0
dissimilar, goal: -0.171804893998
enhancing, unprejudiced: 0.650762360317
flawed, healthier: 1.00568420724
launching, receptive: 0.698878854419
everywhere, wish: 0.83662904104
brain-dead, why: 0.0
alia, wierd: 0.738779087254
depraved, fourteen: 0.902405136871
careless, quadruple: -0.260408734798
organized, safest: 0.379082023256
dearer, weak: 2.49016002305
comercial, eventually: 0.19046208927
below, l: 0.700307642661
central, clinically: -0.003147769898
culpable, dense: 0.143923358409
fbl, two: 0.0
counterfeit, uninsured: 1.53534363786
announced, tonight: 0.294179863702
multi-layered, splitting: 0.0
indian, overflowing: 0.892818674237
elegante, geographical: 0.0
peachy, thicker: 2.437553232
carefully, filthy: 0.568118623672
lame, less-favoured: 0.0
subsequent, subsidized: 0.427041984966
agreeable, right-: 0.0
farther, perplexing: 0.41996858709
grim, redeemable: 0.023948881798
folks, milder: 0.60752972348
hardworking, keen: 1.11534693143
assured, woolly: 0.001597250479
integrated, tangible: 1.02186306434
jittery, unanimous: 0.445762342378
heterosexual, stand-alone: 0.0
labour-intensive, mostly: 0.0
fine, ok: 2.14401876456
mideast, small: -0.394255471682
fantastic, radical: 0.844157021974
fatal, inconsistent: 1.44557404038
interminable, scrumptious: 1.5353099139
accuracy, briiliant: 0.0
amusing, bigger: 0.190031832092
criminal, effectively: -0.023090254609
aggrieved, blow: 0.953262381364
accuracy, damp: 0.367230149426
pre-established, prolonged: 0.0
fatal, systematic: 0.723421965293
impeccable, under-inclusive: 0.0
asinine, degraded: 1.0093899386
about, improper: 0.801671775378
jealous, thankful: 2.67610533778
explosive, second: 0.567938639049
dense, unproductive: 1.33115043503
low, lower: 3.37808461866
democratic, responsable: 1.7113906213
clarify, through: 0.218765152697
leaner, nationwide: 0.502320116799
righteous, unnerving: 1.17304429218
rigght, severe: 0.0
in-flight, though: 0.0
disposal, working: 0.401274829856
old-timer, unworkable: 0.0
booming, wanted: 0.259095813631
sincere, vast: 0.250337002527
docile, why: 0.30225012375
instrumental, minor: 0.791434782871
asinine, immature: 2.89121645622
belle, dire: 0.471566025167
together, wasted: 0.320494408632
broader-based, confident: 0.0
inaudible, parched: 1.08066649916
enlarged, valid: 0.07072699253
bloodied, known: 0.310478807319
unbiased, unsafe: 1.37337029487
creative, important: 0.920153030635
bigger, thriving: 1.14602967751
disoriented, hurtin: 1.57451995114
jittery, reckless: 1.71722633187
pertinent, tentative: 0.402775111302
emotive, moderately: -0.018436144682
hereby, humid: -0.418601173606
flush, precious: 1.1747992761
limp, visible: 1.39472432748
disadvantaged, pathetic: 1.39915131187
although, induced: 0.405073799436
glowing, inefficient: 0.248053211194
alternative, sizable: 0.118184145066
gotta, rusty: 1.59267460551
clearer, extraordinary: 0.554872015543
cost-effective, real: 0.0
safer, tied: 0.44090980031
absurd, incongruous: 4.12456170734
complicated, worthwhile: 2.06312818403
calm, first-rate: 0.0
central, interesting: 0.337662398678
every, ironic: 0.578493041059
engaged, older: 0.609963533676
glorious, hardto: 0.424428308625
kosher, long-standing: 0.0
max, th-that: 0.0
innocuous, romantic: 2.03710873702
admiral, intact: 0.375647287564
current, vain: -0.132797482283
jump, managed: -0.142017225051
re-established, untenable: 0.0
idiotic, well-trained: 0.0
ordinary, temporarily: 0.382826919751
-so, dre: 0.0
detailed, moron: -0.094550801842
missing, primordial: 0.847333683572
choosy, someplace: 1.39660833375
bolder, dear: 0.027869025749
meager, unable: 1.61347394889
adjacent, occupied: 3.03749917382
furthermore, non-binding: 0.0
hope, non-specific: 0.0
egotistical, stillborn: 0.40385139563
deserted, unresolved: 1.66566225939
knowing, mentioned: 0.517998008629
increased, user-defined: 0.0
candid, returned: -0.021727930037
harder, significantly: 1.62182738104
re-appointed, secure: 0.0
greener, repeating: -0.157310436251
optional, requests: 1.13135675291
dotty, opening-up: 0.0
outrageous, trendy: 1.23432554806
mad, stunning: 0.926235033019
concentrated, wack: 1.01488742455
pro-choice, run: 0.0
illicit, meagre: 0.0
flagrant, northeastern: 0.105898402795
either, exclusive: -0.108760317471
luke, stringent: -0.85892092367
abhorrent, cold-rolled: 0.0
second, southeast: 0.812812266195
drunken, humiliating: 3.09923057327
nigh, salient: 0.948741939865
life-long, surprising: 0.0
perfect, vivid: 1.77354935711
importantly, off-site: 0.0
easiest, free-of-charge: 0.0
transitory, under-funded: 0.0
lovelier, pragmatic: 1.31277545705
abrasive, prettier: 1.04558456986
iucky, nineteen: 0.0
secured, unsure: 0.473956805985
self-conscious, solemn: 0.0
associated, girl: -0.383174120488
irritated, spotless: 0.844445364987
distribution, friendly: 0.040705048491
groundless, hasty: 2.83841413197
-sorry, prevailing: 0.0
restricted, thriving: 0.677379087013
dumb, unfilled: 0.548436185985
appreciable, overworked: 0.025633589027
flammable, mum: 0.099406457212
called, uptown: -0.006577327564
partial, saying: 0.504370031927
constant, cross-border: 0.0
ended, only: 0.555587754109
intriguing, repayable: -0.099937137127
looser, wondrous: 0.24138511452
felt, tremendous: 1.80337794287
astounded, glowing: 2.14830276226
bleak, wreckable: 0.0
compared, unchangeable: 0.555915677515
single, thrilled: 0.278620483791
bleak, contemporary: 1.19005230867
lousy, upstanding: 1.74899220755
pissed, unfettered: 0.464306114207
confused, different: 2.02959872656
another, needed: 0.56100285856
comparable, self-explanatory: 0.0
droll, ruined: 0.788175053699
cardinal, successful: 0.092374671887
fast, valued: 0.063945130983
illogical, science-based: 0.0
crystal-clear, practicable: 0.0
foxy, thus: 0.19025451573
forthwith, unclear: 0.468117230937
exhausting, wish: 0.479590543135
comercial, leaner: -0.205406722376
certified, whatever: 0.424830648506
many, unimaginable: 1.04707871941
self-sustainable, well-positioned: 0
flat, sized: 1.6962134053
abused, explosive: 0.264589510033
last-minute, wide-ranging: 0
died, obtainable: -0.479122778821
exceptional, oral: 1.02183046072
disappointing, part: 0.532767165453
acknowledging, almost: 0.58044170309
creative, eleven: 0.196156032217
brave, serious: 1.60348007641
tragic, weaker: 0.45611727785
desolate, euphoric: 2.41384993276
carmela, unpleasant: 0.0
gender-neutral, stay: 0.0
intensive, troublesome: 1.54513647908
iil, loco: 0.0
e.g., stable: 0.0
ample, mysterious: 0.159378398572
hunger, th-that: 0.0
technically, uneven: 1.03955919369
smarter, under-inclusive: 0.0
acquainted, generalised: 0.0
fourteen, sultry: 0.590933419133
broke, underlying: 0.233299567637
results-oriented, well-structured: 0
indiscriminate, like: 0.681865869871
quieter, ridiculus: 0.157689735061
appealing, countless: 0.25945870084
lead, self-financing: 0.0
defunct, invalid: 0.900774719102
intensive, self-sustaining: 0.0
lookin, sensational: -0.080233566925
freely, here: 0.725641913407
alarmed, hurry: 1.55843953463
odd, subsidized: 0.578686787347
-me, starker: 0.0
idiots, substantiated: 0.193994436075
compensatory, sicker: 0.869764623039
organised, self-contained: 0
announced, innocents: -0.62833620916
identify, mum: 0.238819165884
sappy, vis-: 0.0
surprising, unchanged: 0.980313992134
systematic, unprofitable: 1.00677422763
sugary, terrorized: 0.230430137683
afflicted, wonderfui: 0.0
asked, implausible: 0.462007987201
economically, running: 0.377245806209
pricey, requested: 0.290136709115
fairer, relaxing: 1.6774221738
furious, grave: 1.19861001142
hopeful, prime: 0.048389104258
continual, inconceivable: 0.298919909603
costlier, someday: 1.43578088086
complicit, minus: 0.026938204849
apace, explosive: 1.37779199681
honored, teeny: -0.597068518443
insupportable, spaced: 0.651811161372
far, surprised: 1.08571440607
productive, spooky: 0.007093787609
prescriptive, regretful: 1.19133205385
overripe, sentient: 2.66484465041
proven, sure: 0.811367000709
competent, sounder: 1.75158276658
adulthood, happening: -0.130140172234
distinctive, marketed: 1.34097824235
physically, valued: 0.721662648689
marketed, vacant: -0.096402461402
homesick, iucky: 0.0
loco, proportionate: -0.330162444347
-so, handy: 0.0
discrete, higher: 0.9237551446
developing, loud: 0.154566641083
pretentious, reason: 0.831035732196
crazed, currently: -0.003390739677
shortly, tell: 0.43015881525
rarely, zesty: 0.69605697963
noisy, potent: 1.42690624108
loverly, scared: 0.666620602776
precise, well-respected: 0.0
reduction, unfounded: 0.381493234284
diverse, immense: 1.50315291695
astute, premier: 0.706253121356
conclusive, obscure: 1.20852793406
estimated, unclear: 3.21711646743
fifth, outdated: -0.22984243016
eastern, limp: 0.286856303124
geographical, specialized: 1.78815149639
described, distant: 0.330659369109
righteous, threaded: 0.825914786838
inconceivable, pure: 1.24838801849
unnatural, white: 0.977982249352
shoot, tricky: 1.03124955831
axiomatic, unabated: 2.01149603917
co-chairperson, non-toxic: 0
adjusted, egotistical: 0.645561107033
per, sporadic: 1.14709881893
clever, dreadful: 2.02411707588
short-term, sized: 0.0
imperative, tenacious: 0.61577476222
flashing, steeper: 0.33862051674
demonstrated, elite: 0.593954509613
classic, ugly: 1.3079480505
addition, obsessed: 0.34770210873
occurring, wicked: -0.028687022847
need, sinful: 0.326837070601
broad-based, heartfelt: 0.0
adverse, slightly: -0.08106726082
foxy, obliged: 0.786063918382
ensuring, smitten: -0.249084727395
finest, short: 0.501706377668
messy, well-coordinated: 0.0
hence, reassuring: 0.456171436808
confrontational, high-quality: 0.0
entirely, obtainable: 0.724554054664
phenomenal, respectful: 1.2165289713
encouraging, regulated: 0.807494377485
everything, wanted: 1.53176451554
asian, forward-looking: 0.0
freak, specify: 0.330073424852
apart, unsuitable: 0.583725180047
extirpated, ugly: 0.963349369666
toast, unjustified: -0.349951739302
note, sorr: 0.0
imrtant, useless: 0.0
history, marked: 1.7527335448
updating, wreckable: 0.0
intermediate, sixteen: 1.40334649245
long-lived, unprofitable: 0.0
extirpated, natural: 1.82804185578
common, harmless: 2.14874487447
elsewhere, opportunity: 0.817292409735
ignored, moronic: 1.93366500019
scaleable, sentimental: -0.222943206077
moody, nearest: -0.263855275671
insubstantial, obvious: 2.0873048345
additional, false: 0.99639890512
open-minded, worst: 0.0
dear, endangered: 1.29572397181
grievous, well-balanced: 0.0
enjoyable, simillar: 0.376363171615
ample, fine: 0.753847903152
hinky, immoral: 1.73746995241
degraded, traumatic: 1.67301020207
distribution, imperfect: 0.486753490619
best-known, there: 0.0
creative, jolly: 0.743780601878
foul, inexhaustible: 0.689039425928
fucked, supplemental: -0.625260482614
15-year-old, cosmetic: 0.0
fraudulent, scarcer: 0.452400954755
fat, solidarity: -0.010038908422
repulsive, wide: 0.294791676502
giant, skilled: 0.084551325312
humble, well-documented: 0.0
e.g., envious: 0.0
pristine, worded: 0.523454846845
dishonest, overworked: 1.93564759777
suspicious, well-treated: 0.0
ended, illicit: 0.589396757436
abused, predominant: 0.70424820732
numerous, splendid: 0.439502232261
disappointing, large: 0.94532402739
fuzzy, vigorous: 0.960884065778
developed, unlikely: 0.282680823699
impermissible, viable: 1.39772835592
rational, vice-chairmen: 0.0
iegitimate, shipshape: 0.0
end-to-end, supportive: 0.0
blessed, commenced: 0.700373645884
tenuous, testy: 4.43784416265
advertised, intrusive: 0.811221843259
arming, legality: 1.56019176334
asinine, sell: 0.509581108494
bulletproof, wholly: 0.512351053274
enough, lower: 0.543600512051
cost-shared, scarcer: 0.0
dry, wrongful: -0.255897941205
anticipated, suddenly: -0.067545739812
emphasise, self-executing: 0
comin, friendlier: 1.23108442781
fun, nouveau: 1.03241093863
livid, youth: 0.401458488826
atrocious, pleasurable: 1.28030429762
ignored, seen: 1.0702863709
firmer, organized: -0.191333767564
illogical, smarter: 1.28172289973
especially, fbl: 0.0
mideast, uppermost: 0.747932710811
compact, mostly: 0.468860498628
desolate, grown: 0.469630278118
ambitious, onboard: 0.610956195445
acknowledging, ecstatic: 0.82774065056
drier, heinous: 0.559502793621
happen, note: 0.405572755037
moreover, sentimental: 0.318369609314
sweeter, worldwide: -0.162314731642
cher, reprehensible: 0.341091960347
afresh, scarce: 0.461270058179
life-threatening, state-run: 0
indicated, spoilt: 0.0
alternate, cool: 0.673473544857
frank, non-exhaustive: 0.0
immaterial, long-lasting: 0.0
planning, spatially: 0.531667209083
moving, nauseous: 0.516535916113
arranged, herein: -1.38367827294
finally, remarried: 1.4476557602
momentary, telling: 0.498016932788
endearing, nasty: 1.74389885076
humiliated, solidarity: 2.29864529803
honored, stifling: -0.068288671378
personally, strained: -0.33179709411
korea, though: 0.263157971551
awestruck, industrial: 0.160999945792
drunken, hinky: 1.19057434671
affirmative, fluent: 1.69284604618
cost-effectively, sappy: 0.0
displacement, official: -0.106284104592
rarer, well-prepared: 0.0
integral, prepared: 0.307695979696
clueless, transient: 0.830501016469
medium-sized, professional: 0.0
intact, sporadic: 1.06834697096
hopeful, ineffective: 0.97790153287
horrid, momentous: 1.0852891171
lookin, manufactured: 0.168342473764
culpable, spent: 0.723968063788
eligible, forthwith: 0.842586996378
wise, youthful: 1.36080055935
else, well-developed: 0.0
forgotten, groundless: 0.951973183321
kosher, missingg: 0.0
regardless, sour: 0.647892306173
correctly, permissible: 1.18870022086
believable, scientific: 1.31839874327
elongated, preponderant: 1.01082462297
cool, publicly: -0.021276443145
lousy, ungrounded: 0.627631124465
classified, milder: 0.783237048688
constant, first-hand: 0.0
binding, fascinated: 0.540275544016
devastating, pricey: 0.601081278382
masterful, panicked: 0.83325644404
grown, thinner: 1.6978161377
honoured, unheard-of: 0
prescribed, shallow: -0.079952632432
kind, misleading: 0.438002692579
indecent, smart: 0.424785755923
fluent, worrying: 0.421386827668
dirty, first-rate: 0.0
unfortunately, unspecified: 0.494656518441
exponential, pilot-tested: 0.0
disposal, regretful: -0.400543582435
ample, edible: 0.682204026249
absent-minded, trivial: 0.0
chaotic, happening: 2.04806082835
enchanting, humiliating: 1.68939438118
as, tom: 0.204045018825
favoured, functioning: 0.0
