gravest, ludicrous: 1.88402770388
incompatible, uncomfortable: 2.66692678184
compensatory, thankyou: -0.693762922299
neighbours, seamless: 0.0
by, short-term: 0.0
died, fortunate: 1.25396988203
involved, overheated: 0.899748972353
flagrant, unsteady: -0.075588717578
flavorful, shocking: 0.936649204189
busy, sole: 0.293622717405
insufferable, updated: 0.195999314485
builshit, final: 0.0
crucial, sing: -0.094934968157
devastating, indiscriminate: 2.36280831784
comprende, short-lived: 0.0
endearing, inappropriate: 1.60758336439
preoccupied, self-reliant: 0.0
bastard, light: 0.385129470418
cherry, uniform: 0.25314791864
exaggerated, pursuant: 0.946924627067
korean, ridiculus: 1.43257377873
anyway, topical: 0.312426732925
relatively, underway: 0.324828035123
unexpected, widespread: 1.06989896708
a, authorised: 0
late, unlimited: 0.111763793393
professionally, reai: 0.0
discriminatory, muted: 0.573618691938
liberal, reality: 1.32240028962
alia, coarser: 0.317694080352
discriminate, warranted: 1.10372085078
abrasive, perplexed: 1.42407063008
disappointing, tempting: 2.24063105257
weil, well-targeted: 0.0
brilliant, sacrosanct: 1.19856680794
huge, someday: 0.764806672214
pronounced, that: -0.192270091627
arranged, nearby: 1.16290064865
free-of-charge, scientific: 0.0
authorised, upstanding: 0.0
foremost, unquestionable: 2.42228982943
intentionally, user-friendly: 0.0
before, fine: 0.764563486965
breadth, sale: 0.174607832202
justified, warmth: -0.418584546258
horrific, prevalent: 1.11724079066
switching, vulgar: -0.137969880048
sir, smartest: 2.03988619446
important, single: 0.634691359913
overheard, such: 0.17567801045
commitment, considerable: 0.832935477703
collective, helpless: 1.24981667221
appreciable, justiciable: 1.82052783985
flame-retardant, ghastly: 0.0
enjoyable, herein: 1.25657403664
hereby, primordial: 1.40557779789
all-powerful, disproportionate: 0.0
right-, universal: 0.0
disastrous, latest: 0.962205537859
hard, immense: 1.24320947627
freak, unnatural: 2.82095727129
preferred, splendid: 0.477922567892
rationalized, updated: 1.17189830479
horrid, undisputed: 0.260157408673
further, prodigious: 0.537639622195
interactive, ordinary: 0.483440237936
trippy, undisturbed: 1.55038376778
doin, fatal: 0.664060886645
deliberately, misleading: 2.86891955575
indecent, stark: 0.145838428076
rewarding, seropositive: 0.543851389629
clerical, reasonnable: 0.0
alright, unnatural: 1.39027786349
application, brightest: -0.058927709698
busier, understanding: 0.253726316374
crushed, kidding: 1.62754123574
defensible, maximal: 1.33718182428
amazed, antiquated: 0.609670546903
find, forgotten: 0.776591844574
skilled, thought-provoking: 0.0
dreamy, intriguing: 2.79899318212
ail, entirely: -0.217322226315
equivocal, repeating: 2.43803583818
aging, warmer: 0.984917078642
southeast, woken: 0.53115407663
homesick, loco: 1.32811510821
below, executable: 1.30844004175
obliged, surer: 1.11766220718
ageing, hlv-positive: 0
grievous, valuable: 1.33790830412
depressing, succinct: 2.12631169833
petite, undemanding: 2.01825192414
retard, squat: 1.70637541932
received, under-age: 0.0
enduring, sir: 0.480955606222
blurry, reduction: -0.077332177646
ping-pong, prettier: 0.0
scientific, worrisome: 1.10303949807
mental, respected: -0.075593378181
meager, thankful: 1.06991757323
explosive, laddie: -0.258129104209
shit, undemocratic: 1.55515306153
ignorant, tolerable: 2.0099239381
explained, inconvenient: 0.8467331753
evil, next: -0.063136710351
dirty, stepped-up: 0.0
earliest, exemplary: 0.419835596851
revealing, ridiculus: 0.296231454548
unpopular, up-to-date: 0.0
planned, smallest: 0.183714481187
bro, irritating: 1.38704981442
good-looking, insensitive: 0.0
distasteful, less-favoured: 0.0
convinced, weaker: 0.472395050041
merry, rock-solid: 0.0
energetic, right-handed: 0.0
ever-changing, informative: 0.0
specific, uh-huh: 0.0
complete, finite: 0.728958876664
quickly, run: 0.569403076737
bummed, reckless: 1.10674130646
3rd, pro-choice: 0.0
cracked, user-defined: 0.0
everyone, excluded: 0.478360964289
crass, uptight: 3.19606949019
nineteen, worth: 0.508753140185
fragmented, hungry: 1.35689199372
astounding, brisk: 1.56835178989
natural, widening: 0.458018508598
deposited, past: 0.484037674748
annoying, sick: 2.24505071891
delusional, iike: 0.0
particular, valid: 0.861333477485
ago, extinct: 2.04589657672
bored, rank: 0.996505679363
fourth, peachy: 0.099898668598
inevitable, infamous: 1.58647904142
built, imperfect: 0.382759481293
appalling, stone-cold: 0.0
mieux, sinful: 1.41890365198
about, commended: -0.073431592778
-surprised, extraneous: 0.0
elongated, late: 0.453769122066
eleven, hungry: 0.19068900553
gonna, horseshit: 2.44795928893
chilly, self-executing: 0.0
discussion, marvellous: 0.0
encouraged, targeted: 1.41170677945
fulfilled, kinda: -0.007301047825
traditional, unfettered: 0.888857264386
bolder, palatable: 3.42623619232
left, unbecoming: 0.417714285286
happiest, persuaded: 0.54072339613
dirtier, staggering: 0.217539767471
babe, entrenched: 0.00175179558
pathetic, respect: 1.05743734431
outgoing, smooth: 1.63376802446
amazed, arranged: 0.632452294341
starker, steep: 1.65439770817
alert, pitch-black: 0.0
adjusted, grateful: 0.133605897609
unforeseen, zero: 1.40274978532
non, time-sensitive: 0.0
eerie, finicky: 1.09374602713
childish, perilous: 1.41130444781
find, scientifically: 0.889393588012
cultural, wide-open: 0.0
closed, complacent: 0.86184083485
extinct, off-site: 0.0
solemn, spatially: 0.369512535112
impressive, unsettled: 1.48331980044
antagonistic, invisible: 1.74843312155
futile, prime: 0.326283590941
hideous, untouched: 1.48293740484
disrespectful, larger: -0.165022041674
absolute, corny: 0.835140357029
dim, proprietary: -0.101199627141
equivalent, gotta: 1.12020622397
disabled, impossible: 1.18422077088
overpriced, specialised: 0.0
perfectly, swearing: 0.125195258463
evey, needless: 1.28101967164
cost-effectiveness, exemplary: 0.0
executable, systemic: 2.03935298158
non-specific, permanently: 0.0
liked, visual: 1.0542818166
farther, fundamental: 0.439937485593
glad, sponsored: 0.853231718806
lively, sufficiently: 1.09001114556
self-sustained, terse: 0.0
final, turned: 0.812650982062
weirder, worthless: 1.21632782937
undeveloped, unseemly: 0.738908541829
lofty, stupider: 0.314685297184
clean, flush: 2.43526123456
annually, going: 0.433147043977
careful, immoral: 1.0643223005
discrete, less-favoured: 0.0
baby-sitting, iittle: 0
kind, n'tunderstand: 0.0
berserk, kinky: 2.26715823263
all-embracing, picky: 0.0
empty, mere: 1.06387402224
cost-shared, therefore: 0.0
indefensible, pro: 1.28733393992
brighter, him: 0.217357065777
inoffensive, together: 0.277833078023
developed, pragmatic: 0.962769979214
cowardly, telling: 1.58300040559
completed, mideast: -0.516974965431
over, threaded: 0.38880098829
obvious, tied: 0.557001484552
existing, singular: 0.180808076156
export-ready, principale: 0.0
influential, well-lit: 0.0
frozen, nearest: 0.415667042691
huh, used: 0.865117225785
familiar, sacrilegious: 2.01140608165
diverse, state-funded: 0.0
candid, suited: 0.825868221827
proven, well-trained: 0.0
dramatic, focussed: 0.573021526726
hither, known: 0.583334282476
mama, terse: 0.674719315907
commended, cross-border: 0.0
arguable, reduced: 0.458950963649
loveable, tired: 1.42970223302
disappeared, living: 1.55405100546
controversial, drunk: 0.309687309117
constituted, fearless: -0.02444645161
angry, obese: 2.01357715025
flaccid, psychogenic: 1.73409622814
coherent, kane: 0.04631766786
absent, acceding: 1.34000734366
grisly, recommendable: 1.00390215026
misguided, super: 0.352877105254
concerted, treble: 1.14100248209
cooperative, scalable: 1.79557802226
painful, sleepy: 1.10012876769
hurtin, west: 0.906662102502
last, ubiquitous: -0.346220380566
science-based, stark: 0.0
performed, powerless: 0.034931679815
thanks, undemocratic: -0.282023292809
ourselves, ungrounded: 0.90618654639
dirty, nathan: 0.843332829335
dazzling, derisory: 0.713753053958
happen, keen: 0.155587384268
miscellaneous, rock-hard: 0.0
cloudy, educational: -0.02354113425
coast, specific: -0.190173628853
lucky, sealed: 0.873374941788
handicapped, horrific: 0.91574871234
hope, sizeable: 0.586304340324
able, all-round: 0.0
categorical, iil: 0.0
sedentary, this: 0.38195065414
complete, graduate: 0.306975834715
geographically, sustained: -0.288771924565
agreed-upon, long-winded: 0
advantageous, engaged: 1.22329256694
meaningless, repulsive: 2.13756947213
th-that, unconscionable: 0.0
comprehensible, noisy: 1.4308589336
reversed, talented: -0.515497541308
hopeless, truly: 1.45176287585
off-site, scarlett: 0.0
foul, frightful: 1.16787531694
female, task-oriented: 0.0
happening, sharper: 0.916647625196
sick, unrestricted: 0.395726999631
jump, repugnant: -0.815942033951
brainless, marketed: 0.900157568647
honored, impaired: 0.748584588487
nonexistent, syrupy: 1.52838010341
enlarged, greener: 0.258692303437
clear, released: 0.861833647026
active, contemptible: 0.387127162313
bogus, overt: 0.988225636944
prominent, relative: 0.3697900686
goal, grass-roots: 0.0
freedom, sacrilegious: 1.76004274929
recently, substandard: 0.328388821273
courteous, obese: 1.83645989648
humbled, unseen: 0.203423501108
prime, typical: 1.62335307966
level, unthinkable: 0.849294227281
characteristic, firstly: 0.665229096222
imrtant, rife: 0.0
freest, intentionally: 0.294429832456
relative, twice: 0.716033958998
matched, self-employed: 0.0
ioyal, well-armed: 0
finicky, masterful: 1.64204174086
concerted, nathan: 0.234652734142
nineteen, pro-poor: 0.0
planning, unnatural: 0.093636365167
pissed, unemployed: 1.71625142723
ridiculus, similar: 0.232292129348
comprehensible, thanan: 0.0
pitiable, wierd: 2.60358852463
destabilizing, topic: 0.981971429508
predictability, sadly: 0.853969962513
contained, flattered: 0.047669981364
fantastic, worth: 1.22642479714
expedited, mainstream: 0.77059184256
endearing, iate: 0.0
abnormal, distant: 1.09945058802
going, imported: 0.508824360185
especiaily, leaner: 0.0
confrontational, past: 0.758197251417
likely, well-received: 0.0
awful, strictest: 1.03007169366
emphasise, prepped: 0.0
frigid, shortly: 0.281100790804
suited, well-received: 0.0
incomplete, salute: 0.167062102178
better-looking, east: 0.0
existing, probable: 0.747399355507
crippled, lonesome: 1.91053593798
distraught, stone-cold: 0.0
distracting, reduction: 0.122407108164
attainable, bright: 1.64850662996
dainty, perpetual: 0.888401782008
continued, over-optimistic: 0.0
foutu, hiv-infected: 0
least, northern: 1.01501803966
cheap, unhealthy: 1.43305397736
largest, ridonc: 0.0
built-in, challenges: 0.0
contained, scarcer: 0.186877397021
necessary, ongoing: 1.15351371179
clear-cut, self-financing: 0
modernized, unjustified: -0.390028443223
constrained, disconcerting: 1.38661586392
alia, self-executing: 0.0
antagonistic, undeniable: 1.09290458687
complex, observant: 0.686968026992
emerged, high-ranking: 0.0
intractable, unprejudiced: 1.49212887787
puny, sinister: 1.41708718774
psychotic, timid: 1.76564562547
marvellous, monthly: 0.0
enchanting, fanta: 0.736583410632
disrespect, unwell: 1.6897564835
incapable, similar: 0.44992842402
displaced, thankful: 1.63656179431
retail, why: -0.091038646373
reasoned, sponsored: 0.168127410853
streamlined, stricter: 2.52599792117
creditable, idiot: 0.299980311412
non-binding, righteous: 0.0
brilliant, uncanny: 3.2779459426
celebrities, fair-minded: 0.0
foutu, school: 0.0
smug, speedier: 0.470556643863
ever, undemanding: 0.026207733279
creative, original: 1.14457553546
changed, practicable: 0.921099559162
ferociously, loyal: 2.14436352789
crushed, doubled: 1.9819305173
fledged, meaner: 0.508858457901
dramatic, overlooked: 1.01689874122
broadest, lovelier: 1.10499469727
iucky, opportunity: 0.0
junior, physically: 0.460909605179
offensive, undemocratic: 2.26764704218
classic, senseless: 0.37640785386
childish, delay: 0.537746958389
!, thereto: 0.0
sick, silent: 1.29774013875
girlie, shut: 0.32271162196
hip, shaky: 1.18980740259
co-operation, displaced: 0.0
agile, sensitive: 1.55159281565
current, shortest: 1.03048573957
astounded, direct: 0.178467564908
lively, unaffordable: 0.165170892406
dodgy, stupid: 3.25411094249
cognizant, solid: 0.652067441596
two-fold, well-founded: 0
dummy, quiet: 0.056609345483
filthy, trite: 1.79798798648
-surprised, decided: 0.0
appreciated, knowing: 0.788548362876
darling, enormous: 1.02683447583
benign, inconsistent: 1.85913108573
liked, snotty: 1.40528149031
for, unacceptable: 0.515739337003
immutable, wholly: 1.87762306828
cattled, customized: 0.0
asshole, understandable: 1.17462275742
disciplined, running: 0.727617875025
challenged, first-rate: 0.0
cordial, refundable: 1.28382840967
chosen, determinant: 0.93856517006
humble, idiot: 2.08976998444
ineffectual, shiny: 0.714809151442
unsolved, worrisome: 1.46061523144
impeccable, unemployed: -0.041999856014
discussion, general: 0.749600258148
luke, provisional: 0.241162665945
around, similar: 0.653002852386
fragile, pivotal: 1.74558460098
idiot, shipshape: 0.523712983411
supported, understand: 0.972219959613
extremely, moreover: 1.3275086001
payable, visible: 0.762697042746
actual, granted: -0.151221527355
graver, impractical: 1.10955819153
insecure, multiple: 0.39934588056
creepy, south: 0.243530554704
economically, inferior: 1.49490114082
lowest, wacky: 0.267535219948
unequal, yourself: 0.245347629121
patronizing, traded: -0.372515829418
frustrated, marginal: 0.748834451207
leave, self-aware: 0.0
attentive, childish: 1.40611052859
barmy, expanding: 0.015235588991
statutory, super: 0.194760566113
astounding, continuous: 0.880087478986
infected, prat: 0.627446544812
co-operative, ever: 0.0
freer, warm: 1.47548426423
nationwide, trustworthy: 0.875966319942
fascinated, updated: 1.32909484345
cooler, elusive: 0.95783713551
favorite, slick: 0.596946912701
morbid, specialised: 0.0
elite, patronizing: 0.633664876414
delicate, irritating: 1.7951148443
crummy, extreme: 1.14752673737
manufactured, pissed: 0.188729066876
entrenched, well-paid: 0.0
disparate, political: 1.73419622136
nicer, sophisticated: 1.98378730195
legally, self-sustained: 0.0
naughty, wretched: 1.46497633578
endearing, lately: 0.925286387448
drastic, leveraged: 0.256822527863
restricted, unsolved: 0.404925153318
impressive, wanted: 0.352430804443
perpetual, well-managed: 0.0
certified, north-west: 0.0
establishment, wide: 0.280110506799
critical, well-established: 0.0
problematical, robust: 1.65292660572
liable, strained: 0.082960759832
parallel, unjustified: 0.717343299228
overripe, right-: 0.0
deceased, marked: 0.164935018203
appreciable, italian: 0.467953634814
deceptive, thoughtful: 1.26225624741
exactly, peachy: 1.86968097535
sick, tepid: 0.770864946025
gonna, reconcilable: 1.05067710109
disappointing, flashing: 0.390055468619
noisy, sonny: 0.928736507661
noted, squat: -0.043259968692
milder, scientifically: 0.284557995982
rarest, unofficial: 0.773732718859
ma, older: 0.493307174465
engaged, time: 0.280620110714
previous, surrounded: -0.531340367901
confident, legit: 1.28448391816
emphasise, headstrong: 0.0
attentive, quoted: 0.624129382732
focussed, third: 0.484233707602
deceased, user-defined: 0.0
random, strictest: 1.6917906742
clearer, dispute: 1.05478961666
affixed, wild: -0.604354256795
enriching, fourteen: 0.443853022551
-lnteresting, adverse: 0.0
determined, foutu: 0.0
enough, iate: 0.0
goal-oriented, outrageous: 0.0
impressed, others: -0.246726177181
innumerable, insured: 0.289108842302
hotter, two-thirds: 0.0
documented, required: 1.08893908881
two-pronged, unfair: 0.0
calculated, upfront: 0.862175466652
necessary, previous: 0.094758189485
basic, economic: 0.816891891653
comprehend, upfront: 0.272624482144
pitiful, tedious: 1.66122043548
flourishing, professionally: 1.08285000863
colder, illiterate: -0.162199992248
scary, valuable: 1.53526325234
back, longterm: 0.522943676135
filthy, untrue: 2.30442939315
formed, self-conscious: 0.0
overly-high, unforeseen: 0.0
frank, second: 0.201230874945
alternative, geographic: 0.556363438328
disagreeable, fearful: 2.09076528227
deliberately, liberated: 0.064443385925
sorr, worthwhile: 0.0
importantly, shortly: 0.095254263362
enhanced, evey: -0.19017398258
commensurate, fresh: 0.668319869641
constrained, notable: 0.540833586055
forthcoming, profane: 0.448353537606
restricted, tall: 0.642538774882
received, stunning: -0.067106098815
cognizant, intertwined: 2.84879757784
delicate, stressful: 2.86284745031
involved, larger: 0.906215972934
crude, precarious: 1.00913827575
clear-cut, tangible: 0.0
determinant, subdued: 1.65442771962
anonymous, nice-looking: 0.0
cancelled, childish: 0.0
potent, usual: 1.36710323973
used, wetter: 0.90572381908
multi-ethnic, under-inclusive: 0
destabilizing, indebted: 2.29218406065
few, flattered: 0.295253090203
grown, regretful: 0.484617455406
tailored, warmth: 0.974656618643
modernizing, problematic: 0.687290910872
admiral, intriguing: 0.219817732348
stranger, well-served: 0.0
advanced, utilized: 1.54049503474
international, pro-choice: 0.0
distasteful, productive: 1.19096851623
closest, empowered: -0.669327871982
again, compensable: 0.272436311288
european, handled: 0.064178435739
crummy, durable: 1.08656597015
roll, sustainable: 0.344659523851
democratic, especially: 0.339450244375
someplace, substantial: 0.393530283511
firm, information: 0.330902083608
